"Compétition Régionale de Slalom - Terbin - Finale - 2015-11-22","Finale","2015-11-22","Régional","88"
"Cyril Combreau","K1H","111.79","280.87","384.76","Finale A"
"Aurelien Ballandras","K1H","112.24","286.54","390.23","Finale A"
"Tom Suteau","K1H","119.14","406.77","474.23","Finale A"
"Erwan Desbordes","K1H","119.4","355.44","477.39","Finale A"
"Gregory Metayer","K1H","123.56","-","528.03","Finale A"
"Loann Le Guyader","K1H","125.63","331.95","553.23","Finale A"
"Theo Foucher","K1H","151.68","210.36","870.33","Finale A"
"Vincent Laclide","K1H","166.22","388.4","1047.33","Finale A"
"Matthieu Chauvel","K1H","Abs","-","-","Finale A"
"Romain Branjauneau","K1HM","118.77","-","469.72","Finale A"
"Gaetan Robin","K1HM","124.87","-","543.98","Finale A"
"Samuel Vallienne","K1HM","125.36","-","549.94","Finale A"
"Romain Bruneau","K1HM","130.71","-","-","Finale A"
"Younes Kismi","K1HM","143.29","-","-","Finale A"
"Alexis Carpentey","K1HM","143.42","-","-","Finale A"
"Regis Navinel-dubois","K1HM","149.29","-","841.24","Finale A"
"Gaston Guilmard","K1HM","157.1","-","-","Finale A"
"Yohan Dupont","K1HM","165.54","-","1039.05","Finale A"
"Florian Busson","K1HM","Abd","-","-","Finale A"
"Serge Betton","C1H","332.99","839.5","2889.38","Finale B"
"Andy Barat","C1H","Abs","-","-","Finale B"
"Tanguy Odot","C1HM","200.01","-","-","Finale B"
"GaËtan De Greef","C1HM","Abs","-","-","Finale B"
"GaËlle Bail","K1D","182.46","750.06","994.49","Finale B"
"Thomas Le Lons","K1H","111.84","-","390.36","Finale B"
"Christophe Gergaud","K1H","127.9","391.45","585.86","Finale B"
"David Ravache","K1H","127.91","471.54","585.98","Finale B"
"Lucas Godevin","K1H","128.04","374.09","587.57","Finale B"
"Loic Augereau","K1H","133.6","692.53","655.25","Finale B"
"Clement Collardez","K1H","137.52","598.25","702.97","Finale B"
"Antoine Repussard","K1H","138.58","545.27","715.87","Finale B"
"Vincent Rival","K1H","139.05","496.79","721.59","Finale B"
"Lois Moreau","K1H","148.44","616.26","835.89","Finale B"
"Christian Belouin","K1H","162.58","625.32","1008.02","Finale B"
"Christian Le Parc","K1H","170.97","650.5","1110.15","Finale B"
"Louis Gane","K1H","174.19","1058.64","1149.35","Finale B"
"Jean-christophe Dubois","K1H","180.49","750.89","1226.04","Finale B"
"Alexis Bizon","K1H","197.66","-","1435.04","Finale B"
"Mickael Launay","K1H","198.61","-","1446.61","Finale B"
"Corentin Lemoine","K1H","252.1","-","2097.74","Finale B"
"Benjamin Borgne","K1H","286.42","-","2515.51","Finale B"
"Corentin Val","K1H","Abd","-","-","Finale B"
"Matheo Coquel","K1HM","135.61","-","679.71","Finale B"
"Carmin Douillard","K1HM","147.7","-","-","Finale B"
"Martin Colomb","K1HM","148.66","-","838.57","Finale B"
"Mathieu Brochard","K1HM","152.23","-","882.03","Finale B"
"Louis-felix Marchand","K1HM","161.84","-","-","Finale B"
"Tanguy Odot","K1HM","163.06","-","-","Finale B"
"GaËtan De Greef","K1HM","200.22","-","-","Finale B"
"Alexandre Fafin","K1HM","229.64","-","-","Finale B"
"Raphael Gomez","K1HM","Abd","-","-","Finale B"
"Mathieu Cottereau","K1HM","Abd","-","-","Finale B"
