"SÈlectif RÈgional de Slalom - Sr Slalom De Troyes - Course n∞2 | Qualification - 2017-09-24","Course n∞2 | Qualification","2017-09-24","RÈgional","229"
"Jerome Talbot","K1H","109.08","430.12","422.22",""
"Guerlain Robin","K1H","109.82","376.4","431.75",""
"Anthony Rouhier","K1H","110.61","317.66","441.91",""
"Cyprien Dufour","K1H","110.65","592.54","442.43",""
"Enzo Claeys","K1H","110.88","442.36","445.39",""
"Yann Becker","K1H","111.43","265.69","452.46",""
"Antoine Paumier","K1H","111.88","468.61","458.25",""
"Nicolas Castagnetti","K1H","112.09","503.78","460.95",""
"Aymeric Dollat","K1H","112.78","474.6","469.83",""
"Baptiste Podor","K1H","112.9","309.61","471.38",""
"Leonard Painteaux","K1H","113.35","426.62","477.17",""
"Basile Drapier","K1H","113.38","451.05","477.55",""
"Matthew Vuillard","K1H","113.79","463.27","482.83",""
"Guillaume Cochut","K1H","113.8","447.79","482.96",""
"Quentin Henri","K1H","114.3","506.03","489.39",""
"Philippe Piat","K1H","116.75","500.66","520.92",""
"Benjamin Dubert","K1H","117.87","417.52","535.33",""
"Romain Caburol","K1H","118.07","556.81","537.9",""
"Flavien Portier","K1H","118.51","520.11","543.56",""
"Brian Bontems","K1H","118.71","790.4","546.14",""
"Julien Michelin","K1H","118.75","-","546.65",""
"Paul Bornier","K1H","118.94","634.81","549.1",""
"Charles Billon","K1H","120.26","530.63","566.08",""
"Lucas Gamain","K1H","121.45","524.73","581.39",""
"Gerard Lafargue","K1H","121.5","502.66","582.04",""
"Yann Dhieux","K1H","122.65","589.43","596.83",""
"Leonard Soland","K1H","123.17","588.96","603.52",""
"Djimy Kar","K1H","123.34","391.6","605.71",""
"Emrys Meddour","K1H","123.62","598.42","609.31",""
"Matheo Dejonghe","K1H","124.78","477.17","624.24",""
"Baptist Besancon","K1H","127.44","-","658.47",""
"Gaetan Cornu","K1H","129.48","879.8","684.72",""
"Eric Pouradier","K1H","135.53","717.39","762.56",""
"Kevin Vienny","K1H","135.7","736.86","764.75",""
"Ilan Foulongani","K1H","137.1","819.21","782.76",""
"Hugo Ronseaux - Dury","K1H","138.72","-","803.61",""
"Kevin Jamart","K1H","139.15","-","809.14",""
"Theophile Vincent","K1H","139.31","808.2","811.2",""
"Thibault Chausson","K1H","142.23","1213.79","848.77",""
"Robin Pottelette","K1H","143.35","129.11","863.18",""
"Alain Brucher","K1H","144.55","1344.95","878.62",""
"Simon Guyot","K1H","145.64","-","892.65",""
"Gerald Oudin","K1H","145.85","809.23","895.35",""
"Lucas Galmiche","K1H","145.98","154.58","897.02",""
"Bruno Brousselle","K1H","147.75","845.9","919.8",""
"Loic Merat","K1H","149.69","-","944.76",""
"Paul Beteille","K1H","151.05","-","962.26",""
"Pierre Biagui","K1H","158.62","339.18","1059.66",""
"Barnabe Sennelier","K1H","158.96","1635.74","1064.04",""
"Corentin Rogalski","K1H","220.09","-","1850.61",""
"Renaud Henri","K1H","Des","-","-",""
"Gaetan Kieffert","K1H","Abs","-","-",""
"Tom Gry","K1H","Des","-","-",""
"Loic Bourgeois","K1H","Abs","-","-",""
"Joshua Ravet","K1H","Abs","-","-",""
"Maxime Kerbrat","K1H","Abs","-","-",""
"Leo Lahely","K1H","Abs","-","-",""
"Tom Deconchy","K1H","Abs","-","-",""
"Antonin Robert","K1HM","102.79","353.89","341.29",""
"Theo Reby","K1HM","104","346.08","356.86",""
"Theo Douady","K1HM","107.65","343.51","403.82",""
"Tanguy Malingre","K1HM","110.26","432.91","437.41",""
"Samuel Tahaafe","K1HM","112.28","551.8","463.4",""
"Noah Fresneda","K1HM","114.84","497.57","496.34",""
"Jules Latimier","K1HM","117.32","430.2","528.25",""
"Arthur Pichancourt","K1HM","117.74","531.7","533.65",""
"Arnaud Caillet","K1HM","118.6","520.32","544.72",""
"Lucas Jamart","K1HM","122.52","668.3","595.16",""
"Oscar Pasteur","K1HM","124.93","549.38","626.17",""
"Loann Delle Dananchet","K1HM","126.62","749.37","647.92",""
"Maxence Raymond","K1HM","138.21","951.41","797.05",""
"Tom Nerenhausen","K1HM","139.68","-","815.96",""
"Nicolas Bougnon","K1HM","140.18","934.35","822.39",""
"Valentin Oudin","K1HM","145.46","-","890.33",""
"Leo Bayard","K1HM","148","-","923.02",""
"Aloys Morel","K1HM","162.52","-","1109.85",""
"Robin Le Mazurier","K1HM","162.98","-","1115.77",""
"Clement Couvent","K1HM","163.61","1173.38","1123.87",""
"Baptiste Herbin","K1HM","220.58","-","1856.92",""
"Enzo Laclef","K1HM","Abs","-","-",""
