"Sélectif Régional Slalom Millau - Miillau La Maladrerie - 2004-11-21","Course 1","2004-11-21","Régional","144"
"Picco Pierre","K1H","227.40","307","245",""
"Jerome Dorizon","K1H","228.51","273","252",""
"Jonathan Delagnes","K1H","228.77","210","253",""
"Nicolas Masson","K1H","229.17","211","256",""
"Yannick Besse","K1H","231.23","224","267",""
"Jonot Anthony","K1H","233.73","302","282",""
"Boutonnet Bastien","K1H","234.08","280","283",""
"Valerian Boulet","K1H","234.60","268","287",""
"Manuel Legros","K1H","235.06","290","290",""
"Pasquier Marc","K1H","235.13","371","290",""
"Verchere Thibault","K1H","235.14","276","290",""
"Dura Francois","K1H","235.87","-","294",""
"Axel Mulle","K1H","236.29","-","296",""
"Marchaud Luc","K1H","237.95","-","306",""
"Salame Jean","K1H","239.34","-","314",""
"Gregoire Cayez","K1H","241.05","-","324",""
"Sylvain Mendez","K1H","242.20","346","330",""
"Molinier Vincent","K1H","243.41","215","338",""
"Bastien Dantin","K1H","243.65","236","339",""
"Maxime Mitaut","K1H","243.72","510","339",""
"Eric Vidou","K1H","244.29","406","342",""
"Pitman Arnaud","K1H","244.39","-","343",""
"Garros Samuel","K1H","247.16","-","358",""
"Pourtau Stephane","K1H","249.56","332","373",""
"Lay Matthieu","K1H","249.71","412","374",""
"Remi Dramard","K1H","249.83","-","374",""
"Clement Adrien","K1H","250.22","-","377",""
"Argaud Thomas","K1H","250.59","-","378",""
"Pierre Moreau","K1H","250.72","386","379",""
"Thomas Dauvet","K1H","254.58","450","401",""
"Martinat Stephane","K1H","256.11","-","411",""
"Castanie Romain","K1H","257.39","591","417",""
"Benoit Morand","K1H","257.77","-","419",""
"Barbaglia Sylvain","K1H","263.54","-","453",""
"Rosiere Arnaud","K1H","265.19","-","462",""
"Thomas Rieu","K1H","268.76","724","482",""
"Petre-Bordenave Romain","K1H","270.12","-","490",""
"Jonathan Figarol","K1H","270.22","-","491",""
"Reynaud Julien","K1H","270.71","-","493",""
"Loiseau Matthias","K1H","274.86","-","517",""
"Valentin Grollemund","K1H","276.15","-","525",""
"Kernin Gael","K1H","279.55","-","544",""
"Reynaud Damien","K1H","280.30","-","549",""
"Jean Thomas Genet","K1H","281.76","390","557",""
"Cassagne Geoffroy","K1H","282.36","396","561",""
"Jassaud Olivier","K1H","283.05","-","565",""
"Frederic Saint Agne","K1H","285.38","418","578",""
"Braesco Adrien","K1H","292.26","-","617",""
"Sebastien Peres","K1H","293.22","-","623",""
"Jouanolou Remi","K1H","295.37","787","635",""
"Giquel Romain","K1H","298.70","-","654",""
"Marc Cailhol","K1H","300.54","-","665",""
"Thirouard Renaud","K1H","305.37","-","692",""
"Pelletier Jonas","K1H","311.12","-","725",""
"Belat Patrice","K1H","314.91","-","747",""
"Cherasse William","K1H","326.47","-","813",""
"Medda Thomas","K1H","329.36","-","830",""
"Musseau Yvan","K1H","334.75","-","861",""
"Pierre Demateis","K1H","336.22","-","870",""
"Lavor Guillaume","K1H","373.19","-","1082",""
"Martine Jonathan","K1H","374.76","-","1090",""
"Mazars Teo","K1H","383.93","-","1143",""
"Argaud Cyril","K1H","395.23","-","1208",""
"Jean Francois Bry","K1H","433.05","-","1424",""
"Guastella Denis","K1H","492.73","-","1766",""
"Pinet Adrien","K1H","505.58","-","1840",""
"Salame Francois","K1H","517.10","-","1906",""
"Palacin Jeremy","K1H","543.59","-","2057",""
"Burgubder Arnauld","K1H","575.30","-","2240",""
"Souquet Julien","K1H","942.27","-","4342",""
