"SELECTIF REGIONAL SLALOM - Fontaine De Vaucluse - 2008-03-16","Course 1","2008-03-16","Régional","111"
"Mickael Cordier","K1H","183.30","349","293",""
"Thomas Dandel","K1H","183.86","311","297",""
"Thibault Gache","K1H","185.19","243","307",""
"Luc Doye","K1H","185.57","170","310",""
"Dimitri Durannot","K1H","188.62","351","331",""
"Jeremy Wagner","K1H","188.94","143","333",""
"Hugues Lesimple","K1H","189.99","281","340",""
"Ludovic Pinchon","K1H","190.70","278","345",""
"Thibault Gibert","K1H","193.23","323","364",""
"Pierrick Gaudin","K1H","193.57","269","366",""
"Damien Chammings","K1H","194.00","374","369",""
"Camille Sahuc","K1H","194.58","387","373",""
"Tom Bar","K1H","194.97","361","375",""
"Pierre Moreau","K1H","196.24","323","384",""
"Laurent Fieschi","K1H","197.07","387","390",""
"Adrien Quillet","K1H","198.42","449","399",""
"Frederic Blanrue","K1H","199.77","403","408",""
"Adrien Tamas","K1H","200.55","413","414",""
"Ludovic Smal","K1H","200.88","395","416",""
"Adrien Tappero","K1H","203.14","370","433",""
"Sylvain Viallon","K1H","203.92","384","438",""
"Fernando Denninger","K1H","205.41","-","448",""
"Yanis Burdet","K1H","206.90","334","458",""
"Florent Delhommel","K1H","207.88","440","465",""
"Guillaume Pit","K1H","210.89","588","487",""
"Remi Palisse","K1H","215.58","-","519",""
"Olivier Bret","K1H","215.86","423","521",""
"Florent Bret","K1H","221.80","546","563",""
"Bernard Delorme","K1H","223.72","399","576",""
"Stephane Simonpietri","K1H","226.23","410","593",""
"Ange Paul Micaelli","K1H","229.21","-","615",""
"Fabrice Magueur","K1H","233.48","-","644",""
"Frederic Bordier","K1H","238.20","-","677",""
"Sylvain Gaude","K1H","241.98","244","703",""
"Olivier Kremer","K1H","245.45","762","728",""
"Romain Zambon","K1H","252.21","989","775",""
"Nadjib Mazar","K1H","257.07","-","809",""
"Sebastien Disdier","K1H","257.23","1026","810",""
"Antoine Demateis","K1H","263.51","-","854",""
"Cyril Blanc","K1H","282.05","1188","984",""
"Camille Balsac","K1H","283.47","467","993",""
"Dominique Kremer","K1H","286.01","672","1011",""
"Clement Rombi","K1H","312.26","619","1194",""
"Pierre Lagarde","K1H","314.99","383","1214",""
"Arnaud Hudaverdian","K1H","330.75","-","1324",""
"Jorys Plissot","K1H","370.60","-","1602",""
"Julet Jean Michel","K1H","391.18","1167","1746",""
"Thierry Gaudin","K1H","391.36","1471","1748",""
"Sebastien Villecourt","K1H","393.24","-","1761",""
"Farouk Imacht","K1H","549.75","-","2854",""
"Gauthier Vanden  Abeele","K1H","561.35","-","2935",""
