"Sélectif National 3 Slalom Sud-Est - Vinon Sur Verdon - Qualification - 2018-05-13","Qualification","2018-05-13","Nationale 3","163"
"Axel Kournwsky","K1H","100.88","291.65","355.64",""
"Mael Hervault","K1H","101.13","364.87","358.89",""
"Corentin Georgeon","K1H","102.81","426.85","380.74",""
"Lucas Dominguez","K1H","103.16","270.77","385.29",""
"Cyril Audoit","K1H","103.62","303.15","391.27",""
"Alexandre Goujon","K1H","103.92","314.58","395.18",""
"Robin Andre","K1H","104.28","369.98","399.86",""
"Mohamed SaÏd Bekkadour","K1H","104.78","367.2","406.36",""
"Arthur Contamine","K1H","105.12","306.55","410.78",""
"Julien Signarbieux","K1H","105.16","363.38","411.3",""
"Tanguy Adisson","K1H","105.52","412.96","415.98",""
"Maxence Jehan","K1H","106.45","423.68","428.08",""
"Teo Bouvier","K1H","107.73","290.41","444.72",""
"Arthur Vernede","K1H","109.32","527.42","465.4",""
"Laurent Echivard","K1H","110.04","394.98","474.76",""
"Kilian Cottet","K1H","110.7","370.38","483.34",""
"Nicolas Demofsqui","K1H","110.84","418.1","485.16",""
"Matthieu Rousseau","K1H","111","548.27","487.24",""
"Clement Grapotte","K1H","111.84","455.97","498.17",""
"Theo Brun","K1H","112.7","422.9","509.35",""
"Nicolas Detheve","K1H","112.79","320.02","510.52",""
"Remy Beal","K1H","113.99","422.09","526.13",""
"Gabriel Saul","K1H","114.09","435.46","527.43",""
"Emmanuel Triomphe","K1H","114.29","435.56","530.03",""
"Theo Soulier","K1H","114.64","379.58","534.58",""
"Yves Masson","K1H","114.88","476.8","537.7",""
"Louis Payan","K1H","115.02","608.23","539.52",""
"Daniel Chambert","K1H","115.55","473.34","546.41",""
"Guillaume Belet","K1H","115.69","404.6","548.23",""
"Herve Vitali","K1H","116.1","453.93","553.57",""
"Paul Badache","K1H","117.23","484.49","568.26",""
"Arthur Talarmain","K1H","117.49","454.36","571.64",""
"Bastien Cothenet","K1H","117.96","550.09","577.75",""
"Alexei Evlachev","K1H","118.76","485.86","588.16",""
"Stephen Furio","K1H","119.15","676.69","593.23",""
"Dominique Polard","K1H","119.48","575.66","597.52",""
"Germain Court","K1H","119.54","477.86","598.3",""
"Matis Cote","K1H","119.63","583.18","599.47",""
"Leo Parnotte","K1H","119.81","574.59","601.81",""
"Valentin Jossemit","K1H","120.11","621.79","605.71",""
"Nicolas Monzerian","K1H","120.43","457.25","609.87",""
"Ugo Zanellato","K1H","120.45","428.54","610.13",""
"Charlie Genovese","K1H","120.77","483.2","614.3",""
"Philippe Lelieur","K1H","121.36","479.65","621.97",""
"Sebastien Riou","K1H","121.51","462.22","623.92",""
"Raphael Bonnard","K1H","121.83","504.74","628.08",""
"Frederic Brissaud","K1H","124.74","455","665.92",""
"Florian Jarousse","K1H","124.93","443.68","668.39",""
"Antoine Mazoyer","K1H","124.96","585.89","668.78",""
"Felix Balas","K1H","126.06","476.99","683.09",""
"Florent Vallier","K1H","127.11","617.43","696.74",""
"Clement Blancgras","K1H","128.3","693.81","712.22",""
"Joachim Saussol","K1H","130.61","364.54","742.26",""
"Matthieu Fontanez","K1H","131","619.37","747.33",""
"Emilien Charrier","K1H","131.98","872.01","760.07",""
"Thibaud Chovin","K1H","132.55","589.53","767.48",""
"Gaspard Gonseth","K1H","133.17","841.39","775.55",""
"Oscar Puc","K1H","133.77","842.1","783.35",""
"Pierre Escuret","K1H","134.3","577.49","790.24",""
"Titouan Sourieau","K1H","134.8","701.58","796.74",""
"Arthur Sanchez","K1H","136.33","835.41","816.64",""
"Jules Sourieau","K1H","137.08","772.18","826.39",""
"Mathieu Meilier","K1H","137.67","689.62","834.07",""
"Maxence Violy","K1H","138.88","833.69","849.8",""
"Manu Kempf","K1H","140.31","954.29","868.4",""
"Alexis Guillon","K1H","141.21","515.88","880.1",""
"Justin Murphy","K1H","142.58","607.38","897.92",""
"Romain Bourguignon","K1H","143.44","438.53","909.1",""
"Luke Ribeyre","K1H","143.88","637.47","914.82",""
"Dimitri Durannot","K1H","144.35","309.55","920.93",""
"Raphael Massot","K1H","146.45","335.08","948.24",""
"Mathis Borie","K1H","146.78","611.27","952.53",""
"Guillaume Mele","K1H","146.88","862.05","953.83",""
"Axel Gondard","K1H","153.38","740.25","1038.36",""
"Basile Monzerian","K1H","159.27","667.41","1114.96",""
"Antonin Castille","K1H","164.27","576.92","1179.98",""
"Ulysse Brunel","K1H","169.77","512.86","1251.5",""
"Denis Cote","K1H","172.81","514.76","1291.03",""
"Jean-marc Suarez","K1H","177.93","614.89","1357.61",""
"Rutger Hoedemaker","K1H","182.25","523.5","1413.79",""
"Esteban Reder-issartel","K1H","186.27","508.21","1466.07",""
"Yorick Richioud","K1H","202.12","680.53","1672.18",""
"Jocelyn Locatelli","K1H","209.63","636.81","1769.85",""
"Erwan Quellec","K1H","209.93","417.1","1773.75",""
"Charlie Bouvier","K1H","235.65","758.86","2108.21",""
"Baptiste Gaillard","K1H","258.43","360.25","2404.45",""
"Julien Lambert","K1H","Abs","-","-",""
"Jordan Agullo","K1H","Abs","-","-",""
"Tao Dersoir","K1H","Abs","-","-",""
"Alexis Mercoirol","K1H","Abs","-","-",""
"Theo Viallard","K1H","Abs","-","-",""
"Sacha Caron","K1H","Des","-","-",""
"Aymeric Rivier","K1H","Abd","-","-",""
"Remi Bardem","K1H","Abs","-","-",""
"Ange Bernard","K1H","Abs","-","-",""
"Baptiste Saul","K1H","Abs","-","-",""
"Sebastien Lepaulard","K1H","Abs","-","-",""
"Olivier Hardonniere","K1H","Abs","-","-",""
"Baptiste Tappero","K1H","Abs","-","-",""
"Simon Lescaut","K1H","Abs","-","-",""
