"Sélectif Régional de slalom - St Jean D'angely - Qualification - 2016-01-24","Qualification","2016-01-24","Régional","147"
"Nicolas Labat","K1H","100.21","178.37","194.19",""
"Pierre Giudicelli","K1H","102.14","112.94","215.69",""
"Zeph Scamps","K1H","104.29","316.6","239.65",""
"Maxime Texier","K1H","104.31","202.63","239.87",""
"Julien Pajaud","K1H","104.85","248.89","245.89",""
"Theo Desvignes","K1H","105.66","203.97","254.91",""
"Isaac Dufrene","K1H","105.84","201.75","256.92",""
"Valentin Alliot","K1H","106.65","219.02","265.94",""
"Adrien Picco","K1H","109.18","198.92","294.13",""
"Dylan Sourbe","K1H","109.53","290.3","298.03",""
"Thibault Dufour","K1H","109.6","207.59","298.81",""
"Quentin Chauvin","K1H","110.34","199.96","307.06",""
"Louis-maxime Main","K1H","112.39","164.71","329.9",""
"Olivier Cain","K1H","112.47","203.44","330.79",""
"Thibault Lefebvre","K1H","114.21","-","350.18",""
"Antonin Barraud","K1H","114.66","298.21","355.19",""
"Arthur Huet","K1H","115.79","259.59","367.78",""
"Florentin Saumon","K1H","115.97","338.46","369.79",""
"Yanis Rainaud","K1H","116.4","253.88","374.58",""
"Emeric Bussonnais","K1H","117.63","272.03","388.28",""
"Benjamin Harreau","K1H","117.99","320.56","392.29",""
"Henri Chenu","K1H","118.68","-","399.98",""
"Etienne Chauvin","K1H","119.11","312.69","404.77",""
"Florian Sauvage","K1H","119.28","413.15","406.66",""
"Matheo Gillaizeau","K1H","120.12","340.33","416.02",""
"Clement Praille","K1H","121.84","-","435.19",""
"Quentin Robin","K1H","123.34","351.02","451.9",""
"Tony Deshayes","K1H","124.9","406.44","469.28",""
"Valentin Cesbron","K1H","126.03","319.14","481.87",""
"Clement Capillon","K1H","126.06","-","482.21",""
"Sylvain Decombe","K1H","127.9","471.8","502.71",""
"Thibault Alcaras","K1H","128.97","477.67","514.63",""
"Romain Poirier","K1H","129.11","331.18","516.19",""
"Cyril Launay","K1H","130.89","438.02","536.02",""
"Ulysse Giel","K1H","133.17","487.29","561.43",""
"NaËl Rajoub","K1H","133.33","435.74","563.21",""
"Mathieu Minie","K1H","134.02","282.48","570.9",""
"Arthur Lagleyze","K1H","135.79","431.39","590.62",""
"Thomas Dieusaert","K1H","139.13","403.92","627.83",""
"Mathias Pannetier","K1H","140.3","519.15","640.87",""
"Sam Traquet","K1H","140.52","433.93","643.32",""
"Matisse Bourreau","K1H","141.11","551.29","649.89",""
"Thomas Riviere","K1H","141.26","-","651.56",""
"Maxime Goursaud","K1H","144.86","389.49","691.68",""
"Julien Brice","K1H","152.3","564.19","774.57",""
"Jack Nattrass","K1H","159.58","372.25","855.68",""
"Michel Daupeux","K1H","164.81","543.77","913.96",""
"Etienne Lewkowiez","K1H","166.79","626.86","936.02",""
"Leam Auffret","K1H","169.81","531.44","969.67",""
"Florent Brillant","K1H","173.27","-","1008.22",""
"Jerome Talbot","K1H","175.79","-","1036.3",""
"Robin Gonthier","K1H","177.22","599.66","1052.23",""
"Carl Rainaud","K1H","184.75","-","1136.13",""
"Benjamin Georges","K1H","188.37","-","1176.46",""
"Mattias Poirat","K1H","196.57","448.53","1267.83",""
"Clement Thevenin","K1H","202.7","728.16","1336.13",""
"Charley Sannier Durand","K1H","226.1","-","1596.85",""
"Corentin Bechu","K1H","237.98","505.11","1729.21",""
"LÉo Favrie","K1H","240.03","1076.77","1752.05",""
"Matthieu Roy","K1H","247.84","-","1839.07",""
"Lucas Bruimaud","K1H","374.28","695.52","3247.86",""
"Thomas Deguilhem","K1H","495.25","-","4595.7",""
"Xavier Auneau","K1H","Abd","-","-",""
"Anthony Penaud","K1H","Abd","-","-",""
"Remi Deborde","K1H","Abs","-","-",""
"Axel Delage","K1H","Abs","-","-",""
"Cameron Vardill-clark","K1H","Abs","-","-",""
"Philippe Niquet","K1H","Abs","-","-",""
"Thilbault Rucher","K1H","Abs","-","-",""
"Daniel Bregazzi","K1H","Abs","-","-",""
"Lucas Augu","K1HM","114.27","-","350.84",""
"Nils Venier","K1HM","129.18","-","516.97",""
"Tom Babin","K1HM","138.96","-","625.94",""
"Titouan Doreau","K1HM","141.42","-","653.35",""
"Tom Charles","K1HM","143.52","-","676.75",""
"Thimon Didier","K1HM","155.55","-","810.78",""
"Ugo David","K1HM","175.61","-","1034.29",""
"Clement Riera","K1HM","178.94","-","1071.39",""
"Tom Delens","K1HM","181.57","-","1100.7",""
"Arnaud Verrons","K1HM","184.14","-","1129.33",""
"Quentin Alcaras","K1HM","184.7","-","1135.57",""
"Theo Douady","K1HM","195.6","-","1257.02",""
"Theo Papin","K1HM","225.53","-","1590.5",""
"Louis Rathier","K1HM","259.01","-","1963.53",""
"Lucas Mesquita","K1HM","289.25","-","2300.46",""
"Clement Gillaizeau","K1HM","299.83","-","2418.34",""
"Victor Lagleyze","K1HM","316.86","-","2608.09",""
"Jacob Chaygneaud Dupuy","K1HM","398.43","-","3516.94",""
