"SELECTIF REGIONAL DE LA BOUTONNE - St Jean D'angely - 2002-12-15","Course 1","2002-12-15","Régional","137"
"L'haridon Olivier","K1H","174.11","243","313",""
"Clement Praille","K1H","174.43","308","316",""
"Debons Frederic","K1H","174.80","365","318",""
"Laurent Rigaud","K1H","176.16","345","327",""
"Nicolas Arnoult","K1H","176.16","333","327",""
"Deguil Alexandre","K1H","176.20","-","328",""
"Olivier Mourasse","K1H","176.28","252","328",""
"Philippe Niquet","K1H","177.36","289","335",""
"Jean-philippe Brothier","K1H","177.42","-","336",""
"Xavier Flatreau","K1H","177.85","366","339",""
"Nicolas Veillard","K1H","180.37","304","357",""
"Maelstaf Jeremy","K1H","181.07","-","362",""
"Erwan Desbordes","K1H","184.41","344","385",""
"Etienne Baudu","K1H","184.66","289","387",""
"Ducom Mathieu","K1H","184.67","384","387",""
"Julien Brouzes","K1H","184.99","306","389",""
"Erwan Le Pen","K1H","186.12","-","397",""
"Jean-francois Souville","K1H","186.62","318","401",""
"Legeay Thomas","K1H","187.45","-","407",""
"Chasseloup Christophe","K1H","187.91","293","410",""
"Olivier Tony","K1H","191.20","-","433",""
"David Peigne","K1H","193.80","-","451",""
"Damien Caillon","K1H","194.16","470","454",""
"Feuillet Etienne","K1H","195.66","-","464",""
"Paul Storez","K1H","195.72","594","465",""
"Szymocha Damien","K1H","197.46","-","477",""
"Thibaud Rottier","K1H","198.50","-","484",""
"Bouyat Alexandre","K1H","198.52","388","485",""
"Merzeau Michel","K1H","199.85","445","493",""
"Julien Signarbieux","K1H","203.35","386","519",""
"Bastien Pailler","K1H","204.49","454","526",""
"Yohann Courouble","K1H","205.90","449","536",""
"Lachenaud Jean","K1H","208.39","470","553",""
"Arnoult Jeanmichel","K1H","210.03","-","566",""
"Dardilhac Anthony","K1H","212.24","184","581",""
"Philippe Rocher","K1H","212.95","333","585",""
"Egreteau Thomas","K1H","214.59","-","598",""
"Romain Richard","K1H","215.49","535","603",""
"Bodin Francois","K1H","215.80","528","606",""
"Herve Launay","K1H","217.24","-","615",""
"Fallou Etienne","K1H","217.60","532","618",""
"Tristan Gaboriau","K1H","218.34","622","624",""
"Benoit Couturier","K1H","224.61","598","668",""
"Braud Mael","K1H","229.52","-","702",""
"Rouger Gael","K1H","236.88","648","754",""
"Delahaie Emmanuel","K1H","237.11","-","755",""
"Philippe Metran","K1H","238.78","391","767",""
"Jean-noel Biteau","K1H","239.89","407","775",""
"Francois Cauchi","K1H","241.74","717","788",""
"Chemineau Frederic","K1H","241.96","571","789",""
"Thibault Dufour","K1H","247.03","318","825",""
"Merrant Yves Gabriel","K1H","247.23","-","827",""
"Lecureuil Gregoire","K1H","253.18","-","868",""
"Antoine Michaud","K1H","254.35","-","877",""
"Lionel Blank","K1H","255.85","496","887",""
"Roger Jeremie","K1H","258.49","84","906",""
"Guillaume Scire","K1H","267.23","1068","967",""
"Duclos Maxime","K1H","269.05","-","980",""
"Pierrealexis Gabriel","K1H","275.18","608","1022",""
"Louis Cyril","K1H","278.29","-","1045",""
"Herve Maxime","K1H","286.40","-","1101",""
"Vanboktael Xavier","K1H","296.85","-","1174",""
"Dutilloy Jonas","K1H","299.21","-","1191",""
"Remy Faucon","K1H","299.90","487","1196",""
"Larribau Jean Daniel","K1H","306.20","-","1240",""
"Micouraud Yohan","K1H","309.09","-","1261",""
"Rocher Manuel","K1H","326.85","-","1386",""
"Nogues Tony","K1H","332.50","269","1425",""
"Villard Benoit","K1H","340.25","-","1480",""
"Brunet Andre","K1H","361.46","-","1628",""
"Gourdin Nicolas","K1H","438.74","-","2171",""
"Boutin Sebastien","K1H","660.64","-","3729",""
"Moigne Kevin","K1H","684.06","-","3894",""
"Marcelly Kevin","K1H","985.47","-","6011",""
