"SLALOM REGIONAL DE L'ISLE DE LA SERRE - Espace Eau Vive - Isle De La Serre - 2005-11-06","Course 1","2005-11-06","Régional","201"
"Marie Borlet","K1D","238.76","146","141",""
"Audrey Metz","K1D","240.87","161","151",""
"Zoe Anxionnaz","K1D","242.91","143","160",""
"Marlene Devillez","K1D","243.30","153","162",""
"Virginie Aubert","K1D","251.98","226","203",""
"Nouria Newman","K1D","252.48","222","205",""
"Bruet Amelie","K1D","261.12","219","247",""
"Fanny Mino-vercellio","K1D","263.01","168","256",""
"Anais Couturier","K1D","267.28","278","276",""
"Lefol Emline","K1D","268.79","388","283",""
"Audrey Astier Perret","K1D","270.90","220","294",""
"Barthelme Anne-France","K1D","272.17","169","300",""
"Nelly Tornare","K1D","274.75","24","312",""
"Michaela Daille","K1D","279.04","340","333",""
"Doby Julie","K1D","283.28","217","352",""
"Sylvie Metz","K1D","288.49","255","377",""
"Lucie Beaudet","K1D","290.15","367","385",""
"Leger Alicia","K1D","301.38","380","438",""
"Jihane Samlal","K1D","303.03","-","447",""
"Ninon Couturier","K1D","303.70","540","450",""
"Mignot Christelle","K1D","308.40","-","472",""
"Tiphanie Borlet","K1D","329.68","435","574",""
"Marie Bourgey","K1D","332.86","476","588",""
"Barbara Gibert","K1D","336.86","-","608",""
"Carine Chapuis","K1D","346.47","624","653",""
"Priscille Duruz","K1D","353.51","-","687",""
"Agnes Daille","K1D","363.19","-","733",""
"Helye Marie","K1D","407.08","540","942",""
"Delpouve Marie","K1D","411.48","532","963",""
"Aline Grosperrin","K1D","428.98","373","1046",""
"Crost Karine","K1D","474.26","773","1261",""
"Piot L'emeillet Juliette","K1D","496.54","-","1368",""
"Maugein Camille","K1D","565.18","871","1694",""
"Damien Boudet","K1H","198.63","40","72",""
"Davy Egraz","K1H","199.65","45","78",""
"Renaud Doby","K1H","203.36","34","98",""
"Thomas Monier","K1H","205.15","-","108",""
"Jules Bevalot","K1H","207.72","138","121",""
"Mathieu Doby","K1H","208.28","15","124",""
"Benjamin Travostino","K1H","209.10","133","129",""
"Kevin Schultz","K1H","209.83","126","133",""
"Hugo Hager","K1H","209.95","135","134",""
"Guillaume Provost","K1H","209.97","85","134",""
"Jonathan Chapatte","K1H","211.25","129","141",""
"Thomas Bersinger","K1H","214.29","127","156",""
"Andy Pajani","K1H","214.79","156","159",""
"Alexandre Schall","K1H","216.51","77","169",""
"Colliex Olivier","K1H","217.65","110","175",""
"Thomas Rosset","K1H","217.95","167","177",""
"Julien Tous","K1H","218.61","46","180",""
"Lemaire Maxime","K1H","218.83","157","181",""
"Bertrand Bercon","K1H","219.06","127","182",""
"Vincent Gerdeaux","K1H","219.27","-","184",""
"Astier Perret Vincent","K1H","221.80","-","197",""
"Dimitriou Alexandre","K1H","222.45","90","200",""
"Charles Edouard Dherment","K1H","222.54","154","201",""
"Sebastien Lepaulard","K1H","222.77","177","202",""
"Xavier Marie","K1H","222.84","202","202",""
"Boris Lutinier","K1H","223.71","146","208",""
"Etienne Daille","K1H","223.73","139","208",""
"Nicolas Detheve","K1H","224.22","-","211",""
"Pascal Ferry","K1H","225.07","177","215",""
"Olivier Hardonniere","K1H","225.46","183","217",""
"Jeremy Vibert","K1H","226.93","222","225",""
"Maxime Faivre","K1H","228.94","238","235",""
"Fabrice Madier","K1H","230.26","285","242",""
"Lebourgeois Alexis","K1H","230.98","198","247",""
"Mehdi Amini","K1H","231.29","178","249",""
"Cedric Mace","K1H","232.53","204","255",""
"Pascal Hunault","K1H","232.91","262","257",""
"Bonnot Aurélien","K1H","233.38","231","260",""
"Medjeberg Jeremy","K1H","233.59","216","261",""
"Chassain Nathael","K1H","234.47","342","265",""
"Martin Moreau","K1H","234.90","314","267",""
"Kevin Burgi","K1H","235.33","243","270",""
"Martelet Romain","K1H","236.73","235","277",""
"Jimy Bercon","K1H","237.76","256","282",""
"Collard Aurelien","K1H","238.70","-","288",""
"Nicolas Abbal","K1H","240.88","260","300",""
"Ballini Yoann","K1H","240.89","235","300",""
"Guillaume Gery","K1H","241.37","210","302",""
"Esnault Philippe","K1H","241.74","429","304",""
"Sebastien Swieton","K1H","242.69","-","309",""
"Yan Labeye","K1H","245.22","326","323",""
"Clement Martin","K1H","245.59","403","326",""
"Yoann Aupee","K1H","247.98","339","338",""
"Dalex Karl","K1H","248.29","310","340",""
"Vibert Guillaume","K1H","248.38","380","340",""
"Rety Simon","K1H","248.98","357","343",""
"Jules Domine","K1H","250.00","-","349",""
"Girardet Julien","K1H","250.38","367","351",""
"Crost David","K1H","250.46","-","351",""
"Antoine Vinay","K1H","252.73","373","363",""
"Cugnot Stephane","K1H","252.86","-","365",""
"Xavier Rat","K1H","252.92","315","365",""
"Antoine Devillez","K1H","253.71","313","369",""
"Remi Baudot","K1H","254.22","507","372",""
"Guillois Ugo","K1H","255.17","423","377",""
"Olivier Bourgey","K1H","256.62","318","384",""
"Alain Ferry","K1H","258.61","236","395",""
"Matthieu Basset","K1H","258.71","395","395",""
"Palix Lorin","K1H","258.76","366","396",""
"Lucas De Araujo","K1H","259.01","-","397",""
"Dougoud Adrien","K1H","259.06","450","397",""
"Laurent Wolf","K1H","261.14","368","409",""
"Cnapelynck Aurélien","K1H","262.87","748","418",""
"Vaudaine Antoine","K1H","263.94","-","424",""
"Dekerleau Sebastien","K1H","264.57","432","427",""
"Hugues Peyret","K1H","264.76","504","428",""
"Antoine Lhermite","K1H","265.30","-","431",""
"Romain Hager","K1H","266.05","424","435",""
"Enrick Cunsolo","K1H","266.26","-","436",""
"Nicolas Burgi","K1H","266.54","395","437",""
"Julien Beltrami","K1H","266.74","141","438",""
"Voindrot Quentin","K1H","266.82","-","439",""
"Youcef Bahlat","K1H","267.37","610","442",""
"Guilhem Courduries","K1H","267.87","468","445",""
"Luc Doye","K1H","268.04","116","446",""
"Hugo Cailhol","K1H","270.14","273","457",""
"Emmanuel Triomphe","K1H","270.45","337","459",""
"Benoit Fer","K1H","272.17","119","468",""
"Christophe Lacave","K1H","272.65","415","470",""
"Felix Balas","K1H","273.08","-","473",""
"Adrien Roussel","K1H","274.39","161","480",""
"Anthony Deschamps","K1H","274.46","707","480",""
"Marc Janeriat","K1H","275.17","-","485",""
"Zaki Yassine","K1H","275.26","662","485",""
"Martin Dougoud","K1H","275.62","382","487",""
"Dupriez Julien","K1H","276.41","628","491",""
"Bersinger Sylvain","K1H","278.07","188","500",""
"Yanis Burdet","K1H","279.12","588","505",""
"Jeremiah Mosch","K1H","280.74","152","514",""
"Lutinier Ugo","K1H","283.10","507","527",""
"Thomas Bouquet","K1H","284.03","627","532",""
"Romain Musy","K1H","286.34","579","544",""
"Morel Luc","K1H","288.56","-","556",""
"Gourmel Loic","K1H","290.32","-","566",""
"Kuntzinger Francis","K1H","291.55","-","572",""
"Papoz Bastien","K1H","293.07","-","580",""
"Thomas Rollot","K1H","297.78","260","606",""
"Thomas Burnoud","K1H","297.99","818","607",""
"Cabanes Berend","K1H","302.51","-","631",""
"Fatou Clement","K1H","313.06","542","688",""
"Pradeau Xavier","K1H","316.46","422","706",""
"Romey Marcantoine","K1H","316.95","-","709",""
"Marco Rodrigues","K1H","318.81","-","719",""
"Bergougnoux Anthony","K1H","319.00","991","720",""
"Anxionnaz Gildas","K1H","319.30","995","722",""
"Roman Duprey","K1H","324.55","448","750",""
"Labruyere Christophe","K1H","324.70","-","750",""
"Frederic Blanrue","K1H","339.69","-","831",""
"Dorian Perrin-mazier","K1H","345.71","558","863",""
"Laithier Francois","K1H","356.37","-","921",""
"Escrich Mickael","K1H","369.38","-","991",""
"Viard Antoine","K1H","374.91","-","1021",""
"Bizzo Sebastien","K1H","380.66","439","1052",""
"Gael Wassmer","K1H","383.89","-","1069",""
"Leigneil Julien","K1H","391.16","-","1108",""
"Jeremy Viquesnel","K1H","394.01","-","1124",""
"Pierre Berberat","K1H","433.99","734","1338",""
"Roland Aristide","K1H","485.30","565","1614",""
"Jeremy Pitton","K1H","490.50","882","1643",""
"Zanus Maxime","K1H","620.98","-","2345",""
"Kevin Callerin","K1H","740.56","-","2987",""
"Decortiat Arthur","K1H","857.48","-","3616",""
