"Finale N3 Nord Est - Les Iles Ménéfriers - 2002-05-25","Course 1","2002-05-25","Nationale 3","162"
"Vernotte Marion","K1D","329.32","451","557",""
"Bernachon Charlotte","K1D","335.79","433","586",""
"Freze Audray","K1D","428.65","351","1011",""
"Cochard Isabelle","K1D","478.38","599","1239",""
"Thenom Audrey","K1D","483.50","605","1262",""
"Sebastien Racault","K1H","221.22","258","214",""
"Nicolas Ciemniewski","K1H","223.13","260","224",""
"Julien Darees","K1H","229.66","257","258",""
"Di Lauro Maxime","K1H","230.34","239","262",""
"Florian Perenchio","K1H","233.79","285","280",""
"Yves Debailleul","K1H","233.85","279","280",""
"David Beyer","K1H","234.85","245","286",""
"Ciaran Heurteau","K1H","235.46","277","289",""
"De Berchen Sebastien","K1H","235.49","310","289",""
"Coiffe Florion","K1H","235.57","290","290",""
"Jerome Olhagaray","K1H","237.51","357","299",""
"Fayol Guillaume","K1H","238.48","316","305",""
"Thomas Michel","K1H","238.61","295","305",""
"Olivier Urbain","K1H","238.62","259","305",""
"Vernotte Vincent","K1H","239.56","285","311",""
"Stephane Rousse","K1H","239.69","245","311",""
"Prevot Xavier","K1H","240.36","360","314",""
"Jeremy Poux","K1H","240.90","251","317",""
"Frederic Tinchant","K1H","240.98","246","318",""
"Alexandre Guerinet","K1H","241.20","314","319",""
"Vincent Reiter","K1H","241.86","297","322",""
"Rumeau Martin","K1H","241.93","366","323",""
"Champmartin Michel","K1H","243.24","357","330",""
"Laroque Jeanchristophe","K1H","244.29","290","335",""
"Stephane Ferrignio","K1H","244.52","284","336",""
"Florian Gosselin","K1H","244.74","313","337",""
"Sebastien Serot","K1H","245.13","317","339",""
"Kudla Romain","K1H","246.48","336","347",""
"Viellard Amaury","K1H","247.10","323","350",""
"Lemoule Pierre","K1H","247.79","353","353",""
"Aurel Sebastien","K1H","247.88","371","354",""
"Guerin Alexandre","K1H","247.92","283","354",""
"Lemaire Maxime","K1H","248.25","268","356",""
"Nicolas Mangeolle","K1H","249.26","356","361",""
"Bruet Guillaume","K1H","249.28","349","361",""
"Ambiehl Fabrice","K1H","249.73","342","364",""
"Noble Aurelien","K1H","250.01","436","366",""
"Chantry Xavier","K1H","250.15","346","366",""
"Pierson Cyril","K1H","250.80","375","370",""
"Boehler Jean","K1H","250.84","335","370",""
"Nicolas Pinot","K1H","250.88","324","370",""
"Vieillard Alexis","K1H","251.33","492","372",""
"Pascal Marrec","K1H","251.38","307","372",""
"Frotey Alain","K1H","252.45","413","378",""
"Yoann Hautecloche","K1H","252.72","402","380",""
"Stephane Labouille","K1H","252.84","332","380",""
"Lacour Jerome","K1H","254.05","350","387",""
"Chiche Martin","K1H","254.62","358","389",""
"Thibaud Kudla","K1H","254.88","340","390",""
"Jodar Sebastien","K1H","255.20","458","392",""
"Machecourt Jerome","K1H","255.90","405","396",""
"Labouille Yannick","K1H","256.41","376","399",""
"Blondeau Julien","K1H","256.82","436","401",""
"Pouillard Quentin","K1H","257.15","382","403",""
"Arthur Georges","K1H","257.68","313","406",""
"Revelle Yohann","K1H","258.47","459","409",""
"Bastien Darcillon","K1H","259.37","510","414",""
"Pascal Garnier","K1H","260.49","397","421",""
"Hayot Sylvain","K1H","261.10","400","424",""
"Hubschwerlin Pierre","K1H","261.21","543","425",""
"David Sebastien","K1H","261.23","371","425",""
"Creuza Jeremy","K1H","263.28","428","435",""
"Malderez Sebastien","K1H","263.97","461","439",""
"Geoffroy Schwentzel","K1H","265.18","579","446",""
"Balducci Hugo","K1H","266.25","386","450",""
"Yann Le Guedard","K1H","268.02","402","460",""
"Knibbe Vivien","K1H","269.05","476","465",""
"Guillaume Huppert","K1H","270.02","455","470",""
"Stephane Sagnier","K1H","270.11","434","471",""
"Debruyere Benjamin","K1H","270.65","474","474",""
"Quentin Vallee","K1H","271.58","384","479",""
"Thenon Gregori","K1H","271.77","580","480",""
"Miler Thomas","K1H","271.82","574","480",""
"Christophe Benjamin","K1H","273.52","455","489",""
"Lejeune Olivier","K1H","273.57","485","489",""
"Levasseur Nicolas","K1H","274.28","492","493",""
"Hamann Damien","K1H","274.62","507","495",""
"Renaud Guy","K1H","275.78","449","501",""
"Dameron Antoine","K1H","279.78","562","522",""
"Malboze Jerome","K1H","280.04","576","523",""
"Douillot Nicolas","K1H","280.90","558","528",""
"Patrick Thevenin","K1H","281.97","441","533",""
"Eddy Cassard","K1H","282.33","456","535",""
"Tillet Jerome","K1H","283.01","594","539",""
"Viratelle Vincent","K1H","283.95","457","543",""
"Michel Baptiste","K1H","284.28","604","545",""
"Loustalot Anthony","K1H","284.75","630","548",""
"France Gregory","K1H","286.23","593","556",""
"Piermay Mathieu","K1H","290.77","299","579",""
"Alliaume Antoine","K1H","294.11","649","598",""
"Zimmermann Clement","K1H","294.70","487","600",""
"Eric Marmet","K1H","295.14","509","602",""
"Romain Buchot","K1H","295.47","604","604",""
"Eric Louis","K1H","296.74","543","611",""
"Feltin Johan","K1H","298.24","587","619",""
"Pascal Sallot","K1H","299.96","623","628",""
"Serra Thibault","K1H","302.34","701","640",""
"Hetier Louis","K1H","308.41","529","673",""
"Facchini Thomas","K1H","311.58","424","689",""
"Clouzeau Hugo","K1H","314.04","594","702",""
"Gacoin Stephane","K1H","320.27","368","735",""
"Pollet Manu","K1H","322.08","609","745",""
"Ronan Lucas","K1H","326.45","516","768",""
"Loic Monbel","K1H","327.19","580","771",""
"Pecheur Mathieu","K1H","329.34","491","783",""
"Brouillot Mathieu","K1H","334.47","440","809",""
"Ehlinger Robin","K1H","335.15","498","813",""
"Dallazuana Anthony","K1H","336.49","392","820",""
"Sarazin Emmanuel","K1H","342.72","305","853",""
"Drosseau Simon","K1H","361.31","718","951",""
"Ureta Stephane","K1H","363.41","545","961",""
"Zouaoui Jose","K1H","387.80","628","1091",""
"Lantenois Mickael","K1H","390.33","533","1104",""
"Cluet Mathieu","K1H","390.36","703","1104",""
"Senechal Alexis","K1H","402.51","648","1168",""
"Collinet Matthieu","K1H","437.65","510","1353",""
"Meunier Logan","K1H","437.95","783","1354",""
"Gilles Lucas","K1H","531.68","545","1847",""
