"Manche 1 de la Coupe de France Nationale 1 slalom - Roches Du Diable - Finale - 2016-02-20","Finale","2016-02-20","Nationale 1","140"
"Estelle Mangin","K1D","113.61","29.04","50.55","Finale A"
"Camille Prigent","K1D","113.86","47.54","52.56","Finale A"
"Marine Leveque","K1D","119.88","86.88","101.06","Finale A"
"Lucie Prioux","K1D","120.63","90.3","107.1","Finale A"
"Estelle Hellard","K1D","122.94","72.05","125.71","Finale A"
"Lucie Baudu","K1D","127.04","61.29","158.75","Finale A"
"Romane Prigent","K1D","127.27","116.32","160.59","Finale A"
"Joey Bercon","K1D","127.41","136.47","161.72","Finale A"
"Solene Graille","K1D","135.28","96.26","225.13","Finale A"
"Claire Gaigeot","K1D","191.4","115.23","677.26","Finale A"
"Vivien Colober","K1H","95.55","18.3","5.12","Finale A"
"Martin Dougoud","K1H","97.43","46.22","22.24","Finale A"
"Thomas Schmitt","K1H","98.25","79.36","29.7","Finale A"
"Sebastien Combot","K1H","98.83","14.33","34.98","Finale A"
"Benoit Guillaume","K1H","99","27.67","36.53","Finale A"
"Etienne Daille","K1H","101.25","34.35","57.01","Finale A"
"Clement Travert","K1H","101.59","68.88","60.11","Finale A"
"Renaud Doby","K1H","101.73","39.19","61.38","Finale A"
"Yves Prigent","K1H","101.79","28.39","61.93","Finale A"
"Ludovic Di Nisi","K1H","101.96","37.98","63.48","Finale A"
"Boris Chenal","K1H","102.32","68.19","66.75","Finale A"
"Mathieu Desnos","K1H","103.12","41.43","74.04","Finale A"
"Pierre Bourliaud","K1H","104.13","23.82","83.23","Finale A"
"Tom Scianimanico","K1H","104.44","52.92","86.05","Finale A"
"Antoine Launay","K1H","104.62","46.39","87.69","Finale A"
"Thomas Rosset","K1H","104.79","41.71","89.24","Finale A"
"Sami Rocher","K1H","105.07","80.35","91.79","Finale A"
"Titouan Dupras","K1H","106.02","124.75","100.44","Finale A"
"Mathurin Madore","K1H","106.51","72.34","104.9","Finale A"
"Bertrand Gutierrez","K1H","106.91","97.1","108.54","Finale A"
"Malo Quemeneur","K1H","107.26","73.08","111.73","Finale A"
"Gurgen Brun","K1H","108.43","95.07","122.38","Finale A"
"Edgar Prigent","K1H","110.68","104.32","142.86","Finale A"
"Janos Peterlin","K1H","111.41","38.14","149.51","Finale A"
"Pol Oulhen","K1H","111.48","52.49","150.14","Finale A"
"Guillaume Graille","K1H","151.22","76.61","511.93","Finale A"
"Mathys Huvelin","K1H","153.09","61.84","528.95","Finale A"
"Benjamin Jacon","K1H","214.63","99.01","1089.2","Finale A"
"Lucie Baudu","C1D","133.95","117.65","156.46","Finale B"
"Azenor Philip","C1D","148.61","172.5","267.68","Finale B"
"Charlotte Abba","C1D","149.1","317.95","271.4","Finale B"
"Laurine Naveau","C1D","153.46","159.02","304.47","Finale B"
"Margaux Henry","C1D","229.97","143.47","884.92","Finale B"
"Tiphaine Drouin","C1D","248.89","250.64","1028.45","Finale B"
"Angele Hug","C1D","281.78","229.79","1277.97","Finale B"
"Lucas Roisin","C1H","109.32","71.56","88.08","Finale B"
"Yves Bourhis","C1H","111.52","161.42","107.17","Finale B"
"Thomas Rosset","C1H","117.74","139.23","161.09","Finale B"
"Maxime Perron","C1H","119.53","83.48","176.61","Finale B"
"Alexandre Paulais","C1H","121.96","119.08","197.68","Finale B"
"Jason Brothier","C1H","122.23","83.57","200.02","Finale B"
"Renaud Doby","C1H","122.82","161.9","205.13","Finale B"
"Valentin Marteil","C1H","126.4","178.22","236.18","Finale B"
"Charly Chassigneux","C1H","126.77","138.78","239.38","Finale B"
"Antoine Gaillard","C1H","127.13","102.61","242.5","Finale B"
"Gael Le Noc","C1H","128.67","143.65","255.86","Finale B"
"Emilien Kempf","C1H","130.75","100.6","273.89","Finale B"
"Nathan Rene Corail","C1H","131.02","162.82","276.23","Finale B"
"Henri Despont","C1H","131.77","110.22","282.73","Finale B"
"Erwan Marchais","C1H","135.8","73","317.67","Finale B"
"Alexandre Cierocki","C1H","142.7","181.79","377.5","Finale B"
"Nicolas Labat-Christophe Marechal","C2H","139.84","197.86","297.59","Finale B"
"Alan Mahe-Matheo Lebaindre","C2H","141.28","310.01","309.51","Finale B"
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","148.25","265.53","367.2","Finale B"
"Valentin Marteil-Paul Cazee","C2H","152.55","298.78","402.78","Finale B"
"Melenn Aubry-Alan Dollo","C2H","200.68","248.82","801.11","Finale B"
"Nicolas Coudert-Yann Le Govic","C2H","380.57","223.77","2289.91","Finale B"
"Malo Poles-Baptiste Le Poncin","C2H","416.67","192.37","2588.68","Finale B"
"Flora Huvelin","K1D","124","69.09","139.26","Finale B"
"Berenice Kolenc","K1D","124.43","53.9","142.72","Finale B"
"Joana Palermo","K1D","130.96","114.33","195.33","Finale B"
"Lea Turmeau","K1D","131.34","137.66","198.39","Finale B"
"Laura Combot","K1D","134.07","94.14","220.38","Finale B"
"Lisa Mouffle","K1D","134.89","112.45","226.99","Finale B"
"Emeline Oudet","K1D","135.06","146.71","228.36","Finale B"
"Josepha Longa","K1D","141.58","79.09","280.88","Finale B"
"Julie Neime","K1D","170.62","101.1","514.84","Finale B"
"Agathe Chaumet","K1D","180.09","146.59","591.14","Finale B"
"Elise Pierron","K1D","188.49","176.66","658.81","Finale B"
"Benjamin Renia","K1H","97.51","25.71","27.96","Finale B"
"Yann Le Govic","K1H","98.93","42.86","40.89","Finale B"
"Quentin Mignard","K1H","100.3","98.96","53.36","Finale B"
"Martin Daviet","K1H","102.14","59.22","70.11","Finale B"
"Ewen Legrand","K1H","103.61","98.6","83.5","Finale B"
"Enrick Cunsolo","K1H","104.71","82.96","93.51","Finale B"
"Kevin Schultz","K1H","104.77","82.35","94.06","Finale B"
"Christophe Marechal","K1H","106.81","84.07","112.63","Finale B"
"Goulwen Chapelier","K1H","106.82","53.38","112.72","Finale B"
"William Desnos","K1H","107.31","85.44","117.18","Finale B"
"Charlie Barbier","K1H","108.14","117.49","124.74","Finale B"
"Pol Euzenes","K1H","108.22","131.62","125.46","Finale B"
"Louison Turmeau","K1H","108.53","82.75","128.29","Finale B"
"Pierre Hellard","K1H","109.03","83.14","132.84","Finale B"
"Nicolas Abbal","K1H","109.11","66.78","133.57","Finale B"
"Sebastien Nouvel","K1H","109.15","137.87","133.93","Finale B"
"Valentin Brindeau","K1H","111.46","142.91","154.96","Finale B"
"Pierre Giudicelli","K1H","112.55","110.43","164.88","Finale B"
"Maxime Bottex","K1H","112.72","89.24","166.43","Finale B"
"Romain Faurie","K1H","113.37","72.86","172.35","Finale B"
"Alexandre Lucas","K1H","113.67","119.25","175.08","Finale B"
"Thibault Marchand","K1H","113.85","85.7","176.72","Finale B"
"Jonas Turmeau","K1H","115.08","78.3","187.92","Finale B"
"Alan Dollo","K1H","117.44","105.96","209.4","Finale B"
"Paul Cornut-chauvinc","K1H","117.46","115.63","209.58","Finale B"
"Nicolas Baudoin","K1H","120.44","92.62","236.71","Finale B"
"Samuel Lhegu","K1H","125.79","92.02","285.42","Finale B"
"Kendaor Le Huitou","K1H","157.22","109.91","571.55","Finale B"
