"Sélectif Championnat National 2 Slalom - Stade D'eau Vive De Cesson - Qualification - 2017-03-05","Qualification","2017-03-05","Nationale 2","192"
"Melenn Aubry","C1H","121.62","253.52","312.06",""
"Alan Mahe","C1H","122.73","309.66","323.54",""
"Eludes Houillon","C1H","123.3","284.41","329.44",""
"Philippe Quemerais","C1H","124.45","339.59","341.33",""
"Luc Hellard","C1H","125.19","340.17","348.98",""
"Terence Saramandif","C1H","125.72","316.63","354.45",""
"Lorrie Delattre","C1H","126.75","312.4","365.11",""
"Medhi Deguil","C1H","126.89","348.94","366.56",""
"Theo Foucher","C1H","128.45","300.98","382.69",""
"Ronan Gouzien","C1H","129.18","319.77","390.24",""
"Frederic Boob","C1H","130.76","330.35","406.58",""
"Louis Bouclier","C1H","132.73","243.77","426.96",""
"Nicolas Bernardy","C1H","140.65","302.96","508.86",""
"Christian Boob","C1H","141.9","348.05","521.79",""
"Camille Fleuret","C1H","179.12","320.48","906.7",""
"Gaetan Hamelin","C1H","Abs","-","-",""
"Charly Chassigneux-Fabien Tournadre","C2H","129.48","-","332.48",""
"Christian Boob-Frederic Boob","C2H","132.99","302.68","367.13",""
"Hector Combes-Alexandre Ghirardi","C2H","134.51","424.57","382.13",""
"Hugo Regnier-Arthur Mizzi","C2H","137.3","328.77","409.67",""
"Lucas Augu-Terence Saramandif","C2H","140.18","495.73","438.1",""
"Alexis Collin-Alexandre Mathis","C2H","142.27","335.35","458.73",""
"Anthony Thuillier-Benjamin Thiboust","C2H","142.64","-","462.39",""
"Florian Busson-Alex Louveau","C2H","143.26","387.95","468.5",""
"Emilien Kempf-Silvere Desongins","C2H","143.31","383.72","469",""
"Nicolas Coudert-Fabien Le Nechet","C2H","144.6","345.3","481.74",""
"Julien Paulais-Quentin Robin","C2H","Abs","-","-",""
"Eloi Seemann-Charles Bre","C2H","Abs","-","-",""
"Emilie Chamouleau-Christophe Marechal","C2M","149.78","279.38","409.66",""
"Nicolas Bernardy-Anais Bernardy","C2M","159.89","385.4","501.15",""
"Cedric Forgit-Marie Charbonneau","C2M","164.68","422.54","544.48",""
"Tiphaine Drouin-Benjamin Harreau","C2M","164.74","433.03","545.03",""
"Christophe Billaud-Elodie Delavelle","C2M","167.63","369.64","571.19",""
"Sophie Colbus-Johann Thevenin","C2M","174.67","386.68","634.88",""
"Tiphaine Duboc","K1D","115.92","190.51","168.24",""
"Alice Azam","K1D","118.37","237.28","191.78",""
"Anne Boixel","K1D","118.8","235.76","195.92",""
"Lise Vinet","K1D","120.53","-","212.54",""
"Viviana Daille","K1D","123.25","167.86","238.68",""
"Morgane Quemerais","K1D","124.55","238.94","251.16",""
"Lucie Cecile","K1D","125.43","215.08","259.62",""
"Marie Hilger","K1D","125.6","291.15","261.25",""
"Sarah Lyphout","K1D","126.51","289.72","270",""
"Angelique Guilcher","K1D","127.18","239.62","276.44",""
"Emilie Delahaye","K1D","127.79","267.5","282.3",""
"Emilie Chamouleau","K1D","128.24","275.69","286.63",""
"Alexane Galmiche","K1D","128.85","230.61","292.49",""
"Sophie Colbus","K1D","130.26","240.54","306.03",""
"Amaurie Guilleret","K1D","130.6","266.51","309.3",""
"Phenicia Dupras","K1D","130.75","273.88","310.75",""
"Elodie Delavelle","K1D","133.14","291.18","333.71",""
"Rozenn Le Page","K1D","133.44","222.89","336.59",""
"Clothilde Le Louarn","K1D","135.62","320.1","357.55",""
"Coline Bertin","K1D","136.31","291.12","364.17",""
"Auregane Philip","K1D","136.54","289.82","366.39",""
"Manon Durand","K1D","137.39","446.6","374.55",""
"Jeanne Bernard","K1D","137.5","336.69","375.61",""
"Marion Grangeon","K1D","137.82","295.97","378.69",""
"Zoe Bruchon","K1D","137.83","274.16","378.78",""
"Justine Clerc","K1D","138.3","318.04","383.29",""
"Maela Le Corre","K1D","138.67","344.78","386.86",""
"Lea Grison","K1D","138.67","268.51","386.86",""
"Camille Hurez","K1D","142.35","301.29","422.21",""
"Tiphaine Drouin","K1D","142.82","351.07","426.73",""
"Alicia Gallot","K1D","144.47","295.12","442.59",""
"Ilhame Siraj","K1D","144.87","332.05","446.44",""
"Marianne Bercon","K1D","144.98","322.62","447.49",""
"Tifenn Primet","K1D","145.16","357.84","449.22",""
"Adele Charlaigre","K1D","146.07","337.21","457.96",""
"Leontine Dubuisson","K1D","149.34","342.15","489.39",""
"Lucie Bercon","K1D","149.79","367.65","493.72",""
"Sylviane Quemerais","K1D","149.86","376.43","494.38",""
"Eva Dauvergne","K1D","152.43","308.49","519.08",""
"Sophie Dupas","K1D","152.45","329.4","519.27",""
"Emma Jacob","K1D","156.02","363.73","553.58",""
"Jade Robin","K1D","163.9","312.63","629.3",""
"Corentin Monasse","K1H","101.78","243.74","159.51",""
"Theo Foucher","K1H","103.67","168.27","180.03",""
"Laurent Starck","K1H","104.15","175.68","185.24",""
"Malo Legrand","K1H","104.18","210.86","185.57",""
"Benjamin Thiboust","K1H","104.2","188.23","185.78",""
"Joris Schaffner","K1H","105.41","243.74","198.92",""
"Florian Busson","K1H","105.99","207.75","205.22",""
"Anthony Mottais","K1H","106.08","230.02","206.2",""
"Pierre Audouin","K1H","106.34","248.97","209.02",""
"Matheo Lebaindre","K1H","106.45","175.68","210.22",""
"Steven Henry","K1H","106.55","278.77","211.3",""
"Anthony Drouhin","K1H","106.59","204.03","211.74",""
"Nicolas Feuillard","K1H","106.86","187.63","214.67",""
"Anthony Thuillier","K1H","107.09","197.8","217.17",""
"Lucas Galmiche","K1H","107.41","164.15","220.64",""
"Fabien Tournadre","K1H","107.55","183.12","222.16",""
"Simon Hene","K1H","107.91","226.93","226.07",""
"Christophe Marechal","K1H","107.92","147.29","226.18",""
"Pol Euzenes","K1H","108.17","125.58","228.89",""
"Thibaud Lacour","K1H","108.17","191.64","228.89",""
"Erwan Rouch","K1H","108.45","230.43","231.93",""
"Aaron Penning","K1H","108.52","175.18","232.69",""
"Jerome Olhagaray","K1H","108.92","171.08","237.04",""
"Andreas Dupuy","K1H","109.48","259.27","243.12",""
"Xavier Jourdain","K1H","109.71","181.27","245.62",""
"Nicolas Mevel","K1H","110.09","188.97","249.74",""
"Yann Zaepffel","K1H","110.27","258.74","251.7",""
"Alan Mahe","K1H","110.42","210.42","253.33",""
"Johann Loiseau","K1H","110.58","218.32","255.06",""
"Nicolas Coudert","K1H","110.71","215.06","256.47",""
"Benjamin Harreau","K1H","110.79","243.52","257.34",""
"Valentin Brindeau","K1H","110.97","149.15","259.3",""
"Nathan Flageul","K1H","111.15","224.74","261.25",""
"Aubry Bertin","K1H","111.18","244.62","261.58",""
"Maxime Foucault","K1H","111.21","241.93","261.9",""
"Herve Busson","K1H","111.6","226.22","266.14",""
"Samuel Lhegu","K1H","111.82","112.64","268.53",""
"Hugo Simon","K1H","111.86","241.92","268.96",""
"Johan De Mareuil","K1H","112.06","188.09","271.13",""
"Jeanmichel Regnier","K1H","112.42","288.79","275.04",""
"Julien Dosse","K1H","112.5","271.95","275.91",""
"Luc Hellard","K1H","113.43","221.3","286.01",""
"Nicolas Mangeolle","K1H","113.8","270.08","290.03",""
"Yves Bourhis","K1H","114.18","215.52","294.15",""
"Benjamin Dodane","K1H","114.25","218.85","294.92",""
"Youn Aubry","K1H","114.28","236.84","295.24",""
"Lucas Jacob","K1H","114.3","240.74","295.46",""
"Nicolas Rouleaud","K1H","114.4","192.61","296.54",""
"Denis Guilmard","K1H","114.44","253.8","296.98",""
"Paul Gestin","K1H","114.72","252.47","300.02",""
"Romain Branjauneau","K1H","115.37","257.38","307.08",""
"Antoine Saul","K1H","115.5","245.18","308.49",""
"Quentin Robin","K1H","115.51","276.02","308.6",""
"Robin Pilard","K1H","115.61","228.75","309.68",""
"Jean Charles Hacquart","K1H","115.62","239.28","309.79",""
"Arthur Mizzi","K1H","115.96","224.1","313.48",""
"Hugo Regnier","K1H","115.96","165.81","313.48",""
"Nathan Boudaillez","K1H","116.08","243.96","314.79",""
"Cedric Jegouzo","K1H","116.09","174.13","314.9",""
"Julien Fougeron","K1H","116.7","281.44","321.52",""
"Loic Thielen","K1H","117.03","314.44","325.1",""
"Pierre Bourdet","K1H","117.3","244.14","328.03",""
"Gwenael Marquer","K1H","118.05","299.21","336.18",""
"Lucas Augu","K1H","118.31","257.27","339",""
"Simon Dubosc","K1H","119.38","253.82","350.62",""
"Thomas Brochard","K1H","119.45","280.56","351.38",""
"Dorian Ollivier","K1H","119.5","278.45","351.92",""
"Franck Delachair","K1H","120.63","294.72","364.19",""
"Silvere Desongins","K1H","120.66","251.94","364.52",""
"Quentin Le Duc","K1H","123.15","263.95","391.56",""
"Malo Le Paih","K1H","123.53","306.62","395.68",""
"Yohan Marck","K1H","124.56","257.14","406.87",""
"Lorin Dumont","K1H","125.74","265.21","419.68",""
"Jonas Godevin","K1H","125.76","226.23","419.9",""
"Timothee Le Mort","K1H","127.09","273.99","434.34",""
"Jeremy Lecollinet","K1H","128.15","312.37","445.85",""
"David Mingasson","K1H","156.99","220.2","759.02",""
"Luca Dos Santos","K1H","160.74","166.09","799.74",""
"Remi Vinet","K1H","162.67","188.76","820.7",""
"Alex Louveau","K1H","164.68","246.85","842.53",""
"Emeric Bussonnais","K1H","175.95","237.23","964.9",""
"Clement Le Collinet","K1H","176.87","202.81","974.89",""
"Florient Tagnon","K1H","287.57","236.49","2176.97",""
"Romain Guyomard","K1H","Abs","-","-",""
