"Compétition Régionale de Slalom - Ruelle Sur Touvre - Finale - 2015-06-07","Finale","2015-06-07","Régional","154"
"Valentin Alliot","K1H","123.63","237.19","411.91","Finale A"
"Maxence Merpillat","K1H","124","355.3","416.04","Finale A"
"Keliann Le Breton","K1H","139.14","384.91","585.08","Finale A"
"Maxime Texier","K1H","178.23","180.54","1021.53","Finale A"
"Tanguy Zaninotto","K1HM","123.9","-","-","Finale A"
"Matheo Gillaizeau","K1HM","126","-","-","Finale A"
"Henri Chenu","K1HM","128.62","-","-","Finale A"
"Sam Traquet","K1HM","129.94","-","-","Finale A"
"Julien Brice","K1HM","135.25","-","-","Finale A"
"Violaine Vennin","C1D","152.68","-","457.14","Finale B"
"Maeva Conchon","C1D","184.62","-","754.32","Finale B"
"AdÈle Aguesseau","C1D","186.14","851.73","768.47","Finale B"
"Margaux Longeau","C1D","192.59","-","828.48","Finale B"
"Adrien Roux","C1H","128.85","478.08","406.68","Finale B"
"Clement Jouannaud","C1H","133.12","418.44","452.09","Finale B"
"Fabrice Lacoudre","C1H","135.73","476.49","479.85","Finale B"
"Valentin Alliot","C1H","143.35","-","560.88","Finale B"
"Etienne Chauvin","C1H","144.76","401.33","575.87","Finale B"
"Florentin Saumon","C1H","145.84","528.92","587.35","Finale B"
"Cyril Launay","C1H","158.44","570.05","721.33","Finale B"
"Julien Beneteau","C1H","158.93","-","726.54","Finale B"
"Gregory Menuat","C1H","159.45","-","732.07","Finale B"
"Collin Pouradier","C1H","167.62","881.13","818.95","Finale B"
"Thilbault Rucher","C1H","174.14","-","888.28","Finale B"
"Mathias Pannetier","C1H","189.52","478.09","1051.82","Finale B"
"Nicolas Mousset","C1H","191.17","-","1069.37","Finale B"
"Maxime Texier","C1H","Abs","-","-","Finale B"
"Yann Le Bourser-Maela Le Corre","C2M","166.2","-","582.94","Finale B"
"Zeph Scamps-Margaux Longeau","C2M","213.63","-","1024.24","Finale B"
"Zoe Huet-Keliann Le Breton","C2M","220.3","-","1086.3","Finale B"
"Armelle Canali","K1D","135.4","332.21","374.41","Finale B"
"Amelie Perier","K1D","135.48","380.48","375.2","Finale B"
"Maeva Conchon","K1D","146.51","539.34","484.18","Finale B"
"Barbara Lassechere","K1D","147.4","406.74","492.97","Finale B"
"AdÈle Aguesseau","K1D","149.8","531.08","516.68","Finale B"
"Noemie Poitou","K1D","152.09","505.8","539.32","Finale B"
"Soline Delage","K1D","152.15","-","539.91","Finale B"
"Margaux Longeau","K1D","154.91","693.14","567.18","Finale B"
"Angelique Chasseriault","K1D","171.25","-","728.63","Finale B"
"Maxime Goursaud","K1H","119.88","-","375.04","Finale B"
"Yann Le Bourser","K1H","120.69","363.92","384.09","Finale B"
"Alexis Dorey","K1H","123.12","303.29","411.22","Finale B"
"Benjamin Harreau","K1H","123.71","401.34","417.81","Finale B"
"Shaun Douglas","K1H","124.08","499.97","421.94","Finale B"
"Quentin Robin","K1H","124.87","403.14","430.76","Finale B"
"Emile Laurent","K1H","128.07","454.15","466.49","Finale B"
"Arthur Lagleyze","K1H","128.45","493","470.73","Finale B"
"Frederic Debons","K1H","129.75","-","485.24","Finale B"
"Wilfried Truffy","K1H","129.98","470.52","487.81","Finale B"
"Thair Benzougar","K1H","130.34","458.96","491.83","Finale B"
"Sylvain Decombe","K1H","130.35","513.58","491.94","Finale B"
"NaËl Rajoub","K1H","130.42","524.24","492.72","Finale B"
"Tom Genest","K1H","131.06","431.27","499.87","Finale B"
"Guillaume Chasseriault","K1H","131.5","-","504.78","Finale B"
"Yanis Koubaiti","K1H","131.61","529","506.01","Finale B"
"Cyril Launay","K1H","131.65","368.95","506.46","Finale B"
"Mattias Poirat","K1H","131.81","573.68","508.24","Finale B"
"Mathias Pannetier","K1H","134.23","521.26","535.26","Finale B"
"Leo Aranda","K1H","135.31","535.19","547.32","Finale B"
"Collin Pouradier","K1H","135.64","597.62","551.01","Finale B"
"Antoine Bougette","K1H","135.77","528.19","552.46","Finale B"
"Jean-noel Biteau","K1H","138.27","623.54","580.37","Finale B"
"Cameron Vardill-clark","K1H","138.8","-","586.29","Finale B"
"Matisse Bourreau","K1H","138.95","559.36","587.96","Finale B"
"Raphael Jean","K1H","141.29","497.22","614.09","Finale B"
"Thilbault Rucher","K1H","148.9","580.2","699.06","Finale B"
"Romain Caburol","K1H","153.34","1258.37","748.63","Finale B"
"Eric Pouradier","K1H","154.49","745.03","761.47","Finale B"
"Morgan Deneuvy","K1H","155.86","749.78","776.77","Finale B"
"Nicolas Mousset","K1H","197.95","909.13","1246.71","Finale B"
"Thibault Beneteau","K1H","199.67","-","1265.91","Finale B"
"Christophe Joubert","K1H","Abs","-","-","Finale B"
"Tom Babin","K1HM","137.25","-","-","Finale B"
"Thimon Didier","K1HM","143.5","-","-","Finale B"
"Eliott Rossignol","K1HM","254.85","-","-","Finale B"
