"50ème Grand Prix de Pau - 64320 Bizanos - Course n°1 | Finale - 2020-09-05","Course n°1 | Finale","2020-09-05","Régional","248"
"Clement Laureys","K1H","443.2","853.75","4845.72","Course n°1 | Finale B"
"Bruno Lecomte","K1H","466.61","1192.26","5151.4","Course n°1 | Finale B"
"Boris Le Jolly","K1H","526.35","859.53","5931.46","Course n°1 | Finale B"
"Jean Yves Courtiade","K1H","Abs","-","-","Course n°1 | Finale B"
"Killian Le Blay","K1H","Des","-","-","Course n°1 | Finale B"
"Theo Haulbert","K1H","Des","-","-","Course n°1 | Finale B"
"Jules Maitre","K1H","Abd","-","-","Course n°1 | Finale B"
"Yuha Egraz","K1HM","118.67","539.7","608.16","Course n°1 | Finale B"
"Ylian Dubly","K1HM","163.3","928.87","1190.92","Course n°1 | Finale B"
"Camille Luciotto Ribeiro","K1HM","166.97","632.14","1238.84","Course n°1 | Finale B"
"Leo Theil","K1HM","187.28","879.4","1504.04","Course n°1 | Finale B"
"Maei Pontaut","K1HM","212.2","932.46","1829.43","Course n°1 | Finale B"
"Axel Galtie Meyer","K1HM","228.72","1355.1","2045.14","Course n°1 | Finale B"
"Florian Latapiebayroo","K1HM","336.28","946.01","3449.61","Course n°1 | Finale B"
"Natanael Perilhou","K1HM","448.71","1951.74","4917.67","Course n°1 | Finale B"
"Nathan Caprice Michaux","K1HM","Abd","-","-","Course n°1 | Finale B"
