"Slalom Régional - Championnat Départemental - St Brieuc - 2005-10-16","Course 1","2005-10-16","Régional","131"
"Guelou Typhaine","K1D","290.85","-","417",""
"Charlene Le Corvaisier","K1D","292.74","404","426",""
"Deborah Larsonneur","K1D","293.50","518","429",""
"Bertho Laura","K1D","294.34","551","433",""
"Camille Le Coq","K1D","294.42","577","434",""
"Herlido Camille","K1D","299.23","-","457",""
"Baradel Anne","K1D","301.64","-","468",""
"Nolwen Jouan","K1D","301.90","-","469",""
"Cyrielle Pichard","K1D","303.93","565","479",""
"Chevalier Yvane","K1D","309.06","479","504",""
"Jouan Gaelle","K1D","352.23","-","712",""
"Morvan Lucie","K1D","354.84","-","724",""
"Le Bihan Marion","K1D","399.12","-","937",""
"Jegou Justine","K1D","487.56","-","1361",""
"Pierre Marie Roussel","K1H","213.86","154","180",""
"Anthony Cadoret","K1H","218.31","180","205",""
"Lionel Tinevez","K1H","220.99","175","219",""
"Laurent Le Touze","K1H","224.52","100","238",""
"Nicolas Carduner","K1H","225.57","192","244",""
"Melaine Pichard","K1H","232.66","262","283",""
"Gwenael Marquer","K1H","233.04","232","285",""
"Emeric Bertrand","K1H","234.48","-","293",""
"Marc Jonathan","K1H","234.57","-","293",""
"Franck Delachair","K1H","235.12","187","296",""
"Alain Droniou","K1H","235.18","233","296",""
"Romain Guyomard","K1H","235.43","213","298",""
"Patrick Jegou","K1H","236.66","283","304",""
"Corbeau Benjamin","K1H","239.45","331","319",""
"Guillaume Huppert","K1H","241.58","317","331",""
"Regis Cabel","K1H","242.86","269","338",""
"Le Troadec Brendan","K1H","243.11","328","339",""
"Cozigou Edouard","K1H","244.84","233","348",""
"Solen Le Bourles","K1H","245.43","407","352",""
"Francois Adam","K1H","246.03","-","355",""
"Melen Pilorge","K1H","247.18","416","361",""
"Le Bouder Emilien","K1H","248.86","370","370",""
"Houel Nicolas","K1H","249.85","472","375",""
"Sebastien Gautier","K1H","250.02","-","376",""
"Pierre Le Clezio","K1H","251.55","365","385",""
"Pannetier Brice","K1H","251.67","356","386",""
"Ollivier Riwal","K1H","253.12","374","394",""
"Boris Pernelle","K1H","254.57","-","402",""
"Martin Fabien","K1H","254.87","388","403",""
"Beguinel Simon","K1H","256.23","593","411",""
"Mahe Alan","K1H","257.29","-","416",""
"William Desnos","K1H","259.02","-","426",""
"Le Carrer Yann","K1H","259.45","-","428",""
"Benoit Ricard","K1H","259.84","-","430",""
"Jean Messialle","K1H","260.72","511","435",""
"Benoit Guillaume","K1H","264.35","69","454",""
"Simon Joseph","K1H","265.46","383","460",""
"Priol Yoann","K1H","268.16","460","475",""
"Le Jacques François","K1H","270.96","535","491",""
"Verre Brendan","K1H","271.85","507","495",""
"Alain Le Moel","K1H","272.82","-","501",""
"William Basset","K1H","276.55","512","521",""
"Emmanuel L'anton","K1H","278.64","562","532",""
"Hugo Le Guennic","K1H","279.25","-","535",""
"Frederi Mahieu","K1H","280.52","472","542",""
"Pierreyves Hellard","K1H","281.28","589","546",""
"Le Bescaut Jean","K1H","282.75","-","554",""
"Guirec Le Guen","K1H","288.43","-","586",""
"Erwan Le Guevel","K1H","289.43","-","591",""
"Tangui Quemeneur","K1H","291.66","-","603",""
"Alexandre Rivolet","K1H","293.54","583","613",""
"Le Roux Vincent","K1H","293.61","614","613",""
"Fejean Benjamin","K1H","293.77","-","614",""
"David Julou","K1H","296.07","869","627",""
"Le Jeune Gaëtan","K1H","297.76","-","636",""
"Samson Amael","K1H","299.42","-","645",""
"Le Crom Yoann","K1H","299.44","-","645",""
"Lepetit Morgann","K1H","304.40","-","671",""
"Perrot Vincent","K1H","310.86","-","707",""
"Le Bonte Bastien","K1H","312.36","-","715",""
"Simon Kevin","K1H","319.45","-","753",""
"Clement Tanguy","K1H","319.68","-","754",""
"Guillaouet Yoann","K1H","323.55","-","775",""
"Nicolas Jeanphilippe","K1H","326.31","-","791",""
"Pontis Alexis","K1H","338.01","-","854",""
"Nicolas Romain","K1H","343.83","649","886",""
"Geist Damien","K1H","348.98","-","914",""
"Christophe Mitchell","K1H","367.91","-","1017",""
"Delattre Simon","K1H","405.42","-","1220",""
"Clement Lucas","K1H","426.71","-","1335",""
"Tichani Marwan","K1H","429.49","-","1350",""
"Panel Sebastien","K1H","545.06","-","1977",""
