"Sélectif Régional - Yenne - Course 1 | Finale - 2014-06-14","Course 1 | Finale","2014-06-14","Régional","113"
"Lea Wetzel","K1D","123.77","96.74","199.45","Course 1 | Finale A"
"Marine Schmitt","K1D","124.72","131.74","208.56","Course 1 | Finale A"
"Mylene Ferry","K1D","125.84","146.91","219.3","Course 1 | Finale A"
"Viviana Daille","K1D","129.58","238.4","255.16","Course 1 | Finale A"
"Jenny Chevalier","K1D","144.82","293.94","401.28","Course 1 | Finale A"
"Hind Jamili","K1D","152.32","288.1","473.19","Course 1 | Finale A"
"Pierre Bourliaud","K1H","97.49","22.81","68.98","Course 1 | Finale A"
"Boris Chenal","K1H","99.09","65.76","86.32","Course 1 | Finale A"
"Martin Dougoud","K1H","101.17","62.38","108.85","Course 1 | Finale A"
"Jimy Bercon","K1H","101.42","36.54","111.56","Course 1 | Finale A"
"Jonathan Chapatte","K1H","102.61","100.93","124.46","Course 1 | Finale A"
"Aubry Bertin","K1H","108.77","89.74","191.2","Course 1 | Finale A"
"Titouan Dupras","K1H","108.79","139.18","191.42","Course 1 | Finale A"
"Paul Cornut-chauvinc","K1H","108.95","230.33","193.15","Course 1 | Finale A"
"Antoine Gaillard","K1H","109.66","149.42","200.84","Course 1 | Finale A"
"Gregoire Guerin","K1H","109.75","183.11","201.82","Course 1 | Finale A"
"Arnaud Gallois","K1H","109.89","197.85","203.34","Course 1 | Finale A"
"Alexandre Lismonde","K1H","110.94","230.77","214.71","Course 1 | Finale A"
"Vincent Gerdeaux","K1H","111.31","205.98","218.72","Course 1 | Finale A"
"Jean Philippe Winiarski","K1H","111.65","189.62","222.4","Course 1 | Finale A"
"Maxime Bottex","K1H","111.9","109.86","225.11","Course 1 | Finale A"
"Erwan Cadio","K1H","112.66","185.8","233.35","Course 1 | Finale A"
"Olivier Hardonniere","K1H","118","281.01","291.21","Course 1 | Finale A"
"Jan Kaspar","K1H","118.52","-","296.84","Course 1 | Finale A"
"Charles Fernandes De Oliveira","K1H","120.95","269.47","323.17","Course 1 | Finale A"
"Yann Zaepffel","K1H","121.55","380.82","329.67","Course 1 | Finale A"
"Tom Deconchy","K1H","128.91","379.09","409.42","Course 1 | Finale A"
"Enzo Seker","K1H","200.65","128.37","1186.72","Course 1 | Finale A"
"Julien Beltrami","K1H","223.38","250.54","1433","Course 1 | Finale A"
"Sylvain Dandel","K1H","270.34","129.24","1941.82","Course 1 | Finale A"
"Sebastien De Kerleau","C1H","104.94","36.68","100.56","Course 1 | Finale B"
"Stephane Abadie","C1H","122.96","256.36","286.51","Course 1 | Finale B"
"Jean Baptiste Lismonde","C1H","131.02","368.14","369.68","Course 1 | Finale B"
"Loic Burlet","C1H","157.15","524.96","639.32","Course 1 | Finale B"
"Boris Rostaing","C1H","158.92","-","657.58","Course 1 | Finale B"
"Gregoire Guerin","C1H","203.62","-","1118.85","Course 1 | Finale B"
"Tomy Ly","C1H","270.32","873.82","1807.13","Course 1 | Finale B"
"Joseph Risson","C1H","513.19","-","4313.32","Course 1 | Finale B"
"Charles Fernandes De Oliveira","C1H","Nt","-","-","Course 1 | Finale B"
"Jean Philippe Roche","C1H","Nt","-","-","Course 1 | Finale B"
"Adrien Fischer","C1HM","525.24","-","-","Course 1 | Finale B"
"Jules Bernardet","C1HM","Nt","-","-","Course 1 | Finale B"
"Joseph Risson-Boris Rostaing","C2H","254.28","-","1522.34","Course 1 | Finale B"
"Paul Cornut-chauvinc-Romain Gayral","C2H","300","-","1972.68","Course 1 | Finale B"
"Sylvain Dandel-Vincent Gerdeaux","C2H","Nt","-","-","Course 1 | Finale B"
"Raphaelle Hovine-Matthieu Basset","C2M","152.1","-","391.01","Course 1 | Finale B"
"Laure Castel-Alexandre Lismonde","C2M","158.27","-","446.73","Course 1 | Finale B"
"Loic Burlet-Patricia Raspaut","C2M","274.07","-","1492.31","Course 1 | Finale B"
"Raphaelle Hovine","K1D","133.35","220.26","296.3","Course 1 | Finale B"
"Marie-amelie Jullien","K1D","142.51","386.85","384.13","Course 1 | Finale B"
"Marine Izac","K1D","144.44","433.15","402.64","Course 1 | Finale B"
"Coline Bertin","K1D","149.1","455.2","447.32","Course 1 | Finale B"
"Carine Chapuis","K1D","151.18","-","467.27","Course 1 | Finale B"
"Laure Castel","K1D","171.04","-","657.7","Course 1 | Finale B"
"Sarah Monod","K1D","266.49","-","1572.92","Course 1 | Finale B"
"Pauline Desmaris","K1D","310.32","-","1993.18","Course 1 | Finale B"
"Patricia Raspaut","K1D","636.68","-","5122.51","Course 1 | Finale B"
"Tifenn Primet","K1DM","190.65","-","-","Course 1 | Finale B"
"Eva Bard","K1DM","265.21","-","-","Course 1 | Finale B"
"Pascal Ferry","K1H","109.12","152.46","199.99","Course 1 | Finale B"
"Axel Kournwsky","K1H","112.89","215.52","240.84","Course 1 | Finale B"
"Louis Masson","K1H","113.36","211.39","245.93","Course 1 | Finale B"
"Sebastien Lepaulard","K1H","116.77","271.41","282.88","Course 1 | Finale B"
"Boris Rostaing","K1H","126.27","472.84","385.81","Course 1 | Finale B"
"Lucas Barriere","K1H","126.76","421.38","391.12","Course 1 | Finale B"
"Matteo Licoine","K1H","129.78","409.47","423.84","Course 1 | Finale B"
"Mathurin Garnier","K1H","131.67","339.31","444.32","Course 1 | Finale B"
"Valentin Bonnot","K1H","132.63","399.89","454.72","Course 1 | Finale B"
"Benjamin Dodane","K1H","134.34","413.34","473.25","Course 1 | Finale B"
"Matthieu Rousseau","K1H","137.12","459.66","503.37","Course 1 | Finale B"
"Emerick Billon","K1H","138.85","-","522.12","Course 1 | Finale B"
"Jean Baptiste Lismonde","K1H","139.35","-","527.54","Course 1 | Finale B"
"Benoit Renaudier","K1H","139.8","-","532.41","Course 1 | Finale B"
"Jean Philippe Roche","K1H","141.44","442.21","550.18","Course 1 | Finale B"
"Joseph Risson","K1H","141.95","636.92","555.71","Course 1 | Finale B"
"Emmanuel Lanchais","K1H","148.42","-","625.81","Course 1 | Finale B"
"Francois Lecuit","K1H","150.03","-","643.25","Course 1 | Finale B"
"Romain Gayral","K1H","150.42","-","647.48","Course 1 | Finale B"
"Matthieu Basset","K1H","162.5","194.53","778.37","Course 1 | Finale B"
"Olivier Barriere","K1H","176.21","322.88","926.92","Course 1 | Finale B"
"Marc Jungling","K1H","187.65","-","1050.87","Course 1 | Finale B"
"Loic Burlet","K1H","269.4","-","1936.63","Course 1 | Finale B"
"Jimmy Ly","K1HM","133.32","-","-","Course 1 | Finale B"
"Adrien Fischer","K1HM","141.98","-","-","Course 1 | Finale B"
"Armand Lombardot","K1HM","166.36","-","-","Course 1 | Finale B"
"Jules Bernardet","K1HM","225.2","-","-","Course 1 | Finale B"
"Oscar Lombardot","K1HM","Nt","-","-","Course 1 | Finale B"
"Gaetan Tanneau","K1HM","Nt","-","-","Course 1 | Finale B"
