"Sélectif Régional de Slalom - Guingamp - Finale - 2018-01-14","Finale","2018-01-14","Régional","104"
"Ylan Penvenne","K1HM","108.19","461.57","510.67","Finale A"
"Thimotee Letaconnoux","K1HM","115.2","593.33","607.66","Finale A"
"Jonas Le Guen","K1HM","118.49","1223.36","653.18","Finale A"
"Ewann Hervouet","K1HM","120.76","637.28","684.58","Finale A"
"Stevan Chauvel","K1HM","123.63","733.24","724.29","Finale A"
"Philippe Quemerais","C1H","99.99","348.16","336.35","Finale B"
"Malo Legrand","C1H","103.6","338.7","383.91","Finale B"
"Alan Mahe","C1H","105.01","298.53","402.5","Finale B"
"Julien Rocaboy","C1H","108.19","414.59","444.39","Finale B"
"Jules Roos","C1H","111.9","607.93","493.27","Finale B"
"Gwenole Noyalet","C1H","112.34","457.95","499.07","Finale B"
"Julien Caillarec","C1H","Nt","-","-","Finale B"
"Christine Le Gall","K1D","107.89","413","339.8","Finale B"
"Bleuenn Le Foll","K1D","120.29","495.2","491.61","Finale B"
"Taelle Cardin","K1D","123.17","673.32","526.88","Finale B"
"Laurie Beaurepere","K1D","127.75","501.17","582.95","Finale B"
"Alexandra Rochard","K1D","130.69","510.54","618.95","Finale B"
"Pauline Richard","K1D","132.91","618.48","646.12","Finale B"
"Simon Rolland","K1H","96.39","368.15","352.42","Finale B"
"Brice Derrien","K1H","99.44","315.57","394.61","Finale B"
"Stephane Gallerne","K1H","99.91","399.66","401.12","Finale B"
"Aurelien Le Duc","K1H","100.03","332.58","402.78","Finale B"
"Jules Roos","K1H","102.88","475.64","442.21","Finale B"
"Yannis Houze","K1H","103.6","419.54","452.17","Finale B"
"Mael Monjaret","K1H","103.74","445.03","454.1","Finale B"
"Alain Droniou","K1H","103.92","441.6","456.6","Finale B"
"Benoit Ricard","K1H","104.54","588.08","465.17","Finale B"
"Gurvan Huet","K1H","104.84","386.12","469.32","Finale B"
"Luck Thomas","K1H","106.32","565.02","489.8","Finale B"
"Maxime Lignereux","K1H","107.39","427","504.6","Finale B"
"Hugo Robert","K1H","108.8","538.85","524.11","Finale B"
"Cesar Le Berder","K1H","109.37","566.9","532","Finale B"
"Adrien Brigant","K1H","112.11","533.93","569.91","Finale B"
"Victor Robert","K1H","113.62","688.29","590.8","Finale B"
"Jean Christophe Olivo","K1H","114.36","640.71","601.04","Finale B"
"Arthur Le Lan","K1H","117.48","1002.92","644.2","Finale B"
"Luc Le Diouron","K1H","117.53","508.02","644.89","Finale B"
"Samuel Piton","K1H","118.66","561.73","660.53","Finale B"
"Riwal Bourdoulous","K1H","119.17","879.01","667.58","Finale B"
"Juan Riu","K1H","119.82","650.11","676.58","Finale B"
"Alexis Briet","K1H","125.62","1280.64","756.82","Finale B"
"Matteo Herve","K1H","126.39","911.06","767.47","Finale B"
"Adrien Le Collinet","K1H","127.37","520.9","781.03","Finale B"
"Louis Nivet","K1H","129.22","781.59","806.63","Finale B"
"Antoine Demarest","K1H","129.85","638.35","815.34","Finale B"
"Julien Pommerol","K1H","133.3","855.92","863.08","Finale B"
"Romain Foulon","K1H","171.56","610.28","1392.41","Finale B"
"Damien Guilloux","K1HM","149.32","2001.69","1084.72","Finale B"
