"SLALOM REGIONAL DE LA GARTEMPE - Lathus St Rémy - 2008-12-14","Course 1","2008-12-14","Régional","138"
"Kilian Foulon","K1H","195.93","179","119",""
"Pierre Bontoux","K1H","197.00","165","125",""
"Boris Sacre","K1H","203.91","97","160",""
"Simon Deboysson","K1H","204.74","232","165",""
"Antoine Launay","K1H","206.62","113","174",""
"Alexandre Thomasseau","K1H","208.50","172","184",""
"Thibaud Delaunay","K1H","208.92","176","186",""
"Guillaume Bernis","K1H","211.74","169","200",""
"Guillaume Arnaud","K1H","212.78","253","206",""
"Richard Davy","K1H","213.19","172","207",""
"Joffrey Lemeux","K1H","215.00","126","216",""
"Gurgen Brun","K1H","217.04","240","226",""
"Marc Brossard","K1H","217.23","211","228",""
"Alexandre Di Nisi","K1H","220.62","148","246",""
"Pascal Poitiers","K1H","220.65","178","246",""
"Mathieu Cheze","K1H","222.08","217","253",""
"Clement Faure","K1H","223.11","-","257",""
"Nicolas Caussanel","K1H","224.49","237","265",""
"Felix Merzeau","K1H","226.92","238","277",""
"Jean Messialle","K1H","228.39","186","285",""
"Mathieu Pouchet","K1H","231.60","271","301",""
"Clement Praille","K1H","231.60","207","301",""
"Damien Gaillard","K1H","232.17","222","304",""
"Mathieu Charliac","K1H","232.54","304","306",""
"Paul Messialle","K1H","234.08","268","314",""
"Pierre Portais","K1H","235.77","227","322",""
"Jeremy Tindiliere","K1H","241.45","356","351",""
"Quentin Lyphout","K1H","243.07","186","359",""
"Olivier Mourasse","K1H","245.78","-","374",""
"Matthias Besse","K1H","246.22","309","376",""
"Gaetan Guyonnet","K1H","246.70","-","378",""
"Valentin Giret","K1H","246.89","239","379",""
"Etienne Chauvin","K1H","247.57","366","383",""
"Maxime Perrin","K1H","248.46","254","387",""
"David Peigne","K1H","250.28","356","397",""
"Jan Baudet","K1H","250.30","351","397",""
"Pierre Dehaudt","K1H","250.47","284","397",""
"Jeancharles Bernis","K1H","251.38","319","402",""
"Jerome Boudin","K1H","251.63","451","403",""
"Camille Balsac","K1H","255.48","419","423",""
"Louis-maxime Main","K1H","255.98","148","426",""
"Remi Parayre","K1H","258.00","339","436",""
"Nathanael Jay","K1H","260.55","301","448",""
"Theo Pellennec","K1H","263.56","-","464",""
"Valentin Marin","K1H","265.93","286","476",""
"David Riffaud","K1H","266.01","145","477",""
"Alexandre Plumejeau","K1H","266.07","404","477",""
"Guillaume Chainier","K1H","266.21","299","477",""
"Guillaume Chasseriault","K1H","282.32","358","559",""
"Jean Salavert","K1H","290.86","-","603",""
"Damien Guyonnet","K1H","291.84","555","608",""
"Florian Petit","K1H","295.35","-","626",""
"Xavier Flatreau","K1H","295.52","428","627",""
"Antoine Roux","K1H","295.78","306","628",""
"Nicolas Thomas","K1H","296.40","620","631",""
"Maxime Bardieux","K1H","301.31","285","657",""
"Hugo Epinoux","K1H","301.34","-","657",""
"Etienne Baudry","K1H","310.29","501","702",""
"Valentin Soullard","K1H","316.76","412","735",""
"Damien Launay","K1H","318.32","312","743",""
"Paul Storez","K1H","319.59","220","749",""
"Philippe Metran","K1H","321.45","288","759",""
"Thomas Pinel","K1H","346.91","442","889",""
"Jean Blaudy","K1H","358.64","-","949",""
"Olivier Nonnet","K1H","359.05","445","950",""
"Lucas Pazat","K1H","367.88","-","996",""
"Ludovic Carniaux","K1H","370.64","551","1009",""
"Loic Gibert","K1H","372.42","472","1019",""
"Gaetan Viallard","K1H","374.38","505","1029",""
"Alexendre Coquet","K1H","404.57","-","1183",""
"Hippolyte Granados","K1H","410.65","824","1214",""
"Nicolas Petipez","K1H","410.81","600","1214",""
"Vincent Nicolosi","K1H","441.70","503","1372",""
"Philippe Audouin-dubreuil","K1H","465.25","557","1492",""
"Augustin Sacaze","K1H","516.93","390","1755",""
"Alexandre Ribeaudeau","K1H","519.15","-","1767",""
"Benoit Ropital","K1H","526.94","-","1806",""
"David Stas","K1H","643.52","-","2401",""
"Francois Meunier","K1H","708.69","-","2733",""
"Luc Jauvin","K1H","732.49","465","2854",""
"Joseph Robert","K1H","1459.86","1235","6562",""
