"Nationale 3 - Epinal - 2013-04-14","Course 3","2013-04-14","Nationale 3","202"
"Loic Bertoia-Alexandre Marin","C2H","139.41","390.79","522.99",""
"Vincent Morabito-Yohan Wantz","C2H","147.3","411.78","598.32",""
"Christine Poix-Emmanuel Del Rey","C2M","127.45","258.37","326.31",""
"Lorraine Mathis-Yoan Del Rey","C2M","127.56","254.87","327.3",""
"Marjorie Delassus","K1D","114.53","191.47","256.44",""
"Joey Bercon","K1D","116.54","144.27","275.12",""
"Emilie Lhomme","K1D","117.7","193.3","285.9",""
"Candice Brondel","K1D","119","193.26","297.99",""
"Azenor Philip","K1D","119.15","266.86","299.38",""
"Leonie Gachon","K1D","120.8","188.43","314.72",""
"Axelle Armanini","K1D","121.62","188.76","322.33",""
"Viviana Daille","K1D","123.45","224.36","339.34",""
"Laure Camozzi","K1D","123.84","315.25","342.96",""
"Alicia Gallot","K1D","123.85","285.48","343.05",""
"Zelie Wendling","K1D","124.16","225.66","345.94",""
"Louise Bichet","K1D","126.49","235.91","367.59",""
"Charlotte Paulien","K1D","128.05","274.01","382.09",""
"Betty Merand","K1D","129.72","238.08","397.6",""
"Ophelia Lopes Marques","K1D","130.12","193.23","401.32",""
"Hind Jamili","K1D","130.88","294.42","408.38",""
"Tiphanie Borlet","K1D","132.78","236.23","426.04",""
"Julie Paulien","K1D","133.09","366.18","428.93",""
"Mylene Pellizzoni","K1D","133.55","-","433.2",""
"Carla Cerrutti - Bozzola","K1D","134.16","244.37","438.87",""
"Emma Maujean","K1D","134.55","277.76","442.49",""
"Carla Menigoz","K1D","138.63","-","480.41",""
"Margaux Bandel","K1D","138.71","308.9","481.15",""
"Camille Zumstein","K1D","146.84","511.9","556.7",""
"Stassy Legendre","K1D","150.37","807.32","589.52",""
"Marlene Dumoulin","K1D","151.35","330.69","598.61",""
"Sarah Rothenbuhler","K1D","152.2","329.45","606.52",""
"Elsa Monnet","K1D","164.85","443.49","724.07",""
"Oulaya Rais","K1D","183.24","1236.41","894.97",""
"Camille Hurez","K1D","183.84","-","900.55",""
"Manon Piette","K1D","Nt","-","-",""
"Annaelle Soulet","K1D","Nt","-","-",""
"Julian Othenin-girard","K1H","98.02","139.69","221.43",""
"Erwan Cadio","K1H","98.92","127.22","230.88",""
"Maxime Faivre","K1H","100.54","140.9","247.9",""
"Nicolas Mangeolle","K1H","100.9","129.59","251.67",""
"Otello Willmann Rosso","K1H","101.25","178.62","255.35",""
"William Gettliffe","K1H","101.54","135.71","258.39",""
"Julien Beltrami","K1H","104.33","142.21","287.7",""
"Christophe Dalla-zuana","K1H","104.6","153.89","290.53",""
"Olivier Hardonniere","K1H","104.86","164.23","293.26",""
"Christophe Billaud","K1H","105.28","151.19","297.67",""
"Valentin Serrurier","K1H","105.31","237.25","297.99",""
"Arthur Favennec","K1H","105.34","199.5","298.31",""
"Adrien Maire","K1H","106.31","200.47","308.48",""
"Lucas Galmiche","K1H","106.38","206.74","309.22",""
"Jeremy Boisgibault","K1H","106.97","175.4","315.42",""
"Yannick Grizaud","K1H","107.14","222.08","317.21",""
"Axel Kournwsky","K1H","107.32","157.91","319.09",""
"Erwan Rouch","K1H","107.5","244.19","320.98",""
"Pascal Hunault","K1H","107.63","203.07","322.35",""
"Antoine Leroy","K1H","107.73","211.66","323.4",""
"Corentin Talancieux","K1H","107.76","160.5","323.71",""
"Paul Cornut-chauvinc","K1H","107.93","216.79","325.5",""
"Philippe Devillers","K1H","107.95","195.83","325.71",""
"Gregoire Guerin","K1H","108.04","192.52","326.65",""
"Philippe Lelieur","K1H","108.18","260.1","328.12",""
"Louis Savart","K1H","108.22","169.47","328.55",""
"Sebastien Nouvel","K1H","108.29","175.96","329.28",""
"Mathieu Monier","K1H","109.13","231.86","338.11",""
"Anthony Oudot","K1H","109.24","204.49","339.26",""
"Hugo Simon","K1H","109.49","236.23","341.88",""
"Quentin Robert","K1H","109.57","257.2","342.73",""
"Florent Rambaud","K1H","109.71","171.09","344.2",""
"Corentin Dalmais","K1H","110.12","282.65","348.5",""
"Thomas Stutzmann","K1H","110.28","214.8","350.18",""
"Patrick Gass","K1H","110.48","221.88","352.27",""
"Olivier Urbain","K1H","110.63","154.29","353.85",""
"Anthony Ulrich","K1H","110.66","262.79","354.17",""
"Xavier Rat","K1H","110.9","243.05","356.69",""
"Francis Gaillard","K1H","111.04","216.85","358.16",""
"Marc Jegou","K1H","111.14","187.93","359.21",""
"Vincent Rat","K1H","111.25","189.18","360.36",""
"Cyril Gallezot","K1H","113.29","282.09","381.78",""
"Christophe Godinat","K1H","113.75","222.27","386.62",""
"Erwan Guenier","K1H","113.92","213.43","388.4",""
"Baptiste Mouchet","K1H","114.19","294.05","391.24",""
"Vincent Morabito","K1H","114.37","255.69","393.12",""
"Benoit Lecoester","K1H","114.43","310.03","393.76",""
"Pierre Aubry","K1H","114.51","358.64","394.59",""
"Alexandre Marin","K1H","114.63","266.43","395.86",""
"Loic Bertoia","K1H","115.06","275.16","400.38",""
"Alexis Chauville","K1H","115.24","244.09","402.26",""
"Pierre Francois","K1H","116.06","201.5","410.87",""
"Lilian Querry","K1H","116.15","209.26","411.82",""
"Luis Brisson","K1H","116.85","323.18","419.18",""
"Stephane Rousse","K1H","117.09","270.04","421.69",""
"Tristan Ribault","K1H","117.59","321.74","426.94",""
"Sylvain Ferry","K1H","117.63","292.16","427.37",""
"Charles Vallet","K1H","117.74","303.24","428.52",""
"Maxime Parigot","K1H","118.68","328.63","438.39",""
"Vincent Cedolini","K1H","118.8","348.9","439.65",""
"Antoine Esseric","K1H","119","313.5","441.75",""
"Romain Delachenal","K1H","119.32","146.89","445.11",""
"Romain Pergaud","K1H","119.41","316.31","446.05",""
"Thibaut Gaudet","K1H","120.1","307.32","453.3",""
"Hugo Lelieur","K1H","120.44","329.66","456.87",""
"Sylvain Bonnet","K1H","121.61","375","469.16",""
"Florent Tamburini","K1H","122.08","253.29","474.09",""
"Jean Guyot","K1H","122.34","302.9","476.83",""
"Vincent Herrenberger","K1H","122.82","294.99","481.86",""
"Christophe Harding","K1H","123.24","172.96","486.27",""
"Jordan Bard","K1H","123.99","274.67","494.16",""
"Dylan Hirtz","K1H","124.09","250.83","495.2",""
"Lucas Barriere","K1H","125.36","289.3","508.54",""
"Andre Kempf","K1H","125.83","391.23","513.47",""
"Louis Burignat","K1H","125.99","321.89","515.16",""
"Kevin Guyard","K1H","126.44","383.54","519.88",""
"Damien Siegfried","K1H","127.11","228.45","526.92",""
"Dylan Bard","K1H","127.21","322.44","527.97",""
"Victorien Lombard","K1H","128.04","317.9","536.68",""
"Kyle Gelb","K1H","128.18","588.1","538.15",""
"Jack Williams","K1H","128.58","383.58","542.35",""
"Nicolas Abel","K1H","128.95","342.83","546.24",""
"Mathieu Septier","K1H","132.46","531.23","583.1",""
"Maxime Pierre","K1H","133.68","381.99","595.91",""
"Benjamin Dodane","K1H","135.54","-","615.44",""
"Antoine Loppion","K1H","138.68","-","648.41",""
"Vincent Idriss Achaoui","K1H","138.74","-","649.04",""
"Oscar Imbault","K1H","145.28","-","717.72",""
"Benjamin Aubry","K1H","145.43","631.41","719.3",""
"Claude Breuzard","K1H","148.28","461.8","749.23",""
"Luka Simeant Esprit","K1H","152.35","-","791.96",""
"Thomas Denais","K1H","155.87","194.09","828.93",""
"Eliot Wendling","K1H","157.81","-","849.31",""
"Yann Becker","K1H","158.9","229.33","860.75",""
"Romaric Baron","K1H","162.07","233.55","894.04",""
"Guillaume Jardin","K1H","165.08","183.92","925.65",""
"Paul Frommer","K1H","165.87","385.39","933.95",""
"Theophile Gaillard","K1H","168.58","251.48","962.41",""
"Quentin Madureira","K1H","169.43","273.54","971.33",""
"Maxence Long","K1H","170.14","272.58","978.79",""
"Keryann Brest","K1H","176.94","310.43","1050.2",""
"Benoit Renaudier","K1H","177.24","319.87","1053.34",""
"Quentin Maillier","K1H","223.28","507.08","1536.82",""
"David Pierson","K1H","306.96","376.68","2415.57",""
"Louis Collin","K1H","Nt","-","-",""
"Quentin Gerard","K1H","Nt","-","-",""
"Gaspard Lefevre","K1H","Nt","-","-",""
"Youcef Ould-braham","K1H","Nt","-","-",""
"Julien Petit-maire","K1H","Nt","-","-",""
"Jules Marchal","K1H","Nt","-","-",""
"Cyril Gagneret","K1H","Nt","-","-",""
"Gilles Barthelemy","K1H","Nt","-","-",""
"Marco Rodrigues","K1H","Nt","-","-",""
"Loic Joly","K1H","Nt","-","-",""
"Julien Jeanningros","K1H","Nt","-","-",""
"Julien Signarbieux","K1H","Nt","-","-",""
