"SÈlectif RÈgional Slalom (Double) - Foix - Course n∞2 | Finale - 2017-11-12","Course n∞2 | Finale","2017-11-12","RÈgional","196"
"Gregoire Guerin","K1H","92.96","130.71","148.33","Course n∞2 | Finale A"
"Leo Vuitton","K1H","93.71","200.72","157.75","Course n∞2 | Finale A"
"Nicolas Baudoin","K1H","94.22","85.88","164.15","Course n∞2 | Finale A"
"Valentin Courtiade","K1H","94.91","191.63","172.81","Course n∞2 | Finale A"
"Antoine Gaillard","K1H","94.94","167.02","173.19","Course n∞2 | Finale A"
"Romain Chabrol","K1H","95.42","218.23","179.21","Course n∞2 | Finale A"
"Tom Bouchardon","K1H","96.24","225.02","189.51","Course n∞2 | Finale A"
"Jeremie Palazy","K1H","96.69","196.86","195.15","Course n∞2 | Finale A"
"Bertrand Gourrat","K1H","96.79","206.99","196.41","Course n∞2 | Finale A"
"Jimy Bercon","K1H","96.85","178.27","197.16","Course n∞2 | Finale A"
"Alexis Dorey","K1H","97.64","261.85","207.08","Course n∞2 | Finale A"
"Damien Laborde","K1H","97.89","205.09","210.22","Course n∞2 | Finale A"
"Vincent Garcia","K1H","97.96","305.5","211.1","Course n∞2 | Finale A"
"Natan Brule","K1H","98.08","209.72","212.6","Course n∞2 | Finale A"
"Antoine Laye","K1H","98.85","266.98","222.27","Course n∞2 | Finale A"
"Luc Sarramea","K1H","98.87","215.3","222.52","Course n∞2 | Finale A"
"Sebastien Mouyen Bie","K1H","99.46","284.83","229.92","Course n∞2 | Finale A"
"Marc Cordier","K1H","100.4","331.49","241.72","Course n∞2 | Finale A"
"Louis Midy","K1H","100.88","309.49","247.75","Course n∞2 | Finale A"
"Quentin Clerc","K1H","102.3","243.82","265.57","Course n∞2 | Finale A"
"Felix Praderie","K1H","102.8","305.1","271.85","Course n∞2 | Finale A"
"Marc Sarramea","K1H","102.92","347.27","273.36","Course n∞2 | Finale A"
"Raoul Colin","K1H","102.93","307.86","273.48","Course n∞2 | Finale A"
"Aldric Estanguet","K1H","103.08","315.88","275.36","Course n∞2 | Finale A"
"Samuel Taillefer","K1H","103.29","359.2","278","Course n∞2 | Finale A"
"Theo Ducasse","K1H","103.29","322.76","278","Course n∞2 | Finale A"
"Clement Guiraud","K1H","103.37","299.97","279","Course n∞2 | Finale A"
"Cedric Landreau","K1H","103.83","369.47","284.78","Course n∞2 | Finale A"
"Jonathan Delagnes","K1H","104.24","219.2","289.92","Course n∞2 | Finale A"
"Tom Zanfini","K1H","104.7","302.21","295.7","Course n∞2 | Finale A"
"Fabien Paleau","K1H","104.9","313.78","298.21","Course n∞2 | Finale A"
"Thibault Clerc","K1H","105.33","352.75","303.61","Course n∞2 | Finale A"
"Herve Clerc","K1H","105.44","336.7","304.99","Course n∞2 | Finale A"
"Elian Giondini","K1H","106.59","366.44","319.42","Course n∞2 | Finale A"
"Adrien Mesmoudi","K1H","107.18","279.18","326.83","Course n∞2 | Finale A"
"Nicolas Saurat","K1H","108.03","284.08","337.5","Course n∞2 | Finale A"
"Hippolyte Cail","K1H","108.87","179.45","348.04","Course n∞2 | Finale A"
"Maxime Charron","K1H","110.71","348.14","371.14","Course n∞2 | Finale A"
"Ludovic Gaignon","K1H","111.31","355.75","378.67","Course n∞2 | Finale A"
"Jacques Roisin","K1H","111.39","421.12","379.67","Course n∞2 | Finale A"
"Laurent Brossard","K1H","112.06","384.23","388.08","Course n∞2 | Finale A"
"Patrick Clerc","K1H","112.62","315.27","395.11","Course n∞2 | Finale A"
"Esteban Illido","K1H","115.12","354.44","426.49","Course n∞2 | Finale A"
"Paul Cornut-chauvinc","K1H","142.35","92.97","768.29","Course n∞2 | Finale A"
"Pierre-louis Saussereau","K1H","144.02","162.6","789.26","Course n∞2 | Finale A"
"Alan Dollo","K1H","144.05","85.45","789.63","Course n∞2 | Finale A"
"Hugo Cailhol","K1H","146.57","127.47","821.27","Course n∞2 | Finale A"
"Tom Deconchy","K1H","147.29","171.05","830.3","Course n∞2 | Finale A"
"Tino Forgues","K1H","154.02","299.34","914.78","Course n∞2 | Finale A"
"Nathan Pavot","K1H","157.72","350.54","961.22","Course n∞2 | Finale A"
"Arthur Cousty","K1H","161.68","366.74","1010.93","Course n∞2 | Finale A"
"Leo Fournier","K1H","201.05","177.12","1505.12","Course n∞2 | Finale A"
"Maxence Merpillat","K1H","Abd","-","-","Course n∞2 | Finale A"
"Laura Pellicer","C1D","115.89","257.72","198.71","Course n∞2 | Finale B"
"Elorri Erdois","C1D","153.91","382.14","596.41","Course n∞2 | Finale B"
"Lucile Gangloff","C1D","335.11","1997.19","2491.81","Course n∞2 | Finale B"
"Laurine Salesse","C1DM","140.36","398.87","454.68","Course n∞2 | Finale B"
"Erwan Perron","C1H","106.36","315.53","257.96","Course n∞2 | Finale B"
"Leo Dujourd'hui","C1H","109.36","324.49","293.82","Course n∞2 | Finale B"
"Benoit Pacteau","C1H","110.98","391.01","313.19","Course n∞2 | Finale B"
"Arthur Perez","C1H","114.15","375.1","351.08","Course n∞2 | Finale B"
"Karl Bouthegourd","C1H","116.04","388.37","373.68","Course n∞2 | Finale B"
"Arthur Cousty","C1H","125.81","499.89","490.48","Course n∞2 | Finale B"
"Loic Leymonerie","C1H","142.16","783","685.93","Course n∞2 | Finale B"
"Natan Brule","C1H","144.66","364.47","715.82","Course n∞2 | Finale B"
"Clement Serres","C1H","244.22","1021.17","1906.02","Course n∞2 | Finale B"
"Adrien Mesmoudi","C1H","Abs","-","-","Course n∞2 | Finale B"
"Maxence Merpillat","C1H","Abs","-","-","Course n∞2 | Finale B"
"Alex Baldoni","C1HM","119.38","559.78","413.61","Course n∞2 | Finale B"
"Antton Erdois","C1HM","130.42","576.16","545.59","Course n∞2 | Finale B"
"Hugo Crespo","C1HM","134.16","527.22","590.29","Course n∞2 | Finale B"
"Emilien Courtiade","C1HM","Des","-","-","Course n∞2 | Finale B"
"Laura Pellicer","K1D","104.88","192.43","151.5","Course n∞2 | Finale B"
"Oceane Dorval","K1D","114.56","283.62","259.04","Course n∞2 | Finale B"
"Maeva Bachelot","K1D","122.28","320.47","344.78","Course n∞2 | Finale B"
"Lyse Brichet","K1D","131.84","600.5","450.99","Course n∞2 | Finale B"
"Lea Pages","K1D","136.12","591.2","498.52","Course n∞2 | Finale B"
"Lucile Gangloff","K1D","154.79","459.74","705.91","Course n∞2 | Finale B"
"Elorri Erdois","K1D","170.71","303.19","882.76","Course n∞2 | Finale B"
"Agathe Benoit","K1D","242.09","622.35","1675.67","Course n∞2 | Finale B"
"Marion Massat","K1D","Des","-","-","Course n∞2 | Finale B"
"Laurine Salesse","K1DM","115.86","314.34","273.47","Course n∞2 | Finale B"
"Nahia Oteiza","K1DM","124.5","353.8","369.45","Course n∞2 | Finale B"
"Youlia Estanguet","K1DM","132.36","420.96","456.76","Course n∞2 | Finale B"
"Amelie Leclercq","K1DM","139.42","459.48","535.19","Course n∞2 | Finale B"
"Pauline Rouilhet","K1DM","142.44","521.7","568.73","Course n∞2 | Finale B"
"Gael Adisson","K1H","99.08","211.3","230.15","Course n∞2 | Finale B"
"Nour Ait Kaddour","K1H","102.06","314.94","267.56","Course n∞2 | Finale B"
"Karl Bouthegourd","K1H","103.41","353.99","284.51","Course n∞2 | Finale B"
"Pablo Chaminade","K1H","104.65","366.82","300.07","Course n∞2 | Finale B"
"Guillaume Fletcher","K1H","106.87","538.39","327.94","Course n∞2 | Finale B"
"Guilhem Viguier","K1H","108.19","352.03","344.51","Course n∞2 | Finale B"
"Laurence Scrimgeour","K1H","109.32","442.73","358.69","Course n∞2 | Finale B"
"Gedeon Cothias-faure","K1H","109.82","414.03","364.97","Course n∞2 | Finale B"
"Etienne Saint Picq","K1H","109.93","439.54","366.35","Course n∞2 | Finale B"
"Nathaniel Levy","K1H","111.86","382.51","390.57","Course n∞2 | Finale B"
"Remi Dramard","K1H","112.67","444.14","400.74","Course n∞2 | Finale B"
"Denis Vintrou","K1H","112.87","541.41","403.25","Course n∞2 | Finale B"
"Stephane Perilhou","K1H","113.39","433.9","409.78","Course n∞2 | Finale B"
"Antonin Maystre","K1H","113.67","368.67","413.29","Course n∞2 | Finale B"
"Eric Vidou","K1H","114.95","400.45","429.36","Course n∞2 | Finale B"
"Renaud Clerc","K1H","115.66","542.5","438.27","Course n∞2 | Finale B"
"Benoit Pacteau","K1H","115.99","499.56","442.41","Course n∞2 | Finale B"
"Jose Pereira","K1H","116.69","478.57","451.2","Course n∞2 | Finale B"
"Paul Gobert","K1H","117.87","439.98","466.01","Course n∞2 | Finale B"
"Tom Gonzales","K1H","119.23","489.15","483.08","Course n∞2 | Finale B"
"Angus Cruickshank","K1H","119.36","414.97","484.72","Course n∞2 | Finale B"
"Yannis Dast","K1H","119.83","460.65","490.62","Course n∞2 | Finale B"
"Nicolas Neveu","K1H","122.29","515.13","521.49","Course n∞2 | Finale B"
"Jean Yves Courtiade","K1H","123.43","430.25","535.8","Course n∞2 | Finale B"
"Jean Dayraut","K1H","126.23","553.31","570.95","Course n∞2 | Finale B"
"Tristan Ruiz","K1H","128.42","631.28","598.44","Course n∞2 | Finale B"
"Th…o Palumbo","K1H","135.37","932.39","685.68","Course n∞2 | Finale B"
"Loic Leymonerie","K1H","136.33","648.91","697.73","Course n∞2 | Finale B"
"Jules Besson","K1H","139.07","470.73","732.12","Course n∞2 | Finale B"
"Romain Cadiot","K1H","139.37","904.01","735.89","Course n∞2 | Finale B"
"Jean Cougul","K1H","139.41","1247.52","736.39","Course n∞2 | Finale B"
"Abel Boidron","K1H","141.45","513.59","762","Course n∞2 | Finale B"
"Thomas Moret","K1H","143.16","525.11","783.46","Course n∞2 | Finale B"
"Edgar Paleaubrasseur","K1H","160.57","1287.35","-","Course n∞2 | Finale B"
"Clement Serres","K1H","169.45","1247.69","1113.46","Course n∞2 | Finale B"
"Quentin Rabot","K1H","369.71","850.34","3627.19","Course n∞2 | Finale B"
"Aurelien Blois","K1H","Des","-","-","Course n∞2 | Finale B"
"Mael Bernes","K1HM","104.5","397.79","298.19","Course n∞2 | Finale B"
"Emilien Courtiade","K1HM","107.85","402.05","340.24","Course n∞2 | Finale B"
"Hugo Crespo","K1HM","108.43","376.52","347.52","Course n∞2 | Finale B"
"Alexandre Medge","K1HM","111.68","539.99","388.31","Course n∞2 | Finale B"
"Lohan Wyon","K1HM","113.81","575.51","415.05","Course n∞2 | Finale B"
"Antton Erdois","K1HM","114.73","509.77","426.6","Course n∞2 | Finale B"
"Fantin Delage-garez","K1HM","114.73","418.32","426.6","Course n∞2 | Finale B"
"Baptiste Delemotte","K1HM","116.35","454.17","446.93","Course n∞2 | Finale B"
"Cl…ment Corbeil","K1HM","118.6","450.46","475.18","Course n∞2 | Finale B"
"Yon Dandonneau","K1HM","118.84","439.16","478.19","Course n∞2 | Finale B"
"Guillaume Pradalie","K1HM","120.56","629.28","499.78","Course n∞2 | Finale B"
"Alex Baldoni","K1HM","121.66","471.59","513.59","Course n∞2 | Finale B"
"Cyprien Cail","K1HM","121.72","383.89","514.34","Course n∞2 | Finale B"
"Marin Saint Macary","K1HM","123.52","567","536.93","Course n∞2 | Finale B"
"Matt Vidou","K1HM","124.87","546.25","553.88","Course n∞2 | Finale B"
"Simon Tourtois","K1HM","128.99","722.03","605.59","Course n∞2 | Finale B"
"Timeo Canonico","K1HM","131.78","682.57","640.62","Course n∞2 | Finale B"
"Guillaume Malmezac","K1HM","137.89","518.67","717.31","Course n∞2 | Finale B"
"Thomas Terr…","K1HM","155.29","562.84","935.72","Course n∞2 | Finale B"
"Nicolas Leman","K1HM","156.19","2021.8","947.02","Course n∞2 | Finale B"
"Clement Claret","K1HM","161.15","726.96","1009.28","Course n∞2 | Finale B"
"Lukas Estanguet-santamaria","K1HM","171.99","772.87","1145.35","Course n∞2 | Finale B"
"Clement Guyon","K1HM","295.04","693.6","2689.91","Course n∞2 | Finale B"
"Jules Maitre","K1HM","438.72","1781.15","4493.43","Course n∞2 | Finale B"
