"Sélectif régional - Huningue - Championnats d'Alsace - 2010-10-17","Championnats d'Alsace","2010-10-17","Régional","122"
"Andrea Gratwohl","K1D","101.31","139.42","138.9",""
"Sonja Baumgartner","K1D","104.02","208.33","169.6",""
"Florianne Gautier","K1D","104.14","174.49","170.96",""
"Anne Traband","K1D","104.72","173.89","177.54",""
"Elodie Delavelle","K1D","106.21","151.11","194.42",""
"Sarah Michel","K1D","110.38","247.51","241.67",""
"Oceane Vienet","K1D","111.56","307.71","255.04",""
"Claire Haab","K1D","114.55","287.96","288.92",""
"Sylvaine Louis","K1D","117.89","263.31","326.76",""
"Sylvie Metz","K1D","118.45","269.33","333.11",""
"Christelle Gilg","K1D","122.82","252.33","382.63",""
"Lucile Remond","K1D","122.88","251.67","383.3",""
"Laurine Grandadam","K1D","139.01","-","566.08",""
"Manon Bucher","K1D","142.75","322.37","608.45",""
"Sabrina Boespflug","K1D","144.42","592.67","627.38",""
"Maurilia Cartier","K1D","145.22","608.4","636.44",""
"Frederic Walczak","K1H","82.28","11","44.47",""
"Julien Haberland","K1H","82.63","18.33","48.95",""
"Lukas Werro","K1H","84.72","89.65","75.71",""
"Pierre Marie Roussel","K1H","86.07","25.33","92.99",""
"Jerome Olhagaray","K1H","86.55","69.24","99.14",""
"Jeremy Lehning","K1H","88.09","78.33","118.86",""
"George Meysner","K1H","88.4","85.33","122.83",""
"Arthur Bernot","K1H","89.02","165.07","130.77",""
"Mathieu Haberland","K1H","89.55","89.33","137.55",""
"Florient Tagnon","K1H","90.29","90.67","147.03",""
"Silvere Desongins","K1H","90.39","133.33","148.31",""
"Xavier Marie","K1H","92.21","174.74","171.61",""
"Nathan Barbier","K1H","92.46","147.65","174.81",""
"Laurent Starck","K1H","92.55","183.33","175.97",""
"Loic Sieber","K1H","92.93","192.44","180.83",""
"Maxime Di Lauro","K1H","93.35","142.67","186.21",""
"Xavier Sucker","K1H","93.72","218.06","190.95",""
"Nicolas Burgi","K1H","94.15","158.88","196.45",""
"Thibaut Bernot","K1H","94.59","218.95","202.09",""
"Maxence Grandadam","K1H","95.25","221","210.54",""
"Jeremy Poux","K1H","95.57","200","214.63",""
"Arnaud Jamet","K1H","95.84","252.33","218.09",""
"Marc Jegou","K1H","95.96","238.07","219.63",""
"Enzo Seker","K1H","96.1","191.01","221.42",""
"Thibaut Chariot","K1H","96.44","203.18","225.77",""
"Gary Allemann","K1H","96.5","200.67","226.54",""
"Thomas Michel","K1H","97.24","262","236.02",""
"Alexandre Allemang","K1H","98.56","290.61","252.92",""
"Liam Jegou","K1H","98.82","271.12","256.25",""
"Florian Balhuizen","K1H","98.83","222.33","256.38",""
"Emmanuel Triomphe","K1H","98.99","266.66","258.42",""
"Christophe Billaud","K1H","99.57","209.88","265.85",""
"Florian Baumann","K1H","100.16","272.04","273.41",""
"Nicolas Fritsch","K1H","101.15","237.37","286.08",""
"Paolo Willmann Rosso","K1H","103.09","252","310.92",""
"Arnaud Pellizzoni","K1H","104.63","263.09","330.64",""
"Eddy Cassard","K1H","105.29","242.2","339.09",""
"Gilles Barthelemy","K1H","105.75","400.59","344.98",""
"Florent Bronchain","K1H","107.22","275.55","363.8",""
"Guillaume Dietrich","K1H","108.36","360.96","378.4",""
"Yann Le Guedard","K1H","109.01","-","386.72",""
"Charlie Barbier","K1H","109.65","-","394.92",""
"Frederic Caillet","K1H","110.53","353.26","406.18",""
"Marco Rodrigues","K1H","113.27","364","441.27",""
"Jean Guyot","K1H","113.6","333.96","445.49",""
"Antoine Potier","K1H","115.13","-","465.08",""
"Anthony Oudot","K1H","116.91","379.98","487.88",""
"Thibaut Dietrich","K1H","117.71","-","498.12",""
"Loic Joly","K1H","119.39","439.94","519.63",""
"Sebastien Varin","K1H","127.47","433.95","623.09",""
"Anthony Govaerts","K1H","131.4","-","673.41",""
"Eric Louis","K1H","131.51","515.48","674.82",""
"Jordan Bostoen","K1H","141.84","-","807.08",""
"Daniel Gasser","K1H","145.03","-","847.93",""
"Manuel Starck","K1H","162.23","484.27","1068.16",""
"Bastien Huguenin","K1H","170.54","-","1174.56",""
"Victor Dormoy","K1H","175.93","760.62","1243.58",""
"Ludovic Mazimann","K1H","203.02","-","1590.44",""
"Louis Martin","K1H","258.25","-","2297.62",""
"Jean-emile Couturier","K1H","274.25","-","2502.49",""
"Alexis Chauville","K1H","277.09","-","2538.85",""
"Mathis Lacan","K1H","277.52","-","2544.36",""
"Cyril Gallezot","K1H","Nt","-","-",""
"Christophe Harding","K1H","Nt","-","-",""
"Gregoire Stigler","K1H","Nt","-","-",""
