"1ère manche - Coupe Régional Centre-Val de Loire  - Stade D'eau Vive De Veigné - Course n°1 | Qualification - 2016-11-26","Course n°1 | Qualification","2016-11-26","Régional","193"
"Erwan Degreve-Kilian Godart","C2H","131.7","581.55","695.97",""
"Herve Busson-Christophe Gergaud","C2H","140.31","488.54","802.99",""
"Olivier Fournier-Johan Piat","C2H","177.71","-","1267.82",""
"Lucas Pagnard - Tissier-Thibault Dobigny","C2H","Abd","-","-",""
"Lucas Augu-Terence Saramandif","C2HM","121.76","547.46","572.43",""
"Christophe Augu-Claire Landrin","C2M","116.13","-","382.18",""
"Laurine Naveau-Michel Gombert","C2M","154.35","-","817.62",""
"Romane Bronchet-Matheo Coquel","C2M","Abs","-","-",""
"Tiphaine Drouin-Benjamin Harreau","C2M","Abs","-","-",""
"Laurine Naveau","K1D","99.87","259.96","267.41",""
"Claire Landrin","K1D","101.8","-","290.76",""
"Tiphaine Drouin","K1D","113.58","346.88","433.28",""
"Lea Riera","K1D","114.06","449.54","439.09",""
"Romane Bronchet","K1D","139.06","512.96","741.56",""
"Laetitia Odermatt","K1D","139.55","517.55","747.5",""
"Julie Dequeant","K1D","141.1","453.93","766.24",""
"Zoe Bruchon","K1D","152.47","274.31","903.8",""
"Cecile Chiron","K1D","153.93","-","921.47",""
"Pauline Guenery","K1D","154.13","499.25","923.89",""
"Anais Robineau","K1D","163.77","686.56","1040.52",""
"Isabelle Odot","K1D","171.8","879.31","1137.67",""
"Perrine Joubert","K1DM","128.39","408.38","612.46",""
"Ines Vinet","K1DM","138.79","705.29","738.3",""
"Zoe Marchand","K1DM","242.83","831.13","1997.05",""
"Valentine Jussy","K1DM","Abd","-","-",""
"Antoine Launay","K1H","81.34","74.24","171.16",""
"Vincent Delahaye","K1H","81.61","162.53","174.85",""
"Christophe Marechal","K1H","84.76","113.78","217.91",""
"Remi Vinet","K1H","84.78","195.25","218.19",""
"Kilian Foulon","K1H","84.82","-","218.73",""
"Theo Foucher","K1H","84.86","170.92","219.28",""
"Thibaud Lacour","K1H","85.73","221.83","231.18",""
"Florian Busson","K1H","85.91","215.23","233.64",""
"Fabien Tournadre","K1H","86.34","178.34","239.51",""
"Benjamin Harreau","K1H","87.93","243.52","261.25",""
"Nicolas Rouleaud","K1H","88.04","182.48","262.76",""
"Benjamin Thouvignon","K1H","88.48","-","268.77",""
"Corentin Douady","K1H","89.52","266.52","282.99",""
"Romain Branjauneau","K1H","89.56","274.19","283.54",""
"Jonas Godevin","K1H","89.64","247.99","284.63",""
"Adrien Picco","K1H","89.76","243.47","286.27",""
"Guillaume De Fierville","K1H","89.87","274.37","287.78",""
"Alex Louveau","K1H","90.06","268.36","290.37",""
"Pierre Bourdet","K1H","91.07","255.67","304.18",""
"Herve Busson","K1H","91.2","210.93","305.96",""
"Jules Heurtin","K1H","92.48","313.17","323.46",""
"Quentin Robin","K1H","92.97","276.02","330.16",""
"Denis Guilmard","K1H","94.3","252.47","348.34",""
"Stephane Odot","K1H","94.35","343.48","349.02",""
"Michel Gombert","K1H","95.26","-","361.47",""
"Lucas Pagnard - Tissier","K1H","95.29","314.38","361.88",""
"Baptiste Grosjean","K1H","95.85","-","369.53",""
"Thomas Brochard","K1H","95.99","294.43","371.45",""
"Arthur Lagleyze","K1H","96.04","312.8","372.13",""
"Florian Torche","K1H","96.17","390.88","373.91",""
"Anthony Poux","K1H","97.35","330.88","390.04",""
"Gawaine Chikh","K1H","97.73","315.75","395.23",""
"Julien Paulais","K1H","98.67","373.06","408.09",""
"Nathan Rene Corail","K1H","102.19","384.3","456.21",""
"Killian Flegeau","K1H","104.68","335.39","490.25",""
"Regis Navinel-dubois","K1H","105.36","522.19","499.55",""
"Jeremy Bretteville","K1H","106.02","416.73","508.57",""
"Yohan Dupont","K1H","106.24","444.09","511.58",""
"Matheo Coquel","K1H","106.38","455.83","513.49",""
"Alexis Bizon","K1H","111.79","538.48","587.46",""
"Gregory Metayer","K1H","112.01","340.45","590.46",""
"Nicolas Leconte","K1H","112.65","464.68","599.21",""
"Josquin Dubois","K1H","113.49","-","610.7",""
"Theo Renaud","K1H","113.89","346.75","616.17",""
"Collin Pouradier","K1H","113.91","453.67","616.44",""
"Gregoire Moury","K1H","115.51","-","638.32",""
"Christophe Gergaud","K1H","115.81","449.74","642.42",""
"Ludovic Couture","K1H","116.23","492.49","648.16",""
"Yann Dhieux","K1H","118.01","605.15","672.49",""
"Paul Farrugio","K1H","122.4","603.19","732.51",""
"Erwan Degreve","K1H","123.05","482.28","741.4",""
"Florent Menard","K1H","123.68","568.96","750.01",""
"Pierre-alexandre Lenain","K1H","125.75","-","778.31",""
"Ghislain Guyon","K1H","126.85","-","793.35",""
"Victor Lheritier","K1H","129","1133.47","822.75",""
"Hugo Chevalier","K1H","130.64","904.88","845.17",""
"Cyrille Gilbert","K1H","130.94","-","849.27",""
"Reginald Grossin","K1H","133.53","620.07","884.68",""
"Olivier Fournier","K1H","135.81","1444.36","915.85",""
"Thomas Roy","K1H","136.73","833.81","928.43",""
"Leo Front","K1H","137.96","881.41","945.24",""
"Fabrice Lacoudre","K1H","140.16","693.97","975.32",""
"Eric Pouradier","K1H","141.9","769.91","999.11",""
"Thibault Dobigny","K1H","142.7","771.33","1010.05",""
"Emeric Bussonnais","K1H","144.04","231.28","1028.37",""
"Nicolas Petipez","K1H","153.83","686.26","1162.21",""
"Christophe Cartault","K1H","156.4","741.96","1197.35",""
"Hugo Barbotin","K1H","161.91","-","1272.68",""
"Florent Bouderlique","K1H","164.59","-","1309.32",""
"Nicolas Dequeant","K1H","171.66","1264.03","1405.98",""
"Benoit Artu","K1H","172.87","916.99","1422.52",""
"Leo Fresneda","K1H","177.79","827.85","1489.78",""
"Johan Piat","K1H","187.69","899.01","1625.13",""
"Jean-christophe Dubois","K1H","190.29","854","1660.68",""
"Bruno Louviot","K1H","195.34","-","1729.72",""
"Nicolas Plume","K1H","198.58","-","1774.02",""
"Kilian Godart","K1H","204.98","370.74","1861.51",""
"Leo Hohler","K1H","217.58","-","2033.78",""
"Alexis Jarrige","K1H","224.84","976.38","2133.03",""
"Tudual Telbois","K1H","281.69","1072.4","2910.26",""
"Francois Durand","K1H","Abs","-","-",""
"Florian Sauvage","K1H","Abs","-","-",""
"Yoann Turowsky","K1H","Abs","-","-",""
"Jean-marc Vallee","K1H","Abd","-","-",""
"Lucas Augu","K1HM","92.61","256.63","325.24",""
"Terence Saramandif","K1HM","101.85","-","451.56",""
"Elias Blais","K1HM","102.73","523.66","463.59",""
"Romain Bruneau","K1HM","102.94","434.89","466.46",""
"Thomas Ukalovic","K1HM","104.73","429.46","490.94",""
"Younes Kismi","K1HM","104.79","532.76","491.76",""
"Theo Douady","K1HM","105.15","552.73","496.68",""
"Armand Fougere","K1HM","107.87","609.74","533.86",""
"Gaston Guilmard","K1HM","112.28","622.85","594.16",""
"Tanguy Odot","K1HM","117.61","563.71","667.03",""
"Mael Le Goff","K1HM","117.68","588.13","667.98",""
"Victor Lagleyze","K1HM","126.69","734.12","791.16",""
"Clement Riera","K1HM","127.37","546.27","800.46",""
"Yoann Chipeau","K1HM","132.41","852.38","869.37",""
"Simon Labet","K1HM","133.42","1638.06","883.17",""
"Alexis Carpentey","K1HM","135.17","656.64","907.1",""
"Kilian Berlu","K1HM","141.19","-","989.4",""
"Yann Mercier","K1HM","141.44","853.41","992.82",""
"Romain Brouard","K1HM","141.88","970.69","998.84",""
"Colin Dobigny","K1HM","152","1146.66","1137.19",""
"Hugo Bardot","K1HM","154.02","1094.01","1164.81",""
"Joris Hello","K1HM","157.61","481.68","1213.89",""
"Noah Fresneda","K1HM","157.67","764.31","1214.71",""
