"Sélectif Régional de Slalom - 05120 L Argentiere La Bessee - Course n°2 | Finale - 2020-09-20","Course n°2 | Finale","2020-09-20","Régional","160"
"Eve Vitali-guilbert","C1D","132.81","474.16","514.28","Course n°2 | Finale B"
"Dorie Deshogues","C1D","151.19","551.79","718.08","Course n°2 | Finale B"
"Lisa Sadelli","C1D","Des","-","-","Course n°2 | Finale B"
"Quentin Maillefer","C1H","107.73","418","406.83","Course n°2 | Finale B"
"Gaspard Gonseth","C1H","123.07","464.02","601.23","Course n°2 | Finale B"
"Pierre Fillinger","C1H","125.95","577.3","637.71","Course n°2 | Finale B"
"Cedric Mace","C1H","133.63","586.92","735.05","Course n°2 | Finale B"
"Axel Brossat","C1H","139.56","819.55","810.18","Course n°2 | Finale B"
"Clement Blancgras","C1H","146.17","657.7","893.96","Course n°2 | Finale B"
"Jules Sourieau","C1H","189.89","586.57","1447.98","Course n°2 | Finale B"
"Teo Touzet","C1H","195.16","868.49","1514.76","Course n°2 | Finale B"
"Raphael Wiche","C1H","Abs","-","-","Course n°2 | Finale B"
"Theo Dessolies","C1HM","141.19","696.49","830.85","Course n°2 | Finale B"
"Gustave Gonseth","C1HM","143.95","1005.68","865.81","Course n°2 | Finale B"
"Milo Solecki","C1HM","269.35","2623.27","2454.91","Course n°2 | Finale B"
"Callista Grange-Lisa Sadelli","C2D","237.06","772.71","1468.02","Course n°2 | Finale B"
"Dorie Deshogues","K1D","126.61","498.01","532.49","Course n°2 | Finale B"
"Lucie Adisson","K1D","128.96","490.43","560.17","Course n°2 | Finale B"
"Emilie Armani","K1D","129.34","541.92","564.64","Course n°2 | Finale B"
"Lou Ann Vuilleumier","K1D","130.56","592.85","579.01","Course n°2 | Finale B"
"Lux Debruyne","K1D","135.31","549.76","634.93","Course n°2 | Finale B"
"Chiara Cini","K1D","136.89","706.62","653.55","Course n°2 | Finale B"
"Emma Fauriel","K1D","138.77","753.65","675.68","Course n°2 | Finale B"
"Claire Teillerie","K1D","143.52","570.69","731.61","Course n°2 | Finale B"
"Camille Coulonval","K1D","143.68","689.95","733.49","Course n°2 | Finale B"
"Emmy Bernard","K1D","156.19","690.13","880.8","Course n°2 | Finale B"
"Mailys Douyeau","K1D","202.26","701.29","1423.27","Course n°2 | Finale B"
"Caroline Guita","K1D","206.56","654.01","1473.9","Course n°2 | Finale B"
"Noemie Rys","K1D","272.22","2182.65","2247.06","Course n°2 | Finale B"
"Damien Chamblay","K1H","107.47","459.72","471.63","Course n°2 | Finale B"
"Jules Sourieau","K1H","108.56","423.48","486.13","Course n°2 | Finale B"
"Cyril Audoit","K1H","109.22","519.88","494.92","Course n°2 | Finale B"
"Victorien Pittion","K1H","109.89","563.79","503.83","Course n°2 | Finale B"
"Victor Eduardo Carneiro Gomes","K1H","110.64","453.81","513.81","Course n°2 | Finale B"
"Laurent Echivard","K1H","113.11","533.77","546.68","Course n°2 | Finale B"
"Gabriel Saul","K1H","114.81","363.41","569.3","Course n°2 | Finale B"
"Thomas Levert","K1H","117.29","521.6","602.29","Course n°2 | Finale B"
"Denis Cote","K1H","117.31","521.35","602.56","Course n°2 | Finale B"
"Dominique Polard","K1H","118.43","718.66","617.46","Course n°2 | Finale B"
"Teo Touzet","K1H","119.14","592.47","626.91","Course n°2 | Finale B"
"Jeremy Rouet","K1H","119.66","523.29","633.83","Course n°2 | Finale B"
"Anicet Morel","K1H","119.72","806.73","634.63","Course n°2 | Finale B"
"Loris Allamachere","K1H","122.2","522.95","667.63","Course n°2 | Finale B"
"Jocelyn Locatelli","K1H","123.49","596.37","684.79","Course n°2 | Finale B"
"Esteban Roux","K1H","123.88","686.87","689.98","Course n°2 | Finale B"
"Antoine Raul","K1H","125.06","647.33","705.68","Course n°2 | Finale B"
"Yohann Biglia","K1H","126.09","655.77","719.38","Course n°2 | Finale B"
"Jules Roussel","K1H","127.27","767.32","735.09","Course n°2 | Finale B"
"Rafael Parnotte","K1H","127.44","589.5","737.35","Course n°2 | Finale B"
"Soad Brachet-lefevre","K1H","129.16","727.31","760.23","Course n°2 | Finale B"
"Tom Fioraso","K1H","129.38","630.71","763.16","Course n°2 | Finale B"
"Sacha Caron","K1H","129.72","593.69","767.68","Course n°2 | Finale B"
"Quentin Ducrot","K1H","130.58","616.95","779.13","Course n°2 | Finale B"
"Clement Blancgras","K1H","139.13","482.95","892.89","Course n°2 | Finale B"
"Fabrice Baudesson","K1H","143.71","964.87","953.83","Course n°2 | Finale B"
"Christian Hugues","K1H","146.27","1090.39","987.9","Course n°2 | Finale B"
"Alistair Storrar","K1H","148.84","1522.92","1022.09","Course n°2 | Finale B"
"Quentin Balanant","K1H","154.61","1960.96","1098.87","Course n°2 | Finale B"
"Francisco Lafarga","K1H","157.38","672","1135.72","Course n°2 | Finale B"
"Bastien Andrzejewski","K1H","158.66","1777.83","1152.75","Course n°2 | Finale B"
"Raphael Bonnard","K1H","164.87","427.97","1235.38","Course n°2 | Finale B"
"Jules Beauvais","K1H","172.06","832.16","1331.05","Course n°2 | Finale B"
"Areski Fourtaux","K1H","177.49","1686.5","1403.3","Course n°2 | Finale B"
"Gael Rivier","K1H","179.12","829","1424.99","Course n°2 | Finale B"
"Elian Belin","K1H","277.6","3997.31","2735.34","Course n°2 | Finale B"
"Thomas Pizzin","K1H","283.94","4589.51","2819.7","Course n°2 | Finale B"
"Jules Raoul","K1HM","112.59","566.35","539.76","Course n°2 | Finale B"
"Nils King","K1HM","123.03","845.19","678.67","Course n°2 | Finale B"
"Leo Ulmer","K1HM","127.63","702.93","739.88","Course n°2 | Finale B"
"Quentin Raul","K1HM","140.8","889.12","915.11","Course n°2 | Finale B"
"Romain Bertrand","K1HM","148.28","995.36","1014.64","Course n°2 | Finale B"
"Ethan Warembourg","K1HM","172.63","1648.96","1338.64","Course n°2 | Finale B"
"Gustave Gonseth","K1HM","180.15","757.07","1438.7","Course n°2 | Finale B"
"Guilhem Remondet","K1HM","211.18","2593.45","1851.57","Course n°2 | Finale B"
