"Sélectif régional - Lannion - 2002-12-07","Course 1","2002-12-07","Régional","112"
"Le Calve Yann","K1H","189.44","79","148",""
"Nicolas Coudert","K1H","193.21","152","171",""
"Mathieu Le Gal","K1H","194.21","126","178",""
"Bethune Fabrice","K1H","197.65","-","199",""
"Thomas Masuy","K1H","197.66","185","199",""
"Pierre Matthieu","K1H","199.25","-","209",""
"Frederic Castryck","K1H","200.93","-","220",""
"Fouille Jerome","K1H","211.75","-","288",""
"Regis Cabel","K1H","217.82","-","327",""
"Perret Herve","K1H","223.13","429","360",""
"Tasserit Romain","K1H","223.97","-","365",""
"Yann Lardic","K1H","225.30","403","374",""
"Henaff Mickael","K1H","227.58","-","388",""
"Marrec Pierre-Yves","K1H","228.76","451","396",""
"Lebreton Simon","K1H","229.45","495","400",""
"Pierre Le Clezio","K1H","230.17","-","404",""
"Louet Steven","K1H","230.29","431","405",""
"Thierry Sebastien","K1H","231.25","-","412",""
"Edern Le Ruyet","K1H","232.34","-","418",""
"Cadoudal Vincent","K1H","232.67","484","420",""
"Gardan Benjamin","K1H","232.78","-","421",""
"Stephen Le Diagon","K1H","233.08","466","422",""
"Didier Rouet","K1H","233.18","-","424",""
"Le Garrec Julien","K1H","234.84","501","434",""
"Le Breton Arnaud","K1H","235.57","-","439",""
"Debray Damien","K1H","235.62","448","439",""
"Genet Jeanthomas","K1H","235.81","455","440",""
"Guillotin Simon","K1H","238.76","-","459",""
"Gacogne Yves","K1H","239.17","1006","461",""
"Simon Ddamien","K1H","240.12","-","468",""
"Baradel Yann","K1H","242.14","547","480",""
"Gallon Anthony","K1H","243.32","-","487",""
"Pierre Yves Tanguy","K1H","243.35","-","487",""
"Le Tulzo Jean","K1H","243.47","-","488",""
"Josse Nicolas","K1H","243.48","478","488",""
"Pannetier Brice","K1H","243.71","-","490",""
"Rogue Clement","K1H","243.81","624","490",""
"Simier Alan","K1H","245.97","424","504",""
"Mathieu Bourdet","K1H","246.82","431","510",""
"Mainguene Cedric","K1H","248.47","-","520",""
"Colombert Yann","K1H","250.07","494","530",""
"Sinquin Gwenael","K1H","256.42","584","570",""
"Priol Yoann","K1H","257.71","617","578",""
"Perrin Guenole","K1H","264.75","1211","623",""
"Vourc'h Yoann","K1H","265.60","-","628",""
"Sansom Lionel","K1H","266.40","-","633",""
"Rossignol Yves","K1H","268.70","496","648",""
"Descheres Erwan","K1H","270.20","-","658",""
"Saucet Jacques","K1H","273.06","-","675",""
"Beyou Franck","K1H","275.00","998","688",""
"Saboureau Stéphane","K1H","278.44","-","709",""
"Charles Kerbellec","K1H","281.01","-","725",""
"Rivallain Ludovic","K1H","285.79","444","756",""
"Hoel Carnot","K1H","295.61","476","817",""
"Le Goas Cyril","K1H","300.57","-","848",""
"Alexandre Rivolet","K1H","301.46","-","855",""
"Thomas Jean Marie","K1H","319.70","-","969",""
"Nicolas Romain","K1H","325.47","607","1006",""
"Le Guyader Julien","K1H","341.48","-","1107",""
"Simon Joseph","K1H","343.13","-","1117",""
"Galmiche Valentin","K1H","409.46","-","1536",""
"Robert Marc Antoine","K1H","417.20","-","1585",""
"Pierre-yves Lebreton","K1H","443.70","-","1752",""
"Corbeau Benjamin","K1H","464.36","-","1882",""
"Huckert Regis","K1H","536.98","-","2341",""
"Queric Ronan","K1H","718.56","-","3487",""
"Pene Gaetan","K1H","798.28","-","3990",""
