"SELECTIF DE CORBEIL - Corbeil Essonnes - 2002-11-17","Course 1","2002-11-17","Régional","178"
"Rodot Delphine","K1D","329.67","-","848",""
"Lobreau Marie","K1D","334.93","-","877",""
"Kehr Eugenie","K1D","339.56","-","902",""
"Dardanne Sophie","K1D","402.86","-","1252",""
"Sylvie Bourdon","K1D","509.00","-","1837",""
"Stern Guillaume","K1H","197.37","179","227",""
"Trzeciak Vincent","K1H","197.89","154","230",""
"Yves Debailleul","K1H","201.19","271","250",""
"Xavier Jourdain","K1H","202.06","141","255",""
"Menager Vincent","K1H","202.85","176","260",""
"Sarazin Emmanuel","K1H","203.11","217","262",""
"Bethune Fabrice","K1H","203.64","-","265",""
"Chaise Thomas","K1H","203.91","181","267",""
"Vincent Reiter","K1H","204.87","233","272",""
"De Berchen Sebastien","K1H","205.52","224","276",""
"Gall Philippe","K1H","205.74","234","278",""
"Michel Gombert","K1H","206.20","198","281",""
"Ciaran Heurteau","K1H","206.31","230","281",""
"Philippe Daumont","K1H","208.52","203","295",""
"Coiffe Florion","K1H","209.12","213","298",""
"Franck Dessaint","K1H","210.39","225","306",""
"Piermay Mathieu","K1H","210.85","260","309",""
"Jerome Talbot","K1H","211.40","295","312",""
"Florian Perenchio","K1H","211.94","288","315",""
"Frederic Castryck","K1H","211.96","-","315",""
"Oswald Besch","K1H","212.46","330","318",""
"Antoine Lebastard","K1H","213.03","222","322",""
"Florian Gosselin","K1H","213.37","236","324",""
"Alexandre Guerinet","K1H","213.59","323","325",""
"Yves Lecointe","K1H","214.67","321","332",""
"Bertrand Avril","K1H","215.87","292","339",""
"Laroque Jeanchristophe","K1H","215.89","268","339",""
"Julien Darees","K1H","216.47","252","343",""
"Perrin Alexandre","K1H","216.49","-","343",""
"Lacour Jerome","K1H","217.84","305","351",""
"Moratelli Loic","K1H","217.98","246","352",""
"Vaillant Tiphaine","K1H","218.32","312","354",""
"Chantry Xavier","K1H","219.24","344","360",""
"Facchini Thomas","K1H","219.91","462","364",""
"Philippe Valeri","K1H","220.18","364","365",""
"Pascal Marrec","K1H","220.18","280","365",""
"Debruyere Benjamin","K1H","220.54","401","367",""
"Jodar Sebastien","K1H","222.04","375","377",""
"Bretenoux Thomas","K1H","222.12","-","377",""
"Bastien Darcillon","K1H","223.39","428","385",""
"Aurel Sebastien","K1H","224.09","336","389",""
"Fievez Guillaume","K1H","224.55","-","392",""
"Tellier Emeric","K1H","225.21","-","396",""
"Julien Daumont","K1H","227.25","409","408",""
"Viratelle Vincent","K1H","227.64","442","411",""
"Thenon Gregori","K1H","229.17","427","420",""
"Nedelec Etienne","K1H","230.57","427","428",""
"Vivien Emmanuel","K1H","231.11","-","432",""
"Blondeau Julien","K1H","231.87","410","436",""
"Douillot Nicolas","K1H","232.12","505","438",""
"Drosseau Simon","K1H","233.61","552","447",""
"Ronan Lucas","K1H","234.45","391","452",""
"Yves Moreno","K1H","236.49","594","464",""
"Lejeune Olivier","K1H","236.55","444","465",""
"Vincent Richard","K1H","236.64","452","465",""
"Sury Quentin","K1H","237.17","-","468",""
"Malderez Sebastien","K1H","237.39","409","470",""
"Benedetto Guillaume","K1H","239.21","-","481",""
"Courtois Simon","K1H","239.23","-","481",""
"Gilles Lucas","K1H","239.61","521","483",""
"Eric Marmet","K1H","241.25","465","493",""
"Sebastien Masseline","K1H","242.01","544","498",""
"Noury Maxime","K1H","242.18","546","499",""
"Maignan Adrien","K1H","243.21","-","505",""
"Antoine Decambon","K1H","244.82","-","515",""
"Renoux Franck","K1H","246.95","-","528",""
"Macarty Sebastien","K1H","246.99","569","528",""
"Benjamin Defrocourt","K1H","247.15","752","529",""
"Lantenois Mickael","K1H","247.46","639","531",""
"Malboze Jerome","K1H","252.19","549","559",""
"Pierre Baux","K1H","252.43","-","561",""
"Tachet Xavier","K1H","252.43","-","561",""
"Thomas Perrin","K1H","253.98","865","570",""
"Lepine Sylvain","K1H","255.11","-","577",""
"Houdant Batiste","K1H","256.42","-","585",""
"Bigeon Thibault","K1H","257.33","792","591",""
"Clouzeau Hugo","K1H","259.69","550","605",""
"Duparcq Romain","K1H","260.08","869","607",""
"Pascal Sallot","K1H","261.36","639","615",""
"Granger Terence","K1H","262.14","1726","620",""
"Bouletier Julien","K1H","263.50","-","628",""
"Bourdillat Adrien","K1H","264.45","1153","634",""
"Sassatelli Nicolas","K1H","264.55","-","634",""
"Bisson Frederic","K1H","265.86","-","642",""
"Bourcier Julien","K1H","266.63","-","647",""
"Saillard Julien","K1H","271.81","-","678",""
"Peduzzi Thibaud","K1H","272.41","-","682",""
"Neyrinck Bruno","K1H","273.48","-","689",""
"Barnavon Guillaume","K1H","274.32","-","694",""
"Sebastien Serot","K1H","278.34","317","718",""
"Chemin Ludovic","K1H","278.96","-","722",""
"Quinion Jerome","K1H","282.24","-","742",""
"Barnavon Nicolas","K1H","286.60","-","768",""
"Hamel Pierre","K1H","287.02","-","771",""
"Meynier Patrick","K1H","289.20","-","784",""
"Piovan Vincent","K1H","297.22","-","832",""
"Douville Antoine","K1H","300.29","-","851",""
"Nicolas Girault","K1H","306.61","1309","889",""
"Meunier Logan","K1H","312.35","728","925",""
"Donatien Lamoureux","K1H","323.99","-","996",""
"Dejonghe Valentin","K1H","326.38","-","1010",""
"Drisch Nicolas","K1H","339.01","-","1087",""
"Nicolas Franck","K1H","347.32","-","1137",""
"Tridon Pierre","K1H","369.51","-","1272",""
"Nigues Romain","K1H","384.71","-","1364",""
"Coudiere Stéphane","K1H","455.97","-","1796",""
"Griveau Adrien","K1H","496.23","-","2040",""
