"Sélectif Régional - Yenne - Course 2 | Finale - 2014-06-15","Course 2 | Finale","2014-06-15","Régional","167"
"Samuel Bonella","K1HM","167.66","-","-","Course 2 | Finale A"
"Paul Mortier","K1HM","182.81","-","-","Course 2 | Finale A"
"Louis Mazoyer","K1HM","183.76","-","-","Course 2 | Finale A"
"Adrien Raisson","K1HM","186.02","-","-","Course 2 | Finale A"
"Maxime Melmont","K1HM","189.02","-","-","Course 2 | Finale A"
"Hugo Martin -laemle","K1HM","219.3","-","-","Course 2 | Finale A"
"Anatole Delassus","K1HM","368.41","-","-","Course 2 | Finale A"
"Teo Martinet","K1HM","Nt","-","-","Course 2 | Finale A"
"Raphaelle Hovine","C1D","217.13","-","1257.86","Course 2 | Finale B"
"Natacha Delassus","C1D","Nt","-","-","Course 2 | Finale B"
"Marie-amelie Jullien","C1D","Nt","-","-","Course 2 | Finale B"
"Gauthier Gonseth","C1H","107.05","-","294.13","Course 2 | Finale B"
"Nil Georgel","C1H","115.24","-","389.3","Course 2 | Finale B"
"Guillaume Gonseth","C1H","116.5","-","403.94","Course 2 | Finale B"
"Loic Burlet","C1H","133.13","518.94","597.17","Course 2 | Finale B"
"Boris Rostaing","C1H","133.44","972.83","600.78","Course 2 | Finale B"
"Theophile Gaillard","C1H","149.46","-","786.93","Course 2 | Finale B"
"Joseph Risson","C1H","158.55","2089.33","892.55","Course 2 | Finale B"
"Tomy Ly","C1H","164.71","716.41","964.13","Course 2 | Finale B"
"Jean Baptiste Lismonde","C1H","169.4","357.01","1018.62","Course 2 | Finale B"
"Jean Philippe Roche","C1H","269.34","1297.75","2179.9","Course 2 | Finale B"
"Charles Fernandes De Oliveira","C1H","404.76","839.08","3753.45","Course 2 | Finale B"
"Loic Burlet-Matthieu Basset","C2H","127.02","618.32","459.1","Course 2 | Finale B"
"Loic Bertoia-Alexandre Marin","C2H","128.27","419.46","472.96","Course 2 | Finale B"
"Paul Cornut-chauvinc-Romain Gayral","C2H","142.35","-","629.13","Course 2 | Finale B"
"Joseph Risson-Boris Rostaing","C2H","193.97","-","1201.67","Course 2 | Finale B"
"Laure Castel-Alexandre Lismonde","C2M","137.12","-","444.38","Course 2 | Finale B"
"Lena Jouannic-Armand Rakowski","C2M","Nt","-","-","Course 2 | Finale B"
"Loic Burlet-Patricia Raspaut","C2M","Nt","-","-","Course 2 | Finale B"
"Raphaelle Hovine","K1D","117.85","220.26","322.68","Course 2 | Finale B"
"Jenny Chevalier","K1D","120.75","293.94","353.99","Course 2 | Finale B"
"Laure Castel","K1D","137.61","-","536.03","Course 2 | Finale B"
"Coline Bertin","K1D","137.96","446.02","539.8","Course 2 | Finale B"
"Eva Martinet","K1D","190","-","1101.7","Course 2 | Finale B"
"Marine Izac","K1D","191.12","401.84","1113.79","Course 2 | Finale B"
"Carine Chapuis","K1D","221.26","417.99","1439.2","Course 2 | Finale B"
"Sarah Monod","K1D","253.75","-","1790.01","Course 2 | Finale B"
"Marie-amelie Jullien","K1D","278.58","382.15","2058.1","Course 2 | Finale B"
"Patricia Raspaut","K1D","385.45","-","3211.98","Course 2 | Finale B"
"Titouan Dupras","K1H","89.8","139.18","145.87","Course 2 | Finale B"
"Anthony Deschamps","K1H","99.31","-","261.9","Course 2 | Finale B"
"Charles Fernandes De Oliveira","K1H","103.83","269.47","317.04","Course 2 | Finale B"
"Tom Deconchy","K1H","107.33","376","359.75","Course 2 | Finale B"
"Yann Zaepffel","K1H","109.17","361.75","382.2","Course 2 | Finale B"
"Florent Bernard","K1H","110.17","394.63","394.4","Course 2 | Finale B"
"Matteo Licoine","K1H","110.22","409.47","395.01","Course 2 | Finale B"
"Benjamin Dodane","K1H","111.15","413.34","406.35","Course 2 | Finale B"
"Adrien Vernet","K1H","111.18","-","406.72","Course 2 | Finale B"
"Jean Philippe Roche","K1H","112.1","436.52","417.94","Course 2 | Finale B"
"Adelin Constans","K1H","113.54","464.85","435.51","Course 2 | Finale B"
"Jeff Caron","K1H","114.1","484.26","442.34","Course 2 | Finale B"
"Anselm Arnaud","K1H","114.63","-","448.81","Course 2 | Finale B"
"Julien Petit-maire","K1H","117.22","429.66","480.41","Course 2 | Finale B"
"Lucas Barriere","K1H","118.21","408.84","492.49","Course 2 | Finale B"
"Boris Rostaing","K1H","118.65","442.62","497.86","Course 2 | Finale B"
"Loic Burlet","K1H","118.87","650.4","500.54","Course 2 | Finale B"
"Stephane Gacoin","K1H","124.92","-","574.36","Course 2 | Finale B"
"Benoit Renaudier","K1H","125.69","812.59","583.75","Course 2 | Finale B"
"Loris Duchesne","K1H","128.44","432.79","617.3","Course 2 | Finale B"
"Romain Gayral","K1H","134.24","1048.95","688.07","Course 2 | Finale B"
"Francois Lecuit","K1H","137.47","665.85","727.48","Course 2 | Finale B"
"Boris Chenal","K1H","139.62","65.76","753.71","Course 2 | Finale B"
"Maxence Saint Sulpice","K1H","146.69","-","839.97","Course 2 | Finale B"
"Emmanuel Lanchais","K1H","155.69","-","949.77","Course 2 | Finale B"
"Matthieu Rousseau","K1H","161.95","459.66","1026.15","Course 2 | Finale B"
"Valentin Bonnot","K1H","171.03","399.89","1136.93","Course 2 | Finale B"
"Joseph Risson","K1H","171.37","586.2","1141.08","Course 2 | Finale B"
"Theophile Gaillard","K1H","178.05","-","1222.58","Course 2 | Finale B"
"Maxime Bottex","K1H","203.31","109.86","1530.77","Course 2 | Finale B"
"Marc Jungling","K1H","210.9","-","1623.37","Course 2 | Finale B"
"Francis Gaillard","K1H","230.36","323.85","1860.8","Course 2 | Finale B"
"Kevin Pasaoglu","K1H","708.24","-","7691.27","Course 2 | Finale B"
