"SÈlectif RÈgional de Slalom - Metz - Course n∞2 | Finale - 2019-09-29","Course n∞2 | Finale","2019-09-29","RÈgional","170"
"Thomas Descotes","K1H","113.65","805.4","451.99","Course n∞2 | Finale B"
"Alexis Sevrez","K1H","113.65","515.91","451.99","Course n∞2 | Finale B"
"Loic Bourgeois","K1H","114.56","434.79","463.28","Course n∞2 | Finale B"
"Quentin Henri","K1H","115.53","367.24","475.32","Course n∞2 | Finale B"
"Robin Giurlando","K1H","121.51","615.93","549.55","Course n∞2 | Finale B"
"Maxime Pein","K1H","122.42","717.55","560.84","Course n∞2 | Finale B"
"Vincent Morabito","K1H","123.02","525.44","568.29","Course n∞2 | Finale B"
"Aymeric Dollat","K1H","126.89","637.97","616.32","Course n∞2 | Finale B"
"Guillaume Goury","K1H","142.34","671.01","808.08","Course n∞2 | Finale B"
"Kevin Vienny","K1H","146.31","859.31","857.36","Course n∞2 | Finale B"
"Louis Descotes","K1H","146.92","803.22","864.93","Course n∞2 | Finale B"
"Guillaume Cochut","K1H","148.13","684.84","879.95","Course n∞2 | Finale B"
"Gauthier Lepolard","K1H","150.33","758.84","907.25","Course n∞2 | Finale B"
"Tanguy Adisson","K1H","153.79","284.09","950.2","Course n∞2 | Finale B"
"Antoine Schroetter","K1H","163.77","767.64","1074.07","Course n∞2 | Finale B"
"Damien Mantovani","K1H","182.67","1164.1","1308.65","Course n∞2 | Finale B"
"Max Cantenot","K1H","198.89","1405.19","1509.97","Course n∞2 | Finale B"
"Stephane Cassin","K1H","346.26","974.08","3339.09","Course n∞2 | Finale B"
"Adrien Andre","K1H","492.3","1241.52","5151.7","Course n∞2 | Finale B"
"Louis Guggenbuhl","K1H","Dsq","-","-","Course n∞2 | Finale B"
"Andre Kempf","K1H","Abs","-","-","Course n∞2 | Finale B"
"Anthony Beaudoing","K1H","Abs","-","-","Course n∞2 | Finale B"
"Noe Crapart","K1HM","137.66","654.84","750","Course n∞2 | Finale B"
"Julien Tassotti","K1HM","145.39","1063.41","845.94","Course n∞2 | Finale B"
"Simon Bouchot","K1HM","170.52","1105.15","1157.85","Course n∞2 | Finale B"
"Zakaria Radouani","K1HM","179.76","817.7","1272.53","Course n∞2 | Finale B"
"Gabriel Hubert","K1HM","184.88","1239.24","1336.08","Course n∞2 | Finale B"
"Lilian Bayer","K1HM","188.12","877.84","1376.29","Course n∞2 | Finale B"
"Landry Roussel","K1HM","211.75","2192.78","1669.58","Course n∞2 | Finale B"
"Mael Thierus","K1HM","211.77","781.51","1669.83","Course n∞2 | Finale B"
"Axel Marchand","K1HM","Abd","-","-","Course n∞2 | Finale B"
"Hugo Bazin","K1HM","Abd","-","-","Course n∞2 | Finale B"
