"SÈlectif RÈgional Slalom (Double) - Saint-pierre De Boeuf - Course n∞1 | Qualification - 2016-10-01","Course n∞1 | Qualification","2016-10-01","RÈgional","333"
"Elise Carbon","K1D","165.3","736.63","894.02",""
"Marion Delorme","K1D","178.28","268.9","1040.59",""
"Alicia Roux","K1D","206.73","-","1361.84",""
"Clara Jannic","K1D","207.19","632.71","1367.03",""
"Elke Saragas","K1D","210.9","534.41","1408.92",""
"Sarah Monod","K1D","253.57","512.1","1890.74",""
"Juliette Ribault","K1D","257.57","648.06","1935.91",""
"Hind Jamili","K1D","Abs","-","-",""
"Lea Hubert","K1D","Abd","-","-",""
"Marie Amelie Silvin","K1DM","117.03","490.43","348.96",""
"Ilona Martin -laemle","K1DM","128.04","-","473.29",""
"Adeline Roux","K1DM","130.7","-","503.32",""
"Anouk Alberti","K1DM","146.98","549.04","687.15",""
"Kesia Georgel","K1DM","153.61","595.26","762.02",""
"Solen Friconneau","K1DM","172.89","568.13","979.72",""
"Callista Grange","K1DM","329.11","2213.65","2743.73",""
"Emma Blanc","K1DM","350.58","-","2986.17",""
"Cendres Le Floch","K1DM","414.55","-","3708.49",""
"Maxime Bottex","K1H","88.49","106.71","156.59",""
"Kevin Schultz","K1H","88.85","92.04","161.19",""
"Nicolas Abbal","K1H","89.47","60.39","169.1",""
"Nicolas Baudoin","K1H","90.39","118.81","180.84",""
"Louis Masson","K1H","92.32","176.11","205.46",""
"Jonathan Chapatte","K1H","92.43","184.34","206.86",""
"Theo Desvignes","K1H","92.99","173.78","214.01",""
"Antoine Roux","K1H","93.56","148.68","221.28",""
"Pierre Grapotte","K1H","93.58","217.04","221.54",""
"Yanis Rainaud","K1H","94.42","234.15","232.26",""
"Leo Fournier","K1H","94.56","163.02","234.04",""
"Matthieu Le Gall","K1H","95.04","181.61","240.17",""
"Davy Egraz","K1H","95.1","207.69","240.93",""
"Julien Pajaud","K1H","95.77","192.17","249.48",""
"Julien Saguet","K1H","96.53","275.88","259.18",""
"Loic Bertoia","K1H","96.83","116.85","263.01",""
"Gregoire Guerin","K1H","96.86","151.49","263.39",""
"Jules Cresp","K1H","96.9","263.92","263.9",""
"Dylan Sourbe","K1H","96.91","240.09","264.03",""
"Mathieu Monier","K1H","97.37","233.41","269.9",""
"George Meysner","K1H","97.73","333.66","274.49",""
"Sylvain Curinier","K1H","98.05","253.79","278.57",""
"Bertrand Bercon","K1H","98.13","235.12","279.6",""
"Maxime Gaillard","K1H","98.19","259.54","280.36",""
"Paul Jean","K1H","98.3","-","281.76",""
"Cedric Mace","K1H","98.55","288.16","284.95",""
"Nicolas Rouleaud","K1H","98.94","182.48","289.93",""
"Tristan Bronsard","K1H","99.05","-","291.33",""
"Benjamin Dodane","K1H","99.05","280.32","291.33",""
"Henri Bergognon","K1H","99.44","267.1","296.31",""
"Nathan Hossin","K1H","99.68","232.02","299.37",""
"Jules Silvin","K1H","100.1","264.56","304.73",""
"Florian Sauvage","K1H","100.22","326.65","306.26",""
"Quentin Robin","K1H","100.56","292.68","310.6",""
"Alexis Dorey","K1H","100.63","290.11","311.49",""
"Yoni Beghoura","K1H","101.12","-","317.75",""
"Raphael Lassechere","K1H","101.41","227.74","321.45",""
"Raphael Ricci Miege","K1H","101.58","322.26","323.62",""
"Kawan Thomas","K1H","101.97","247.42","328.59",""
"Raphael Olla","K1H","102.21","274.75","331.66",""
"Olivier Hardonniere","K1H","102.27","323.23","332.42",""
"Mikael Clanchin","K1H","102.33","304.17","333.19",""
"Vincent Garcia","K1H","102.63","320.12","337.01",""
"Tom Benini","K1H","102.78","324.2","338.93",""
"Jean Philippe Winiarski","K1H","102.94","269.77","340.97",""
"Jeremy Wagner","K1H","103.38","265.59","346.58",""
"Sebastien Routhier","K1H","103.69","297.94","350.54",""
"Yann Rivallant","K1H","104.26","-","357.81",""
"Jules Heurtin","K1H","104.49","313.17","360.75",""
"Cyril Audoit","K1H","104.52","345.46","361.13",""
"Boris Lutinier","K1H","105.07","-","368.15",""
"Louis Mazoyer","K1H","105.13","411.44","368.91",""
"Jean Philippe Roche","K1H","105.28","257.81","370.83",""
"Loic Joly","K1H","105.31","326.16","371.21",""
"Yann Leruste","K1H","105.66","404.98","375.68",""
"Guillaume Affortit","K1H","105.9","347.62","378.74",""
"Bertrand Dubiez","K1H","106.64","338.42","388.18",""
"Hugo Lelieur","K1H","106.72","-","389.2",""
"Valentin Vibert","K1H","106.73","288.38","389.33",""
"Nicolas Detheve","K1H","106.8","300.31","390.22",""
"Teo Bouvier","K1H","107.22","319.53","395.58",""
"Nino Chailan","K1H","107.35","449.3","397.24",""
"Yann Zaepffel","K1H","107.43","245.62","398.26",""
"Paul Gaillard","K1H","108.21","359.3","408.21",""
"Maxime Melmont","K1H","108.3","437.73","409.36",""
"Tino Forgues","K1H","108.46","374.12","411.4",""
"Nayl Tazi-sidqui","K1H","109.34","330.23","422.63",""
"Gawaine Chikh","K1H","109.72","333.43","427.48",""
"Olivier Barriere","K1H","109.73","359.45","427.61",""
"Hugo Martin -laemle","K1H","109.92","446.46","430.03",""
"Lucas Barriere","K1H","109.92","365.16","430.03",""
"Kilian Godart","K1H","110.06","385.51","431.82",""
"Loic Bouvier","K1H","110.86","474.38","442.03",""
"Julien Coudert","K1H","111.18","274.45","446.11",""
"Pierrealain Clerc","K1H","111.18","297.12","446.11",""
"Nicolas Monzerian","K1H","111.43","-","449.3",""
"Florent Cossou","K1H","112.27","437.88","460.02",""
"Matthieu Rousseau","K1H","112.41","572.83","461.8",""
"Luca Barone","K1H","112.59","433.44","464.1",""
"Jacques Roisin","K1H","112.92","413.53","468.31",""
"Remy Beal","K1H","113.18","1332.35","471.63",""
"Guillaume Gery","K1H","113.27","-","472.78",""
"Anselm Arnaud","K1H","114.34","454.47","486.43",""
"Dominique Polard","K1H","114.36","557.82","486.69",""
"Emmanuel Triomphe","K1H","115.15","359.22","496.77",""
"Frederic Morand","K1H","115.47","-","500.85",""
"Denis Cote","K1H","115.55","-","501.87",""
"Yanis Clerc","K1H","115.9","452.84","506.34",""
"Stephane Boulanger","K1H","116.84","285.84","518.33",""
"Arthur Lagleyze","K1H","117.15","331.17","522.29",""
"Tom Mazouat","K1H","118.25","614.21","536.32",""
"Charles Culine","K1H","120.5","566.05","565.03",""
"Arthur Viallard","K1H","120.75","573.96","568.22",""
"Jonathan Himpens","K1H","122.6","-","591.83",""
"Alexandre Goujon","K1H","122.91","394.48","595.78",""
"Charlie Genovese","K1H","124.3","530.17","613.52",""
"Arthur Tebib","K1H","124.59","727.76","617.22",""
"Laurent Brossat","K1H","126.29","-","638.91",""
"Hugo Avril","K1H","127.39","559.78","652.95",""
"Come Champurney","K1H","127.63","570.01","656.01",""
"Frederic Caillet","K1H","129.33","653.74","677.7",""
"Yasin Gulay","K1H","130.81","1432.82","696.58",""
"Valentin Affortit","K1H","131.81","477.72","709.34",""
"Serge Doby","K1H","134.95","-","749.41",""
"Benjamin Gonthier","K1H","140.33","1562.08","818.06",""
"Isaac Dufrene","K1H","140.44","174.04","819.46",""
"Sebastien Nouvel","K1H","140.64","120.71","822.01",""
"Paul Farrugio","K1H","141.08","642.65","827.63",""
"Yann Gudefin","K1H","144.22","-","867.69",""
"Mathieu Buono-michel","K1H","147.79","739.04","913.24",""
"Enzo Seker","K1H","148.05","304.71","916.56",""
"Samuel Bonella","K1H","149.25","220.48","931.87",""
"Benjamin Harreau","K1H","149.97","258.07","941.06",""
"Sebastien Lepaulard","K1H","154.5","312.86","998.86",""
"William Gettliffe","K1H","154.5","289.03","998.86",""
"Nathan Pavot","K1H","156.08","402.37","1019.02",""
"Charles Fernandes De Oliveira","K1H","160.8","275.85","1079.25",""
"Ronan Emery","K1H","163.51","890.72","1113.83",""
"Florent Vallier","K1H","164.01","-","1120.21",""
"Alban Crochet","K1H","169.48","-","1190",""
"Romain Berthon","K1H","170.28","678.62","1200.21",""
"Quentin Laplace","K1H","192.65","573.42","1485.65",""
"Valentin Capel","K1H","199.48","1291.1","1572.79",""
"Victor Paulais","K1H","210.09","309.8","1708.18",""
"Philippe Bigard","K1H","228.19","598.73","1939.13",""
"Bilal Yousfi","K1H","235.11","-","2027.42",""
"Jocelyn Locatelli","K1H","429.41","1403.91","4506.64",""
"Arthur Brune","K1H","444.35","-","4697.27",""
"Corentin Sabaut","K1H","Abd","-","-",""
"Kevin Vienny","K1H","Abd","-","-",""
"Aymeric Rivier","K1H","Abs","-","-",""
"Axel Kournwsky","K1H","Abs","-","-",""
"Benjamin Jacon","K1H","Abs","-","-",""
"Ronan Cordier","K1H","Abs","-","-",""
"Yanniss Aghanine","K1H","Abs","-","-",""
"Paul Leviste","K1H","Abs","-","-",""
"Bastien Cothenet","K1H","Abs","-","-",""
"Erwan Degreve","K1H","Abs","-","-",""
"Anton Gille","K1H","Abs","-","-",""
"Lucas Augu","K1HM","100.72","277.44","312.64",""
"Loœc Winiarski","K1HM","101.3","367.05","320.04",""
"Djendy Simeant","K1HM","101.45","307.92","321.96",""
"Etienne Wiche","K1HM","101.9","389.54","327.7",""
"Noe Monier","K1HM","104.34","422.86","358.83",""
"Tanguy Adisson","K1HM","112.64","580.37","464.74",""
"Mohamed Saœd Bekkadour","K1HM","112.83","557.43","467.16",""
"Erwann Buthod","K1HM","113.67","571.57","477.88",""
"Gino Benini","K1HM","114.06","503.03","482.86",""
"Arthur Contamine","K1HM","115.45","613.7","500.59",""
"Luca Gabelli","K1HM","116.19","-","510.04",""
"Baptiste Gaillard","K1HM","119.02","633.82","546.15",""
"Lucas Dominguez","K1HM","121.03","-","571.79",""
"Batiste Ansaldi","K1HM","121.56","-","578.56",""
"Matthew Vuillard","K1HM","122.75","664.5","593.74",""
"Edouard Chenal","K1HM","126.51","600.77","641.72",""
"Benjamin Guyon","K1HM","127.1","606.11","649.25",""
"Yazid Koraichi","K1HM","139.03","-","801.47",""
"Nicolas Demofsqui","K1HM","139.74","-","810.53",""
"Kilian Cottet","K1HM","140.54","571.13","820.74",""
"Julien Ojard-chillet","K1HM","140.6","688.52","821.5",""
"Oscar Pasteur","K1HM","142.52","849.3","846",""
"Arthur Talarmain","K1HM","148.55","-","922.94",""
"Julien Lambert","K1HM","149.74","-","938.13",""
"Corentin Georgeon","K1HM","152.17","710","969.13",""
"Thomas Ukalovic","K1HM","172.74","543.01","1231.6",""
"Theo Zembalia","K1HM","175.86","656.38","1271.41",""
"Daniel Chambert","K1HM","187.05","-","1414.19",""
"Tom Dubourd","K1HM","191.59","-","1472.12",""
"Maxence Jehan","K1HM","195.53","480.94","1522.39",""
"Yann Mercier","K1HM","199.63","-","1574.71",""
"Cyril Borelli","K1HM","200.97","-","1591.81",""
"Clement Couchoud","K1HM","229.44","-","1955.08",""
"Aymeric Fumex","K1HM","239.1","673.88","2078.34",""
"Theo Soulier","K1HM","239.87","704.66","2088.16",""
"Esteban Reder-issartel","K1HM","250.14","-","2219.2",""
"Eloœc Porte","K1HM","322.65","-","3144.41",""
"Louis Lacroix","K1HM","328.24","-","3215.74",""
"Nicolas Meyer","K1HM","Abs","-","-",""
"Jonathan Ferreira","K1HM","Abd","-","-",""
