"SÈlectif RÈgional de Slalom - RÈgional Slalom AngoulÍme - Finale - 2017-10-15","Finale","2017-10-15","RÈgional","181"
"Benjamin Cariou","K1H","151.11","453.29","505.04","Finale B"
"Hugues Lesimple","K1H","151.23","424.98","506.19","Finale B"
"Thilbault Rucher","K1H","152.31","409.27","516.51","Finale B"
"Florian Giraud","K1H","153.44","361.94","527.31","Finale B"
"Benjamin Georges","K1H","153.88","456.03","531.52","Finale B"
"Romain Bouby","K1H","153.91","483.23","531.81","Finale B"
"Sebastien Larenaudie","K1H","154.14","-","534","Finale B"
"Tom Charles","K1H","154.5","443.78","537.45","Finale B"
"Nicolas Cappy","K1H","154.7","652.77","539.36","Finale B"
"Pierre Maupetit","K1H","157.61","851.63","567.17","Finale B"
"Anatole Fourcade","K1H","158.32","671.8","573.96","Finale B"
"Corentin Bechu","K1H","159.26","516.99","582.94","Finale B"
"Martial Dumartin","K1H","161.03","-","599.86","Finale B"
"Antoine Corler","K1H","161.13","-","600.82","Finale B"
"Benoit Mandon","K1H","162.44","-","613.34","Finale B"
"Tristan Favennec","K1H","167.83","645.58","664.85","Finale B"
"Jean-noel Biteau","K1H","169.23","622.54","678.24","Finale B"
"Nathanael Bordes","K1H","169.59","678.89","681.68","Finale B"
"Lucas Bruimaud","K1H","170.09","-","686.46","Finale B"
"Michel Daupeux","K1H","170.3","557.71","688.46","Finale B"
"Guillaume Lopes","K1H","171.38","-","698.79","Finale B"
"Christophe Joubert","K1H","174.3","600.42","726.69","Finale B"
"Philippe Albessard","K1H","174.86","678.29","732.05","Finale B"
"Felix Floriot","K1H","175.79","-","740.94","Finale B"
"Lucas Mauer","K1H","175.86","494.44","741.61","Finale B"
"Robin Genty","K1H","177.52","577.83","757.47","Finale B"
"Lucas Mesquita","K1H","179.17","655.05","773.24","Finale B"
"Pierre Pouvreau","K1H","184.91","-","828.11","Finale B"
"Thierry Le Bonniec","K1H","185.89","803.7","837.47","Finale B"
"Matthieu Desbons","K1H","191.86","732.01","894.53","Finale B"
"Luca Gri","K1H","191.89","-","894.82","Finale B"
"Anthony Randisi","K1H","193.59","542.28","911.07","Finale B"
"Bastien Darmayan","K1H","195.54","1019.95","929.71","Finale B"
"Valentin Cesbron","K1H","196.07","349.83","934.77","Finale B"
"Alban Almanric","K1H","196.93","-","942.99","Finale B"
"Joseph Di Nisi","K1H","198.16","783.31","954.75","Finale B"
"Tom Delens","K1H","207.85","445.13","1047.37","Finale B"
"Anthony Penaud","K1H","208.11","-","1049.85","Finale B"
"Loris Ladame","K1H","226.53","-","1225.91","Finale B"
"Jordan Brise","K1H","229.49","570.59","1254.2","Finale B"
"Ludovik Fresnel","K1H","Abs","-","-","Finale B"
"Adrien Baty","K1HM","166.15","698.18","648.8","Finale B"
"Killian Dal-cin","K1HM","177.4","980.31","756.32","Finale B"
"Edouard Patry","K1HM","183.65","-","816.06","Finale B"
"Clement Brotier","K1HM","185.55","-","834.22","Finale B"
"Gaetan Rousseau","K1HM","190.76","-","884.02","Finale B"
"Lucas Deleplancque","K1HM","197.04","-","944.04","Finale B"
"Pierre Chollet","K1HM","207.38","1425.35","1042.87","Finale B"
"Clement Turgis","K1HM","208.61","-","1054.63","Finale B"
"Natan Bignaud","K1HM","242.56","1032.03","1379.13","Finale B"
