"Sélectif régional - 40 ème Grand Prix de Pau - Pau - 2009-02-08","Course 2","2009-02-08","Régional","233"
"Benjamin Buys","K1H","195.91","13","78",""
"Julien Billaut","K1H","197.69","19","85",""
"Mathieu Doby","K1H","198.86","22","90",""
"Louis Georges Lafont","K1H","199.32","46","92",""
"Nicolas Labat","K1H","199.97","44","94",""
"Florian Berail","K1H","200.16","30","95",""
"Hugo Cailhol","K1H","201.92","55","102",""
"Ludovic Di Nisi","K1H","202.01","45","102",""
"Quentin Bove","K1H","202.28","27","103",""
"Renaud Doby","K1H","203.12","14","106",""
"Yann Gudefin","K1H","204.39","29","111",""
"Paul Brier","K1H","204.94","34","113",""
"Nicolas Abbal","K1H","205.15","80","114",""
"Benjamin Travostino","K1H","205.44","31","115",""
"Antoine Launay","K1H","207.20","112","122",""
"Aurelien Maynadier","K1H","208.00","28","125",""
"Loris Minvielle","K1H","209.54","35","130",""
"Arnaud Lapeze","K1H","209.68","33","131",""
"Andy Pajani","K1H","209.75","83","132",""
"Jonathan Delagnes","K1H","209.79","84","132",""
"Thomas Rosset","K1H","210.16","37","133",""
"Benoit Molinier","K1H","210.41","43","134",""
"Jean-yves Cheutin","K1H","211.17","-","137",""
"Nathanael Renia","K1H","211.84","129","140",""
"Alexandre Di Nisi","K1H","215.96","148","155",""
"Stephane Labouille","K1H","217.18","125","160",""
"Virgile Pigache-donnet","K1H","217.50","127","161",""
"Vincent Redon","K1H","217.51","-","161",""
"Jean Baptiste Morera","K1H","218.36","170","165",""
"Fabien Tournadre","K1H","218.55","88","166",""
"Benoit Rouffet","K1H","219.07","72","167",""
"Thibaud Lacour","K1H","220.09","145","171",""
"Michael Guyon","K1H","222.83","73","182",""
"Hugo Hager","K1H","222.97","24","182",""
"Franck Peyrical","K1H","226.05","141","194",""
"Guillaume Bernis","K1H","226.20","157","194",""
"Colin Molinier","K1H","226.92","-","197",""
"Sylvain Mendez","K1H","227.17","198","199",""
"Alexandre Ittel","K1H","228.01","237","201",""
"Boris Lesimple","K1H","232.20","217","218",""
"Bertrand Gourrat","K1H","232.31","155","218",""
"Frederic Descot","K1H","232.54","230","219",""
"Guillaume Picco","K1H","233.31","-","222",""
"Stanislas Pradeleix","K1H","234.95","192","228",""
"Marc Darribere","K1H","235.13","210","229",""
"Marc Laborde","K1H","236.32","190","234",""
"Franck Guarderia","K1H","239.71","272","246",""
"Herve Launay","K1H","240.79","121","251",""
"Pierrick Gaudin","K1H","240.91","219","251",""
"Thibault Gibert","K1H","241.56","178","253",""
"Anthony Themines","K1H","241.96","259","255",""
"Jean-francois Souville","K1H","242.75","230","258",""
"Benjamin Renia","K1H","245.12","38","267",""
"Julien Lenaour","K1H","245.49","229","269",""
"Manuel Dolie","K1H","247.17","311","275",""
"Gurgen Brun","K1H","248.34","223","279",""
"Valerian Boulet","K1H","250.86","257","289",""
"Samuel Hernanz","K1H","251.07","22","290",""
"Olivier Cain","K1H","252.19","312","294",""
"Thomas Neime","K1H","252.69","268","296",""
"Nicolas Le Provost","K1H","252.98","352","297",""
"Edouard Grosjean","K1H","255.27","377","306",""
"Jimy Bercon","K1H","255.35","67","306",""
"Clement Guiraud","K1H","255.87","285","308",""
"Bryan Seiler","K1H","257.62","120","315",""
"Remi Parayre","K1H","258.01","339","317",""
"Romain Chabrol","K1H","261.99","103","332",""
"Mathieu Pouchet","K1H","262.16","271","333",""
"Quentin De Fierville","K1H","262.72","110","335",""
"Adrien Roussel","K1H","263.80","99","339",""
"Sylvain Colonnier","K1H","266.06","158","347",""
"Colin Beziade","K1H","270.44","186","364",""
"Remi Baudot","K1H","272.49","119","372",""
"Thomas Dauvet","K1H","274.10","114","378",""
"Tom Scianimanico","K1H","275.52","207","383",""
"Jean Messialle","K1H","278.87","186","397",""
"Nicolas Fayol","K1H","280.26","-","402",""
"Francois Giondini","K1H","280.85","-","404",""
"Gaetan Coat","K1H","281.58","387","407",""
"Igor Verdy","K1H","291.95","312","447",""
"Fernando Denninger","K1H","293.41","220","452",""
"Nicolas Caussanel","K1H","293.77","237","454",""
"Max Trouve","K1H","301.69","586","484",""
"Pierre Portais","K1H","304.00","226","493",""
"Nicolas Baudoin","K1H","310.97","318","520",""
"Thomas Wingerter","K1H","314.74","407","534",""
"Jerome Dorizon","K1H","318.49","315","548",""
"Damien Launay","K1H","320.96","300","557",""
"Antoine Roux","K1H","326.40","300","579",""
"Valentin Pahon","K1H","328.99","280","588",""
"Gregoire Olivier","K1H","330.54","447","595",""
"Nicolas Neveu","K1H","343.17","572","643",""
"Florent Boulet","K1H","344.17","116","647",""
"Matthias Besse","K1H","348.31","308","663",""
"Aurelien Penicaud","K1H","350.08","701","669",""
"Florian Juanico","K1H","357.92","-","699",""
"Marc Lalande","K1H","359.34","621","705",""
"Jean-philippe Rome","K1H","372.49","418","756",""
"Maxime Vinel","K1H","372.98","508","757",""
"Komlangan Gassou","K1H","429.15","679","973",""
"Loic Pierre","K1H","435.13","762","995",""
"Florian Campagnole","K1H","462.26","411","1099",""
"Kevin Monlezun","K1H","462.88","465","1102",""
"Marc Cailhol","K1H","481.21","417","1172",""
"Romain Chudy","K1H","505.92","1168","1267",""
"Alexandre Jouve","K1H","545.28","-","1417",""
"Yannis Lorenzi","K1H","928.26","-","2885",""
"Thomas Masuy","K1H","Abs","-","-",""
"Axel Mulle","K1H","Abs","-","-",""
"Louis-maxime Main","K1H","Dsq","-","-",""
"Marc Brossard","K1H","Abs","-","-",""
"Jeancharles Bernis","K1H","Abs","-","-",""
"Frederic Lascourreges","K1H","Abs","-","-",""
"Baptiste Soulat","K1H","Abs","-","-",""
"Frederic Saint Agne","K1H","Abs","-","-",""
"Pascal Dongarra","K1H","Abs","-","-",""
"Brice Dantin","K1H","Abs","-","-",""
"Eric Vidou","K1H","Abs","-","-",""
"Leo Slaghuis","K1H","Abs","-","-",""
"Romain Cazaux-lerou","K1H","Abs","-","-",""
"Sebastien Martel","K1H","Abs","-","-",""
"Antony Alves","K1H","Abs","-","-",""
"Quentin Hostens","K1H","Abs","-","-",""
"Sylvain Thouvenot","K1H","Abd","-","-",""
"Xavier Auneau","K1H","Abs","-","-",""
"Robin Ligneau","K1H","Abs","-","-",""
"Pierre Cottereau","K1H","Abs","-","-",""
"Nasser Belabdi","K1H","Abs","-","-",""
"Maurice Pubert","K1H","Abd","-","-",""
"Sebastien Peres","K1H","Abs","-","-",""
"Francois Curo","K1H","Abs","-","-",""
"Kevin Alves","K1H","Abs","-","-",""
"Tanguy Pineau","K1H","Abd","-","-",""
"Thierry Bos","K1H","Abs","-","-",""
"Bastien Dantin","K1H","Abs","-","-",""
"Sebastien Halilou","K1H","Abs","-","-",""
"Luc Formet","K1H","Abs","-","-",""
