"Sélectif Régional Slalom (Double) - Vinon-sur-verdon - Course n°1 | Finale - 2017-11-18","Course n°1 | Finale","2017-11-18","Régional","158"
"Romain Bourguignon","C1H","135.98","617.56","607.77","Course n°1 | Finale B"
"Simon Del Negro","C1H","136.34","489.88","611.95","Course n°1 | Finale B"
"Robin Andre","C1H","138.49","632.74","636.9","Course n°1 | Finale B"
"Raphael Wiche","C1H","142.79","797.88","686.82","Course n°1 | Finale B"
"Pierre Fillinger","C1H","147.11","873.39","736.98","Course n°1 | Finale B"
"Baptiste Saul","C1HM","146.33","960.58","727.93","Course n°1 | Finale B"
"Axel Clement","C1HM","161.22","1142.32","900.79","Course n°1 | Finale B"
"Gaspard Gonseth","C1HM","171.06","904.09","1015.03","Course n°1 | Finale B"
"Thibaud Chovin","C1HM","201.56","895.04","1369.13","Course n°1 | Finale B"
"Titouan Sourieau","C1HM","290.27","1916.43","2399.02","Course n°1 | Finale B"
"Baptiste Saul-Pierre Escuret","C2HM","Abd","-","-","Course n°1 | Finale B"
"Clara Jannic","K1D","130.31","420.32","434.84","Course n°1 | Finale B"
"Anouk Alberti","K1D","141.63","440.94","556.95","Course n°1 | Finale B"
"Chiara Cini","K1D","158.12","653.29","734.84","Course n°1 | Finale B"
"Imogen Chassing","K1D","164.45","1199.06","803.13","Course n°1 | Finale B"
"Aurore Durris","K1D","168.55","1473.65","847.35","Course n°1 | Finale B"
"Marianne Tuytten","K1D","191.19","590.51","1091.59","Course n°1 | Finale B"
"Lucie Fromentoux","K1D","Abs","-","-","Course n°1 | Finale B"
"Claire Teillerie","K1DM","149.21","611.28","638.72","Course n°1 | Finale B"
"Aurelie Cabrera","K1DM","157.22","824.95","725.14","Course n°1 | Finale B"
"Emma Fauriel","K1DM","160.58","1173.13","761.38","Course n°1 | Finale B"
"Naia Roser","K1DM","163.06","1034.48","788.13","Course n°1 | Finale B"
"Caroline Guita","K1DM","166.13","1188.11","821.25","Course n°1 | Finale B"
"Lisa Sadelli","K1DM","Des","-","-","Course n°1 | Finale B"
"Lux Debruyne","K1DM","Des","-","-","Course n°1 | Finale B"
"Kilian Cottet","K1H","110.31","379.01","373.78","Course n°1 | Finale B"
"Cedric Mace","K1H","110.49","308.76","375.97","Course n°1 | Finale B"
"Nicolas Demofsqui","K1H","114.31","462.68","422.54","Course n°1 | Finale B"
"Paul Badache","K1H","116.99","535.32","455.21","Course n°1 | Finale B"
"Alexis Mercoirol","K1H","118.78","544.82","477.03","Course n°1 | Finale B"
"Rutger Hoedemaker","K1H","120.66","652.47","499.95","Course n°1 | Finale B"
"Charlie Genovese","K1H","120.81","473.65","501.78","Course n°1 | Finale B"
"Philippe Lelieur","K1H","121.12","499.17","505.56","Course n°1 | Finale B"
"Romain Bourguignon","K1H","121.41","456.51","509.09","Course n°1 | Finale B"
"Valentin Affortit","K1H","123.08","518.21","529.45","Course n°1 | Finale B"
"Baptiste Dumas","K1H","123.52","604","534.81","Course n°1 | Finale B"
"Gilles Lovera","K1H","125.37","553.32","557.36","Course n°1 | Finale B"
"Dominique Polard","K1H","125.41","530.79","557.85","Course n°1 | Finale B"
"Mathieu Buono-michel","K1H","125.53","518.12","559.31","Course n°1 | Finale B"
"Bastien Cothenet","K1H","129.19","578.51","603.93","Course n°1 | Finale B"
"Ulysse Brunel","K1H","129.37","645.66","606.12","Course n°1 | Finale B"
"Matthieu Rousseau","K1H","130.75","565.14","622.95","Course n°1 | Finale B"
"Justin Murphy","K1H","132.36","678.55","642.57","Course n°1 | Finale B"
"Valentin Jossemit","K1H","132.67","865.24","646.35","Course n°1 | Finale B"
"Jocelyn Locatelli","K1H","135.63","657.7","682.43","Course n°1 | Finale B"
"Ollivier Paumier","K1H","137.01","671.91","699.26","Course n°1 | Finale B"
"Pierre Courtois","K1H","138.39","524.1","716.08","Course n°1 | Finale B"
"Simon Del Negro","K1H","138.41","699.33","716.32","Course n°1 | Finale B"
"Esteban Reder-issartel","K1H","144.37","625.08","788.98","Course n°1 | Finale B"
"Stephen Furio","K1H","145.73","1698.96","805.55","Course n°1 | Finale B"
"Ange Bernard","K1H","147.53","774.88","827.5","Course n°1 | Finale B"
"Swann Imbert","K1H","155.06","741.7","919.29","Course n°1 | Finale B"
"Manu Kempf","K1H","166.9","1080.19","1063.62","Course n°1 | Finale B"
"Bruno Giovannelli","K1H","177.45","557.36","1192.22","Course n°1 | Finale B"
"Clement Blancgras","K1H","200.09","776.37","1468.21","Course n°1 | Finale B"
"Stephane Breton","K1H","205.1","1314.67","1529.28","Course n°1 | Finale B"
"Aurelien Lauze","K1H","Des","-","-","Course n°1 | Finale B"
"Clement Couchoud","K1HM","109.88","393.25","368.54","Course n°1 | Finale B"
"Edouard Chenal","K1HM","114.86","289.87","429.25","Course n°1 | Finale B"
"Pierre Escuret","K1HM","131.64","646.79","633.8","Course n°1 | Finale B"
"Louis Payan","K1HM","137.92","639.38","710.35","Course n°1 | Finale B"
"Arthur Sanchez","K1HM","138.54","650.32","717.91","Course n°1 | Finale B"
"Jules Sourieau","K1HM","139.44","975.31","728.88","Course n°1 | Finale B"
"Axel Gondard","K1HM","142.81","1092.94","769.96","Course n°1 | Finale B"
"Guillaume Mele","K1HM","146.38","1200.16","813.48","Course n°1 | Finale B"
"Gaspard Gonseth","K1HM","151.93","1005.52","881.13","Course n°1 | Finale B"
"Oscar Puc","K1HM","152.37","919.98","886.5","Course n°1 | Finale B"
"William Varela","K1HM","162.01","1410.28","1004.01","Course n°1 | Finale B"
"Marc Lanchais","K1HM","194.76","914.68","1403.23","Course n°1 | Finale B"
"Emmy Bernard","OUV","152.97","-","-","Course n°1 | Finale B"
"Eloise Brisset","OUV","156.26","-","-","Course n°1 | Finale B"
