"Sélectif National 3 Slalom Nord - Beauvais - Qualification - 2018-03-25","Qualification","2018-03-25","Nationale 3","160"
"Leontine Dubuisson","K1D","121.19","487.59","466.47",""
"Camille De Araujo","K1D","124.69","550.46","508.3",""
"Elza Horlock","K1D","126.91","660.98","534.84",""
"CÉlya Foucard","K1D","127.88","580.16","546.43",""
"Florence Marchal","K1D","129.07","603.82","560.65",""
"Lea Feuillard","K1D","129.22","513.34","562.45",""
"Yuna Pernet","K1D","131.69","486.99","591.97",""
"Salome Huet","K1D","133.38","664.47","612.16",""
"Julie Dupas","K1D","133.5","652.53","613.61",""
"Anouk Hadad","K1D","135.96","657.25","643.01",""
"Catherine Boulan","K1D","139.71","593.55","687.83",""
"Charlotte Chauvey","K1D","144.19","558.19","741.38",""
"Maeva Firon","K1D","144.33","845.86","743.05",""
"Sandrine Arnal","K1D","146.14","729.84","764.68",""
"Coralie Delmotte","K1D","151.53","796.37","829.1",""
"Charline Dole","K1D","155.25","849.75","873.56",""
"Solene Douche","K1D","197.84","745.38","1382.62",""
"Angele Sottolefevre","K1D","245.16","882.25","1948.21",""
"Quentin Mannier","K1H","96.51","321.34","321.44",""
"Ianis Fleury","K1H","97.78","321.54","338.6",""
"Enzo Cozette","K1H","98.22","329.03","344.54",""
"Jean Aussant","K1H","98.75","337.41","351.7",""
"Melvin Queudeville","K1H","98.9","393.76","353.72",""
"Romain Huguenin","K1H","99.03","292.41","355.48",""
"Samuel Lhote","K1H","99.4","353.52","360.48",""
"Bertrand Avril","K1H","99.75","316.04","365.2",""
"Helwann Rachdi","K1H","100.19","557.41","371.15",""
"Eden Quevremont","K1H","100.28","328.61","372.36",""
"Theo Moalic","K1H","100.46","374.36","374.79",""
"Enzo Claeys","K1H","100.61","425.42","376.82",""
"Thibaud Collaert","K1H","101.25","304.18","385.46",""
"Mathieu Aussant","K1H","101.47","404.89","388.43",""
"Estephe Decarsin","K1H","101.65","441.24","390.86",""
"Louis Debureaux","K1H","101.8","311.01","392.89",""
"Paul Cascarino","K1H","102.56","498.98","403.16",""
"Amaury Brucher","K1H","102.58","350.79","403.43",""
"Robin Dheilly","K1H","103.07","410.95","410.04",""
"Nicolas Candieu","K1H","103.62","357.8","417.47",""
"Edouard Gracias","K1H","103.63","386.67","417.61",""
"Quentin Angot","K1H","103.72","332.72","418.82",""
"Julien Fougeron","K1H","103.75","322.89","419.23",""
"Maxime Savalle","K1H","104.12","421.14","424.23",""
"Marceau Decarsin","K1H","104.5","402.91","429.36",""
"Romain Bezies","K1H","105.2","368.4","438.81",""
"Mathis Piepho","K1H","105.53","500.49","443.27",""
"Thomas Martinet","K1H","105.66","379.3","445.02",""
"Alan Le Goff","K1H","105.85","413.5","447.59",""
"Jeremie Hepner","K1H","106.54","379.52","456.91",""
"Valentin Fleury","K1H","107.35","445.16","467.85",""
"Clement Font-boinel","K1H","107.53","379.29","470.28",""
"Louis Vanbersel","K1H","107.75","595.7","473.25",""
"Florent Bernard","K1H","107.78","382.91","473.66",""
"Jeremy Huguenin","K1H","107.84","369.98","474.47",""
"Titouan Aussant","K1H","108.16","576.74","478.79",""
"David Delavigne","K1H","108.32","562.07","480.95",""
"Fabien Bonvalet","K1H","108.91","491.26","488.92",""
"Nicolas Dupres","K1H","109.03","446.74","490.54",""
"Philippe Piat","K1H","110.1","501.53","504.99",""
"Teo Durand","K1H","110.46","533.88","509.85",""
"Thibaut Evrard","K1H","110.91","476.78","515.93",""
"Basile Drapier","K1H","112.13","468.96","532.41",""
"Dante Bourlet De La Vallee","K1H","112.91","545.01","542.94",""
"Gerard Lafargue","K1H","114.81","518.84","568.61",""
"Clery Girard","K1H","116.6","611.48","592.78",""
"Loan Guyomarch","K1H","118.21","986.16","614.53",""
"Dimitri Houlier","K1H","118.22","513.96","614.66",""
"Thomas Gossieaux","K1H","118.65","606.09","620.47",""
"Mathias Vautier","K1H","118.71","727.98","621.28",""
"Paul Pesant","K1H","118.75","613.16","621.82",""
"Philippe Valeri","K1H","118.96","556.28","624.66",""
"Louis Marescot","K1H","119","723.14","625.2",""
"Maxence Galy","K1H","119.66","627.32","634.11",""
"Elouan Fouquier","K1H","120.41","541.61","644.24",""
"Gabriel Benoit","K1H","120.41","597.24","644.24",""
"Flavien Firon","K1H","120.43","701.15","644.51",""
"Antoine Gossieaux","K1H","122.08","718.06","666.8",""
"Hugo Tellier","K1H","122.25","567.83","669.09",""
"Tom Armand","K1H","123.02","666.21","679.49",""
"Esteban Olivier","K1H","124.09","697.88","693.94",""
"Gaetan Laperle","K1H","126.16","650.7","721.9",""
"Eric Bernard","K1H","130.05","868.33","774.44",""
"Erwan Masson","K1H","130.8","785.91","784.57",""
"Thomas Leblond","K1H","132.18","952.75","803.21",""
"Lucas Ferloni","K1H","133.35","853.42","819.01",""
"Vincent Dorchat","K1H","133.75","1012.61","824.41",""
"Mao Caron","K1H","139.89","940.72","907.34",""
"Pierre Tardif","K1H","142.75","755.49","945.97",""
"Samuel Gornet","K1H","143.6","908.74","957.45",""
"Tony Faria","K1H","144.94","909.26","975.55",""
"Alain Brucher","K1H","145.99","874.09","989.73",""
"Leo Degraeve","K1H","153.32","382","1088.73",""
"Matheo Dupont","K1H","159.91","441.57","1177.74",""
"Florian Jumetz","K1H","Nt","-","-",""
"Hugo Pidoux","K1H","Nt","-","-",""
"Alain Regnier","K1H","Nt","-","-",""
"Pierre Yves Tempier","K1H","Dsq","-","-",""
"Nathan Saintobert","K1H","Dsq","-","-",""
"Noe Vannier","K1H","Nt","-","-",""
