"2ème manche des championnats de France - Finale - Les Roches du Diable - Course de qualification - 2010-02-28","Course de qualification","2010-02-28","Nationale 1","115"
"Emilie Chamouleau","K1D","Nt","-","-",""
"Nagwa Lanchec El Desouki","K1D","Nt","-","-",""
"Benjamin Renia","K1H","88.6","4","1",""
"Emmanuel Walczak","K1H","88.7","29","1",""
"Quentin Bove","K1H","89.57","18","5",""
"Etienne Daille","K1H","90.93","12","11",""
"Mathieu Doby","K1H","91.67","4","14",""
"Louis Georges Lafont","K1H","93.3","37","21",""
"Yann Gudefin","K1H","94.3","23","25",""
"Frederic Walczak","K1H","94.58","12","26",""
"Thomas Rosset","K1H","95.86","24","32",""
"Enrick Cunsolo","K1H","96.26","60","33",""
"Yann Le Govic","K1H","96.55","57","35",""
"Vincent Reiter","K1H","96.81","63","36",""
"Christophe Augu","K1H","96.89","25","36",""
"Quentin Burgi","K1H","96.93","59","36",""
"Nicolas Labat","K1H","97.01","27","37",""
"Benjamin Buys","K1H","97.37","6","38",""
"Benjamin Travostino","K1H","98.43","17","43",""
"Oswald Besch","K1H","98.6","28","44",""
"Benoit Guillaume","K1H","99.44","10","47",""
"Jules Bevalot","K1H","99.87","30","49",""
"Jimy Bercon","K1H","100.13","14","50",""
"Raphael Reveche","K1H","100.31","15","51",""
"Jonathan Delagnes","K1H","100.36","56","51",""
"Jeremy Cremonesi","K1H","100.43","36","52",""
"Florian Berail","K1H","100.83","17","53",""
"Andy Pajani","K1H","102.71","32","61",""
"Mathieu Biazizzo","K1H","103.5","60","64",""
"Johan De Mareuil","K1H","105.18","29","72",""
"Vivien Colober","K1H","106.03","6","75",""
"Thomas Bersinger","K1H","106.19","4","76",""
"Pierre Marie Roussel","K1H","106.34","40","77",""
"Hugo Cailhol","K1H","106.46","27","77",""
"Samuel Lhegu","K1H","108.57","61","86",""
"Arnaud Lapeze","K1H","110.54","25","95",""
"Julien Dekarczyk","K1H","144.64","13","241",""
"Christophe Marechal","K1H","146.02","41","247",""
"Aurelien Maynadier","K1H","156.04","22","289",""
"Ronan Lucas","K1H","188.28","32","428",""
"Nicolas Veillard","K1H","211.88","28","529",""
"Alexis Caspar","K1H","219.16","33","560",""
"Yoann Hautecloche","K1H","291.92","39","872",""
"Ludovic Di Nisi","K1H","327.13","22","1023",""
"Louis Philippe Rigal","K1H","441.7","41","1513",""
"Goulwen Chapelier","K1H","Nt","-","-",""
