"Play Off National 2  sur  National 1 - 68330 Huningue - Qualification - Manche 1 - 2019-11-09","Qualification - Manche 1","2019-11-09","Nationale 1","154"
"Julien Pajaud","K1H","99.47","85.43","176.73",""
"Laurent Starck","K1H","99.81","201.32","180.59",""
"Lucas Augu","K1H","99.99","145.05","182.64",""
"Maxime Aubertin","K1H","100.01","184.04","182.86",""
"Benjamin Dodane","K1H","100.52","192.78","188.66",""
"Jonas Turmeau","K1H","100.67","142.31","190.36",""
"Theo Foucher","K1H","100.77","-","191.49",""
"Romain Branjauneau","K1H","100.99","181.37","193.99",""
"Samuel Bonella","K1H","100.99","174.44","193.99",""
"Arnaud Verrons","K1H","101.07","153.31","194.9",""
"Gawaine Chikh","K1H","101.44","186.29","199.1",""
"Joris Hello","K1H","101.45","165.45","199.22",""
"Benjamin Travostino","K1H","101.48","119.48","199.56",""
"Jerome Olhagaray","K1H","102.62","242.58","212.5",""
"Benoit Chantry","K1H","102.69","168.66","213.3",""
"Joris Schaffner","K1H","103.17","226.88","218.75",""
"Cyprien Cail","K1H","103.34","222.9","220.68",""
"Killian Flegeau","K1H","103.43","207.97","221.7",""
"Thibaud Lacour","K1H","103.61","206.12","223.75",""
"Sami Rocher","K1H","103.85","133.77","226.47",""
"Edouard Chenal","K1H","104.03","174.96","228.52",""
"Alex Louveau","K1H","104.27","144.58","231.24",""
"Max Derame","K1H","104.61","275.09","235.1",""
"Xavier Jourdain","K1H","104.73","212.29","236.46",""
"Etienne Wiche","K1H","104.8","173.58","237.26",""
"Mael Hervault","K1H","105.03","181.04","239.87",""
"Tom Bouchardon","K1H","105.1","115.16","240.67",""
"Nathanael Pedron","K1H","105.11","188.12","240.78",""
"Luc Hellard","K1H","105.17","204.79","241.46",""
"Elliot Perez","K1H","105.77","178.79","248.28",""
"Hugo Cailhol","K1H","105.93","127.71","250.09",""
"Andreas Dupuy","K1H","106.9","199.75","261.11",""
"Yon Dandonneau","K1H","107.75","245.33","270.76",""
"Adrien Pardoux","K1H","108.04","269.56","274.05",""
"Hugo Monasse","K1H","108.15","204.55","275.3",""
"Benjamin Harreau","K1H","108.73","221.31","281.89",""
"Fantin Delage-garez","K1H","108.73","266.89","281.89",""
"Romain Bruneau","K1H","108.75","163.77","282.12",""
"Tanguy Malingre","K1H","108.98","187.43","284.73",""
"Raphael Massot","K1H","109.5","289.2","290.63",""
"Nicolas Feuillard","K1H","109.56","215.55","291.32",""
"Loic Trenchant","K1H","109.68","224.37","292.68",""
"GaËtan De Greef","K1H","110.16","232.33","298.13",""
"Thomas Ukalovic","K1H","112.12","159.78","320.39",""
"Mael Bernes","K1H","112.57","216.42","325.5",""
"Lucas Correia","K1H","112.61","230.27","325.95",""
"Axel Guilleret","K1H","112.62","266.7","326.07",""
"Loan Queffelec","K1H","112.88","167.28","329.02",""
"Cedric Landreau","K1H","112.96","209.21","329.93",""
"GÉrÔme Martin","K1H","113.44","189.6","335.38",""
"Ianis Fleury","K1H","114.14","285.2","343.33",""
"Samuel Le Dean","K1H","114.15","266.83","343.44",""
"Melvin Queudeville","K1H","115.26","281.46","356.05",""
"Aurelien Merieux Danneaux","K1H","115.65","301.99","360.47",""
"Hugo Crespo","K1H","116.68","212.37","372.17",""
"Lucas Jacob","K1H","151.27","161.6","764.98",""
"Olivier Cail","K1H","154.02","168.03","796.21",""
"Quentin Bove","K1H","154.77","155.95","804.73",""
"Lukas Estanguet-santamaria","K1H","157.54","278.65","836.19",""
"Maxence Davy","K1H","164.79","273.6","918.52",""
"Otello Willmann Rosso","K1H","178.94","220.36","1079.21",""
"Matheo Dupont","K1H","189.82","314.38","1202.76",""
"Arthur Mizzi","K1H","208.55","144.12","1415.47",""
"Victor Lagleyze","K1H","Abs","-","-",""
"Florian Busson","K1H","Abs","-","-",""
"Jules Silvin","K1H","Abs","-","-",""
"Timothee Cornu","K1H","Abs","-","-",""
"Jules Bevalot","K1H","Abs","-","-",""
"Johan De Mareuil","K1H","Abs","-","-",""
