"SELECTIF REGIONAL DE ST PIERRE DE BOEUF - St Pierre De Boeuf - 2004-11-21","Course 1","2004-11-21","Régional","268"
"Renaud Metereau","K1H","234.95","172","217",""
"Etienne Daille","K1H","235.03","222","218",""
"Ballini Yoann","K1H","235.13","264","218",""
"Lebourgeois Alexis","K1H","235.22","208","219",""
"Guillaume Gery","K1H","235.56","244","220",""
"Bersinger Sylvain","K1H","236.82","243","227",""
"Julien Beltrami","K1H","237.07","159","229",""
"Daumas Jeremy","K1H","237.10","231","229",""
"Manoussos Nicolas","K1H","237.35","256","230",""
"Pierre Matthieu","K1H","237.70","-","232",""
"Medjeberg Jeremy","K1H","238.18","190","235",""
"Lemaire Maxime","K1H","239.46","156","242",""
"Alain Ferry","K1H","240.56","235","248",""
"Benjamin Travostino","K1H","240.78","179","249",""
"Delfs Yann","K1H","240.93","196","250",""
"Magat Philippe","K1H","241.21","-","251",""
"Florent Tamburini","K1H","241.33","260","252",""
"Sylvain Follenfant","K1H","242.16","264","257",""
"Clerc Pierrealain","K1H","242.38","205","258",""
"Mathieu Cataldo","K1H","242.84","265","260",""
"Pascal Hunault","K1H","243.97","275","267",""
"Capietto Louis","K1H","244.21","272","268",""
"Chirez Frederic","K1H","244.41","302","269",""
"Del Negro Alexis","K1H","244.63","255","270",""
"Remi Wolf","K1H","245.03","206","272",""
"Martelet Romain","K1H","245.54","283","276",""
"Saint Girons Thomas","K1H","246.37","-","280",""
"Piermay Mathieu","K1H","246.45","251","280",""
"Noize Martial","K1H","248.17","403","290",""
"Veronel Patrice","K1H","248.70","249","293",""
"Domingo Benoit","K1H","248.87","-","293",""
"Pain Tessier Etienne","K1H","249.31","-","297",""
"Benjamin Wagner","K1H","249.44","274","297",""
"Delisse Thomas","K1H","249.81","284","299",""
"Berthiaud Gregory","K1H","250.71","306","305",""
"Yan Labeye","K1H","250.79","483","305",""
"Bonnot Aurélien","K1H","250.90","284","305",""
"Jeanluc Nitard","K1H","251.52","229","309",""
"Fabrice Madier","K1H","251.63","335","309",""
"Vadeboin Mathias","K1H","251.74","-","310",""
"Chirez Pierre","K1H","251.80","247","310",""
"Despax Cedric","K1H","252.12","230","312",""
"Bonnetain Quentin","K1H","253.58","297","320",""
"Olivier Bourgey","K1H","254.12","291","323",""
"Jimy Bercon","K1H","254.22","411","323",""
"Marc Pucher","K1H","254.36","-","325",""
"Thomas Rollot","K1H","254.39","281","325",""
"Meissner Pierre","K1H","254.80","339","327",""
"Keller Paco","K1H","254.80","201","327",""
"Christophe Godinat","K1H","255.31","271","329",""
"Martin Moreau","K1H","256.08","359","333",""
"Baude Francois","K1H","256.52","345","336",""
"Bessiere Florian","K1H","257.38","401","341",""
"Benjamin Renia","K1H","257.48","334","341",""
"Demay Romain","K1H","258.15","323","346",""
"Rech Thomas","K1H","258.30","366","346",""
"Champmartin Michel","K1H","258.83","-","349",""
"Chassain Nathael","K1H","259.80","331","355",""
"Yoann Aupee","K1H","260.94","438","360",""
"Laurent Wolf","K1H","261.61","430","365",""
"Ploix Kevin","K1H","261.94","-","366",""
"Francony Bastien","K1H","262.18","382","368",""
"Guillaume Bertrand","K1H","263.06","-","372",""
"Viallon Hugo","K1H","263.28","340","373",""
"Paul Graton","K1H","263.36","381","373",""
"Antoine Vinay","K1H","263.58","412","376",""
"Cossou Antoine","K1H","265.94","352","388",""
"Vaucher Dimitri","K1H","266.22","379","390",""
"Guillaume Wyart","K1H","266.61","387","392",""
"Morel Jeremie","K1H","267.37","421","396",""
"Biton Jonas","K1H","267.55","389","397",""
"Olivier Urbain","K1H","268.18","295","400",""
"Lecuit François","K1H","268.63","-","403",""
"Marsault Emilien","K1H","269.01","-","406",""
"Vibert Guillaume","K1H","270.97","421","416",""
"Esnault Philippe","K1H","271.78","561","420",""
"Stephane Simonpietri","K1H","272.63","428","426",""
"Ferrandon Damien","K1H","272.76","-","426",""
"Mickael Cordier","K1H","272.82","435","426",""
"Marc Janeriat","K1H","274.20","-","433",""
"Carreras Arnaud","K1H","276.03","-","443",""
"Romain Hager","K1H","277.94","513","455",""
"Christophe Lacave","K1H","278.10","-","456",""
"Dekerleau Sebastien","K1H","278.92","752","460",""
"Boris Doye","K1H","280.24","-","467",""
"Aupee Eric","K1H","281.54","449","475",""
"Balhat Youcef","K1H","282.73","441","481",""
"Benjamin Buys","K1H","283.34","105","485",""
"Sylvain Ferry","K1H","284.57","549","491",""
"Kevin Schultz","K1H","285.79","162","498",""
"Guilhem Courduries","K1H","287.17","595","506",""
"Pradeau Xavier","K1H","288.35","440","512",""
"Dalex Karl","K1H","289.19","497","517",""
"Philippe Chapatte","K1H","289.24","489","517",""
"Olivier Blanc","K1H","289.98","140","521",""
"Philippe Godinat","K1H","290.96","381","527",""
"Vaudaine Antoine","K1H","292.68","-","536",""
"Zaki Yassine","K1H","294.98","720","549",""
"Antoine Devillez","K1H","295.98","490","555",""
"Bajolet Julien","K1H","296.43","395","557",""
"Friboulet Mickael","K1H","297.03","503","560",""
"Baeza Tony","K1H","298.06","569","566",""
"Fatou Clement","K1H","300.05","572","577",""
"Fabrice Magueur","K1H","300.76","604","580",""
"Pras Olivier","K1H","302.88","-","592",""
"Vallet Florian","K1H","304.00","536","599",""
"Nicolas Abbal","K1H","309.01","284","626",""
"Kim Hervé","K1H","309.52","2006","629",""
"Rety Simon","K1H","309.94","375","631",""
"Pierre Alexandre Facon","K1H","311.25","716","639",""
"Dorlencourt Richard","K1H","311.31","531","639",""
"Provost Olivier","K1H","312.39","-","645",""
"Girardet Julien","K1H","312.84","588","647",""
"Philippe Jules","K1H","317.97","348","676",""
"Neveu Remi","K1H","327.61","815","729",""
"David Berthillier","K1H","328.65","-","735",""
"Gerard Cartier","K1H","329.12","-","737",""
"Guerrairi Robert","K1H","333.34","-","760",""
"Tom Bar","K1H","339.59","565","795",""
"Jeremy Pitton","K1H","344.15","1161","820",""
"Guillois Ugo","K1H","351.99","-","864",""
"Montaud Yann","K1H","359.55","575","906",""
"Gaillard Thomas","K1H","370.36","-","965",""
"Yanis Burdet","K1H","371.19","934","970",""
"Bergougnoux Anthony","K1H","392.97","-","1090",""
"Carisey Pierre","K1H","411.57","506","1193",""
"Cnapelynck Aurélien","K1H","433.74","1272","1316",""
