"Sélectif Régional de slalom - Sev L'argentiere La Bessee - Course n°2 | Finale - 2015-09-20","Course n°2 | Finale","2015-09-20","Régional","134"
"Lucie Adisson","K1D","105.83","388.86","409.11","Course n°2 | Finale B"
"Tiphanie Borlet","K1D","106.2","451.54","413.94","Course n°2 | Finale B"
"Lorene Scalbert","K1D","119.99","430.79","594.12","Course n°2 | Finale B"
"Emma Vieira Coelha","K1D","121.01","429.82","607.43","Course n°2 | Finale B"
"Laurine Grandadam","K1D","123.19","-","635.93","Course n°2 | Finale B"
"Juliette Ribault","K1D","123.34","568.03","637.88","Course n°2 | Finale B"
"Amandine CrÉgut","K1D","184.33","1157.2","1434.74","Course n°2 | Finale B"
"Louane Chenal","K1DM","102.57","-","366.51","Course n°2 | Finale B"
"Camille Berson","K1DM","118.61","-","576.09","Course n°2 | Finale B"
"Mila Vikroff","K1DM","199.9","-","1638.17","Course n°2 | Finale B"
"Elke Saragas","K1DM","212.73","-","1805.8","Course n°2 | Finale B"
"Clara Jannic","K1DM","319.71","-","3203.53","Course n°2 | Finale B"
"Dimitri Durannot","K1H","85.97","237.03","295.65","Course n°2 | Finale B"
"Nayl Tazi-sidqui","K1H","91.29","416.57","374.19","Course n°2 | Finale B"
"Cyril Audoit","K1H","91.96","368.66","384.08","Course n°2 | Finale B"
"Aurelien Fualdes","K1H","92.04","-","385.27","Course n°2 | Finale B"
"Mikael Clanchin","K1H","92.31","412.66","389.25","Course n°2 | Finale B"
"Hugo Polard","K1H","96.94","505.64","457.61","Course n°2 | Finale B"
"Antoni Zaki","K1H","100.37","406.51","508.25","Course n°2 | Finale B"
"Alexis Mercoirol","K1H","101.02","412.99","517.85","Course n°2 | Finale B"
"Luca Barone","K1H","101.54","615.82","525.52","Course n°2 | Finale B"
"Gilles Lovera","K1H","102.78","432.02","543.83","Course n°2 | Finale B"
"Louis Scalbert","K1H","103.25","479.85","550.77","Course n°2 | Finale B"
"Fabien Leist","K1H","103.46","367.32","553.87","Course n°2 | Finale B"
"Pierre Courtois","K1H","104.48","557.08","568.93","Course n°2 | Finale B"
"Enzo Briffa","K1H","104.68","641.2","571.88","Course n°2 | Finale B"
"Hugo Martin -laemle","K1H","105.43","510.41","582.95","Course n°2 | Finale B"
"Dominique Polard","K1H","105.79","551.24","588.27","Course n°2 | Finale B"
"Hugo Avril","K1H","108.8","575.88","632.71","Course n°2 | Finale B"
"Philippe Bigard","K1H","112.09","724.76","681.28","Course n°2 | Finale B"
"Paul Badache","K1H","112.56","579.85","688.22","Course n°2 | Finale B"
"Enzo Mazouat","K1H","112.58","714.49","688.52","Course n°2 | Finale B"
"Hugo Nerisson","K1H","113.34","848.05","699.74","Course n°2 | Finale B"
"Tom Mazouat","K1H","114.64","698.36","718.93","Course n°2 | Finale B"
"Ollivier Paumier","K1H","115.06","502.21","725.13","Course n°2 | Finale B"
"Quentin Laplace","K1H","116.61","-","748.01","Course n°2 | Finale B"
"William Griffiths","K1H","120.62","-","807.22","Course n°2 | Finale B"
"Charles Coulon","K1H","135.96","-","1033.7","Course n°2 | Finale B"
"Paul Gaillard","K1H","148.32","472.18","1216.18","Course n°2 | Finale B"
"Bastien Cothenet","K1H","338.59","-","4025.3","Course n°2 | Finale B"
"Maxence Jehan","K1HM","97.63","-","-","Course n°2 | Finale B"
"Antonin Dustou","K1HM","105.19","-","579.41","Course n°2 | Finale B"
"Robin Andre","K1HM","106.8","-","-","Course n°2 | Finale B"
"Enzo Guillarme","K1HM","108.59","-","629.61","Course n°2 | Finale B"
"Aymeric Rivier","K1HM","112.3","-","684.38","Course n°2 | Finale B"
"Simon Del Negro","K1HM","113.79","-","706.38","Course n°2 | Finale B"
"Gael Fauroux","K1HM","115.94","-","738.12","Course n°2 | Finale B"
"AloÏs Cretier","K1HM","130.84","-","958.1","Course n°2 | Finale B"
