"Sélectif Régional - Espace Eaux Vives du Pilat Rhodanien - 2012-09-30","Course 2","2012-09-30","Régional","312"
"Antoine Gaillard-Antonin Elne","C2H","119.44","227.4","208.57",""
"Herve Clerc-Pierrealain Clerc","C2H","119.98","-","213.62",""
"Jean Baptiste Thiel-Pascal Ferry","C2H","121.97","215.99","232.24",""
"Armand Rakowski-Emmanuel Sarazin","C2H","122.83","121.79","240.3",""
"Olivier Bourgey-Andy Pajani","C2H","123.91","178.14","250.39",""
"Emeric Vibert-Valentin Vibert","C2H","124.68","166.34","257.6",""
"Cedric Bron-Eric Labarelle","C2H","125.25","-","262.94",""
"Mathieu Lions-Cyril Audoit","C2H","136.38","-","367.1",""
"Baptiste Podor-Alex Piotte","C2H","170.42","-","685.67",""
"Axel Aillet-Axel Del Negro","C2H","187.82","230.43","848.51",""
"Yannick Grizaud-Theophile Gaillard","C2H","207.62","974.11","1033.81",""
"Kevin Guyard-Loic Collard","C2H","Nt","-","-",""
"Nicolas Eymaron-Guillaume Jardin","C2H","Nt","-","-",""
"Jonas Le Morvan-Claire Landrin","C2M","123.82","148.05","170.99",""
"Lena Jouannic-Armand Rakowski","C2M","143.69","-","344.34",""
"Mathias Levy-Marine Tournier","C2M","Nt","-","-",""
"Marie Bourgey-Damien Ferraud","C2M","Nt","-","-",""
"Elise Chabbey","K1D","105.99","25.87","56.36",""
"Anneline Triomphe","K1D","106.66","43.97","62.46",""
"Julie Neime","K1D","108.91","51.97","82.96",""
"Clementine Geoffray","K1D","109.07","37.7","84.42",""
"Barbara Gibert","K1D","109.34","92.63","86.88",""
"Julie Labarelle","K1D","109.85","81.71","91.52",""
"Melanie Ragaru","K1D","109.99","66.46","92.8",""
"Nelly Tornare","K1D","112","117.27","111.11",""
"Mylene Ferry","K1D","114.04","85.46","129.69",""
"Marie Borlet","K1D","115.63","113.04","144.18",""
"Charlotte Lubineau","K1D","115.78","152.16","145.54",""
"Anne Sophie Le Bailly","K1D","117.04","69.14","157.02",""
"Emeline Oudet","K1D","117.16","168.52","158.11",""
"Lea Wetzel","K1D","117.51","61.12","161.31",""
"Isaline Chabbey","K1D","121.08","212.8","193.83",""
"Tiphanie Borlet","K1D","121.12","270.18","194.2",""
"Marion Delorme","K1D","121.82","132.59","200.57",""
"Marine Schmitt","K1D","122.81","161.94","209.59",""
"Raphaelle Hovine","K1D","123.03","131.03","211.59",""
"Julie Wassmer","K1D","124.74","141.56","227.17",""
"Laura Rocher","K1D","125.38","139.77","233.01",""
"Charlotte Issagarre","K1D","127.1","263.41","248.68",""
"Jenny Chevalier","K1D","127.28","166.6","250.31",""
"Emma Croisier","K1D","127.82","208.34","255.23",""
"Melanie Bordier","K1D","131.75","160.65","291.04",""
"Phenicia Dupras","K1D","132.34","193.86","296.41",""
"Julie Doby","K1D","132.7","-","299.69",""
"Clara Gache","K1D","133.7","189.43","308.81",""
"Leonie Gachon","K1D","134.63","252.86","317.28",""
"Carla Cerrutti - Bozzola","K1D","140.54","267.87","371.12",""
"Louise Bichet","K1D","141.13","292.56","376.49",""
"Mariepierre Guindeo","K1D","145.74","-","418.48",""
"Marie Boyer","K1D","153.24","532.01","486.82",""
"Barbara Lassechere","K1D","155.14","323.37","504.12",""
"Stephanie Bourdin","K1D","158.25","390.41","532.45",""
"Angele Picco","K1D","169.22","469.28","632.39",""
"Laure Castel","K1D","169.37","-","633.76",""
"Delphine Vandenberghe","K1D","172.19","713.06","659.46",""
"Julie Paulien","K1D","223.41","435.9","1126.08",""
"Berengere Guerin","K1D","235.63","474.82","1237.4",""
"Charlotte Paulien","K1D","259.3","307.34","1453.04",""
"Tiffany Fourt","K1D","271.27","-","1562.09",""
"Aurore Pellegrini","K1D","281.06","-","1651.28",""
"Myriam Boulard","K1D","349.11","-","2271.23",""
"Zoe Chinal","K1D","537.8","461.8","3990.22",""
"Jade Vassallo","K1D","Nt","-","-",""
"Beatrice Favre","K1D","Nt","-","-",""
"Michaela Daille","K1D","Nt","-","-",""
"Anais Couturier","K1D","Nt","-","-",""
"Marine Tournier","K1D","Nt","-","-",""
"Melanie Palazy","K1D","Nt","-","-",""
"Helene Thuret","K1D","Nt","-","-",""
"Annaelle Meheut","K1D","Nt","-","-",""
"Renaud Doby","K1H","93.15","19.26","49.7",""
"Kevin Schultz","K1H","94.24","31.69","60.92",""
"Jonathan Chapatte","K1H","95.26","67.68","71.42",""
"Boris Chenal","K1H","96.54","52.43","84.6",""
"Andy Pajani","K1H","96.77","26.44","86.97",""
"Jeremy Cremonesi","K1H","96.84","21.26","87.69",""
"Emile Devaux","K1H","97.31","32.99","92.53",""
"Nicolas Abbal","K1H","97.55","60.39","95",""
"Sullivan Porcher","K1H","98.38","35.15","103.54",""
"Pascal Ferry","K1H","98.84","94.88","108.28",""
"Martin Daviet","K1H","99.97","37.22","119.91",""
"Enzo Seker","K1H","100.14","77.23","121.66",""
"Bertrand Bercon","K1H","100.96","106.49","130.1",""
"William Desnos","K1H","101.28","42.23","133.4",""
"Emmanuel Sarazin","K1H","101.35","97.42","134.12",""
"Titouan Dupras","K1H","102.27","108.52","143.59",""
"Remi Baudot","K1H","102.5","67.29","145.96",""
"Jean Baptiste Thiel","K1H","102.74","122.81","148.43",""
"Julien Coudert","K1H","103.01","134.78","151.21",""
"Emeric Vibert","K1H","103.36","95.43","154.81",""
"Maxime Le Morvan","K1H","103.42","132.35","155.43",""
"Paul Jean","K1H","103.54","129.88","156.66",""
"Maxime Faivre","K1H","104.5","147.38","166.55",""
"Erwan Cadio","K1H","104.88","151.86","170.46",""
"Jonas Le Morvan","K1H","104.98","109.76","171.49",""
"Dimitri Durannot","K1H","105.4","175.82","175.81",""
"Sylvain Dandel","K1H","105.65","95.71","178.38",""
"Florent Rambaud","K1H","106.42","189.72","186.31",""
"Sebastien Lepaulard","K1H","106.45","172.67","186.62",""
"Aubry Bertin","K1H","106.78","91.95","190.02",""
"Etienne Carpentier","K1H","107.63","89.89","198.77",""
"Julien Jeanningros","K1H","107.79","332.89","200.41",""
"Thomas Dandel","K1H","107.86","80.64","201.13",""
"Thomas Denais","K1H","108.1","190.23","203.61",""
"Vincent Gerdeaux","K1H","108.16","120.08","204.22",""
"Emmanuel Triomphe","K1H","108.23","234.41","204.94",""
"Valentin Bigonet","K1H","108.25","164.42","205.15",""
"Olivier Bourgey","K1H","108.45","151.78","207.21",""
"Thomas Neime","K1H","108.67","200.61","209.47",""
"Hugues Parisse","K1H","109.31","153.17","216.06",""
"Julien Beltrami","K1H","109.45","181.71","217.5",""
"Corentin Talancieux","K1H","109.68","190.65","219.87",""
"Thomas Janeriat","K1H","109.85","160.25","221.62",""
"Daniel Geay","K1H","110.23","210.22","225.53",""
"Axel Kournwsky","K1H","110.33","179.91","226.56",""
"Jeremy Vibert","K1H","110.44","163.8","227.69",""
"Adrien Tappero","K1H","110.8","202.43","231.4",""
"Virgile Pigache-donnet","K1H","111.25","67.44","236.03",""
"Adrien Picco","K1H","111.28","189.01","236.34",""
"Yoann Mourier","K1H","111.47","205.08","238.3",""
"Pierrealain Clerc","K1H","111.83","230.86","242",""
"Cedric Mace","K1H","112.19","255.31","245.71",""
"Vincent Rat","K1H","112.67","207.29","250.65",""
"Guillaume Jardin","K1H","112.72","263.65","251.17",""
"Elie Miquel","K1H","112.76","188.46","251.58",""
"Jeremy Boisgibault","K1H","113.1","216.71","255.08",""
"Antoine Beguer","K1H","113.21","176.61","256.21",""
"Hafiz Ali Hassan","K1H","113.81","183.59","262.39",""
"Ronan Cordier","K1H","113.97","230.7","264.03",""
"Xavier Rat","K1H","114.01","227.8","264.45",""
"Julien Signarbieux","K1H","114.06","164.56","264.96",""
"Hippolyte Brunier","K1H","114.77","190.88","272.27",""
"Lilian Querry","K1H","114.94","249.46","274.02",""
"Martin Rombi","K1H","115.65","-","281.33",""
"Antoine Gaillard","K1H","115.89","178.85","283.8",""
"Benoit Morand","K1H","116.09","-","285.86",""
"Alain Ferry","K1H","117.36","211.34","298.93",""
"Florent Bernard","K1H","118","324.7","305.52",""
"Mathias Guillot","K1H","118.02","296.85","305.73",""
"Sebastien Manteau","K1H","118.34","310.98","309.02",""
"Gaetan Viallard","K1H","119.37","-","319.62",""
"Quentin Duhamel","K1H","119.53","180.96","321.27",""
"Philippe Lelieur","K1H","119.72","323.17","323.23",""
"Mathieu Lions","K1H","120.29","293.47","329.1",""
"Sylvain Ferry","K1H","120.51","232.96","331.36",""
"Guillaume Affortit","K1H","120.54","238.91","331.67",""
"Leo Fournier","K1H","120.55","213.29","331.77",""
"Valentin Vibert","K1H","120.76","119.46","333.93",""
"Louis Burignat","K1H","121.03","346.74","336.71",""
"Keryann Brest","K1H","121.17","355.16","338.15",""
"Loic Joly","K1H","122.47","286.13","351.54",""
"Romain Delachenal","K1H","122.74","187.09","354.32",""
"Elie Miton","K1H","123.11","351.43","358.13",""
"Adrien Reinard","K1H","123.2","234.26","359.05",""
"Alexis Mercoirol","K1H","123.31","359.87","360.19",""
"Damien Ferraud","K1H","123.41","234.28","361.21",""
"Victorien Lombard","K1H","123.7","379.58","364.2",""
"Alex Piotte","K1H","124.38","206.33","371.2",""
"Marc Janeriat","K1H","124.72","-","374.7",""
"Mathieu Chossat","K1H","124.81","308.7","375.63",""
"Dylan Bard","K1H","124.81","326.27","375.63",""
"Matteo Dardonville","K1H","125.13","458.29","378.92",""
"Marc Le Morvan","K1H","126.96","386.67","397.76",""
"Martin Chiche","K1H","127.21","-","400.33",""
"Yann Maignant","K1H","128.78","-","416.5",""
"Theophile Gaillard","K1H","128.78","320.98","416.5",""
"Yannick Grizaud","K1H","129.85","285.3","427.51",""
"Kevin Guyard","K1H","130.84","434.69","437.7",""
"Francois Lecuit","K1H","131.21","-","441.51",""
"Anthony Claveyroles","K1H","132.32","506.8","452.94",""
"Jordan Bard","K1H","132.66","327.22","456.44",""
"Mathieu Monier","K1H","133.12","474.4","461.17",""
"Hugo Lelieur","K1H","133.58","446.85","465.91",""
"Anthony Deschamps","K1H","134.44","150.23","474.76",""
"Pierre Cauwet","K1H","135.18","-","482.38",""
"Vincent Maire","K1H","138.26","412.11","514.09",""
"Corentin Mounier","K1H","140.76","472.34","539.82",""
"Cyril Audoit","K1H","141.77","536.09","550.22",""
"Jimy Bercon","K1H","145.68","14.54","590.47",""
"Martin Dougoud","K1H","146.27","34.75","596.55",""
"Luis Brisson","K1H","146.33","-","597.16",""
"Alexandre Lismonde","K1H","146.53","116.57","599.22",""
"Loic Collard","K1H","147.52","697.87","609.42",""
"Morgan Hoarau","K1H","150.42","587.11","639.27",""
"Antonin Elne","K1H","151.66","116.03","652.03",""
"Thomas Rosset","K1H","154.05","12.12","676.64",""
"Loic Blanco","K1H","154.57","-","681.99",""
"Ange Bernard","K1H","158.91","666.86","726.67",""
"Thibault Gibert","K1H","159.84","68.82","736.24",""
"Cedric Bron","K1H","161.07","119.26","748.91",""
"Thomas Schmitt","K1H","161.47","34.89","753.02",""
"Jerome Burignat","K1H","163.16","941.09","770.42",""
"Claude Breuzard","K1H","166.57","478.58","805.53",""
"Francis Gaillard","K1H","168.25","242.95","822.82",""
"Pacome Ricciardi","K1H","168.94","381.11","829.92",""
"Maurice Pubert","K1H","170.74","604.17","848.45",""
"Stephane Boulanger","K1H","171.55","-","856.79",""
"Morgan Meffre","K1H","171.58","446.4","857.1",""
"Arnaud Deletraz","K1H","173.05","523.13","872.23",""
"Louis Masson","K1H","173.4","338.16","875.84",""
"Thibaut Semiond","K1H","175.46","591.77","897.04",""
"Benoit Renaudier","K1H","176.95","385.51","912.38",""
"Jonathan Himpens","K1H","195.19","1761.49","1100.15",""
"Pierre Louis Debuigne","K1H","198.96","512.62","1138.96",""
"Emilien Senneret","K1H","200.73","538.84","1157.19",""
"Paul Roubaud","K1H","204.01","584.86","1190.95",""
"Vincent Cedolini","K1H","219.78","361.57","1353.3",""
"Benjamin Duchene","K1H","223.43","732.43","1390.87",""
"Loic Vichard","K1H","226.47","665.25","1422.17",""
"Ollivier Paumier","K1H","229.49","357.36","1453.26",""
"Ayoub Roger","K1H","272.22","780.77","1893.14",""
"Theo Taillebois","K1H","311.86","-","2301.22",""
"Baptiste Podor","K1H","412.54","267.51","3337.67",""
"Boris Doye","K1H","Nt","-","-",""
"Hugo Serratrice","K1H","Nt","-","-",""
"Xavier Monnet","K1H","Nt","-","-",""
"Francois Emin","K1H","Nt","-","-",""
"Joffrey Skandera","K1H","Nt","-","-",""
"Nathaniel Levy","K1H","Nt","-","-",""
"Anselm Arnaud","K1H","Nt","-","-",""
"Mathias Levy","K1H","Nt","-","-",""
"Benoit Dubath","K1H","Nt","-","-",""
"Clement Gourmelon","K1H","Nt","-","-",""
"Corentin Quignard","K1H","Nt","-","-",""
"Jonathan De Coninck","K1H","Nt","-","-",""
"Julien Guillerault","K1H","Nt","-","-",""
"Benoit Jacquot-bertrand","K1H","Nt","-","-",""
"Edouard Grosjean","K1H","Nt","-","-",""
"Quentin Dheilly","K1H","Nt","-","-",""
"Jean Francois Bry","K1H","Nt","-","-",""
"Frederic Morand","K1H","Nt","-","-",""
"Vincent Garcia","K1H","Nt","-","-",""
"Gaetan Drouin","K1H","Nt","-","-",""
"Leo Bernard","K1H","Nt","-","-",""
"Patrice Fischer","K1H","Nt","-","-",""
"Jean Philippe Winiarski","K1H","Nt","-","-",""
"Thibaut Bernot","K1H","Nt","-","-",""
"Tristan Lejot","K1H","Nt","-","-",""
"Gary Allemann","K1H","Nt","-","-",""
"Arthur Bernot","K1H","Nt","-","-",""
"Willy Hugedet","K1H","Nt","-","-",""
