"Sélectif Régional de Slalom - Sev Cergy Pontoise - Finale - 2016-10-16","Finale","2016-10-16","Régional","290"
"Adele Charlaigre-Melvin Queudeville","C2M","Abs","-","-","Finale B"
"Coline Bertin","K1D","120.07","295.21","339.45","Finale B"
"Sophie Dupas","K1D","120.08","340.23","339.55","Finale B"
"Ilhame Siraj","K1D","122.33","364.28","364.49","Finale B"
"Julie Dequeant","K1D","128.08","479.66","428.18","Finale B"
"Anna Marvillet","K1D","132.1","535.88","472.72","Finale B"
"Lea Lauer","K1D","138.97","573.46","548.82","Finale B"
"Kelly Capitaine","K1D","144.71","538.22","612.41","Finale B"
"Florence Marchal","K1D","149.46","587.53","665.02","Finale B"
"Yuna Pernet","K1D","150.69","559.84","678.65","Finale B"
"Gaelle Verbyst","K1D","173.53","1342.3","931.67","Finale B"
"Eloise Riviere","K1D","177.16","570.48","971.89","Finale B"
"Fiona Gille","K1D","192.61","515.74","1143.04","Finale B"
"Sandrine Arnal","K1D","217.1","665.89","1414.34","Finale B"
"Celine Garcia","K1D","308.32","830.56","2424.88","Finale B"
"Heloise Pinon","K1D","366.07","771.32","3064.63","Finale B"
"Zoe Waeles","K1DM","158.26","671.38","762.51","Finale B"
"Charlotte Chauvey","K1DM","183.46","-","1041.68","Finale B"
"Marine Calenda","K1DM","186.76","662.16","1078.23","Finale B"
"Julie Dupas","K1DM","500.46","-","4553.39","Finale B"
"Emma Leroux","K1DM","Abs","-","-","Finale B"
"Fabien Tournadre","K1H","99.19","170.63","250.99","Finale B"
"Loic Monbel","K1H","99.41","-","253.74","Finale B"
"Michel Gombert","K1H","102.56","-","293.17","Finale B"
"Theo Zilber","K1H","107.67","430.25","357.14","Finale B"
"Florian Pean","K1H","107.85","-","359.39","Finale B"
"Isidore Dubuisson","K1H","109.31","391.96","377.67","Finale B"
"Simon Philibert","K1H","110.71","452.22","395.19","Finale B"
"Ianis Fleury","K1H","111","395.37","398.83","Finale B"
"Marceau Decarsin","K1H","111.41","435.13","403.96","Finale B"
"Romaric Baron","K1H","113.64","-","431.87","Finale B"
"Elie Scaglia Mennesson","K1H","113.65","465.18","432","Finale B"
"Valentin Fleury","K1H","114.3","417.84","440.13","Finale B"
"Vincent Amisse","K1H","114.36","487.83","440.89","Finale B"
"Theo Moalic","K1H","114.6","457.26","443.89","Finale B"
"Kilian Godart","K1H","114.66","376.54","444.64","Finale B"
"Romain Bezies","K1H","115.67","408.53","457.28","Finale B"
"Marvin Lescourant","K1H","115.86","534.46","459.66","Finale B"
"Gauthier Vanden  Abeele","K1H","116.2","424.74","463.92","Finale B"
"Thomas Lesage","K1H","116.51","-","467.8","Finale B"
"Loic Bourgeois","K1H","116.9","462.83","472.68","Finale B"
"Bastien Moreaux","K1H","116.91","504.37","472.81","Finale B"
"Gerard Lafargue","K1H","117.46","451.17","479.69","Finale B"
"Theo Viallard","K1H","117.95","499.45","485.83","Finale B"
"Benjamin Bergin","K1H","118.29","-","490.08","Finale B"
"Kevin Tanay","K1H","119.17","469.55","501.1","Finale B"
"Philippe Piat","K1H","119.44","473.17","504.48","Finale B"
"Nathan Saintobert","K1H","119.82","636.79","509.23","Finale B"
"Thijs Duvillard","K1H","120.24","458.3","514.49","Finale B"
"Erwan Degreve","K1H","120.45","485.06","517.12","Finale B"
"Xavier Rat","K1H","120.45","448.05","517.12","Finale B"
"Lucas Gamain","K1H","120.52","573.45","518","Finale B"
"Amael Samson","K1H","120.53","483.65","518.12","Finale B"
"Leonard Painteaux","K1H","121.27","674.82","527.39","Finale B"
"Guillaume Cochut","K1H","121.36","516.13","528.51","Finale B"
"Sander Duvillard","K1H","122.16","503.77","538.53","Finale B"
"Charles Dampeyrou","K1H","122.94","-","548.29","Finale B"
"Roman Vivier","K1H","123.69","527.23","557.68","Finale B"
"Philippe Valeri","K1H","123.69","469.22","557.68","Finale B"
"Yann Castryck- -genereux","K1H","124.69","614.61","570.2","Finale B"
"Reginald Grossin","K1H","125.85","639.87","584.72","Finale B"
"Yann Dhieux","K1H","126.07","623.46","587.47","Finale B"
"Wilhelm Heimburger","K1H","127.04","566.94","599.62","Finale B"
"Josselin Depreck","K1H","129.28","562.31","627.66","Finale B"
"Maxime Savalle","K1H","129.61","489.27","631.79","Finale B"
"Maxime Pilard","K1H","129.86","439.79","634.92","Finale B"
"Paul Farrugio","K1H","131.04","626.02","649.69","Finale B"
"Alexis Agent","K1H","134.43","535.44","692.12","Finale B"
"Nicolas Petipez","K1H","134.79","681.25","696.63","Finale B"
"Marius Samson","K1H","136.38","-","716.53","Finale B"
"Mathieu Septier","K1H","137.17","662.77","726.42","Finale B"
"Dante Bourlet De La Vallee","K1H","139","928.57","749.33","Finale B"
"Steve Bruniquel","K1H","141.27","781.19","777.75","Finale B"
"Alberic Carpentier","K1H","144.85","534.78","822.56","Finale B"
"Baptiste Le Cocq","K1H","145.53","554.28","831.07","Finale B"
"Pierre Yves Tempier","K1H","149.5","849.22","880.77","Finale B"
"Leo Front","K1H","150.95","-","898.92","Finale B"
"Aymeric Dollat","K1H","163.33","513.79","1053.9","Finale B"
"Gerald Oudin","K1H","165.03","1405.65","1075.18","Finale B"
"Yves Boudon","K1H","165.98","-","1087.07","Finale B"
"Florent Dohet","K1H","174.68","813.21","1195.98","Finale B"
"Kevin Langlois","K1H","176.68","675.95","1221.01","Finale B"
"Melvin Queudeville","K1H","189.18","410.02","1377.49","Finale B"
"Noe Vannier","K1H","189.89","1133.47","1386.38","Finale B"
"Jonathan Prado","K1H","193.17","-","1427.44","Finale B"
"Quentin Henry","K1H","200.12","952.76","1514.44","Finale B"
"Gaetan Laperle","K1H","208.57","-","1620.21","Finale B"
"Nicolas Dequeant","K1H","213.69","1164.84","1684.31","Finale B"
"Antoine Martin","K1H","219.95","483.85","1762.67","Finale B"
"Adam El Manouzi","K1H","247.54","794.69","2108.04","Finale B"
"Leonard Soland","K1H","268.72","792.84","2373.18","Finale B"
"Leo Hohler","K1H","390.77","-","3901.01","Finale B"
"Guillaume Arnaud","K1H","Dsq","-","-","Finale B"
"Paul Tallet Pinet","K1H","Des","-","-","Finale B"
"Matheo Dejonghe","K1HM","123.22","516.17","551.8","Finale B"
"Samuel Tahaafe","K1HM","124.98","737.36","573.83","Finale B"
"Estephe Decarsin","K1HM","131.44","585.68","654.69","Finale B"
"Antoine Marion","K1HM","136.14","784.13","713.53","Finale B"
"Mathis Piepho","K1HM","137.11","723.41","725.67","Finale B"
"Baptiste Saul","K1HM","138.67","-","745.2","Finale B"
"Basile Drapier","K1HM","146.58","568.72","844.22","Finale B"
"Clement Hamel","K1HM","147.16","570.07","851.48","Finale B"
"Yann Mercier","K1HM","162.36","853.41","1041.75","Finale B"
"Tom Allio","K1HM","172.6","-","1169.94","Finale B"
"Gabriel Benoit","K1HM","196.58","1440.79","1470.12","Finale B"
"Matteo Figueiredo Alves","K1HM","202.29","843.85","1541.6","Finale B"
"Matthis Leroux","K1HM","209.54","1156.64","1632.36","Finale B"
