"Sélectif Régional - Sault Brenaz - 2013-03-03","Course 3","2013-03-03","Régional","170"
"Enzo Seker","K1H","98.75","72.83","168.5",""
"Boris Chenal","K1H","98.75","43.57","168.5",""
"Lukas Werro","K1H","99.78","70.41","179.39",""
"Quentin De Fierville","K1H","99.97","55.02","181.4",""
"Virgile Pigache-donnet","K1H","100.73","66.62","189.44",""
"Bertrand Bercon","K1H","101.78","97.85","200.54",""
"Xavier Marie","K1H","102.2","123.94","204.98",""
"Jeremias Schlaefli","K1H","102.4","-","207.1",""
"Jonathan Chapatte","K1H","102.61","40.22","209.32",""
"Erwan Cadio","K1H","102.83","151.86","211.65",""
"Pascal Ferry","K1H","102.84","90.75","211.75",""
"Thomas Monier","K1H","103.6","-","219.79",""
"Ciaran Heurteau","K1H","103.7","57.1","220.85",""
"Aubry Bertin","K1H","105.12","84.54","235.87",""
"Olivier Colliex","K1H","105.31","-","237.88",""
"Jonas Le Morvan","K1H","105.77","97.08","242.74",""
"Matthieu Le Gall","K1H","105.89","112.81","244.01",""
"Maxime Le Morvan","K1H","106.58","118.91","251.31",""
"Matthieu Basset","K1H","107.55","115.11","261.56",""
"Jean Philippe Winiarski","K1H","107.92","143.11","265.47",""
"Thibault Gibert","K1H","108.33","67.28","269.81",""
"Julien Beltrami","K1H","108.81","149.86","274.89",""
"Gregoire Guerin","K1H","108.89","-","275.74",""
"Arthur Bernot","K1H","108.99","93.89","276.79",""
"Olivier Bourgey","K1H","109.57","151.78","282.93",""
"Maxime Bottex","K1H","109.58","92.69","283.04",""
"Valentin Vibert","K1H","109.91","119.46","286.53",""
"Jean Baptiste Thiel","K1H","109.95","117.47","286.94",""
"Robin Pilard","K1H","110.79","129.59","295.83",""
"Christophe Dalla-zuana","K1H","110.86","159.62","296.57",""
"Benoit Dubath","K1H","111.05","-","298.58",""
"Leo Fournier","K1H","111.9","156.89","307.57",""
"Eric Labarelle","K1H","112.1","-","309.68",""
"Sebastien Nouvel","K1H","112.62","-","315.18",""
"Paul Cornut-chauvinc","K1H","112.88","-","317.93",""
"Romaric Baron","K1H","112.95","-","318.67",""
"William Gettliffe","K1H","113.34","133.11","322.8",""
"Loic Sieber","K1H","114.15","-","331.36",""
"Axel Kournwsky","K1H","114.51","159.88","335.17",""
"Adrien Maire","K1H","116.39","-","355.05",""
"Christophe Harding","K1H","117.07","214.53","362.24",""
"Corentin Quignard","K1H","117.87","243.92","370.71",""
"Guillaume De Fierville","K1H","117.97","270.44","371.76",""
"Sebastien Riou","K1H","117.97","224.99","371.76",""
"Mathieu Lions","K1H","118.37","242.71","376",""
"Mathias Guillot","K1H","118.79","296.19","380.44",""
"Quentin Raissac","K1H","118.93","109.92","381.91",""
"Pascal Hunault","K1H","119.89","247.88","392.06",""
"Florian Jarousse","K1H","120.15","-","394.81",""
"Benoit Jacquot-bertrand","K1H","120.22","230.13","395.56",""
"Etienne Klatt","K1H","120.87","-","402.43",""
"Florent Bernard","K1H","121.24","283.77","406.34",""
"Pascal Philip","K1H","121.65","282.74","410.68",""
"Samuel Itkine","K1H","121.76","360.88","411.84",""
"Thibaut Gaudet","K1H","122.63","-","421.04",""
"Louis Masson","K1H","122.91","323.59","424.01",""
"Quentin Madureira","K1H","123.86","340.1","434.06",""
"Alexandre Marin","K1H","124.39","-","439.66",""
"Guillaume Jardin","K1H","125.31","186.26","449.39",""
"Yannick Grizaud","K1H","125.74","241.41","453.94",""
"Corentin Dalmais","K1H","125.89","610.45","455.53",""
"Theophile Gaillard","K1H","125.91","292.69","455.74",""
"Michael Didier","K1H","126.6","-","463.03",""
"Ugo Guillois","K1H","127.17","-","469.06",""
"Mathieu Monier","K1H","129.33","365.14","491.91",""
"Lucas Barriere","K1H","131.71","323.06","517.08",""
"Vincent Cedolini","K1H","131.79","348.9","517.92",""
"Tristan Ribault","K1H","132.27","-","522.99",""
"Benoit Renaudier","K1H","134.9","339.51","550.81",""
"Alexandre Nesonson","K1H","137.8","-","581.48",""
"Maxime Pilard","K1H","138.72","294.84","591.21",""
"Marc Le Morvan","K1H","139.86","388.4","603.27",""
"Hugo Lelieur","K1H","141.83","394.83","624.1",""
"Anselm Arnaud","K1H","142.54","441","631.6",""
"Sylvain Bonnet","K1H","145.67","-","664.71",""
"Pierre Bouisson","K1H","146.59","-","674.44",""
"Pioerre-calixte Gaydon-ohl","K1H","149.09","-","700.88",""
"Jerome Burignat","K1H","151.02","733.46","721.3",""
"David Pierson","K1H","151.38","376.68","725.1",""
"Fabien Leist","K1H","151.45","489.63","725.84",""
"Kevin Guyard","K1H","153.72","387.61","749.84",""
"Louis Burignat","K1H","181.87","343.39","1047.56",""
"Keryann Brest","K1H","192.2","336.66","1156.81",""
"Morgan Hoarau","K1H","195.57","482.5","1192.44",""
"Cyril Gagneret","K1H","197.22","431.33","1209.89",""
"Cyril Audoit","K1H","199.63","492.35","1235.38",""
"Nathaniel Levy","K1H","208.83","440.39","1332.67",""
"Benoit Lecoester","K1H","222.84","-","1480.84",""
"Luc Ciappara","K1H","332.86","-","2644.39",""
"Luis Brisson","K1H","Nt","-","-",""
"Jean Saez","K1H","Nt","-","-",""
"Julien Signarbieux","K1H","Nt","-","-",""
"Olivier Urbain","K1H","Nt","-","-",""
"Sebastien Lepaulard","K1H","Nt","-","-",""
