"Compétition Régionale de Slalom - Ile De Pont-authou - Finale - 2015-03-29","Finale","2015-03-29","Régional","176"
"Nicolas Ducrocq-Michael Philibert","C2H","135.08","456.59","633.49","Finale A"
"Christophe Bachelot-Jacky Bachelot","C2H","139.46","705.47","685.21","Finale A"
"Thomas Martinet-Lucas Walbreq","C2HM","159.68","-","-","Finale A"
"Catherine Boulan-Xavier Jourdain","C2M","131.4","373.66","460.75","Finale A"
"Simon Dubosc-Leontine Dubuisson","C2M","133.59","-","484.46","Finale A"
"Benoit Letellier-Melina Letellier","C2M","135.49","-","505.02","Finale A"
"Teddy Poulard-Alize Bachelot","C2M","140.34","432.59","557.51","Finale A"
"Geoffroy Lauth-Rachel Broin","C2M","143.96","573.9","596.7","Finale A"
"Lison Gautrelet-Noam Lemoine","C2MM","Abs","-","-","Finale A"
"Tiphaine Duboc","K1D","113.67","277.81","345.07","Finale A"
"Chloe Gatuingt","K1D","113.99","334.34","348.75","Finale A"
"Leontine Dubuisson","K1D","122.27","445.38","443.92","Finale A"
"Sophie Dupas","K1D","132.89","493.83","565.98","Finale A"
"Manon Borde","K1D","133.93","471.71","577.93","Finale A"
"Catherine Boulan","K1D","135.68","465.79","598.05","Finale A"
"Anne Lambert","K1D","149.27","697.26","754.23","Finale A"
"Angelique Leleu","K1D","150.88","718.95","772.74","Finale A"
"Melina Letellier","K1D","186.43","-","1181.33","Finale A"
"Elina Gigan","K1DM","142.99","-","-","Finale A"
"Eloise Riviere","K1DM","158.19","-","-","Finale A"
"Mylene Despres","K1DM","164.12","-","-","Finale A"
"Julianne Brosse","K1DM","231.99","-","-","Finale A"
"Xavier Jourdain","K1H","91.34","148.94","224.9","Finale A"
"Ludovic Ngo","K1H","92.4","222.36","238.67","Finale A"
"Yani Ferhaoui","K1H","94.19","261.04","261.91","Finale A"
"David Mingasson","K1H","94.64","226.03","267.76","Finale A"
"Thomas Durand","K1H","95.26","224.83","275.81","Finale A"
"Nathan Boudaillez","K1H","97.27","249.31","301.92","Finale A"
"Simon Dubosc","K1H","98.57","338.31","318.8","Finale A"
"Yohan Marck","K1H","99.9","284.99","336.07","Finale A"
"Quentin Mannier","K1H","101.62","294.01","358.41","Finale A"
"Mickael Louchard","K1H","101.81","279.67","360.88","Finale A"
"Remi Quentin","K1H","102.38","187.74","368.28","Finale A"
"Nathan Aubert","K1H","102.71","250.89","372.57","Finale A"
"Francois Durand","K1H","104.71","259.58","398.54","Finale A"
"Theo Lecointe","K1H","104.81","454.1","399.84","Finale A"
"Gerard Lafargue","K1H","105.55","419.29","409.45","Finale A"
"Guillaume Doutreix","K1H","106.2","252.86","417.9","Finale A"
"Lancelot Meillier","K1H","107.34","-","432.7","Finale A"
"Isidore Dubuisson","K1H","107.71","543.19","437.51","Finale A"
"Benjamin Soroka","K1H","110.27","-","470.75","Finale A"
"Antoine Martin","K1H","111.43","459.26","485.82","Finale A"
"Louison Laumondais","K1H","111.68","367.28","489.07","Finale A"
"Jeremy Bretteville","K1H","111.87","405.8","491.53","Finale A"
"Valentin Fleury","K1H","112.46","504.35","499.2","Finale A"
"Philippe Valeri","K1H","113.84","433.48","517.12","Finale A"
"Marceau Decarsin","K1H","114.96","539.37","531.67","Finale A"
"Louis Debureaux","K1H","115.62","541.23","540.24","Finale A"
"Jeansebastien Simonklein","K1H","117.01","370.53","558.29","Finale A"
"Olivier Dulouard","K1H","117.1","417.33","559.46","Finale A"
"Nicolas Candieu","K1H","121.49","378.9","616.48","Finale A"
"Baptiste Brunet","K1H","163.46","-","1161.56","Finale A"
"Alban Morel","K1HM","112.58","-","-","Finale A"
"Remi Blanchet","K1HM","121.65","-","-","Finale A"
"Maxime Eude","K1HM","122.03","-","-","Finale A"
"Guillaume Lunel","K1HM","123.9","-","-","Finale A"
"Kevin Tanay","K1HM","124.13","-","-","Finale A"
"Hugo Lecointe","K1HM","127.25","-","-","Finale A"
"Estephe Decarsin","K1HM","129.3","-","-","Finale A"
"Lenny Touati","K1HM","140.55","-","-","Finale A"
"Mikael Maupin","C1H","111.71","480.11","425.36","Finale B"
"Antoine Cruard","C1H","115.08","465.3","467.05","Finale B"
"Geoffroy Lauth","C1H","116.96","530.91","490.3","Finale B"
"Nathan Boudaillez","C1H","118.64","-","511.08","Finale B"
"Antoine Martin","C1H","119.14","539.05","517.28","Finale B"
"Christophe Bachelot","C1H","122.74","504.79","561.8","Finale B"
"Theo Lecointe","C1H","129.37","626.99","643.81","Finale B"
"Hugo Durand","C1H","131.81","-","673.98","Finale B"
"Axel Lepenant","C1H","132.96","662.36","688.22","Finale B"
"Louison Laumondais","C1H","136.91","-","737.06","Finale B"
"Martin Rich","C1H","137.5","643.16","744.36","Finale B"
"Nicolas Candieu","C1H","138.43","821.44","755.87","Finale B"
"Jean Noel Degraeve","C1H","139.21","682.66","765.52","Finale B"
"Sebastien Masseline","C1H","143.21","706.68","814.99","Finale B"
"Theo Moalic","C1H","147.62","1016.16","869.54","Finale B"
"Louis Debureaux","C1H","148.46","-","879.93","Finale B"
"Mathieu Cruard","C1H","157.81","-","995.58","Finale B"
"Ugo Pean","C1H","159.24","-","1013.27","Finale B"
"Remi Catherine","C1H","305.79","1164.54","2825.97","Finale B"
"Niels Beaumont","C1H","Des","-","-","Finale B"
"Eric Beaumont-Jean Noel Degraeve","C2H","135.08","576.93","638.49","Finale B"
"Martin Rich-Virgile Bourlet De La Vallee","C2H","136.11","627.58","650.65","Finale B"
"Nicolas Candieu-Niels Beaumont","C2H","140.46","-","702.01","Finale B"
"Olivier Dulouard-Jean-francois Dulouard","C2H","141.87","701.5","718.66","Finale B"
"Theo Moalic-Marceau Decarsin","C2H","146.28","-","770.73","Finale B"
"Thibault Gigan-Valentin Fleury","C2H","146.78","748.97","776.62","Finale B"
"Remi Catherine-Ugo Pean","C2H","164.08","-","980.89","Finale B"
"Guillaume Doutreix-Marion Laurain","C2M","144.78","-","610.57","Finale B"
"Damien Jacques-Laetitia Pelcat","C2M","161.19","-","788.17","Finale B"
"Gregoire Paillard-Angelique Leleu","C2M","172.68","-","912.53","Finale B"
"Edouard Gracias-Alice Dhommee","C2M","255.65","-","1810.51","Finale B"
"Alize Bachelot","K1D","130.58","384.57","544.43","Finale B"
"Manon Zanelli","K1D","138.78","772.12","638.67","Finale B"
"Agnes Gigan","K1D","139.11","489.63","642.46","Finale B"
"Anna Marvillet","K1D","139.58","-","647.87","Finale B"
"Elisa Langlois","K1D","148.02","-","744.87","Finale B"
"Dominique Badie-kallou","K1D","157.05","680.07","848.65","Finale B"
"Melanie Brunet","K1D","241.18","-","1815.6","Finale B"
"Alice Dhommee","K1D","Des","-","-","Finale B"
"Daphnee Mouchelet","K1DM","158.31","-","-","Finale B"
"Cassandre Schausi","K1DM","209.02","-","-","Finale B"
"Gabrielle Kugler","K1DM","242.14","-","-","Finale B"
"Mathilde HerbiniÈre","K1DM","299.07","-","-","Finale B"
"Dimitry Vandenabeele","K1H","101.64","-","363.67","Finale B"
"Hugo Durand","K1H","107.2","-","435.88","Finale B"
"Lucas Jacob","K1H","107.96","409.13","445.75","Finale B"
"Thibault Gigan","K1H","111.18","420.83","487.57","Finale B"
"Remi Catherine","K1H","112.43","566.62","503.81","Finale B"
"Alexandre Hubaut","K1H","114.41","533.76","529.52","Finale B"
"Quentin Angot","K1H","116.24","778.63","553.29","Finale B"
"Damien Jacques","K1H","116.55","525.79","557.32","Finale B"
"Niels Beaumont","K1H","116.63","450.25","558.36","Finale B"
"Philippe Piat","K1H","119.41","-","594.46","Finale B"
"Ugo Pean","K1H","120.62","-","610.18","Finale B"
"Mathieu Cruard","K1H","122.3","639.56","632","Finale B"
"Jean-francois Dulouard","K1H","125.28","567.83","670.7","Finale B"
"Bastien Venot","K1H","126.52","-","686.8","Finale B"
"Baptiste Le Cocq","K1H","127.17","1017.89","695.24","Finale B"
"Maxime Taimiot","K1H","129.46","-","724.99","Finale B"
"Pablo Ramirez","K1H","130.14","1057.05","733.82","Finale B"
"Elie Scaglia Mennesson","K1H","131.34","987.56","749.4","Finale B"
"Theo Moalic","K1H","132.57","799.42","765.38","Finale B"
"Gregoire Paillard","K1H","132.87","728.84","769.27","Finale B"
"Axel Lepenant","K1H","134.08","-","784.99","Finale B"
"Sebastien Masseline","K1H","137.02","562.45","823.17","Finale B"
"Martin Rich","K1H","137.49","607.17","829.28","Finale B"
"Aurelien Fleurant","K1H","143.8","-","911.23","Finale B"
"Florestan Coudray","K1H","149.99","-","991.62","Finale B"
"Yves Boudon","K1H","150.55","1103.47","998.89","Finale B"
"Alban Andrieu","K1H","151.18","-","1007.08","Finale B"
"Roman Vivier","K1H","162.43","-","1153.19","Finale B"
"Lilian Lepenant","K1H","178.58","657.06","1362.94","Finale B"
"Simon Autin","K1H","207.3","-","1735.94","Finale B"
"Thomas Martinet","K1HM","123.02","-","-","Finale B"
"Lucas Walbreq","K1HM","135.9","-","-","Finale B"
"Mael Badin","K1HM","136.16","-","-","Finale B"
"Enzo Baillobay","K1HM","138.34","-","-","Finale B"
"Noam Lemoine","K1HM","239.4","-","-","Finale B"
"Dimitri Houlier","K1HM","307.49","-","-","Finale B"
"Clement Hamel","K1HM","322.81","-","-","Finale B"
"Mathias Felix","K1HM","448.11","-","-","Finale B"
