"Demi-Finale de la Coupe de France National 3 Slalom Sud-Est - 83560 Vinon Sur Verdon - Qualification - Manche 1 - 2019-05-25","Qualification - Manche 1","2019-05-25","Nationale 3","156"
"Aurelie Cabrera","K1D","140.53","760.16","663.28",""
"Helene Merlet","K1D","142.01","656.14","680.52",""
"Caroline Guita","K1D","144.71","744.53","711.97",""
"Eva Silvester","K1D","154.89","909.23","830.54",""
"Chiara Cini","K1D","167.97","602.61","982.89",""
"Fantine Hortolan","K1D","177.21","810.07","1090.52",""
"Emmelyne Sauvagnac","K1D","180.84","784.51","1132.79",""
"Callista Grange","K1D","184.02","506.95","1169.85",""
"Eve Vitali-guilbert","K1D","187.65","451.61","1212.12",""
"Aurore Durris","K1D","192.82","576.36","1272.34",""
"Juliette Ribault","K1D","205.85","627.51","1424.11",""
"Marguerite Mathey","K1D","302.73","915.45","2552.56",""
"Kilian Cottet","K1H","96","284.3","289.96",""
"Corentin Georgeon","K1H","97.46","316.46","309.18",""
"Guillaume Gonzalez","K1H","97.67","267.44","311.94",""
"Luc Doye","K1H","97.75","265.41","313",""
"Raphael Massot","K1H","98.5","301.93","322.87",""
"Cedric Mace","K1H","98.91","325.01","328.27",""
"Mikael Clanchin","K1H","99.22","416.79","332.35",""
"Mohamed Saœd Bekkadour","K1H","99.84","352.26","340.51",""
"Guillaume Belet","K1H","99.94","317.42","341.82",""
"Nicolas Demofsqui","K1H","99.97","335.09","342.22",""
"Gabin Chenal","K1H","100.64","431.01","351.04",""
"Erwan Cadio","K1H","101.03","339.69","356.17",""
"Julien Signarbieux","K1H","101.12","336.49","357.35",""
"Nicolas Detheve","K1H","101.32","379.14","359.99",""
"Cyril Audoit","K1H","101.93","358.33","368.01",""
"Thomas Buffet","K1H","102.07","391.1","369.86",""
"Clement Claret","K1H","102.88","434.75","380.52",""
"Hugo Martin -laemle","K1H","103.28","316.61","385.78",""
"Axel Clement","K1H","103.55","364.55","389.34",""
"Florian Torche","K1H","103.62","333.52","390.26",""
"Esteban Reder-issartel","K1H","103.63","443.35","390.39",""
"Erwan Quellec","K1H","103.73","391.26","391.71",""
"Gabriel Saul","K1H","103.97","393.27","394.87",""
"Ugo Zanellato","K1H","104.2","337.96","397.89",""
"Ulysse Brunel","K1H","105.07","427.63","409.34",""
"Germain Court","K1H","105.37","471.14","413.29",""
"Raphael Bonnard","K1H","105.54","459.79","415.53",""
"Quentyn Maitre","K1H","106.1","380.76","422.9",""
"Olivier Hardonniere","K1H","106.54","379.25","428.69",""
"Yannick Grizaud","K1H","106.68","466.15","430.53",""
"Theo Brun","K1H","106.74","325.16","431.32",""
"Matis Cote","K1H","106.91","477.23","433.56",""
"Mathieu Hayet","K1H","106.94","484.27","433.96",""
"Emmanuel Triomphe","K1H","107.45","389.43","440.67",""
"Leo Parnotte","K1H","108.2","421.4","450.54",""
"Titouan Sourieau","K1H","108.26","481.92","451.33",""
"Rutger Hoedemaker","K1H","108.68","511.74","456.86",""
"Yann Leruste","K1H","109.18","352.04","463.44",""
"Romain Bourguignon","K1H","109.3","398.67","465.02",""
"Arthur Talarmain","K1H","109.68","382.45","470.02",""
"Alexis Guillon","K1H","110.12","428.63","475.81",""
"Robin Andre","K1H","110.65","357.89","482.79",""
"Clement Dancette","K1H","110.82","425.22","485.03",""
"Pierre Escuret","K1H","110.94","459.86","486.6",""
"Damien Chamblay","K1H","111.03","488.32","487.79",""
"Daniel Chambert","K1H","111.42","489.64","492.92",""
"Basile Monzerian","K1H","111.89","491.71","499.11",""
"Sebastien Lepaulard","K1H","112.27","354.54","504.11",""
"Nicolas Monzerian","K1H","113.38","469.41","518.72",""
"Frederic Reus","K1H","113.58","410.91","521.35",""
"Jeremy Rouet","K1H","113.77","497.85","523.85",""
"Antonin Castille","K1H","113.93","450.66","525.96",""
"Joao Normand","K1H","113.97","508.55","526.49",""
"Thibaud Chovin","K1H","114.44","480.67","532.67",""
"Herve Vitali","K1H","114.59","443.69","534.65",""
"Alexandre Georgel","K1H","115.48","463.09","546.36",""
"Matteo Roubaud","K1H","115.7","609.01","549.26",""
"Florent Vallier","K1H","115.77","536.06","550.18",""
"Gilles Lovera","K1H","116.72","561.4","562.68",""
"Sebastien Riou","K1H","116.8","565.87","563.73",""
"Axel Brossat","K1H","117.32","578.57","570.58",""
"Mathis Borie","K1H","117.46","589.54","572.42",""
"Sacha Caron","K1H","119.7","599.62","601.9",""
"Laurent Brossat","K1H","120.93","532.49","618.09",""
"Elie Sutra","K1H","123.08","581.6","646.39",""
"Philippe Lelieur","K1H","123.11","519.86","646.79",""
"Anton Coux","K1H","123.74","634.46","655.08",""
"Jean-marc Suarez","K1H","123.94","613.28","657.71",""
"Gaspard Gonseth","K1H","124.29","559.25","662.32",""
"Justin Murphy","K1H","126.28","664.68","688.51",""
"Clement Raul","K1H","127.05","634.49","698.65",""
"Clement Innocenti","K1H","128.36","774.15","715.89",""
"Guillaume Mele","K1H","130.09","697.29","738.66",""
"Emilien Charrier","K1H","130.2","757.2","740.11",""
"Antoine Raul","K1H","132.36","792.62","768.54",""
"Hugo Carillo","K1H","134.74","599.08","799.86",""
"Ange Bernard","K1H","141.14","938.47","884.1",""
"Jules Sourieau","K1H","177.37","557.87","1360.96",""
"Tom Fioraso","K1H","180.99","634.08","1408.61",""
"Maxence Violy","K1H","182.44","675.79","1427.69",""
"Francisco Lafarga","K1H","188.08","764.06","1501.92",""
"William Varela","K1H","192.75","858.15","1563.39",""
"Baptiste Guillaubez","K1H","218.46","499.18","1901.79",""
"Teo Touzet","K1H","228.65","655.35","2035.91",""
"Clement Thiolier-depras","K1H","Des","-","-",""
"Matthieu Fontanez","K1H","Abs","-","-",""
"Alexis Lozachmeur","K1H","Abs","-","-",""
"Emeric Vibert","K1H","Abs","-","-",""
"Ga l Bonnot","K1H","Abs","-","-",""
"Victorien Pittion","K1H","Abs","-","-",""
"Axel Gondard","K1H","Abs","-","-",""
"Mathys Michel","K1H","Abs","-","-",""
