"Sélectif Régional Slalom (Double) - 64780 Bidarray - Course n°1 | Finale - 2019-10-05","Course n°1 | Finale","2019-10-05","Régional","126"
"Mila Dastugue Lavignasse","K1DM","136.27","866.16","810.1","Course n°1 | Finale A"
"Ohiana Erdois","K1DM","139.38","664.75","850.91","Course n°1 | Finale A"
"Pierre-louis Saussereau","K1H","73.98","55.67","118.76","Course n°1 | Finale A"
"Florian Busson","K1H","78.41","106.47","184.46","Course n°1 | Finale A"
"Edgar Prigent","K1H","79.05","67.03","193.96","Course n°1 | Finale A"
"Valentin Courtiade","K1H","79.94","164.45","207.16","Course n°1 | Finale A"
"Luc Sarramea","K1H","80.29","182","212.35","Course n°1 | Finale A"
"Gino Benini","K1H","81.34","234.14","227.92","Course n°1 | Finale A"
"Emilien Courtiade","K1H","83.13","190.98","254.47","Course n°1 | Finale A"
"Loris Shayam Affre","K1H","83.62","270.8","261.74","Course n°1 | Finale A"
"Yon Dandonneau","K1H","83.84","248.38","265","Course n°1 | Finale A"
"Baptiste Delemotte","K1H","86.24","259.96","300.59","Course n°1 | Finale A"
"Alex Baldoni","K1H","87.32","359.88","316.61","Course n°1 | Finale A"
"Paul Gobert","K1H","87.69","290.62","322.1","Course n°1 | Finale A"
"Cedric Landreau","K1H","87.8","216.51","323.73","Course n°1 | Finale A"
"Vincent Ablin","K1H","88.42","354.1","332.93","Course n°1 | Finale A"
"Angus Cruickshank","K1H","89.22","321.5","344.79","Course n°1 | Finale A"
"Julien Doumecq","K1H","89.34","336.61","346.57","Course n°1 | Finale A"
"Fabien Paleau","K1H","89.66","323.71","351.32","Course n°1 | Finale A"
"Victor Lamy","K1H","92.88","407.02","399.07","Course n°1 | Finale A"
"Emeric Nieser","K1H","93.52","446.51","408.57","Course n°1 | Finale A"
"Lukas Estanguet-santamaria","K1H","93.54","281.12","408.86","Course n°1 | Finale A"
"Julien Dubarry","K1H","97.23","446.56","463.59","Course n°1 | Finale A"
"Adrien Mesmoudi","K1H","130.14","198.6","951.69","Course n°1 | Finale A"
"Marc Sarramea","K1H","131.88","247.39","977.5","Course n°1 | Finale A"
"Mael Bernes","K1H","132.64","221.83","988.77","Course n°1 | Finale A"
"Romain Branjauneau","K1H","133.8","182.11","1005.98","Course n°1 | Finale A"
"Cyprien Cail","K1H","137.17","230.7","1055.96","Course n°1 | Finale A"
"Miguel Irungaraylarronde","K1HM","99.13","725.1","491.77","Course n°1 | Finale A"
"Nino Langlume","K1HM","100.28","537.61","508.83","Course n°1 | Finale A"
"Jonah Hanrahan","K1HM","103.52","657.04","556.88","Course n°1 | Finale A"
"Martin Grzeskowiak","K1HM","119.07","914.88","787.51","Course n°1 | Finale A"
"Louis Labarthe","K1HM","129.08","840.83","935.97","Course n°1 | Finale A"
"Ethan Da Gloria","K1HM","131.47","949.92","971.42","Course n°1 | Finale A"
"Edgar Paleaubrasseur","K1HM","133.43","353.14","1000.49","Course n°1 | Finale A"
"Clement Laureys","K1HM","134.34","1911.71","1013.99","Course n°1 | Finale A"
"Camille Luciotto Ribeiro","K1HM","187.06","833.54","1795.9","Course n°1 | Finale A"
"Charline Berger Martin","C1D","103.1","260.48","300.8","Course n°1 | Finale B"
"Marie Amelie Silvin","C1D","116.89","520.41","471.24","Course n°1 | Finale B"
"Daphnee Vuilleumier","C1D","143.87","1049.23","804.7","Course n°1 | Finale B"
"Solene Lafitte","C1D","297.42","719.12","2702.5","Course n°1 | Finale B"
"Luc Sarramea","C1H","85.27","92.33","230.98","Course n°1 | Finale B"
"Emilien Courtiade","C1H","97.75","312.23","407.27","Course n°1 | Finale B"
"Gauthier Beyneix","C1H","108.15","571.52","554.17","Course n°1 | Finale B"
"Julien Coric","C1H","111.37","581.09","599.66","Course n°1 | Finale B"
"Tristan Ruiz","C1H","114.63","670.27","645.69","Course n°1 | Finale B"
"Cedric Landreau","C1H","151.35","565.05","1164.38","Course n°1 | Finale B"
"Matt Vidou","C1H","Abs","-","-","Course n°1 | Finale B"
"Marie Amelie Silvin","K1D","98.39","228.57","317.92","Course n°1 | Finale B"
"Nahia Oteiza","K1D","104.71","363.59","400.87","Course n°1 | Finale B"
"Solene Lafitte","K1D","119.56","498.91","595.77","Course n°1 | Finale B"
"Daphnee Vuilleumier","K1D","119.73","661.54","598.01","Course n°1 | Finale B"
"Enya Langlume","K1D","125.97","634.02","679.91","Course n°1 | Finale B"
"Patricia Lucasson","K1D","128.29","916.87","710.36","Course n°1 | Finale B"
"Emma Angladette","K1D","130.08","654.64","733.85","Course n°1 | Finale B"
"Chloe Bonnet","K1D","141.12","586.11","878.75","Course n°1 | Finale B"
"Avril Saut","K1DM","114.54","490.42","529.89","Course n°1 | Finale B"
"Adele Rambaldi","K1DM","122.39","557.39","632.92","Course n°1 | Finale B"
"Suzel Cayrat","K1DM","173.42","648.93","1302.7","Course n°1 | Finale B"
"Clara Surier","K1DM","181.74","1640.47","1411.9","Course n°1 | Finale B"
"Antonin Beyneix","K1H","89.46","469.65","353.35","Course n°1 | Finale B"
"Thomas TerrÉ","K1H","93.16","379.47","408.23","Course n°1 | Finale B"
"Tonin Desmet","K1H","93.51","385.68","413.42","Course n°1 | Finale B"
"Pierre-yves Lebreton","K1H","93.69","390.94","416.09","Course n°1 | Finale B"
"Tristan Ruiz","K1H","94.83","437.1","433","Course n°1 | Finale B"
"KÉziah Lecomte","K1H","95.72","538.67","446.2","Course n°1 | Finale B"
"Flavien Portier","K1H","97.94","450.67","479.12","Course n°1 | Finale B"
"Jean Christophe Erdois","K1H","99.53","426.81","502.7","Course n°1 | Finale B"
"Leo Arriau","K1H","100.78","655","521.24","Course n°1 | Finale B"
"Jeremy Rouchereau","K1H","101.83","498.2","536.82","Course n°1 | Finale B"
"Baptiste San Nicolas","K1H","101.93","449.33","538.3","Course n°1 | Finale B"
"Romain Guichet","K1H","105.74","528.47","594.81","Course n°1 | Finale B"
"Thierry Pucheu","K1H","111.54","718.58","680.83","Course n°1 | Finale B"
"Yanis Allard","K1H","116.1","1013.3","748.46","Course n°1 | Finale B"
"Hugo Larenjeiro","K1H","116.75","962.09","758.1","Course n°1 | Finale B"
"Daniel Lafitte","K1H","125.37","912.53","885.95","Course n°1 | Finale B"
"Lucas Theil","K1H","130.07","986.03","955.66","Course n°1 | Finale B"
"Fabrice Le Bras","K1H","134.56","990.94","1022.25","Course n°1 | Finale B"
"Matthieu Desbons","K1H","140.57","1068.64","1111.39","Course n°1 | Finale B"
"Noa Lorand","K1H","161.28","1417.78","1418.54","Course n°1 | Finale B"
"Bruno Lecomte","K1H","161.57","1270.93","1422.85","Course n°1 | Finale B"
"Wilfrid Delpech","K1H","168.76","2942.62","1529.48","Course n°1 | Finale B"
"Joel Cazabat","K1H","183.16","1102.27","1743.06","Course n°1 | Finale B"
"Liam Jacquot","K1H","193.85","1591.29","1901.6","Course n°1 | Finale B"
"Thibault Marque","K1H","Abs","-","-","Course n°1 | Finale B"
"Audrys Barinaga Stauskas","K1HM","136.71","1580.9","1054.14","Course n°1 | Finale B"
"Eric Vicassiau","K1HM","146.64","1034.34","1201.41","Course n°1 | Finale B"
"Ylian Dubly","K1HM","149.54","1318.36","1244.42","Course n°1 | Finale B"
"Rudy Samaran","K1HM","150.68","2378.2","1261.33","Course n°1 | Finale B"
"Florian Latapiebayroo","K1HM","151.5","1242.13","1273.49","Course n°1 | Finale B"
"Lilian Dujourd'hui","K1HM","174.39","887.56","1612.98","Course n°1 | Finale B"
"Leo Theil","K1HM","196.1","1057.59","1934.98","Course n°1 | Finale B"
"Julen ClavÉ","K1HM","309.42","3187.27","3615.67","Course n°1 | Finale B"
"Victorien Thomas","K1HM","321.16","3597.47","3789.79","Course n°1 | Finale B"
