"SÈlectif RÈgional de slalom - Angouleme - Finale - 2016-12-11","Finale","2016-12-11","RÈgional","282"
"Nicolas Labat","K1H","109.61","160.22","216.59","Finale B"
"Sam Traquet","K1H","125.25","401.47","384.75","Finale B"
"Thilbault Rucher","K1H","137.04","473.57","511.51","Finale B"
"Mattias Poirat","K1H","139.04","435.91","533.02","Finale B"
"Benjamin Georges","K1H","142.26","434.31","567.64","Finale B"
"Corentin Bechu","K1H","143.11","508.21","576.78","Finale B"
"Leam Auffret","K1H","145.34","532.92","600.75","Finale B"
"Arthur Pringault","K1H","145.53","-","602.8","Finale B"
"Fabrice Roy","K1H","145.74","-","605.05","Finale B"
"Christophe Joubert","K1H","146.37","629.7","611.83","Finale B"
"Daniel Bregazzi","K1H","148.53","-","635.05","Finale B"
"Raphael Jean","K1H","149.89","482","649.67","Finale B"
"Thibault Beneteau","K1H","151.17","513.47","663.44","Finale B"
"Michel Daupeux","K1H","151.75","575.82","669.67","Finale B"
"Adrien Roux","K1H","152.79","531.98","680.86","Finale B"
"Bruno Beneteau","K1H","155.07","560.91","705.37","Finale B"
"Jean-noel Biteau","K1H","156.26","628.05","718.16","Finale B"
"Fabrice Lacoudre","K1H","156.51","675.64","720.85","Finale B"
"Julien Beneteau","K1H","157.8","540.05","734.72","Finale B"
"Anatole Fourcade","K1H","157.83","835.24","735.04","Finale B"
"Kylian Videau","K1H","161.02","691.85","769.34","Finale B"
"Nicolas Cappy","K1H","162.06","796.91","780.52","Finale B"
"Stewen Sourbe","K1H","165.6","664.36","818.59","Finale B"
"Antoine Rambeau","K1H","166.85","614.96","832.03","Finale B"
"Daniel Lafitte","K1H","169.36","764.6","859.01","Finale B"
"Boris Le Jolly","K1H","169.44","838.85","859.87","Finale B"
"Jean Luc Pessoni","K1H","171.47","653.95","881.7","Finale B"
"Dylan Renneteau","K1H","172.1","-","888.47","Finale B"
"Valentin Viale","K1H","174.39","-","913.09","Finale B"
"Pierre Pouvreau","K1H","176.47","-","935.46","Finale B"
"Joseph Di Nisi","K1H","180","740.2","973.41","Finale B"
"Eymric Princet","K1H","184.44","994.72","1021.15","Finale B"
"Tristan Favennec","K1H","184.74","950.93","1024.38","Finale B"
"Thierry Le Bonniec","K1H","185.42","787.97","1031.69","Finale B"
"Maxime Cros","K1H","193.6","-","1119.64","Finale B"
"Adrien Ricaud","K1H","200.48","592.03","1193.61","Finale B"
"Paul Autelin","K1H","204.7","-","1238.98","Finale B"
"Tom Morillon","K1H","233.65","-","1550.25","Finale B"
"Philippe Albessard","K1H","233.95","683.93","1553.47","Finale B"
"Briag Merlet","K1H","253.26","-","1761.09","Finale B"
"Loris Ladame","K1H","321.43","-","2494.05","Finale B"
"Fantin Delage-garez","K1HM","136.76","508.4","508.5","Finale B"
"Tom Delens","K1HM","137.67","456.63","518.29","Finale B"
"Adrien Pardoux","K1HM","139.88","550.65","542.05","Finale B"
"Clement Riera","K1HM","148.76","546.27","637.53","Finale B"
"Quentin Alcaras","K1HM","153.72","631.5","690.85","Finale B"
"Theo Papin","K1HM","153.95","619.99","693.33","Finale B"
"Simon Tourtois","K1HM","159.06","857.92","748.27","Finale B"
"Ugo David","K1HM","163.3","686.45","793.86","Finale B"
"Gabin Allard","K1HM","164.78","851.28","809.77","Finale B"
"Adrien Baty","K1HM","169.84","752.37","864.17","Finale B"
"Titouan Conseil","K1HM","172.14","-","888.9","Finale B"
"Nathanael Bordes","K1HM","173.77","-","906.43","Finale B"
"Julien Coric","K1HM","186.77","781.26","1046.2","Finale B"
"Natan Bignaud","K1HM","187.93","-","1058.67","Finale B"
"Lucas Mesquita","K1HM","189.22","730.81","1072.54","Finale B"
"Killian Dal-cin","K1HM","205.93","-","1252.21","Finale B"
"Adrien Favennec","K1HM","209.35","-","1288.98","Finale B"
"Julien Vinet","K1HM","209.94","-","1295.32","Finale B"
"Mael Verheyde","K1HM","210.36","933.94","1299.84","Finale B"
"Enzo Vanderbent-geay","K1HM","225.92","-","1467.14","Finale B"
"Florient Charmillon","K1HM","226.7","-","1475.52","Finale B"
"Hugo Suire","K1HM","228.42","915.04","1494.02","Finale B"
"Pierre Chollet","K1HM","231.78","-","1530.14","Finale B"
"Jacob Chaygneaud Dupuy","K1HM","233.15","1355.85","1544.87","Finale B"
"Titouan Besse-querbouet","K1HM","240.59","-","1624.87","Finale B"
"Jordan Brise","K1HM","253.1","698.11","1759.37","Finale B"
"Kylian Gauthier","K1HM","295.5","1105.51","2215.25","Finale B"
"Maxime Blondeau","OUV","166.88","-","-","Finale B"
"Axel Plumereau","OUV","210.15","-","-","Finale B"
"Manon Redon","OUV","220.97","-","-","Finale B"
"Clement Turgis","OUV","235.55","-","-","Finale B"
"Clara Brard","OUV","236.19","-","-","Finale B"
"Enzo Robelin","OUV","249.7","-","-","Finale B"
"Melody Gireaud","OUV","255.06","-","-","Finale B"
"Babette Ingenluyff","OUV","292.47","-","-","Finale B"
"Carla Grainville","OUV","307.01","-","-","Finale B"
"Baptiste Le Gal-dutheil","OUV","425.65","-","-","Finale B"
