"Sélectif Régional de slalom - Montpellier - Course n°1 | Qualification - 2015-11-21","Course n°1 | Qualification","2015-11-21","Régional","111"
"Enzo Briffa","K1H","109.05","565.25","570.35",""
"Valentin Affortit","K1H","109.69","494.57","579.3",""
"Marceau Hugues","K1H","109.98","610.45","583.35",""
"Pierre Courtois","K1H","110.66","609.96","592.86",""
"Nicolas Ciemniewski","K1H","113.21","401.19","628.53",""
"Denis Barkat","K1H","114.29","-","643.63",""
"Baptiste Bounekir","K1H","117.09","772.97","682.79",""
"Francois Mouttou","K1H","120.19","-","726.14",""
"Amaury Viguier","K1H","121.34","-","742.22",""
"Eric Vuiet","K1H","122.44","741.96","757.61",""
"Gauthier Fiorentino","K1H","122.81","1163.11","762.78",""
"Victor Demer","K1H","131.08","-","878.44",""
"Alexandre Sotiaux","K1H","132.3","-","895.5",""
"Jules Cresp","K1H","147.28","264.33","1105",""
"Guillaume Affortit","K1H","151.33","427.31","1161.64",""
"Bryan Seiler","K1H","Abd","-","-",""
"Virgile Di Manno","K1H","Abs","-","-",""
"Frederic Reus","K1H","Abs","-","-",""
"Jeremie Palazy","K1HM","92.94","481.53","345.05",""
"Tom Zanfini","K1HM","95.56","907.26","381.69",""
"Nour Ait Kaddour","K1HM","100.53","691.01","451.2",""
"Gawaine Chikh","K1HM","100.61","425.6","452.31",""
"Valentin Lacor","K1HM","106.16","-","529.93",""
"Guilhem Viguier","K1HM","109.93","547.58","582.66",""
"Robin Andre","K1HM","113.36","-","-",""
"Simon Del Negro","K1HM","113.64","797.68","634.54",""
"Noah Dufenieux","K1HM","113.74","-","635.94",""
"Joachim Saussol","K1HM","114.11","1535.02","641.11",""
"Erwan Quellec","K1HM","117.32","-","686",""
"Enzo Guillarme","K1HM","122.02","816.09","751.73",""
"Thomas Fernandez","K1HM","130.93","-","-",""
"Adrien Fischer","K1HM","149.17","355.48","1131.43",""
