"Championnat de France Slalom Elite 2017 - Stade D'eau Vive Pau-Pyrénées - Course N°2 - 2017-05-04","Course N°2","2017-05-04","Championnats de France","144"
"Maxime Tilhet","K1H","95.68","109.08","103.43",""
"Kendaor Le Huitou","K1H","96.6","101.13","112.55",""
"Maxime Bottex","K1H","96.84","110.44","114.92",""
"Louison Turmeau","K1H","98.11","101.04","127.51",""
"Martin Daviet","K1H","98.16","79.79","128",""
"Simon Hene","K1H","98.25","188.55","128.89",""
"Isaac Dufrene","K1H","98.54","151.5","131.77",""
"Loic Bertoia","K1H","99.55","89.28","141.78",""
"William Desnos","K1H","99.97","98.71","145.94",""
"Julien Pajaud","K1H","101.36","89.41","159.71",""
"Mathys Huvelin","K1H","102.41","58.77","170.11",""
"Jonas Turmeau","K1H","102.47","106.55","170.71",""
"Anatole Delassus","K1H","103.77","143.1","183.59",""
"Nicolas Bernardy","K1H","108.42","148.47","229.66",""
"Pierre Grapotte","K1H","110.52","153.13","250.47",""
"Titouan Dupras","K1H","141.95","86.37","561.89",""
"Mathurin Madore","K1H","142.1","46.71","563.38",""
"Guillaume Graille","K1H","142.29","65.65","565.26",""
"Yann Le Govic","K1H","144.72","110.03","589.34",""
"Paul Cornut-chauvinc","K1H","145.54","92.97","597.47",""
"Alan Dollo","K1H","146.05","103.33","602.52",""
"Enrick Cunsolo","K1H","150.31","81.09","644.73",""
"Hugo Crepeau","K1H","152.07","128.6","662.17",""
"Pierre Giudicelli","K1H","153.27","108","674.06",""
"Vincent Delahaye","K1H","155.23","138.13","693.48",""
"Thibault Marchand","K1H","155.97","80.18","700.81",""
"Sami Rocher","K1H","193.72","82.13","1074.85",""
"Nicolas Baudoin","K1H","199.02","84.6","1127.37",""
"Robin Pottelette","K1H","272.21","159.12","1852.57",""
"Lucas Latimier","K1H","346.83","123.83","2591.94",""
"Goulwen Chapelier","K1H","DNS","-","-",""
"Pierre Hellard","K1H","DNS","-","-",""
