"SLALOM DE FONTAINE DE V. - Fontaine De Vaucluse - 2003-10-26","Course 1","2003-10-26","Régional","126"
"Capietto Louis","K1H","202.38","435","453",""
"Faugeras Quentin","K1H","204.14","486","465",""
"Bernard Delorme","K1H","204.85","-","470",""
"Wolfgang Schulz","K1H","205.02","435","471",""
"Corriere Johan","K1H","205.04","-","471",""
"Chapus Jérémie","K1H","205.26","-","473",""
"Francius Alexandre","K1H","206.49","-","482",""
"Champeau Laurent","K1H","207.89","527","492",""
"Boissy Maxime","K1H","207.98","-","492",""
"Meissner Pierre","K1H","208.22","392","494",""
"Camille Sahuc","K1H","212.98","546","527",""
"Rech Julien","K1H","213.37","-","529",""
"Riet Julien","K1H","219.17","-","570",""
"Cossou Antoine","K1H","220.58","-","580",""
"Manresa Jose","K1H","221.07","-","584",""
"Pommies Cyrille","K1H","222.37","465","593",""
"Guillaume Wyart","K1H","223.47","563","601",""
"Dufosse Victor","K1H","227.80","-","630",""
"Adjedj Thibaud","K1H","229.52","-","642",""
"Lenoir Adrien","K1H","230.29","838","648",""
"Mickael Cordier","K1H","234.46","-","677",""
"Giroguy Victor","K1H","235.42","-","684",""
"Bounias-Delacour Aurelien","K1H","240.47","642","718",""
"Dorlencourt Richard","K1H","241.87","466","728",""
"Lois Desroches","K1H","249.30","-","780",""
"Bos Thierry","K1H","258.50","-","845",""
"Ihamouine Eddine","K1H","264.99","877","889",""
"Llido Olivier","K1H","267.31","1129","906",""
"Robert Quentin","K1H","267.65","-","908",""
"Ernst Olivier","K1H","272.51","-","942",""
"Le Guennan Yann","K1H","278.18","-","981",""
"Tom Bar","K1H","281.42","-","1004",""
"Gavilaud Thomas","K1H","287.56","-","1047",""
"Maillard Stephane","K1H","313.52","-","1228",""
"Maillard Sebastien","K1H","323.52","-","1298",""
"Nicolas Gwénolé","K1H","352.03","-","1496",""
"Vasseur Mathieu","K1H","356.37","-","1527",""
"Arpadgian Julien","K1H","741.30","-","4212",""
