"Sélectif Régional Slalom (Double)  - Irun - Course n°1 | Finale - 2018-10-13","Course n°1 | Finale","2018-10-13","Régional","133"
"Emma Angladette","K1D","118.93","630.06","488.8","Course n°1 | Finale B"
"Manon Zago","K1D","123.64","591.87","546.89","Course n°1 | Finale B"
"Marine Cottu","K1D","132.42","1070.61","655.18","Course n°1 | Finale B"
"Perrine Dujourd'hui","K1D","137.07","997.85","712.53","Course n°1 | Finale B"
"Mael Bernes","K1H","87.58","283.52","242.55","Course n°1 | Finale B"
"Samuel Taillefer","K1H","89.46","299.39","268.75","Course n°1 | Finale B"
"Louis Hannon","K1H","89.88","413.15","274.61","Course n°1 | Finale B"
"Paul Gobert","K1H","93.02","357.68","318.37","Course n°1 | Finale B"
"Fantin Delage-garez","K1H","94.21","337.77","334.96","Course n°1 | Finale B"
"Julien Doumecq","K1H","94.35","475.51","336.91","Course n°1 | Finale B"
"Matt Vidou","K1H","95.47","415.09","352.52","Course n°1 | Finale B"
"Gaetan Coat","K1H","96.66","386.57","369.1","Course n°1 | Finale B"
"Tristan Ruiz","K1H","98.8","491.17","398.93","Course n°1 | Finale B"
"Baptiste Delemotte","K1H","98.81","293.92","399.07","Course n°1 | Finale B"
"Baptiste San Nicolas","K1H","99.29","467.81","405.76","Course n°1 | Finale B"
"Jeremy Rouchereau","K1H","100.81","588.32","426.94","Course n°1 | Finale B"
"Eric Vidou","K1H","102.46","464.59","449.94","Course n°1 | Finale B"
"Thibault Marque","K1H","102.56","559.17","451.33","Course n°1 | Finale B"
"Flavien Portier","K1H","102.69","521.02","453.15","Course n°1 | Finale B"
"Baptiste Mondin","K1H","103.58","1234.13","465.55","Course n°1 | Finale B"
"Guillaume Malmezac","K1H","103.65","500.07","466.53","Course n°1 | Finale B"
"Lucas Dongarra","K1H","105.21","449.97","488.27","Course n°1 | Finale B"
"Thomas Bisetto","K1H","105.65","532.65","494.4","Course n°1 | Finale B"
"Leo Arriau","K1H","110.07","737.23","556","Course n°1 | Finale B"
"Aurelien Blois","K1H","112.51","662.49","590.01","Course n°1 | Finale B"
"Daniel Lafitte","K1H","113.41","715.46","602.55","Course n°1 | Finale B"
"Simeon Althabegoity","K1H","114.4","496.98","616.35","Course n°1 | Finale B"
"Jon Levy","K1H","117.12","609.95","654.26","Course n°1 | Finale B"
"Remi Ducos","K1H","118.09","717.2","667.78","Course n°1 | Finale B"
"Jean Luc Pessoni","K1H","119.85","1003.94","692.31","Course n°1 | Finale B"
"Patrick Parage","K1H","122.99","733.26","736.07","Course n°1 | Finale B"
"Emmanuel Trouilh","K1H","126.26","660.05","781.65","Course n°1 | Finale B"
"Hugo Larenjeiro","K1H","135.74","2030.61","913.78","Course n°1 | Finale B"
"Nicolas Peyroux","K1H","136.17","977.6","919.77","Course n°1 | Finale B"
"Lukas Estanguet-santamaria","K1HM","93.11","380.65","319.63","Course n°1 | Finale B"
"Edgar Paleaubrasseur","K1HM","93.57","423.84","326.04","Course n°1 | Finale B"
"Mathys Maniet","K1HM","109.22","1271.32","544.16","Course n°1 | Finale B"
"Arsene Labarthe","K1HM","113.29","732.49","600.88","Course n°1 | Finale B"
"Quentin Rival-negrevergne","K1HM","115.3","704.61","628.9","Course n°1 | Finale B"
"Lilian Dujourd'hui","K1HM","131.12","1232.18","849.38","Course n°1 | Finale B"
"Audrys Barinaga Stauskas","K1HM","144.84","1488.6","1040.61","Course n°1 | Finale B"
"Quentin Arnaudin","K1HM","154.14","1679.17","1170.22","Course n°1 | Finale B"
"Martin Grzeskowiak","K1HM","247.42","5538","2470.3","Course n°1 | Finale B"
