"Slalom Evrunes - Mortagne sur Sèvre - Gazeau Evrunes - 2008-01-13","Course 1","2008-01-13","Régional","152"
"Vincent Lemonnier","K1H","255.03","251","215",""
"Joris Rocher","K1H","256.79","164","224",""
"Romain Fraisse","K1H","257.12","171","225",""
"Etienne Legeay","K1H","258.28","250","231",""
"Stephane Broute","K1H","258.48","253","232",""
"Couprie Nicolas","K1H","258.82","-","233",""
"Vincent Froger","K1H","259.38","223","236",""
"Alexandre Plouzeau","K1H","261.47","271","246",""
"Alexandre Thomasseau","K1H","261.62","256","247",""
"Mathieu Godin","K1H","262.29","232","250",""
"Bizot Antoine","K1H","263.69","223","258",""
"Philippe Gendraux","K1H","265.72","225","268",""
"Antoine Godet","K1H","266.65","293","272",""
"Rialland Samuel","K1H","272.12","-","299",""
"Philippe Rocher","K1H","272.50","320","301",""
"Pierre Emanuel Marchand","K1H","273.35","-","305",""
"Simon Boulan","K1H","274.90","299","313",""
"Marc Anthoine Marchand","K1H","275.19","-","314",""
"Simon Vaillant","K1H","275.40","270","315",""
"Manuel Moquet","K1H","280.31","289","340",""
"Maxime Leclerc","K1H","282.51","426","350",""
"Thomas Drouart","K1H","283.41","362","355",""
"Sibioude Remy","K1H","283.68","-","356",""
"Marrec Loic","K1H","285.13","-","363",""
"Erwan Desbordes","K1H","285.88","296","368",""
"Mathieu Eyrolle","K1H","287.31","383","374",""
"Florent Regrettier","K1H","291.41","-","394",""
"Baptiste Piveteau","K1H","292.40","393","399",""
"Vincent Richard","K1H","293.41","405","404",""
"Gael Prodeau","K1H","293.78","430","406",""
"David Ravache","K1H","299.25","-","433",""
"Sibioude Damien","K1H","308.40","-","478",""
"Lopez Antoine","K1H","310.28","-","488",""
"Olivier Cornu","K1H","311.13","432","492",""
"Pierre Yves Bonnet","K1H","311.48","-","493",""
"Brodiez Pascal","K1H","317.41","-","522",""
"Maxime Dreux","K1H","319.94","472","535",""
"Christian Belouin","K1H","320.16","517","536",""
"Hugues Le Chenadec","K1H","320.50","-","538",""
"Aurelien Cosson","K1H","320.71","-","540",""
"Charlie Baron","K1H","323.47","512","552",""
"Paul Batrel","K1H","324.16","649","556",""
"Jonas Turmeau","K1H","326.34","702","566",""
"D'arcangues Mathieu","K1H","326.87","-","570",""
"Guillope Alois","K1H","326.94","-","570",""
"Julian Picard","K1H","328.44","715","577",""
"Dequae Mael","K1H","329.13","-","580",""
"Pierrick Rouset","K1H","330.84","-","589",""
"Guerin Frederic","K1H","334.10","-","605",""
"Eric Rivault","K1H","335.35","-","612",""
"Jerome Livet","K1H","337.78","-","623",""
"Julien Lamberti","K1H","338.32","-","626",""
"Simon Drouart","K1H","339.97","891","634",""
"Dominique Odile","K1H","352.81","550","698",""
"Thibaut Mechling","K1H","354.54","776","706",""
"Ronan Collin","K1H","355.29","-","709",""
"Moriceau Christian","K1H","355.68","-","712",""
"Gerard Lemonnier","K1H","361.56","618","741",""
"Lucien Tisserand","K1H","362.84","-","747",""
"Mehdi Rouich","K1H","370.60","330","786",""
"Alexandre Plumejeau","K1H","375.72","-","810",""
"Gaetan Robin","K1H","386.69","626","865",""
"Tristan Bardin","K1H","388.85","595","876",""
"Gerard Folle","K1H","391.44","639","889",""
"Arnaud Blanchet","K1H","397.13","-","917",""
"Jamyson Claquin","K1H","398.16","587","921",""
"Valentin Marin","K1H","403.41","548","948",""
"Cyril Come","K1H","406.21","-","961",""
"Jeremy Harel","K1H","417.26","627","1016",""
"Thierry Le Bonniec","K1H","448.06","-","1168",""
"Guillaume Chainier","K1H","450.31","873","1179",""
"Thelier Florent","K1H","485.77","-","1354",""
"Fitour Corentin","K1H","486.53","-","1358",""
"Aurelien Ballandras","K1H","529.47","-","1571",""
"Leclerc Teddy","K1H","529.88","-","1573",""
"Menard Clement","K1H","550.91","-","1676",""
"Thomas Renaud","K1H","568.63","1730","1764",""
