"SLALOM REGIONAL DE LA PASSERELLE - BAZANCOURT - Bazancourt - 2008-11-23","Course 1","2008-11-23","Régional","137"
"Quentin Vallee","K1H","187.89","214","310",""
"Lucas Ferraina","K1H","188.70","234","315",""
"Benjamin Fourmet","K1H","192.30","362","341",""
"Nizar Samlal","K1H","194.63","227","359",""
"Eddy Cassard","K1H","195.40","295","364",""
"Jerome Lacire","K1H","196.01","-","369",""
"Victor Paulais","K1H","196.88","389","375",""
"Joel Ramillon","K1H","196.91","411","375",""
"Nicolas Leclerc","K1H","197.38","329","378",""
"Pierre-olivier Oudin","K1H","201.26","-","407",""
"Thomas Quennehen","K1H","204.29","440","428",""
"Matthieu Marlette","K1H","204.56","-","430",""
"Etienne Creuza","K1H","204.83","-","433",""
"Gaspard Gindt","K1H","205.46","452","437",""
"Anthony Beaudoing","K1H","205.51","303","438",""
"Thomas Barraco","K1H","205.81","602","440",""
"Mathieu Domon","K1H","208.27","-","458",""
"William Ozanne","K1H","208.37","436","459",""
"Florian Colle","K1H","209.76","-","468",""
"Florian Souchaire","K1H","213.50","403","496",""
"Sami Fossat","K1H","213.92","-","499",""
"Antoine Dufrene","K1H","215.28","-","509",""
"Mathieu Faure","K1H","216.78","537","519",""
"Camille Simonin","K1H","219.40","683","539",""
"Yoann Nurit","K1H","219.68","549","540",""
"Aurelien Noiret","K1H","220.42","381","545",""
"Mickael Faure","K1H","227.93","518","601",""
"Gilles Barthelemy","K1H","228.49","-","604",""
"Coddy Beuve","K1H","229.06","-","608",""
"Robin Guebey","K1H","232.87","627","637",""
"Tom Barthelemy","K1H","233.90","571","644",""
"Laurent Graillot","K1H","238.93","749","680",""
"Loic Durand","K1H","239.19","713","682",""
"Anthony Mercier","K1H","241.24","-","697",""
"Guillaume Bourbon","K1H","248.01","-","746",""
"Jeremy Delatour","K1H","252.47","-","779",""
"Johan Floquet","K1H","253.46","-","786",""
"Antoine Leroy","K1H","253.96","-","790",""
"Even Perot","K1H","273.33","719","931",""
"Pierre Aubry","K1H","279.76","891","977",""
"Jose Santos","K1H","280.35","-","982",""
"Quentin Deparpe","K1H","284.20","-","1009",""
"Mickael Lefuel","K1H","284.94","-","1014",""
"Maxime Vandaele","K1H","292.04","-","1066",""
"Jean Hussenet","K1H","348.09","-","1473",""
"Paul Beteille","K1H","397.67","2210","1834",""
"Sebastien Lalouette","K1H","543.19","-","2891",""
"Alexandre Hosman","K1H","673.25","-","3836",""
