"REGIONAL 1 - Lannion - 2006-12-03","Course 1","2006-12-03","Régional","170"
"Benoit Ricard","K1H","224.57","292","339",""
"Simon Even","K1H","227.26","-","356",""
"Jeremy Froger","K1H","227.50","300","357",""
"Denis Voisin","K1H","228.04","326","361",""
"Nicolas Marcus","K1H","229.56","374","370",""
"Priol Yoann","K1H","230.12","-","373",""
"Melaine Caurant","K1H","231.62","284","383",""
"Marrec Loic","K1H","232.27","340","387",""
"Froger Alexandre","K1H","234.31","479","399",""
"Chiche Martin","K1H","235.12","-","404",""
"Tristan Bronsard","K1H","236.59","363","413",""
"Hugo Le Guennic","K1H","238.66","395","426",""
"Le Bihan Yann","K1H","241.44","-","443",""
"Guelou Maudez","K1H","241.65","519","445",""
"Emeric Bertrand","K1H","244.97","179","465",""
"Pierre Mikolajczak","K1H","245.12","548","466",""
"Didier Rouet","K1H","247.65","367","482",""
"Le Jacques François","K1H","248.79","388","489",""
"Erwan Le Guevel","K1H","249.73","523","496",""
"Dupré Bertrand","K1H","253.13","483","516",""
"Guyomard Julien","K1H","254.01","-","522",""
"Le Bescaut Jean","K1H","286.50","336","723",""
"Tangui Quemeneur","K1H","302.04","438","820",""
"Julien Dosse","K1H","302.25","129","821",""
"Laurent Rigaud","K1H","303.92","127","832",""
"Le Guillouzic Clément","K1H","315.79","943","906",""
"Victor Azam","K1H","331.89","-","1006",""
"Sylvain Le Roux","K1H","343.62","-","1078",""
"Thibaud Couetil","K1H","348.38","-","1108",""
"Brigant Adrien","K1H","460.25","518","1802",""
