"Sélectif N3 Nord Est - Corbeil Essonnes - 2004-05-23","Course 1","2004-05-23","Nationale 3","129"
"William Boutet","K1H","235.05","339","327",""
"Christophe Billaud","K1H","235.21","277","328",""
"Hayot Sylvain","K1H","236.75","310","337",""
"Quentin Vallee","K1H","237.86","293","343",""
"Thomas Rollot","K1H","238.23","370","345",""
"Arthur Sucker","K1H","239.95","386","355",""
"Granger Terence","K1H","241.63","573","364",""
"Antoine Decambon","K1H","242.33","408","368",""
"Ciemniewski Olivier","K1H","242.66","365","370",""
"Le Berte Maxime","K1H","242.95","330","373",""
"Beghoura Yoni","K1H","243.41","335","375",""
"Malderez Sebastien","K1H","243.44","315","376",""
"Patrick Gass","K1H","243.87","298","378",""
"Sergent Sylvain","K1H","244.32","321","380",""
"Stefan Stanik","K1H","244.79","391","383",""
"Renoux Franck","K1H","245.12","416","385",""
"Kevin Burgi","K1H","245.25","356","386",""
"Bonnot Aurélien","K1H","245.26","446","386",""
"Philippe Valeri","K1H","245.82","347","389",""
"Guillaume Huppert","K1H","246.04","288","390",""
"Loic Monbel","K1H","246.36","396","392",""
"Lillette Mael","K1H","246.86","405","395",""
"Julien Bley","K1H","247.49","344","398",""
"Savart Matthieu","K1H","248.38","324","403",""
"Dupont Emmanuel","K1H","249.06","346","407",""
"Xavier Rat","K1H","250.01","492","413",""
"Damien Burteaux","K1H","250.05","463","413",""
"Viratelle Vincent","K1H","250.44","369","415",""
"Arette Hourquet Olivier","K1H","251.16","349","419",""
"Gerard Lafargue","K1H","251.67","389","422",""
"Biton Jonas","K1H","251.94","472","423",""
"Courtier Jeremy","K1H","252.18","501","425",""
"Terryn Gilles","K1H","252.38","443","426",""
"Debruyere Benjamin","K1H","252.56","267","427",""
"Hetier Louis","K1H","253.43","446","432",""
"Wendling Valentin","K1H","254.68","489","439",""
"Senechal Alexis","K1H","255.66","423","444",""
"Vallee Mathieu","K1H","256.10","477","447",""
"Barnavon Nicolas","K1H","257.90","526","457",""
"Soria Amaury","K1H","258.27","424","459",""
"Billel Khenchouche","K1H","258.46","554","460",""
"Chapellier Pierre Emmanuel","K1H","258.99","480","463",""
"Gaetan Dheilly","K1H","259.00","489","463",""
"Romain Viry","K1H","259.56","498","466",""
"Tachet Xavier","K1H","261.05","462","475",""
"Gaetan Kieffert","K1H","262.18","546","481",""
"Aurelien Desgrez","K1H","263.07","657","486",""
"Hitou Sofiane","K1H","265.52","530","500",""
"Bajolet Julien","K1H","265.76","622","501",""
"Guillaume Carpentier","K1H","267.64","521","512",""
"Treiber Edouard","K1H","268.55","614","517",""
"Laurent Guyot","K1H","268.56","622","517",""
"Guerrero Juan","K1H","270.39","491","528",""
"Barnavon Guillaume","K1H","271.01","556","531",""
"Arthur Veber","K1H","271.07","774","531",""
"Richard Carpentier","K1H","271.29","490","533",""
"Gautier Boudat","K1H","273.74","637","546",""
"Esnault Nicolas","K1H","275.30","541","555",""
"Diemert Maxime","K1H","278.84","479","575",""
"Emmanuel Triomphe","K1H","278.98","578","576",""
"Frering Gilles","K1H","279.53","582","579",""
"Vincent Bajolot","K1H","279.92","604","581",""
"Gilles Lucas","K1H","280.34","521","584",""
"Collet Timothe","K1H","281.52","584","590",""
"Duparcq Romain","K1H","281.93","633","593",""
"Charlot Bertrand","K1H","282.05","600","593",""
"Houdant Batiste","K1H","282.53","536","596",""
"Thomas Monvoisin","K1H","286.03","628","616",""
"Wendling Jean-Mathieu","K1H","290.70","730","643",""
"Bolzani Fabien","K1H","304.10","683","719",""
"Parmentelat Steve","K1H","311.89","563","763",""
"Bourgain Olivier","K1H","314.37","705","777",""
"Denis Dimitri","K1H","355.30","700","1009",""
