"Sélectif Régional - Champs sur Marne - 2012-11-18","Course 1","2012-11-18","Régional","250"
"Etienne Nardeau","C1H","126.38","267.86","344.43",""
"Alexy Wengler","C1H","126.82","317.97","348.55",""
"Alexandre Marteau","C1H","126.91","336.68","349.4",""
"Gael Wassmer","C1H","127.5","-","354.93",""
"Jacques Nardeau","C1H","128.72","343.34","366.36",""
"Bastien Meslet","C1H","130.25","544.19","380.72",""
"Yoann Turowsky","C1H","132.5","305.36","401.81",""
"Dylan Garin","C1H","134.06","459.74","416.45",""
"Yohan Marck","C1H","143.53","439.52","505.25",""
"Adrien Suardana","C1H","143.62","-","506.1",""
"Theo Lefetey","C1H","143.82","389.97","507.97",""
"Mederic Larrive","C1H","144.79","490.6","517.07",""
"Emile Gousselot","C1H","150.5","-","570.62",""
"Aubin Decambron","C1H","151.91","555.16","583.84",""
"Pierre Ferrand","C1H","153.16","-","595.57",""
"Benjamin Dubert","C1H","156.25","-","624.55",""
"Adrien Barlier","C1H","158.14","491.56","642.27",""
"Aymeric Dollat","C1H","160.75","-","666.74",""
"Pierre Dampeyrou","C1H","163.35","-","691.12",""
"Remi Robin","C1H","173.28","-","784.25",""
"Kilian Henique","C1H","175.3","725.13","803.19",""
"Jeremy Grippon","C1H","190","445.84","941.04",""
"Clement Pinard","C1H","201.25","-","1046.55",""
"Paul Beteille","C1H","437.75","-","3264.41",""
"Jules Guilbaud","C1H","Nt","-","-",""
"Ludovic Cravoisier","C1H","Nt","-","-",""
"Aurelien Coiffeteau","C1H","Nt","-","-",""
"Thibault Dhennin","C1H","Nt","-","-",""
"Adrien Herbert","C1H","Nt","-","-",""
"Laurent Dupuis","C1H","Nt","-","-",""
"Tristan Lejot","C1H","Nt","-","-",""
"Philippe Daumont","C1H","Nt","-","-",""
"Claire Gaigeot-Lea Gaigeot","C2D","155.06","340.32","380.72",""
"Marion Gallois-Fiora Bourges","C2D","198.25","-","720.95",""
"Natacha Giraud-Eva Dauvergne","C2D","268.17","-","1271.73",""
"Louison Tanet-Emmanuel Walczak","C2H","108.23","-","128.08",""
"Benjamin Soroka-Edouard Gracias","C2H","117.53","158.1","211.33",""
"Marcantoine Hacquart-Bertrand Gutierrez","C2H","121.16","309.41","243.82",""
"Alexis Collin-Remi Thomas","C2H","124.09","-","270.05",""
"Pierre-yves Bernard-Charles Dampeyrou","C2H","127.75","276.33","302.81",""
"Olivier Gesbert-Xavier Jourdain","C2H","129.38","259.87","317.41",""
"Romain Bertrand-Ludovic Ngo","C2H","130.04","307.91","323.31",""
"Tom Barthelemy-Corentin Robin","C2H","131.28","294.52","334.41",""
"Evence Granger-Nicolas Feuillard","C2H","132","-","340.86",""
"Quentin Bove-Romain Di Majo","C2H","133.03","-","350.08",""
"Paul Tallet Pinet-Nicolas Leconte","C2H","135.25","-","369.96",""
"Thomas Postaire-Benoit Le Mazurier","C2H","150.97","-","510.67",""
"Jeremy Grippon-Nathan Aubert","C2H","157.83","454.71","572.08",""
"Emile Gousselot-Enrique Billet","C2H","201.59","-","963.81",""
"Adrien Herbert-Antoine Riard","C2H","214.1","364.88","1075.78",""
"Aymeric Dollat-Pierre Ferrand","C2H","231.53","-","1231.81",""
"Aubin Decambron-Dylan Garin","C2H","369.28","-","2464.89",""
"Yohan Marck-Laurent Dupuis","C2H","Nt","-","-",""
"Etienne Carpentier-Tristan Lejot","C2H","Nt","-","-",""
"Arnaud Gallois-Rodolphe Rodrigue","C2H","Nt","-","-",""
"Benoit Chantry-Stephanie Bender","C2M","126.31","146.91","213.27",""
"Caroline Bourry-Renaud Doby","C2M","130.15","159.1","245.32",""
"Julien Fougeron-Lea Feuillard","C2M","143.63","253.71","357.8",""
"Catherine Boulan-Xavier Jourdain","C2M","155","202.03","452.68",""
"Agnes Gigan-Thibault Dhennin","C2M","158.81","380.34","484.48",""
"Laurene Cougnet-Robin Pilard","C2M","167.03","-","553.07",""
"Flora Bove-Benjamin Dubert","C2M","220.31","-","997.67",""
"Lea Gaigeot","K1D","109.62","87.16","114.47",""
"Claire Gaigeot","K1D","113.07","79.3","144.54",""
"Caroline Bourry","K1D","119.06","66.89","196.73",""
"Juliette Legendre","K1D","123.47","96.84","235.16",""
"Lisa Robin","K1D","124.25","168.65","241.96",""
"Emilie Delahaye","K1D","124.44","214.35","243.62",""
"Marion Gallois","K1D","124.47","174.79","243.87",""
"Lea Feuillard","K1D","125.35","208.86","251.54",""
"Fiora Bourges","K1D","127.5","242.7","270.28",""
"Justine Cougnet","K1D","127.88","266.86","273.59",""
"Stephanie Bender","K1D","130.47","203.88","296.16",""
"Laurene Cougnet","K1D","131.47","204.19","304.87",""
"Alize Bachelot","K1D","133.67","196.35","324.04",""
"Juliette Pitrey","K1D","135.49","227.5","339.91",""
"Celine Roulot","K1D","135.76","-","342.26",""
"Marianne Herault","K1D","136.04","241.84","344.69",""
"Natacha Giraud","K1D","137.82","334.21","360.21",""
"Maryse Viseur","K1D","143.56","478.55","410.22",""
"Catherine Boulan","K1D","155.75","368.61","516.45",""
"Louise Muller","K1D","156.79","465.54","525.51",""
"Meghan Gonzalez","K1D","158.65","-","541.72",""
"Mathilde Bouquin","K1D","159.75","384.25","551.31",""
"Clothilde Charbeaux","K1D","161","497.6","562.2",""
"Pauline Pillion","K1D","170.91","-","648.55",""
"Elise Rousseau","K1D","173.44","375.53","670.6",""
"Elise Turowsky","K1D","188.41","-","801.05",""
"Agnes Gigan","K1D","207.16","424.4","964.43",""
"Aurelie Vilaboa","K1D","226.56","-","1133.49",""
"Marion Martel","K1D","239.25","-","1244.06",""
"Adeline Lesourd","K1D","346.29","-","2176.8",""
"Alice Rietzmann","K1D","Nt","-","-",""
"Renaud Doby","K1H","88.43","17.13","30",""
"Loic Monbel","K1H","92","61.56","65.15",""
"Ronan Lucas","K1H","92.25","30.99","67.61",""
"Samuel Lhegu","K1H","92.34","32.59","68.5",""
"Bertrand Gutierrez","K1H","92.41","39.93","69.19",""
"Jeremy Cremonesi","K1H","93.38","21.26","78.74",""
"Nicolas Feuillard","K1H","93.91","63.46","83.96",""
"Vincent Reiter","K1H","94.84","47.42","93.12",""
"Xavier Jourdain","K1H","95.1","47.3","95.68",""
"Sullivan Porcher","K1H","95.22","35.15","96.86",""
"Benoit Chantry","K1H","96.28","57.58","107.3",""
"Louis Philippe Rigal","K1H","97.5","55.68","119.31",""
"Mathurin Madore","K1H","98.47","108.52","128.86",""
"Romain Di Majo","K1H","98.5","-","129.16",""
"Romain Bertrand","K1H","101.06","105.36","154.36",""
"Remi Thomas","K1H","101.69","91.69","160.57",""
"Etienne Carpentier","K1H","102.22","89.89","165.79",""
"Philippe Daumont","K1H","103.72","134.57","180.56",""
"Louison Tanet","K1H","105.31","163.76","196.21",""
"Gael Wassmer","K1H","105.43","113.41","197.39",""
"Jules Guilbaud","K1H","105.59","145.06","198.97",""
"Bastien Meslet","K1H","105.62","205.47","199.27",""
"Laurent Dupuis","K1H","105.75","147.32","200.55",""
"Jacques Precigout","K1H","105.81","-","201.14",""
"Robin Pilard","K1H","106","129.59","203.01",""
"Florian Perenchio","K1H","106.16","153.4","204.58",""
"Remi Robin","K1H","106.88","159.72","211.67",""
"Arnaud Gallois","K1H","107.32","94.16","216.01",""
"Mathieu Delorme","K1H","107.65","210.97","219.25",""
"Dylan Garin","K1H","107.9","202.64","221.72",""
"Tom Barthelemy","K1H","108.65","125.67","229.1",""
"Jeremy Huguenin","K1H","109.03","201.43","232.84",""
"Julien Fougeron","K1H","109.19","163.74","234.42",""
"Pierre Dampeyrou","K1H","109.31","127.41","235.6",""
"Kevin Lucas Mendes","K1H","110.02","-","242.59",""
"Mederic Larrive","K1H","110.53","201.15","247.61",""
"Thomas Postaire","K1H","110.77","259.84","249.98",""
"Yoann Turowsky","K1H","110.82","135.16","250.47",""
"Evence Granger","K1H","111.07","-","252.93",""
"Francois Durand","K1H","111.78","257.02","259.92",""
"Xavier Chantry","K1H","112.46","167.12","266.62",""
"Kevin Chalopin","K1H","113.94","-","281.19",""
"Edouard Gracias","K1H","113.99","132.81","281.68",""
"Yohan Marck","K1H","114.5","191.79","286.7",""
"Benoit Le Mazurier","K1H","114.59","-","287.59",""
"Ludovic Ngo","K1H","115.69","145.97","298.42",""
"Aurelien Coiffeteau","K1H","116.84","284.46","309.75",""
"Thomas Vernel","K1H","117.19","-","313.19",""
"Jeremy Grippon","K1H","117.94","247.35","320.58",""
"Nicolas Leconte","K1H","118.06","-","321.76",""
"Beranger Doulle","K1H","118.64","-","327.47",""
"Nathan Aubert","K1H","119.53","255.22","336.23",""
"Adrien Suardana","K1H","119.63","368.93","337.22",""
"Aymeric Dollat","K1H","119.96","325.04","340.47",""
"Maxime Pilard","K1H","120.09","294.84","341.75",""
"Christophe Lacave","K1H","120.44","-","345.19",""
"Camille Zaoui","K1H","120.82","413.77","348.94",""
"Adrien Barlier","K1H","120.83","309.86","349.03",""
"Benjamin Dubert","K1H","121.03","387.35","351",""
"Aubin Decambron","K1H","121.06","338.41","351.3",""
"Sylvain Barrois","K1H","121.59","372.36","356.52",""
"Vincent Fanoi","K1H","121.85","-","359.08",""
"Martin Grezard","K1H","121.9","328.25","359.57",""
"Romain Clerc","K1H","121.94","-","359.96",""
"Thibault Dhennin","K1H","122.19","256.66","362.43",""
"Mehdy Lakenal","K1H","122.28","387.28","363.31",""
"Alexandre Marteau","K1H","122.34","371.31","363.9",""
"Guillaume Maraquin","K1H","122.75","-","367.94",""
"Juan Guerrero","K1H","122.94","-","369.81",""
"Philippe Valeri","K1H","123.5","262.16","375.33",""
"Pierre Ferrand","K1H","123.59","369.77","376.21",""
"Guillaume Lourette","K1H","125.07","381.91","390.78",""
"Charles Dampeyrou","K1H","125.97","-","399.65",""
"Theo Zilber","K1H","127.81","411.89","417.76",""
"Alexy Wengler","K1H","128.35","351.85","423.08",""
"Arnaud Denisse","K1H","129.37","-","433.13",""
"Charles Edouard Noyelle","K1H","134.53","-","483.93",""
"Maxime Zaoui","K1H","134.66","-","485.22",""
"Denis Martin","K1H","134.88","425.29","487.38",""
"Romain Huguenin","K1H","135.6","-","494.47",""
"Christophe Simonin","K1H","137.87","-","516.82",""
"Michel Le Corre","K1H","138.81","-","526.08",""
"Kevin Delabarre","K1H","142.73","-","564.68",""
"Jeremy Maniere","K1H","144.99","-","586.93",""
"Quentin Bove","K1H","152.66","17.9","662.46",""
"Loic Durand","K1H","153.33","492.7","669.05",""
"Antoine Sabrie","K1H","153.77","-","673.39",""
"Clement Pinard","K1H","158.43","-","719.27",""
"Ludovic Cravoisier","K1H","163.38","-","768.01",""
"Francois Pech","K1H","181.71","-","948.5",""
"Kilian Henique","K1H","187.21","-","1002.66",""
"Pierre-yves Bernard","K1H","187.5","-","1005.52",""
"Remy Daumont","K1H","205.1","-","1178.82",""
"Julien Jeanjean","K1H","205.94","-","1187.09",""
"Antoine Luchier","K1H","209.54","-","1222.54",""
"Emeric Lasnier","K1H","243.69","-","1558.81",""
"Brayan Raoudi","K1H","273.18","-","1849.19",""
"Paul Beteille","K1H","285.97","621.53","1975.13",""
"Louis Depuydt","K1H","295.15","760.13","2065.52",""
"Yves Souchal","K1H","Nt","-","-",""
"Laurent Ernou","K1H","Nt","-","-",""
"Jocelyn Racape","K1H","Nt","-","-",""
"Enrique Billet","K1H","Nt","-","-",""
"Alexandre Jardin","K1H","Nt","-","-",""
"Gilles Lucas","K1H","Nt","-","-",""
"Clement Bekaert","K1H","Nt","-","-",""
"Alexandre Buchet","K1H","Nt","-","-",""
"Joseph Enguehard","K1H","Nt","-","-",""
"Vianney Tillier","K1H","Nt","-","-",""
"Yoann Nurit","K1H","Nt","-","-",""
"Kenzi Djoudi","K1H","Nt","-","-",""
"Rodolphe Rodrigue","K1H","Nt","-","-",""
"Guillaume Doutreix","K1H","Nt","-","-",""
"Antoine Lebastard","K1H","Nt","-","-",""
"Tristan Lejot","K1H","Nt","-","-",""
