"Sélectif Régional Slalom (Double) - 27170 Beaumont Le Roger - Course n°1 | Finale - 2019-11-23","Course n°1 | Finale","2019-11-23","Régional","117"
"Fabien Bonvalet-Alexia Evrard","C2M","127.88","612.97","513.95","Course n°1 | Finale A"
"Clemence Douche-Lucas Ferloni","C2M","144.84","1096.36","710.02","Course n°1 | Finale A"
"Delphine Brunet-Samuel Bonvalet","C2M","150.44","925.25","774.77","Course n°1 | Finale A"
"Tom Allio-Ophelie Lailler","C2M","163.2","851.59","922.29","Course n°1 | Finale A"
"Zoe Dronne-Guillaume Cahagne","C2MM","152.04","927.33","793.26","Course n°1 | Finale A"
"Elise Masseline-Corentin Jan","C2MM","153.08","844.84","805.29","Course n°1 | Finale A"
"Maya Binard-Sacha Lebertre","C2MM","161.16","824.19","898.7","Course n°1 | Finale A"
"Leontine Dubuisson","K1D","113.3","459.36","426.52","Course n°1 | Finale A"
"Lison Gautrelet","K1D","114.34","569.75","439.3","Course n°1 | Finale A"
"Estelle Brodin","K1D","120.48","650.11","514.67","Course n°1 | Finale A"
"Mylene Despres","K1D","124.02","576.78","558.14","Course n°1 | Finale A"
"Eloise Riviere","K1D","Nt","-","-","Course n°1 | Finale A"
"Zoe Dronne","K1DM","126.4","662.6","587.35","Course n°1 | Finale A"
"Maya Binard","K1DM","145.84","806.51","826.03","Course n°1 | Finale A"
"Elise Masseline","K1DM","169.44","492.79","1115.78","Course n°1 | Finale A"
"Anais Lailler","K1DM","173.1","1116.52","1160.71","Course n°1 | Finale A"
"Quentin Angot","K1H","98.06","344.24","395.93","Course n°1 | Finale A"
"Nicolas Candieu","K1H","100.7","431.98","432.55","Course n°1 | Finale A"
"Fabien Bonvalet","K1H","102.22","389.7","453.64","Course n°1 | Finale A"
"Mickael Louchard","K1H","104.72","426.32","488.33","Course n°1 | Finale A"
"Jeansebastien Simonklein","K1H","106.04","490.73","506.64","Course n°1 | Finale A"
"Romain Bouillon","K1H","109.24","477.06","551.03","Course n°1 | Finale A"
"Dante Bourlet De La Vallee","K1H","111.24","382.06","578.78","Course n°1 | Finale A"
"Nicolas Dupres","K1H","112.74","501.64","599.59","Course n°1 | Finale A"
"Teddy Poulard","K1H","113.08","487.84","604.31","Course n°1 | Finale A"
"Maxence Galy","K1H","114.14","684.63","619.01","Course n°1 | Finale A"
"Leo Tellier","K1H","114.66","679.1","626.23","Course n°1 | Finale A"
"Jess Masson","K1H","116.66","537.28","653.97","Course n°1 | Finale A"
"Benjamin Soroka","K1H","117.42","584.81","664.52","Course n°1 | Finale A"
"Tom Armand","K1H","118.3","1481.24","676.73","Course n°1 | Finale A"
"Thomas Brunet","K1H","118.82","779.37","683.94","Course n°1 | Finale A"
"Thomas Gossieaux","K1H","121.44","792.81","720.29","Course n°1 | Finale A"
"Louison Decarsin","K1HM","103.94","516.01","477.5","Course n°1 | Finale A"
"Guillaume Cahagne","K1HM","118.98","739.17","686.16","Course n°1 | Finale A"
"Mathis Havin","K1HM","124.9","718.94","768.29","Course n°1 | Finale A"
"Sacha Borderie","K1HM","127.26","788.48","801.03","Course n°1 | Finale A"
"Corentin Jan","K1HM","127.88","748.42","809.63","Course n°1 | Finale A"
"Romain Laidet","K1HM","131.76","843.14","863.46","Course n°1 | Finale A"
"Quentin Samson","K1HM","139.92","1008.56","976.67","Course n°1 | Finale A"
"Baptiste Ozieblo","K1HM","144.84","1102.79","1044.93","Course n°1 | Finale A"
"Alexia Evrard","C1D","139.52","711.13","653.52","Course n°1 | Finale B"
"Ophelie Lailler","C1D","190.34","1211.34","1241.06","Course n°1 | Finale B"
"Eloise Riviere","C1D","Nt","-","-","Course n°1 | Finale B"
"Leo Tellier","C1H","124.92","973.15","691.04","Course n°1 | Finale B"
"Yoann Turowsky","C1H","133.44","822.03","803.62","Course n°1 | Finale B"
"Dante Bourlet De La Vallee","C1H","136.2","836.92","840.08","Course n°1 | Finale B"
"Tom Armand","C1H","137.2","900.45","853.3","Course n°1 | Finale B"
"Mathis Andrieu","C1H","142.58","867.49","924.37","Course n°1 | Finale B"
"Kevin Langlois","C1H","144.64","1013.37","951.59","Course n°1 | Finale B"
"Thomas Gossieaux","C1H","152.15","1129.17","1050.83","Course n°1 | Finale B"
"Tom Allio","C1H","154.02","1650.07","1075.54","Course n°1 | Finale B"
"Alexandre Mauger","C1H","161.28","1192.05","1171.46","Course n°1 | Finale B"
"Lucas Ferloni","C1H","162.16","1179.21","1183.08","Course n°1 | Finale B"
"Jules Brodin","C1H","198.6","1540.22","1664.56","Course n°1 | Finale B"
"Jess Masson-Jeansebastien Simonklein","C2H","144.84","883.94","867.26","Course n°1 | Finale B"
"Yoann Turowsky-Tom Armand","C2H","147.66","861.38","902.81","Course n°1 | Finale B"
"Gatien Bocage-Maxence Galy","C2H","153.26","1024.12","973.44","Course n°1 | Finale B"
"Elias Schieber-Martin Dubus","C2H","Nt","-","-","Course n°1 | Finale B"
"Leontine Dubuisson-Maxime Vautier","C2M","176.88","961.18","1085.44","Course n°1 | Finale B"
"Tom Armand-Myriam Vo","C2M","201.48","1196.24","1369.85","Course n°1 | Finale B"
"Elias Schieber-Estelle Lefevre","C2M","Nt","-","-","Course n°1 | Finale B"
"Delphine Brunet","K1D","143.84","890.12","806.48","Course n°1 | Finale B"
"Estelle Lefevre","K1D","193.06","1333.25","1410.77","Course n°1 | Finale B"
"Jade Anfrye","K1D","200.68","1867.25","1504.32","Course n°1 | Finale B"
"Ophelie Lailler","K1D","206.24","1084.72","1572.58","Course n°1 | Finale B"
"Myriam Vo","K1D","344.68","1940.69","3272.26","Course n°1 | Finale B"
"Lucas Ferloni","K1H","116.6","639.28","658.14","Course n°1 | Finale B"
"Gatien Bocage","K1H","120.3","809.71","709.47","Course n°1 | Finale B"
"Mathis Andrieu","K1H","120.72","686.92","715.3","Course n°1 | Finale B"
"Hugo Lecointe","K1H","121.22","784.95","722.24","Course n°1 | Finale B"
"Jason Leroy","K1H","121.44","1124.37","725.29","Course n°1 | Finale B"
"Kevin Langlois","K1H","121.7","752.6","728.9","Course n°1 | Finale B"
"Alexandre Mauger","K1H","123.3","1109.27","751.09","Course n°1 | Finale B"
"Tom Allio","K1H","124","782.4","760.8","Course n°1 | Finale B"
"Samuel Bonvalet","K1H","125.14","770.46","776.62","Course n°1 | Finale B"
"Leo Leveque","K1H","125.94","836.1","787.72","Course n°1 | Finale B"
"Martin Dubus","K1H","126.52","2726.89","795.77","Course n°1 | Finale B"
"Elias Schieber","K1H","132.86","1565.49","883.72","Course n°1 | Finale B"
"Jules Brodin","K1H","136.28","1084.39","931.17","Course n°1 | Finale B"
"Tom Raynaud","K1H","163.08","527.85","1302.98","Course n°1 | Finale B"
"Thomas Caviole","K1H","201.82","1203.39","1840.43","Course n°1 | Finale B"
"Romain Brunet","K1HM","139.72","981.15","978.89","Course n°1 | Finale B"
"Noa Harel","K1HM","141.4","1178.37","1002.2","Course n°1 | Finale B"
"Sullivan Leblanc","K1HM","143.42","1276.71","1030.23","Course n°1 | Finale B"
"Enzo Clupty","K1HM","148.86","1442.09","1105.7","Course n°1 | Finale B"
"Gabriel Stefanovitch","K1HM","151.22","1254.98","1138.44","Course n°1 | Finale B"
"Max Boivin","K1HM","151.56","2824.99","1143.16","Course n°1 | Finale B"
"Matthyas Veltin","K1HM","156.78","1223.86","1215.57","Course n°1 | Finale B"
"Yessine Tahri","K1HM","202.66","1824.28","1852.09","Course n°1 | Finale B"
