"Manche 4 de la Coupe de France Nationale 1 slalom - Pôle Nautique De Nancy - Finale - 2016-03-20","Finale","2016-03-20","Nationale 1","141"
"Lea Turmeau","K1D","136.83","131.39","147.14","Finale A"
"Marine Leveque","K1D","137.38","72.64","151.14","Finale A"
"Romane Prigent","K1D","138.82","103.19","161.61","Finale A"
"Lisa Mouffle","K1D","141.55","112.45","181.45","Finale A"
"Estelle Mangin","K1D","179.63","29.04","458.31","Finale A"
"Estelle Hellard","K1D","185.73","72.22","502.66","Finale A"
"Julie Neime","K1D","200.3","83.93","608.59","Finale A"
"Quentin Burgi","K1H","107.33","27.06","34.11","Finale A"
"Benoit Guillaume","K1H","107.35","29.71","34.28","Finale A"
"Pierre Bourliaud","K1H","107.39","23.75","34.6","Finale A"
"Thomas Rosset","K1H","107.45","39.45","35.1","Finale A"
"Benjamin Travostino","K1H","107.48","50.19","35.34","Finale A"
"Thomas Bersinger","K1H","107.57","40.24","36.08","Finale A"
"Benjamin Renia","K1H","107.63","21.63","36.58","Finale A"
"Mathieu Desnos","K1H","108.03","50.1","39.86","Finale A"
"Ludovic Di Nisi","K1H","108.16","39.43","40.93","Finale A"
"Gurgen Brun","K1H","111.12","95.07","65.25","Finale A"
"Goulwen Chapelier","K1H","113.71","53.38","86.53","Finale A"
"Pol Oulhen","K1H","114.01","51.19","88.99","Finale A"
"Guillaume Graille","K1H","114.06","69.94","89.4","Finale A"
"Nicolas Abbal","K1H","114.35","73.03","91.78","Finale A"
"Lukas Werro","K1H","115.35","74.68","100","Finale A"
"Sami Rocher","K1H","115.47","81.05","100.98","Finale A"
"Renaud Doby","K1H","115.68","39.19","102.71","Finale A"
"Pierre Hellard","K1H","115.86","76.94","104.19","Finale A"
"Samuel Lhegu","K1H","116.93","92.48","112.98","Finale A"
"Clement Travert","K1H","117.22","57.46","115.36","Finale A"
"Thibault Marchand","K1H","117.57","85.52","118.24","Finale A"
"Tom Scianimanico","K1H","117.99","52.92","121.69","Finale A"
"Quentin Mignard","K1H","118.56","80.04","126.37","Finale A"
"Enrick Cunsolo","K1H","119.04","70.93","130.31","Finale A"
"Mathieu Doby","K1H","158.69","47.67","456.05","Finale A"
"Yves Prigent","K1H","160.91","32.19","474.29","Finale A"
"Boris Chenal","K1H","161.53","64.03","479.39","Finale A"
"Edgar Prigent","K1H","174.9","86.92","589.23","Finale A"
"Louison Turmeau","K1H","175.61","78.07","595.06","Finale A"
"Marjorie Delassus","C1D","159.79","166.42","251.3","Finale B"
"Charlotte Abba","C1D","159.96","204.89","252.47","Finale B"
"Azenor Philip","C1D","161.21","172.5","261.03","Finale B"
"Fanchon Janssen","C1D","165.95","168.25","293.48","Finale B"
"Angele Hug","C1D","182.56","229.79","407.19","Finale B"
"Tiphaine Drouin","C1D","203.97","250.64","553.77","Finale B"
"Sebastien De Kerleau","C1H","119.64","77.35","93.44","Finale B"
"Erwan Marchais","C1H","127.01","73","151.1","Finale B"
"Yann Rivallant","C1H","129.7","154.68","172.15","Finale B"
"Nicolas Gestin","C1H","131.39","130.77","185.37","Finale B"
"Emilien Kempf","C1H","131.41","101.07","185.53","Finale B"
"Antoine Roux","C1H","131.5","126.17","186.23","Finale B"
"Valentin Marteil","C1H","131.97","143.73","189.91","Finale B"
"Gael Le Noc","C1H","133.89","143.65","204.93","Finale B"
"Corentin Oulhen","C1H","136.29","148.54","223.71","Finale B"
"Marc Biazizzo","C1H","136.65","90.61","226.53","Finale B"
"Henri Despont","C1H","137.06","101.35","229.73","Finale B"
"Alexandre Paulais","C1H","137.13","119.08","230.28","Finale B"
"Nathan Rene Corail","C1H","137.62","162.82","234.12","Finale B"
"Lucas Hives - Sorin","C1H","138.66","124.86","242.25","Finale B"
"Lucas Vancon","C1H","152.65","151.86","351.72","Finale B"
"Charles Dampeyrou","C1H","157.71","189.81","391.31","Finale B"
"Quentin Bove","C1H","191.28","148.71","653.96","Finale B"
"Renaud Doby","C1H","706.43","150.46","4684.6","Finale B"
"Antoine Roux-Gurgen Brun","C2H","131.5","157.6","139.46","Finale B"
"Malo Poles-Baptiste Le Poncin","C2H","139.06","204.63","195.93","Finale B"
"Alan Mahe-Matheo Lebaindre","C2H","153.67","283.92","305.04","Finale B"
"Louison Turmeau-Thibaut Perroteau","C2H","183.65","253.39","528.95","Finale B"
"Pierre Hellard-Malo Quemeneur","C2H","Abs","-","-","Finale B"
"Valentin Marteil-Paul Cazee","C2H","Abs","-","-","Finale B"
"Joana Palermo","K1D","134.47","114.33","134.98","Finale B"
"Laura Combot","K1D","141.88","95.44","188.86","Finale B"
"Joey Bercon","K1D","143.02","130.24","197.14","Finale B"
"Emeline Oudet","K1D","145.11","145","212.34","Finale B"
"Elise Pierron","K1D","148.74","173.39","238.73","Finale B"
"Claire Gaigeot","K1D","152","115.23","262.43","Finale B"
"Caroline Bourry","K1D","152.41","122","265.41","Finale B"
"Solene Graille","K1D","185.16","96.51","503.51","Finale B"
"Agathe Chaumet","K1D","204.15","146.59","641.58","Finale B"
"Berenice Kolenc","K1D","294.23","61.61","1296.49","Finale B"
"Martin Dougoud","K1H","107.95","40.23","44.2","Finale B"
"Vivien Colober","K1H","110.75","11.76","67.21","Finale B"
"William Desnos","K1H","112.29","85.44","79.86","Finale B"
"Bertrand Gutierrez","K1H","112.86","90.5","84.54","Finale B"
"Martin Daviet","K1H","113.19","63.32","87.25","Finale B"
"Jonas Turmeau","K1H","115.34","81","104.92","Finale B"
"Mathurin Madore","K1H","117.21","72.22","120.28","Finale B"
"Benoit Chantry","K1H","117.32","121.87","121.18","Finale B"
"Maxime Bottex","K1H","118.18","87.07","128.25","Finale B"
"Mathys Huvelin","K1H","118.49","75.5","130.8","Finale B"
"Quentin Bove","K1H","118.8","106.76","133.34","Finale B"
"Romain Faurie","K1H","121.75","72.86","157.58","Finale B"
"Nicolas Baudoin","K1H","121.84","91.99","158.32","Finale B"
"Titouan Dupras","K1H","122.11","103.18","160.53","Finale B"
"Pol Euzenes","K1H","124.37","121.35","179.1","Finale B"
"Alexandre Lucas","K1H","124.79","118.03","182.55","Finale B"
"Paul Cornut-chauvinc","K1H","127.39","104.48","203.91","Finale B"
"Thomas Durand","K1H","129.43","127.88","220.67","Finale B"
"Sebastien Nouvel","K1H","132.83","120.71","248.6","Finale B"
"Valentin Brindeau","K1H","166.92","131.68","528.67","Finale B"
"Benjamin Jacon","K1H","169.51","94.35","549.95","Finale B"
"Thomas Schmitt","K1H","170.22","63.68","555.78","Finale B"
"Alan Dollo","K1H","170.72","111.88","559.89","Finale B"
"Pierre Giudicelli","K1H","171.39","104.55","565.39","Finale B"
"Charlie Barbier","K1H","171.75","108.71","568.35","Finale B"
"James Duvernoy","K1H","177.44","92.33","615.09","Finale B"
"Yann Le Govic","K1H","179.49","42.32","631.94","Finale B"
"Kendaor Le Huitou","K1H","226.16","103.64","1015.35","Finale B"
"Malo Quemeneur","K1H","Abs","-","-","Finale B"
