"Sélectif Régional - Chaumont - 2009-10-04","Course 1","2009-10-04","Régional","130"
"Caroline Bourry-Yann Gudefin","C2M","111.80","299","227",""
"Nicolas Abbal-Claire Landrin","C2M","116.35","-","280",""
"Julian Othenin-girard-Charlotte Abba","C2M","136.56","-","518",""
"Emilie Saguet-Alexis Collin","C2M","136.91","-","522",""
"Marion Hacquart-Louis Melin","C2M","142.62","-","589",""
"Claire Landrin","K1D","95.43","38","84",""
"Caroline Bourry","K1D","97.12","55","105",""
"Elodie Delavelle","K1D","102.47","195","171",""
"Charlotte Lubineau","K1D","110.34","246","267",""
"Lucile Remond","K1D","110.96","293","275",""
"Marlene Dumoulin","K1D","115.32","282","328",""
"Camille Godron","K1D","115.76","297","334",""
"Gaelle Delaborde","K1D","116.66","284","345",""
"Emilie Saguet","K1D","117.15","361","351",""
"Manon Bucher","K1D","117.23","-","352",""
"Morgane Charron","K1D","117.29","-","353",""
"Marion Hacquart","K1D","117.81","-","358",""
"Emma Maujean","K1D","118.65","353","370",""
"Charlotte Abba","K1D","120.79","-","395",""
"Salome Ritter","K1D","121.87","-","409",""
"Angelique Guilcher","K1D","122.18","712","412",""
"Carole Dolmaire","K1D","125.98","399","459",""
"Aurelie Rampft","K1D","126.53","632","466",""
"Lucie Bornier","K1D","126.87","489","470",""
"Justine Traversa","K1D","132.65","549","541",""
"Aurelie Anciaux","K1D","132.96","-","545",""
"Magali Rampft","K1D","134.55","-","564",""
"Claire Choiseau","K1D","147.51","-","724",""
"Cecile Letang","K1D","148.00","874","729",""
"Manon Lamidet","K1D","168.24","-","977",""
"Emeline Berthelot","K1D","171.75","-","1021",""
"Clothilde Charbeaux","K1D","Nt","-","-",""
"Frederic Walczak","K1H","80.55","12","30",""
"Emmanuel Walczak","K1H","83.94","36","77",""
"Yann Gudefin","K1H","85.01","23","91",""
"Mathieu Bandelier","K1H","86.80","114","117",""
"Nicolas Abbal","K1H","87.83","75","131",""
"Bertrand Gutierrez","K1H","88.38","109","138",""
"Mael Othenin Girard","K1H","88.41","124","139",""
"Quentin Moreaux","K1H","90.65","154","170",""
"Remi Baudot","K1H","90.69","121","171",""
"Louis Bandelier","K1H","90.74","180","172",""
"Florient Tagnon","K1H","90.98","144","174",""
"Julien Arribe","K1H","92.83","58","200",""
"Nikolas Stanik","K1H","93.42","172","209",""
"Lucas Ferraina","K1H","94.28","176","220",""
"Olivier Urbain","K1H","94.54","204","224",""
"Victor Paulais","K1H","94.88","211","229",""
"Gaetan Kieffert","K1H","95.04","216","231",""
"Matthieu Walfard","K1H","95.65","208","239",""
"Mathieu Douillet","K1H","96.96","242","258",""
"Matthieu Basset","K1H","97.48","167","265",""
"Christophe Billaud","K1H","98.08","213","274",""
"Pierre Rat","K1H","99.11","238","287",""
"Youcef Bahlat","K1H","100.76","268","310",""
"Christophe Godinat","K1H","101.18","308","316",""
"Germain Carre","K1H","101.39","248","319",""
"Philippe Valeri","K1H","102.17","286","329",""
"Xavier Rat","K1H","102.38","315","333",""
"Jerome Lacire","K1H","102.44","326","334",""
"Cedric Bourgeois","K1H","103.32","-","346",""
"Paul Bornier","K1H","103.86","278","353",""
"Simon Barthelemy","K1H","104.44","388","362",""
"Clement Martin","K1H","104.59","360","363",""
"Geoffrey Walczak","K1H","105.15","222","371",""
"Philippe Godinat","K1H","105.22","347","372",""
"Therence Bernard","K1H","105.46","356","375",""
"Robin Guebey","K1H","105.86","426","381",""
"Jules Just-mathieu","K1H","106.05","-","384",""
"Thomas Barraco","K1H","107.50","339","404",""
"Julian Othenin-girard","K1H","107.86","-","409",""
"Jerome Mailfait","K1H","108.29","-","414",""
"Guillaume Armbruster","K1H","108.57","-","419",""
"Mickael Lefuel","K1H","109.15","434","427",""
"David Pierson","K1H","109.33","335","429",""
"Simon Clerc","K1H","110.12","454","440",""
"Aurelien Noiret","K1H","111.05","484","453",""
"Mehdi Nedjma","K1H","114.49","-","500",""
"Jeanmarc Arribe","K1H","115.17","-","510",""
"Riyad Khelil","K1H","115.60","551","516",""
"Quentin Prevot","K1H","117.58","516","544",""
"Antoine Leroy","K1H","117.78","644","546",""
"Francois Dupont","K1H","120.81","548","589",""
"Batiste Duwatez","K1H","125.54","-","655",""
"Gerard Cartier","K1H","126.41","733","666",""
"Arthur Hitier","K1H","126.85","1619","672",""
"Quentin Charron","K1H","127.85","1289","686",""
"Anthony Gillot","K1H","133.68","787","767",""
"Pierre Emmanuel Ravet","K1H","137.26","-","817",""
"Barnabe Sennelier","K1H","137.31","-","818",""
"Antoine Colas","K1H","Nt","-","-",""
"Adrien Fevre","K1H","Nt","-","-",""
"Leo Capelle","K1H","Nt","-","-",""
"Aurelien Desgrez","K1H","Nt","-","-",""
