"Sélectif N3 Nord Est - Ancerville - 2005-04-24","Course 1","2005-04-24","Nationale 3","155"
"Bernachon Sidonie","K1D","293.65","450","888",""
"Senecat Aude","K1D","302.53","715","944",""
"Emile Devaux","K1H","168.31","245","244",""
"Beghoura Yoni","K1H","168.35","246","244",""
"Julien Bley","K1H","168.47","232","245",""
"Pierre Baux","K1H","169.65","297","253",""
"Louison Tanet","K1H","170.20","306","257",""
"Vieillard Alexis","K1H","172.03","258","269",""
"Yves Moreno","K1H","172.15","284","270",""
"Maignan Adrien","K1H","172.95","298","276",""
"Ladouce Romain","K1H","173.06","258","277",""
"Jeremy Cremonesi","K1H","173.78","245","282",""
"Stefan Stanik","K1H","174.52","279","287",""
"Geoffroy Schwentzel","K1H","175.87","287","297",""
"Christophe Billaud","K1H","176.05","289","298",""
"Aurel Sebastien","K1H","176.10","229","299",""
"Stephane Rousse","K1H","176.28","360","300",""
"Piermay Mathieu","K1H","176.63","251","302",""
"Olivier Urbain","K1H","177.25","309","306",""
"Thomas Michel","K1H","177.96","250","312",""
"Hitou Sofiane","K1H","178.16","341","313",""
"Duchiron Stephane","K1H","178.57","363","316",""
"Patrick Gass","K1H","179.22","319","320",""
"Julien Signarbieux","K1H","179.30","340","321",""
"Le Berte Maxime","K1H","180.31","262","328",""
"Sergent Sylvain","K1H","180.43","274","329",""
"Kevin Burgi","K1H","180.63","288","331",""
"Lagache Jean Christophe","K1H","180.74","396","331",""
"Tachet Xavier","K1H","181.00","352","333",""
"Thomas Rollot","K1H","181.41","269","335",""
"Tourte Etienne","K1H","181.48","365","336",""
"Nicolas Leclerc","K1H","182.13","300","341",""
"Remi Thomas","K1H","182.29","356","342",""
"Thenon Gregori","K1H","182.76","425","346",""
"Damien Burteaux","K1H","184.86","335","360",""
"Xavier Rat","K1H","185.19","354","363",""
"Romain Viry","K1H","186.05","431","368",""
"Lambert Kevin","K1H","186.31","351","370",""
"Billel Khenchouche","K1H","187.04","312","376",""
"Malnory Jean","K1H","187.36","452","378",""
"Eric Marmet","K1H","187.43","341","378",""
"Bajolet Julien","K1H","187.68","331","380",""
"Fontaine Vincent","K1H","187.85","367","382",""
"Ova Roberto","K1H","188.17","404","383",""
"Eric Formet","K1H","188.49","406","385",""
"Matthieu Walfard","K1H","188.95","394","389",""
"Germain Carre","K1H","189.70","502","394",""
"Vincent Bajolot","K1H","189.82","318","395",""
"Blondeau Julien","K1H","191.42","382","406",""
"Philippe Godinat","K1H","191.73","415","409",""
"Zawadzki Wilfried","K1H","192.22","435","412",""
"Nicolas Burgi","K1H","192.62","443","414",""
"Legrand Adrien","K1H","193.03","332","417",""
"Emmanuel Triomphe","K1H","193.27","507","419",""
"Havet Jean-Yves","K1H","193.75","448","423",""
"Benjamin Fourmet","K1H","194.31","511","427",""
"Pahin Thomas","K1H","194.73","592","430",""
"Terryn Gilles","K1H","194.95","361","431",""
"Jodar Sebastien","K1H","195.78","330","437",""
"Demange Marc","K1H","195.80","269","437",""
"Vallee Mathieu","K1H","195.95","437","438",""
"Courtier Jeremy","K1H","196.06","355","439",""
"Averlant Alexis","K1H","196.22","389","440",""
"Johann Beldame","K1H","196.64","-","443",""
"Adel Faycal","K1H","196.97","769","446",""
"Bontemps Romain","K1H","197.18","462","447",""
"Eric Lamour","K1H","197.63","436","450",""
"Gaetan Kieffert","K1H","199.21","394","462",""
"Gaetan Dheilly","K1H","200.20","446","468",""
"Boutter Victor","K1H","200.51","503","470",""
"Buffler Ambroise","K1H","200.57","468","471",""
"Chapellier Pierre Emmanuel","K1H","201.16","448","475",""
"Thomas Monvoisin","K1H","201.21","460","476",""
"Antoine Devillez","K1H","202.94","490","487",""
"Coudiere Sebastien","K1H","203.05","485","488",""
"Aurelien Desgrez","K1H","203.12","469","489",""
"Baeza Tony","K1H","204.20","545","496",""
"Soulon Florian","K1H","206.04","446","510",""
"Thomas Plomion","K1H","208.59","547","528",""
"Guiot Jonathan","K1H","209.34","719","532",""
"Remy Daumont","K1H","210.70","509","542",""
"Arthur Veber","K1H","210.78","482","543",""
"Marquer Tanguy","K1H","213.21","522","560",""
"Depreck Josselin","K1H","213.79","566","564",""
"Thomann Simon","K1H","214.09","516","566",""
"Leclerc Julien","K1H","214.34","710","568",""
"Demoury Jean Briac","K1H","214.40","771","568",""
"Thibaut Chariot","K1H","216.54","545","583",""
"Mathieu Faure","K1H","217.90","378","593",""
"Quentin Moreaux","K1H","217.90","699","593",""
"Lefeure Thomas","K1H","218.26","673","595",""
"Brouillard Thibault","K1H","219.98","788","608",""
"Nicolas Girault","K1H","220.26","599","609",""
"Viellard Amaury","K1H","223.19","261","630",""
"Arthur Sucker","K1H","224.52","262","640",""
"Bourgain Olivier","K1H","224.61","611","640",""
"Audren Schiel","K1H","224.95","588","642",""
"Gerard Cartier","K1H","228.42","671","667",""
"Ladouce Sebastien","K1H","229.05","556","672",""
"Nicolas Mangeolle","K1H","229.62","228","675",""
"Domenger Paul","K1H","230.19","686","679",""
"Gonthier Lucas","K1H","233.43","643","702",""
"Juillet Edouard","K1H","233.91","755","706",""
"Lacour Gregory","K1H","233.96","410","706",""
"Dupin Nicolas","K1H","235.27","628","715",""
"Gautier Boudat","K1H","235.88","531","720",""
"Viratelle Vincent","K1H","240.10","370","749",""
"Dubois Mortimer","K1H","242.40","787","766",""
"Guillaume Carpentier","K1H","242.74","468","768",""
"Decaux Louis","K1H","243.42","446","772",""
"Garret Bertrand","K1H","244.13","399","777",""
"Hamel Pierre","K1H","254.48","481","851",""
"Antoine Deffontaine","K1H","261.09","568","897",""
"Clement Martin","K1H","261.46","593","900",""
"Pierron Aurelien","K1H","263.30","676","913",""
"Ardelean Dan Marian","K1H","276.80","707","1008",""
"Desemerie Thomas","K1H","276.99","577","1009",""
"Lacaille Morgan","K1H","302.49","642","1189",""
