"Nationale 3 - Bazancourt - 2013-05-05","Course 3","2013-05-05","Nationale 3","147"
"Emeric Bertrand-Benoit Letellier","C2H","104.01","140.52","235.06",""
"Jerome Lacire-Quentin Moreaux","C2H","115.98","208.67","356.1",""
"Damien Jacques-Teddy Poulard","C2H","118.67","245.46","383.31",""
"Pierre-yves Bernard-Charles Dampeyrou","C2H","119.85","260.62","395.25",""
"Bertrand Avril-Nicolas Dupres","C2H","130.77","300.93","505.68",""
"Olivier Dulouard-Jean-francois Dulouard","C2H","135.8","507.55","556.55",""
"Romain Bertrand-Ludovic Ngo","C2H","135.94","297.67","557.97",""
"Aymeric Dollat-Pierre Ferrand","C2H","149.69","562.23","697.01",""
"Jeremy Grippon-Nathan Aubert","C2H","Nt","-","-",""
"Catherine Boulan-Xavier Jourdain","C2M","124.17","203.37","353.79",""
"Julien Fougeron-Lea Feuillard","C2M","132.1","256.87","428.55",""
"Laurene Cougnet-Robin Pilard","C2M","145.23","550.07","552.34",""
"Nadege Moalic-Vincent Richard","C2M","153.64","572.76","631.62",""
"Emilie Delahaye","K1D","115.8","197.34","323.19",""
"Lea Feuillard","K1D","116.49","188.95","329.98",""
"Manon Durand","K1D","118.15","263.84","346.34",""
"Carine Chapuis","K1D","119.21","195.4","356.77",""
"Celine Roulot","K1D","121.08","271.97","375.17",""
"Marie Vandeville","K1D","123.96","307.36","403.53",""
"Alice Rietzmann","K1D","126.35","289.96","427.05",""
"Agathe Villien","K1D","132.39","314.16","486.52",""
"Louise Muller","K1D","132.41","402.75","486.71",""
"Natacha Giraud","K1D","133.57","280.81","498.13",""
"Elise Rousseau","K1D","133.68","403.93","499.21",""
"Eva Dauvergne","K1D","134.95","350.56","511.72",""
"Clothilde Charbeaux","K1D","135.53","526.4","517.42",""
"Catherine Boulan","K1D","135.66","380.18","518.71",""
"Mathilde Bouquin","K1D","138.02","372.57","541.94",""
"Emilie Ballan","K1D","140.35","549.97","564.88",""
"Justine Cougnet","K1D","169.83","238.89","855.09",""
"Maryse Viseur","K1D","Nt","-","-",""
"Juliette Pitrey","K1D","Nt","-","-",""
"Julien Fougeron","K1H","92.06","131.67","207.3",""
"Emeric Bertrand","K1H","92.84","140.43","215.98",""
"Bastien Meslet","K1H","94.39","143.08","233.22",""
"Ludovic Ngo","K1H","95.75","131.76","248.35",""
"Yohan Marck","K1H","97.64","173.93","269.38",""
"Laurent Dupuis","K1H","98.1","144.66","274.49",""
"Gaetan Kieffert","K1H","98.72","174.18","281.39",""
"Xavier Chantry","K1H","98.93","166.85","283.73",""
"Mederic Larrive","K1H","100.38","199.21","299.86",""
"Dylan Garin","K1H","101.75","181.87","315.09",""
"Nathan Aubert","K1H","102.31","218.38","321.33",""
"Thomas Postaire","K1H","102.5","168.94","323.44",""
"Adrien Suardana","K1H","103.68","192.58","336.57",""
"Matthieu Walfard","K1H","104.51","179.56","345.8",""
"Nicolas Dupres","K1H","104.62","193.47","347.02",""
"Jeremy Grippon","K1H","105.59","227.19","357.81",""
"Nathan Boudaillez","K1H","105.86","222.24","360.82",""
"Florian Perenchio","K1H","105.94","178.46","361.71",""
"Fabien Perruchet","K1H","107.01","207.73","373.61",""
"Francois Durand","K1H","107.43","204.09","378.28",""
"Thibault Joncret","K1H","107.64","204.48","380.62",""
"Yoann Deschemaeker","K1H","108.01","202.15","384.73",""
"Louis Vandeville","K1H","108.42","213.83","389.3",""
"Adam Collin","K1H","108.62","282.24","391.52",""
"Olivier Dulouard","K1H","108.78","236.42","393.3",""
"Axel Guilleret","K1H","109.29","284.6","398.97",""
"Jules Guilbaud","K1H","110.23","139.15","409.43",""
"Aymeric Dollat","K1H","110.28","292.13","409.98",""
"Alban Duboc","K1H","110.44","213.25","411.77",""
"Joseph Enguehard","K1H","110.97","260.31","417.67",""
"Clement Sannier","K1H","111.37","226.64","422.11",""
"Robin Dheilly","K1H","111.43","257.02","422.78",""
"Damien Jacques","K1H","112","302.34","429.12",""
"Charles Dampeyrou","K1H","113.47","328.22","445.47",""
"Philippe Valeri","K1H","114.14","261.81","452.93",""
"Erwan Gautrelet","K1H","114.83","342.48","460.6",""
"Maxime Pilard","K1H","115.22","286.23","464.94",""
"Thomas Durand","K1H","115.23","318.73","465.05",""
"Son Bui","K1H","115.74","369.74","470.73",""
"Charly Prevert","K1H","116.24","272.89","476.28",""
"Guillaume Lourette","K1H","117.27","366.97","487.75",""
"Gerard Lafargue","K1H","117.27","311.96","487.75",""
"Bastien Moreaux","K1H","117.52","366.29","490.52",""
"Johann Sacleux","K1H","117.71","375.17","492.64",""
"Romain Huguenin","K1H","118.72","316.85","503.88",""
"Juan Guerrero","K1H","119.11","386.51","508.21",""
"Mickael Dubois","K1H","120.05","367.88","518.67",""
"Theo Zilber","K1H","120.31","322.64","521.56",""
"Pierre Ferrand","K1H","121.03","350.82","529.57",""
"Charles Edouard Noyelle","K1H","121.65","453.36","536.46",""
"Benjamin Pre","K1H","121.9","335.68","539.25",""
"Louis Depuydt","K1H","122.34","407.91","544.15",""
"Samuel Bonvalet","K1H","123.09","418.76","552.49",""
"Valentin Bonnot","K1H","125.42","436.27","578.41",""
"Francois Pech","K1H","125.68","298.51","581.3",""
"Jean-francois Dulouard","K1H","126.31","470.22","588.31",""
"Pierre Emmanuel Ravet","K1H","127.71","479.81","603.89",""
"Loic Durand","K1H","133.36","590.19","666.74",""
"Paul Beteille","K1H","140.92","562.61","750.84",""
"Quentin Mannier","K1H","149.88","213.88","850.51",""
"Jeremy Maniere","K1H","Nt","-","-",""
"Theo Deslances","K1H","Nt","-","-",""
"Adrien Barlier","K1H","Nt","-","-",""
"Charles Moalic","K1H","Nt","-","-",""
"Thibault Dhennin","K1H","Nt","-","-",""
"David Mingasson","K1H","Nt","-","-",""
"Sebastien Delaunay","K1H","Nt","-","-",""
"Kevin Lucas Mendes","K1H","Nt","-","-",""
