"Sélectif N3 Ouest - Eymouthiers - 2010-04-04","Course 1","2010-04-04","Nationale 3","157"
"Kevin Rocdunos-Manon Linck","C2M","171.47","720","709",""
"Oceane Drouet-Kevin Bernard","C2M","354.13","651","2519",""
"Camille Dugue","K1D","121.14","411","263",""
"Camille Jounot","K1D","122.92","236","282",""
"Manon Sacre","K1D","129.13","403","346",""
"Marianne Bercon","K1D","131.57","307","371",""
"Lisa Marechal","K1D","133.82","393","394",""
"Amelie Perier","K1D","135.58","449","413",""
"Joelle Bonnabesse","K1D","137.73","370","434",""
"Oriane Pottier","K1D","139.28","423","451",""
"Johane Guinberteau","K1D","140.74","389","466",""
"Suzy Merand","K1D","142.04","459","479",""
"Marielle Counil","K1D","152.24","483","585",""
"Charlotte Robuchon","K1D","153.55","596","598",""
"Manon Linck","K1D","167.64","664","744",""
"Elise Turowsky","K1D","172.92","739","799",""
"Marie Charlotte Doreau","K1D","175.97","602","830",""
"Flora Guinberteau","K1D","180.35","1167","876",""
"Manon Moreau","K1D","182.01","757","893",""
"Alison Drouet","K1D","289.36","624","2004",""
"Aurelie Pantier","K1D","Nt","-","-",""
"Yoann Gottardo","K1H","96.21","139","134",""
"Aurelien Ballandras","K1H","99.16","216","169",""
"James Duvernoy","K1H","99.35","210","171",""
"Paul Messialle","K1H","100.06","227","180",""
"Guillaume Blin","K1H","100.72","216","187",""
"Jonas Turmeau","K1H","101.39","185","195",""
"Damien Launay","K1H","101.91","209","201",""
"Luc Hellard","K1H","101.99","273","202",""
"Guillaume Chainier","K1H","102.43","217","207",""
"Pierre Emanuel Marchand","K1H","103.27","310","217",""
"Yoann Turowsky","K1H","104.03","230","226",""
"Arnaud Le Calvez","K1H","104.21","252","228",""
"Denis Guilmard","K1H","104.70","311","233",""
"Mathys Huvelin","K1H","105.09","238","238",""
"Clement Praille","K1H","105.29","248","241",""
"Olivier Nonnet","K1H","106.17","291","251",""
"Jan Baudet","K1H","106.62","199","257",""
"Adrien Corvasier","K1H","107.06","313","261",""
"Victor Azam","K1H","107.41","266","265",""
"Simon Seuru","K1H","107.90","293","271",""
"Thomas Marino","K1H","107.91","276","271",""
"Alexandre Dherbilly","K1H","108.63","409","280",""
"Vincent Nicolosi","K1H","108.86","297","283",""
"Christian Boob","K1H","108.98","-","284",""
"Julien Caillarec","K1H","109.16","289","286",""
"Hugo Le Goff","K1H","109.25","411","287",""
"Ludovic Gaignon","K1H","109.33","263","288",""
"Simon Richar","K1H","109.42","403","289",""
"Francois Gillot","K1H","110.21","362","298",""
"Valentin Blondel","K1H","110.94","295","307",""
"Kevin Sponem","K1H","110.95","296","307",""
"Ferdinand Malard","K1H","111.04","337","308",""
"David Peigne","K1H","112.06","362","320",""
"Christophe Gergaud","K1H","112.09","343","320",""
"Louison Turmeau","K1H","112.15","331","321",""
"Alexandre Paulais","K1H","112.25","296","322",""
"Jason Brothier","K1H","112.40","391","324",""
"Francois Madec","K1H","112.44","345","325",""
"Simon Drouart","K1H","112.51","376","325",""
"Jean-noel Avril","K1H","112.60","411","326",""
"Martin Belliot","K1H","113.15","425","332",""
"Mathis Besse","K1H","113.16","385","332",""
"Vincent Rondeau","K1H","113.84","339","341",""
"Hugo Epinoux","K1H","114.04","451","343",""
"Etienne Chauvin","K1H","114.75","260","351",""
"Jean-philippe Brothier","K1H","114.78","357","352",""
"Benjamin Sanella","K1H","115.00","284","354",""
"Romain Gaillard","K1H","115.87","395","364",""
"Pierreyves Renaudin","K1H","116.80","411","375",""
"Damien Kerangoarec","K1H","117.16","343","380",""
"Marin Daigne","K1H","117.28","425","381",""
"Damien Goujard","K1H","117.51","575","384",""
"Valentin Cesbron","K1H","117.75","367","387",""
"Jeremy Rouet","K1H","117.85","379","388",""
"Jordan Rocdunos","K1H","117.89","418","388",""
"Dimitri Etienne","K1H","118.43","433","394",""
"Francois Faguet","K1H","118.72","451","397",""
"Luc Jauvin","K1H","119.37","374","405",""
"Nicolas Thomas","K1H","119.39","350","405",""
"Maxime Foucault","K1H","120.14","437","414",""
"David Vacher","K1H","120.37","461","417",""
"Pierre Audouin","K1H","120.48","522","419",""
"Paul Trecul","K1H","120.86","440","423",""
"Matthieu Laumonier","K1H","120.90","401","424",""
"Jerome Muller","K1H","121.13","403","425",""
"Nicolas Leconte","K1H","121.22","439","426",""
"Kevin Rocdunos","K1H","121.28","478","427",""
"Jean-noel Biteau","K1H","121.35","424","428",""
"Lorin Dumont","K1H","123.09","488","449",""
"Hugo Guilleray","K1H","123.17","471","450",""
"Thomas Perrin","K1H","123.33","369","452",""
"Anthime Larousse","K1H","124.04","469","459",""
"Valentin Soullard","K1H","124.08","451","460",""
"Erwan Perron","K1H","124.76","425","468",""
"Xavier Le Gallic","K1H","125.93","492","482",""
"Nathan Chaumier","K1H","126.34","474","487",""
"Charlie Baron","K1H","126.89","397","493",""
"Francois Xavier Robinet","K1H","131.33","640","545",""
"Raphael Cuillerdier","K1H","132.47","607","558",""
"Nicolas Petipez","K1H","132.74","572","561",""
"Loup Charles","K1H","132.90","566","563",""
"Jeremy Jestin","K1H","132.96","776","564",""
"Dimitri Rochier","K1H","133.00","539","564",""
"Wilfried Harduin","K1H","133.24","470","567",""
"Matthias Etourneau","K1H","134.28","621","580",""
"Daniel Bregazzi","K1H","135.50","638","593",""
"Nicolas Le Belleguic","K1H","136.35","546","604",""
"Maxime Buton","K1H","136.39","764","604",""
"Guillaume Payet","K1H","136.54","443","606",""
"Florian Plault","K1H","140.55","797","653",""
"Gerard Lemonnier","K1H","143.33","602","686",""
"Felix Chaillou-delecourt","K1H","145.10","727","706",""
"Steve Bruniquel","K1H","146.30","646","721",""
"Clement Cierocki","K1H","146.61","561","723",""
"Jonathan Bourdier","K1H","Nt","-","-",""
"Hippolyte Granados","K1H","Nt","-","-",""
"Gaetan Minotte","K1H","Nt","-","-",""
