"Slalom Régional de Sélestat - Sélestat - 2008-09-28","Course 1","2008-09-28","Régional","173"
"Jeanne L'orphelin","K1D","287.41","409","434",""
"Alice Bagot","K1D","287.83","-","436",""
"Sarah Rothenbuhler","K1D","292.05","455","458",""
"Emma Maujean","K1D","293.71","-","467",""
"Elise Bonhomme","K1D","296.31","-","480",""
"Camille Billerach","K1D","302.77","518","515",""
"Frederique Coppa","K1D","311.79","-","562",""
"Amalia Mazzilli","K1D","325.58","812","634",""
"Estelle Boegly","K1D","325.99","-","636",""
"Mylene Blondel","K1D","354.07","-","785",""
"Lucile Remond","K1D","354.33","447","786",""
"Caroline Scherer","K1D","360.53","-","818",""
"Aurelie Rampft","K1D","369.72","1559","867",""
"Alexandra Dubreuil","K1D","388.92","-","967",""
"Marlene Dumoulin","K1D","394.92","437","999",""
"Paloma Kubiak","K1D","434.12","-","1205",""
"Manon Duchamp","K1D","434.90","-","1209",""
"Jennifer Besancon","K1D","495.75","-","1528",""
"Elsa Muller","K1D","590.59","-","2027",""
"Noemie Hauss","K1D","1011.70","-","4241",""
"Frederic Walczak","K1H","190.46","15","44",""
"Emmanuel Walczak","K1H","198.62","75","92",""
"Martin Dougoud","K1H","203.08","118","119",""
"Alexis Caspar","K1H","203.74","62","123",""
"Quentin Burgi","K1H","203.81","93","123",""
"Julien Arribe","K1H","205.23","59","132",""
"Jerome Olhagaray","K1H","205.29","110","132",""
"Mathieu Haberland","K1H","209.06","102","154",""
"Nicolas Burgi","K1H","209.51","172","156",""
"Nathan Barbier","K1H","210.52","152","163",""
"Remi Thomas","K1H","213.62","155","181",""
"Kevin Burgi","K1H","213.99","132","183",""
"Julien Haberland","K1H","214.53","104","186",""
"Thibaut Chariot","K1H","215.20","188","190",""
"Nicolas Ciemniewski","K1H","215.48","226","192",""
"Maxime Faivre","K1H","216.86","150","200",""
"Florient Tagnon","K1H","217.28","207","203",""
"Christophe Siffert","K1H","220.15","175","219",""
"Florent Tamburini","K1H","223.36","212","238",""
"Sylvain Herrbach","K1H","225.55","179","251",""
"Geoffrey Walczak","K1H","226.39","278","256",""
"Thomas Michel","K1H","227.09","254","260",""
"Olivier Urbain","K1H","227.52","231","262",""
"Jeremy Lehning","K1H","227.82","138","265",""
"Philippe Devillers","K1H","228.06","264","266",""
"Pierre Rat","K1H","228.18","286","267",""
"Jeremy Poux","K1H","228.28","224","267",""
"Eddy Cassard","K1H","229.29","303","273",""
"Lucas Ferraina","K1H","229.29","287","273",""
"Guillaume Carpentier","K1H","230.12","224","278",""
"Arnaud Jamet","K1H","232.68","306","293",""
"Gregory Booth","K1H","232.96","221","294",""
"George Meysner","K1H","233.28","-","297",""
"Fabien Fritsch","K1H","234.50","299","303",""
"Jean Roos","K1H","235.76","-","311",""
"Gabriel Schnetz","K1H","235.78","-","311",""
"Nicolas Fritsch","K1H","236.29","285","314",""
"Emmanuel Triomphe","K1H","238.48","291","328",""
"Audren Schiel","K1H","238.64","-","328",""
"Frederic Blanrue","K1H","239.96","376","335",""
"Maxime Lambert","K1H","240.59","312","340",""
"Stephane Ferrignio","K1H","241.69","390","346",""
"Jean Baptiste Thiel","K1H","242.38","685","350",""
"Pascal Philip","K1H","247.57","-","381",""
"Christophe Billaud","K1H","248.34","249","385",""
"Arthur Bernot","K1H","250.26","362","396",""
"Yann Le Guedard","K1H","250.63","370","399",""
"Philippe Godinat","K1H","251.28","459","403",""
"Marc Jegou","K1H","251.75","-","405",""
"Gary Allemann","K1H","253.07","-","413",""
"Xavier Rat","K1H","254.13","368","420",""
"Clement Martin","K1H","254.96","348","424",""
"Xavier Sucker","K1H","255.02","513","424",""
"Jean Guyot","K1H","256.12","391","431",""
"Vivien Tirole","K1H","258.79","492","447",""
"Patrick Thevenin","K1H","259.95","479","454",""
"Jules Marragou","K1H","263.11","-","473",""
"Laurent Starck","K1H","263.34","488","474",""
"Bastien Roy","K1H","263.46","-","474",""
"Thomas Bouquet","K1H","265.82","-","488",""
"Andre Kempf","K1H","266.91","465","495",""
"Alban Bourdoiseau","K1H","267.50","-","498",""
"Maxence Grandadam","K1H","268.89","-","506",""
"Florent Bronchain","K1H","269.36","517","509",""
"Jerome Morgenthaler","K1H","270.45","-","516",""
"Emilien Kempf","K1H","271.97","509","525",""
"Romain Magnolo","K1H","274.20","599","538",""
"Clement Gourmelon","K1H","282.86","563","589",""
"Franck Hiffler","K1H","285.32","-","603",""
"Willy Heisel Girard","K1H","287.26","-","614",""
"Eric Louis","K1H","287.58","773","617",""
"Lucas Saudon","K1H","290.15","-","631",""
"Pierre Berberat","K1H","290.21","573","632",""
"Michael Ullrich","K1H","293.78","309","653",""
"Thomas Barraco","K1H","295.54","-","663",""
"Thibaut Lebrun","K1H","297.20","860","673",""
"Otello Willmann Rosso","K1H","299.44","-","686",""
"Dimitri Combe","K1H","308.28","892","738",""
"Gaetan Becker","K1H","308.68","-","740",""
"Kevin Guyot","K1H","310.82","-","753",""
"Laurent Guyot","K1H","311.99","571","760",""
"Alexandre Lambert","K1H","313.00","841","766",""
"Pierre Aubry","K1H","315.89","-","783",""
"Laurent Graillot","K1H","316.44","-","786",""
"Antoine Battut","K1H","329.02","-","860",""
"Quentin Veith","K1H","332.75","-","882",""
"Colin Marragou","K1H","338.65","-","916",""
"Thomas Bourdois-risse","K1H","344.53","-","952",""
"Guillaume Angonin","K1H","377.80","-","1148",""
"Even Perot","K1H","388.88","-","1213",""
"Arnaud Calinon","K1H","414.47","-","1363",""
"Thibaut Bernot","K1H","450.70","-","1576",""
