"Championnat Régional de Slalom - Bassin De La Loge - Toulouse - Finale - 2015-03-29","Finale","2015-03-29","Régional","162"
"Marie Helye","K1D","127.96","393.33","449.46","Finale A"
"Julie Paris","K1D","137.8","400.64","559.46","Finale A"
"Morgane Foligne","K1D","140.56","267.96","590.3","Finale A"
"Elsa Cailhol","K1D","169.25","311.07","911.01","Finale A"
"Kendaor Le Huitou","K1H","84.8","115.03","90.23","Finale A"
"Benjamin Travostino","K1H","86.29","30.42","109.05","Finale A"
"Damien Laborde","K1H","88","114.65","130.65","Finale A"
"Thomas Schmitt","K1H","88.33","55.47","134.82","Finale A"
"Hugo Cailhol","K1H","89.24","52.19","146.32","Finale A"
"Nicolas Caussanel","K1H","89.81","157.76","153.52","Finale A"
"Theo Celjo","K1H","91.64","184","176.63","Finale A"
"Guillaume Graille","K1H","91.79","110.49","178.53","Finale A"
"Stephane Labouille","K1H","92.03","225.1","181.56","Finale A"
"Hugo Crepeau","K1H","93.74","233.03","203.16","Finale A"
"Louis Midy","K1H","93.8","206.47","203.92","Finale A"
"Hippolyte Cail","K1H","93.84","215.77","204.42","Finale A"
"Nicolas Honzatko","K1H","94.53","-","213.14","Finale A"
"Marc Biazizzo","K1H","95.31","-","222.99","Finale A"
"Olivier Cail","K1H","95.99","299.32","231.58","Finale A"
"Olivier Cain","K1H","96.65","195.64","239.92","Finale A"
"Tom Deconchy","K1H","96.77","280.55","241.43","Finale A"
"Antoine Runet","K1H","96.81","266.89","241.94","Finale A"
"Brieuc Cadic","K1H","96.91","209.74","243.2","Finale A"
"Bryan Seiler","K1H","97.1","143.8","245.6","Finale A"
"Philippe Vuitton","K1H","98.52","252.62","263.54","Finale A"
"Jean-francois Souville","K1H","98.86","247.18","267.83","Finale A"
"Alexandre Pouille","K1H","99.07","244.25","270.48","Finale A"
"Jeanmichel Bibes","K1H","99.54","285.27","276.42","Finale A"
"Clement Guiraud","K1H","99.61","-","277.31","Finale A"
"Benoit Gaillard","K1H","99.64","255.65","277.68","Finale A"
"Pierre-louis Saussereau","K1H","100.91","293.41","293.73","Finale A"
"Robin Vandenbossche","K1H","103.29","276.96","323.79","Finale A"
"Bastien Salame","K1H","103.37","315.36","324.8","Finale A"
"Pierrealain Clerc","K1H","103.66","339.38","328.46","Finale A"
"Lucas Lavit","K1H","105.88","314.06","356.51","Finale A"
"Julien Delaleux","K1H","107.7","312.37","379.49","Finale A"
"Vincent Gardere","K1H","108.24","350.33","386.32","Finale A"
"Luc Sarramea","K1H","108.59","376.7","390.74","Finale A"
"Gregoire Pouille","K1H","109.06","313.35","396.67","Finale A"
"Antoine Marigil","K1H","109.07","350.47","396.8","Finale A"
"Jacques Roisin","K1H","109.08","349.2","396.93","Finale A"
"Paul Commenges","K1H","110.24","243.46","411.58","Finale A"
"Nicolas Ciemniewski","K1H","110.27","-","411.96","Finale A"
"Maxime Garcia","K1H","110.53","314.85","415.24","Finale A"
"Guillaume Viguier","K1H","112.33","469.67","437.98","Finale A"
"Francois Giondini","K1H","114.15","384.17","460.97","Finale A"
"Clement Caillard","K1H","116.31","442.01","488.25","Finale A"
"Yannis Brousset","K1H","120.44","411.45","540.42","Finale A"
"Theau Le Loch","K1H","123.26","314.02","576.04","Finale A"
"Paul Ballery","K1H","123.96","526.72","584.88","Finale A"
"Loic Pierre","K1H","189.65","392.95","1414.64","Finale A"
"Vincent Fondeviole","K1H","Abs","-","-","Finale A"
"Julie Paris","C1D","178.38","450.42","901.75","Finale B"
"Morgane Foligne","C1D","178.89","461.16","907.12","Finale B"
"Marine Izac","C1D","Abd","-","-","Finale B"
"Bryan Seiler","C1H","102.25","345.41","254.15","Finale B"
"Theo Roisin","C1H","105.66","244","295.18","Finale B"
"Simon Cayez","C1H","110.57","268.1","354.24","Finale B"
"Gregoire Pouille","C1H","127.59","482.47","558.99","Finale B"
"Theau Le Loch","C1H","138.07","464.99","685.06","Finale B"
"Leo Dujourd'hui","C1H","139.45","939.73","701.67","Finale B"
"Hippolyte Cail","C1H","167.14","452.16","1034.78","Finale B"
"Luc Sarramea","C1H","260.84","449.17","2161.98","Finale B"
"Jules Besson","C1H","263.77","-","2197.24","Finale B"
"Theo Roisin-Hugo Crepeau","C2H","117.82","327.52","377.03","Finale B"
"Vincent Garcia-Nicolas Ciemniewski","C2H","136.53","-","591.88","Finale B"
"Samuel De Severac-Guillaume Viguier","C2H","229.75","891.91","1662.35","Finale B"
"Luc Sarramea-Paul Pradalie","C2H","Abd","-","-","Finale B"
"Jessica Joyau","K1D","124.76","-","418.69","Finale B"
"Lucile Gangloff","K1D","142.2","422.16","613.64","Finale B"
"Celine De La Morinerie","K1D","145.09","436.42","645.94","Finale B"
"Alysson Goyat","K1D","149.57","508.36","696.02","Finale B"
"Camille Amis","K1D","164.56","-","863.58","Finale B"
"Cleo Santini","K1D","198.69","1446.57","1245.1","Finale B"
"Agathe Lacrouts","K1D","209.34","-","1364.15","Finale B"
"Agathe Benoit","K1D","228.4","-","1577.21","Finale B"
"Jeanne Pecot","K1D","295.29","497.76","2324.93","Finale B"
"Laure Poux","K1D","306.1","847.18","2445.76","Finale B"
"CÉcilia Bourgeois","K1D","339.54","573.34","2819.57","Finale B"
"Clarisse Hoogland","K1D","386.45","669.68","3343.94","Finale B"
"Clea Tasserit","K1D","418.95","541.27","3707.23","Finale B"
"Clementine Colle","K1D","782.35","1215.61","7769.43","Finale B"
"Ismaella Khattou","K1D","Abd","-","-","Finale B"
"Quentin Clerc","K1H","98.26","286.17","265.25","Finale B"
"Florent Iraundegui","K1H","99.6","263.63","282.18","Finale B"
"Matthieu Demarty","K1H","102.14","357.92","314.26","Finale B"
"Guillaume Fletcher","K1H","104.34","-","342.05","Finale B"
"Hugues Lesimple","K1H","104.73","-","346.98","Finale B"
"Clement Bosc","K1H","107.29","338.51","379.32","Finale B"
"Paul Pradalie","K1H","107.81","430.81","385.88","Finale B"
"Guillaume Dumora","K1H","107.82","400.12","386.01","Finale B"
"Jonathan Suc","K1H","108.9","360.33","399.65","Finale B"
"Patrick Clerc","K1H","110.54","436.54","420.37","Finale B"
"Marc Cordier","K1H","111.78","328.45","436.03","Finale B"
"Flavien San Augustin","K1H","116.33","285.79","493.5","Finale B"
"Louis Foissac","K1H","117.24","485.99","505","Finale B"
"Philip Beadsworth","K1H","117.52","616.99","508.54","Finale B"
"Natan Brule","K1H","119.7","465.98","536.07","Finale B"
"Jeremy Rouchereau","K1H","121.74","396.04","561.84","Finale B"
"Mickael Gonzales","K1H","124.23","-","593.29","Finale B"
"Pierre Adrien Plantion","K1H","124.24","471.14","593.42","Finale B"
"Samuel De Severac","K1H","126.25","607.07","618.81","Finale B"
"Korentin Begue","K1H","126.8","951.78","625.76","Finale B"
"Thomas Wingerter","K1H","131.56","490.3","685.88","Finale B"
"Clement Ravoteur","K1H","132.15","405.85","693.33","Finale B"
"Anthony Goulut","K1H","133.13","-","705.71","Finale B"
"Pierrick Sure","K1H","135.21","-","731.99","Finale B"
"Leo Dujourd'hui","K1H","147.1","667.91","882.17","Finale B"
"Axel Devaud","K1H","147.84","759.18","891.52","Finale B"
"Marc Cailhol","K1H","150.02","505.09","919.06","Finale B"
"Denis Vintrou","K1H","151.88","820.54","942.55","Finale B"
"Maxime Pourret","K1H","152.33","636.49","948.24","Finale B"
"Nicolas Saurat","K1H","153.94","502.64","968.57","Finale B"
"Thomas Moity","K1H","154.17","947.36","971.48","Finale B"
"Arthur Gaudron","K1H","159.79","360.97","1042.47","Finale B"
"Paul Luquet","K1H","161.08","393.78","1058.76","Finale B"
"Jules Besson","K1H","163.54","-","1089.84","Finale B"
"Nathan Pavot","K1H","166.41","470.75","1126.09","Finale B"
"Loic Thibaut","K1H","168.37","407.25","1150.85","Finale B"
"Theo Ducasse","K1H","173.89","393.38","1220.57","Finale B"
"Damien Caillard","K1H","190.35","539.12","1428.49","Finale B"
"Gauthier Sanchou","K1H","193.02","-","1462.21","Finale B"
"Loup Fauries","K1H","194.44","391.52","1480.15","Finale B"
"Aven Gilham","K1H","196.71","638.79","1508.82","Finale B"
"GrÉgory Navail","K1H","207.22","909.86","1641.58","Finale B"
"Quentin Cazeres","K1H","208.92","584.44","1663.05","Finale B"
"Seraphin Margot","K1H","286.64","557.66","2644.77","Finale B"
"Raphael San Nicolas","K1H","429.76","-","4452.59","Finale B"
"Theophile Prunetfoch","K1H","Abd","-","-","Finale B"
"Gauthier Fiorentino","K1H","Abd","-","-","Finale B"
"Malo Laumenerch","K1H","Abd","-","-","Finale B"
"Aude Leonard","NAD","167.21","-","-","Finale B"
