"Sélectif Régional de slalom - Régional Slalom Jarnac - Finale - 2015-10-11","Finale","2015-10-11","Régional","205"
"Jack Nattrass","K1H","106.81","415.11","348.87","Finale A"
"Pierre Ferrand","K1H","111.62","432.95","409.91","Finale A"
"Maxime Goursaud","K1H","111.67","-","410.54","Finale A"
"Antoine Laye","K1H","113.36","322.04","431.99","Finale A"
"Raphael Jean","K1H","113.94","498.14","439.35","Finale A"
"Mattias Poirat","K1H","114.99","516.76","452.68","Finale A"
"Kevin Richard-lubon","K1H","115.23","-","455.72","Finale A"
"NaËl Rajoub","K1H","119.21","470.19","506.23","Finale A"
"Nathan Hossin","K1H","150.41","-","902.18","Finale A"
"Matheo Gillaizeau","K1HM","108.49","-","370.19","Finale A"
"Tanguy Zaninotto","K1HM","109.13","-","378.31","Finale A"
"Clement Capillon","K1HM","109.61","-","384.4","Finale A"
"Arnaud Verrons","K1HM","111.34","-","-","Finale A"
"Sam Traquet","K1HM","114.16","-","442.14","Finale A"
"Thimon Didier","K1HM","116.11","-","-","Finale A"
"Nils Venier","K1HM","116.33","-","-","Finale A"
"Tom Babin","K1HM","117.1","-","-","Finale A"
"Henri Chenu","K1HM","119.34","-","507.88","Finale A"
"Thibault Alcaras","K1HM","120.57","-","523.49","Finale A"
"Ulysse Giel","K1HM","125.45","-","585.42","Finale A"
"Chloe Crachet","C1D","136.03","-","436.97","Finale B"
"Celia Jodar","C1D","137.8","-","455.68","Finale B"
"Marie Charbonneau","C1D","139.62","631.62","474.94","Finale B"
"Maeva Conchon","C1D","142.97","767.3","510.37","Finale B"
"Margaux Longeau","C1D","162.41","-","715.96","Finale B"
"Antoine Launay","C1H","104.08","279.75","256.33","Finale B"
"Quentin Desouche","C1H","106.56","231.69","286.3","Finale B"
"Merwan Fliou","C1H","110.64","267.18","335.61","Finale B"
"Romain Caillon","C1H","112.23","-","354.83","Finale B"
"Adrien Picco","C1H","112.98","321.67","363.89","Finale B"
"Anthony Roux","C1H","113.78","282.79","373.56","Finale B"
"Julien Pajaud","C1H","114.69","-","384.57","Finale B"
"Ludovic Di Nisi","C1H","114.87","-","386.74","Finale B"
"Mathias Pannetier","C1H","115.82","435.91","398.22","Finale B"
"Aurelien Penicaud","C1H","118.6","357.82","431.81","Finale B"
"Thair Benzougar","C1H","126.32","600.22","525.13","Finale B"
"Yanis Rainaud","C1H","127.18","515.67","535.52","Finale B"
"Thomas Chagnaud","C1H","129.34","-","561.63","Finale B"
"Julien Beneteau","C1H","134.5","-","623.99","Finale B"
"Sylvain Decombe","C1H","134.92","-","629.06","Finale B"
"Thomas Bisetto","C1H","142.23","725.25","717.42","Finale B"
"Anthony Roux-Mathieu Minie","C2H","121.47","514.91","399.77","Finale B"
"Dylan Sourbe-Axel Delage","C2H","127.56","513.21","470.04","Finale B"
"Adrien Roux-Benjamin Georges","C2H","133.01","-","532.91","Finale B"
"Clement Jouannaud-Mattias Poirat","C2H","135.22","-","558.4","Finale B"
"Thomas Bisetto-Valentin Pujos","C2H","196.4","-","1264.23","Finale B"
"Corentin Donnou-Guillaume Morel","C2H","Abs","-","-","Finale B"
"Celia Jodar-Cedric Forgit","C2M","127.62","-","348.03","Finale B"
"Valentin Alliot-Violaine Vennin","C2M","127.82","355.64","350.15","Finale B"
"Sophie Delage-Christian Boob","C2M","147.58","514.32","559.11","Finale B"
"Zeph Scamps-Margaux Longeau","C2M","149.21","-","576.36","Finale B"
"Armelle Canali","K1D","121.65","348.39","364.59","Finale B"
"Marie Charbonneau","K1D","124.97","483.16","401.88","Finale B"
"Maeva Conchon","K1D","130.97","513.53","469.26","Finale B"
"AdÈle Aguesseau","K1D","138.53","529.53","554.16","Finale B"
"Emma Pardoux","K1D","141.28","-","585.05","Finale B"
"Margaux Longeau","K1D","145.58","621.17","633.34","Finale B"
"Clemence Zago","K1D","147.76","714.05","657.82","Finale B"
"Fanny Valeau","K1D","148.3","-","663.89","Finale B"
"Manon Zago","K1D","233.39","505.74","1619.5","Finale B"
"Ethel Simon","K1DM","130.36","-","462.41","Finale B"
"Elise Doreau","K1DM","141.54","-","-","Finale B"
"Lucie Cardona","K1DM","142.84","-","602.57","Finale B"
"Isaac Dufrene","K1H","93.44","219.39","184.19","Finale B"
"Theo Desvignes","K1H","97.85","216.4","240.16","Finale B"
"Jacques Precigout","K1H","102.47","235","298.79","Finale B"
"Maxime Texier","K1H","103.44","180.9","311.1","Finale B"
"Yanis Koubaiti","K1H","111.5","513.25","413.39","Finale B"
"Thair Benzougar","K1H","113.26","458.96","435.72","Finale B"
"Maxime Antoine","K1H","114.35","574.98","449.55","Finale B"
"Valentin Soullard","K1H","115.49","456.32","464.02","Finale B"
"Frederic Debons","K1H","115.81","487.01","468.08","Finale B"
"Leam Auffret","K1H","116.59","551.47","477.98","Finale B"
"Batiste Dubois","K1H","117.38","-","488.01","Finale B"
"Timothee Megard","K1H","117.55","-","490.16","Finale B"
"Wilfried Truffy","K1H","118","480.63","495.88","Finale B"
"Adrien Roux","K1H","118.22","-","498.67","Finale B"
"Sylvain Decombe","K1H","120.2","490.41","523.79","Finale B"
"Thibault Beneteau","K1H","121.4","773.28","539.02","Finale B"
"Corentin Donnou","K1H","121.65","-","542.2","Finale B"
"Tom Baillon","K1H","122.24","-","549.68","Finale B"
"Guillaume Morel","K1H","122.76","-","556.28","Finale B"
"Corentin Bechu","K1H","122.76","639.78","556.28","Finale B"
"Thomas Bisetto","K1H","123.19","624.95","561.74","Finale B"
"Thilbault Rucher","K1H","124.32","603.88","576.08","Finale B"
"Anthony Penaud","K1H","124.55","-","579","Finale B"
"Antoine Bougette","K1H","127.85","528.19","620.88","Finale B"
"Benoit Depeuil-monneau","K1H","128.3","-","626.59","Finale B"
"Remi Princet","K1H","130.51","-","654.63","Finale B"
"Etienne Lewkowiez","K1H","130.76","-","657.81","Finale B"
"Julien Beneteau","K1H","130.91","-","659.71","Finale B"
"Steve Bruniquel","K1H","131.03","598.55","661.23","Finale B"
"Thierry Le Bonniec","K1H","132.23","740.75","676.46","Finale B"
"Frederic Foubert","K1H","133.22","614.26","689.03","Finale B"
"Nour Rajoub","K1H","133.9","994.85","697.66","Finale B"
"Jonathan Bourdier","K1H","134.38","1120.94","703.75","Finale B"
"Valentin Pujos","K1H","136.06","871.84","725.07","Finale B"
"Clement Thevenin","K1H","136.15","-","726.21","Finale B"
"Cameron Vardill-clark","K1H","136.8","-","734.46","Finale B"
"Noe Joseph","K1H","151.56","-","921.77","Finale B"
"Patrick Desouche","K1H","155.93","-","977.23","Finale B"
"Joseph Di Nisi","K1H","161.63","-","1049.57","Finale B"
"Maxime Dubois","K1H","168.58","-","1137.77","Finale B"
"Romain Caillon","K1H","Abs","-","-","Finale B"
"Axel Forgerit","K1HM","119.57","-","515.8","Finale B"
"Tom Charles","K1HM","125.11","-","-","Finale B"
"Robin Gonthier","K1HM","125.69","-","593.47","Finale B"
"Stewen Sourbe","K1HM","132.09","-","674.69","Finale B"
"Lucas Bruimaud","K1HM","138.82","-","760.09","Finale B"
"Thomas Caillaud","K1HM","162.09","-","1055.4","Finale B"
"Ugo David","K1HM","184.5","-","-","Finale B"
"Lucas Mesquita","K1HM","192.37","-","-","Finale B"
