"Sélectif Championnat Interrégional - Vallon Pont d'Arc - Qualification - 2014-05-25","Qualification","2014-05-25","Nationale 3","96"
"Thomas Girard","K1H","87.72","338.6","289.01",""
"Charles Fernandes De Oliveira","K1H","87.83","270.97","290.6",""
"Alexandre Marin","K1H","88.05","286.6","293.78",""
"Charles Vallet","K1H","88.73","310.96","303.61",""
"Philippe Lelieur","K1H","88.87","382.03","305.63",""
"Yannick Grizaud","K1H","88.9","356.86","306.07",""
"Robin Pottelette","K1H","91.02","394.84","336.71",""
"Esteban Le Coz","K1H","91.41","384.47","342.35",""
"Emmanuel Triomphe","K1H","91.79","319.02","347.84",""
"Antoine Esseric","K1H","92.05","383.7","351.6",""
"Loic Thielen","K1H","92.71","355.8","361.14",""
"Alexis Chauville","K1H","93.03","356.69","365.77",""
"Timothee Olla","K1H","93.35","430.18","370.39",""
"Maxime Gaillard","K1H","93.48","376.54","372.27",""
"Patrick Gass","K1H","93.79","350.27","376.75",""
"Maxence Long","K1H","93.94","312.95","378.92",""
"Pascal Philip","K1H","95.14","355.79","396.27",""
"Matteo Licoine","K1H","95.54","438.1","402.05",""
"Sylvain Bonnet","K1H","95.63","440.03","403.35",""
"Benjamin Dodane","K1H","95.7","477.82","404.36",""
"Hugo Lelieur","K1H","97.06","641.89","424.02",""
"Victorien Lombard","K1H","98.29","472.34","441.8",""
"Loris Duchesne","K1H","98.83","474.52","449.6",""
"Jean Philippe Roche","K1H","98.95","516.53","451.34",""
"Jules Marchal","K1H","99.43","425.81","458.28",""
"Romain Malgras","K1H","100.3","644.64","470.85",""
"Adelin Constans","K1H","101.51","494.05","488.34",""
"Gilles Barthelemy","K1H","102.04","530.29","496",""
"Xavier Richard","K1H","103.07","514.05","510.89",""
"Boris Rostaing","K1H","103.7","497.24","520",""
"Vincent Causse","K1H","106.4","774.65","559.03",""
"Yann Zaepffel","K1H","107.06","411.15","568.57",""
"Joseph Risson","K1H","107.6","971.42","576.37",""
"Louis Lombardi","K1H","109.91","565.11","609.77",""
"Claude Breuzard","K1H","114.1","570.85","670.33",""
"Yanis Delacour","K1H","114.23","581.44","672.21",""
"Lilian Querry","K1H","139.24","284.58","1033.73",""
"Hugo Venesque","K1H","165.48","553.73","1413.03",""
"Jeff Caron","K1H","177.83","499.69","1591.55",""
"Julien Petit-maire","K1H","Nt","-","-",""
