"Sélection N3 Ouest - Lochrist - 2011-03-20","Course 1","2011-03-20","Nationale 3","245"
"Maxime Lignereux","K1H","132.35","356.45","369.02",""
"Florian Vinet","K1H","133.31","360.01","378.51",""
"Ugo Rimbert","K1H","133.62","439.35","381.57",""
"Patrick Jegou","K1H","134.11","209.78","386.41",""
"Gwendal Pariscoat","K1H","134.19","325.41","387.2",""
"Florian Joly","K1H","134.21","498.27","387.4",""
"Antoine Delcourt","K1H","134.27","264.21","387.99",""
"Damien Goujard","K1H","134.33","278.34","388.58",""
"Hugo Maher","K1H","134.9","344.72","394.21",""
"Romain Foulon","K1H","135.21","330.83","397.28",""
"Melaine Colin","K1H","135.22","382.93","397.38",""
"Olivier Brillaut","K1H","135.81","440.92","403.2",""
"Ludovic Le Cointre","K1H","135.84","391.99","403.5",""
"Arthur Chaumet","K1H","136.3","457.99","408.05",""
"Jordy Pichot","K1H","136.37","389.39","408.74",""
"Nicolas Foulon","K1H","136.62","469.85","411.21",""
"Emmanuel L'anton","K1H","136.62","341.67","411.21",""
"Jean Coadalan","K1H","136.86","423.53","413.58",""
"David Couture","K1H","137.07","322.53","415.65",""
"Alexandre Plumejeau","K1H","137.36","331.67","418.52",""
"Timothee Le Mort","K1H","137.68","391.67","421.68",""
"Charles Bailly","K1H","137.8","635.43","422.86",""
"Edouard Anne","K1H","137.8","279.57","422.86",""
"Loup Charles","K1H","137.88","384.96","423.65",""
"Leri Muller","K1H","140.22","552.04","446.77",""
"Ronan Dhabit","K1H","140.44","690.02","448.95",""
"Gael Bleunven","K1H","140.61","426.05","450.63",""
"Mathieu L 'hostis","K1H","141.62","402.09","460.6",""
"Koldo Dequae","K1H","142.3","430","467.32",""
"Jean-noel Biteau","K1H","143.27","439.81","476.9",""
"Quentin Fleury","K1H","144.83","436.67","492.32",""
"Thibaud Chevalier","K1H","145.03","342.01","494.29",""
"Guillaume Djaid","K1H","146.39","488.86","507.73",""
"Jeremy Jestin","K1H","146.47","408.72","508.52",""
"Daniel Bregazzi","K1H","146.66","469.97","510.4",""
"Morgan Le Tallec","K1H","146.9","576.13","512.77",""
"Christian Belouin","K1H","147.43","501.6","518",""
"Kevin Lelievre - Le Ruyet","K1H","150.75","565.3","550.8",""
"Leo Le Druillennec","K1H","150.86","438.59","551.89",""
"Victor Renoult","K1H","151.01","452.42","553.37",""
"Ludovic Garnier","K1H","151.28","535.03","556.04",""
"Pierre Viollette","K1H","152.06","570.92","563.74",""
"Anthony Le Gros","K1H","152.64","507.57","569.47",""
"William Simon","K1H","152.88","672.34","571.84",""
"Pierrick Meheust","K1H","153.12","440.36","574.22",""
"Steve Bruniquel","K1H","153.69","557.33","579.85",""
"Pierreyves Hellard","K1H","155.43","619.7","597.04",""
"Richard Fradin","K1H","155.5","458","597.73",""
"Pierre Texier","K1H","155.94","787.47","602.07",""
"Noe Pelizza","K1H","158.49","597.95","627.27",""
"Maxime Le Gros","K1H","158.82","644.29","630.53",""
"Sebastian Lidstrom","K1H","160.9","686.07","651.08",""
"Axel Delage","K1H","161.93","610.1","661.25",""
"Jordan Tinevez","K1H","164.69","664.73","688.52",""
"Paul Sauvage","K1H","164.96","640.05","691.19",""
"Jerome Saliou","K1H","167.37","562.82","715",""
"Antonin Leray","K1H","170.73","625.05","748.19",""
"Jordan Daniel","K1H","172.61","655.21","766.76",""
"Guillaume De Fierville","K1H","175.11","655.24","791.46",""
"Gerard Lemonnier","K1H","175.11","626.28","791.46",""
"Thierry Dugue","K1H","178.69","641.65","826.83",""
"Thierry Le Bonniec","K1H","186.5","749.03","903.99",""
"Jules Grolleau","K1H","Nt","-","-",""
"Francois Xavier Robinet","K1H","Nt","-","-",""
"Damien Kerangoarec","K1H","Nt","-","-",""
