"Sélectif Régional de slalom - St Jean D'angely - Finale - 2016-01-24","Finale","2016-01-24","Régional","135"
"Thibault Alcaras","K1H","127.42","475.46","503.1","Finale A"
"Clement Capillon","K1H","129.28","-","524.84","Finale A"
"Sylvain Decombe","K1H","152.09","466.53","791.56","Finale A"
"Henri Chenu","K1H","174.15","-","1049.51","Finale A"
"Tony Deshayes","K1H","378.18","354.77","3435.23","Finale A"
"Lucas Augu","K1HM","107.01","-","264.44","Finale A"
"Tom Babin","K1HM","126.59","-","493.39","Finale A"
"Nils Venier","K1HM","134.76","-","588.92","Finale A"
"Tom Delens","K1HM","157.35","-","853.07","Finale A"
"Tom Charles","K1HM","160.62","-","891.3","Finale A"
"Clement Riera","K1HM","175.49","-","1065.18","Finale A"
"Ugo David","K1HM","197.57","-","1323.36","Finale A"
"Thimon Didier","K1HM","202.9","-","1385.68","Finale A"
"Titouan Doreau","K1HM","203.03","-","1387.2","Finale A"
"Noemie Poitou","C1D","161.77","316.55","594.48","Finale B"
"Charline Berger Martin","C1D","181.69","343.74","788.59","Finale B"
"Marie Charbonneau","C1D","336.63","465.87","2298.35","Finale B"
"Isaac Dufrene","C1H","124.27","309.81","402.06","Finale B"
"Pierre Giudicelli","C1H","124.34","328.74","402.85","Finale B"
"Olivier Cain","C1H","126.33","340.36","425.01","Finale B"
"Etienne Chauvin","C1H","128.34","417.03","447.4","Finale B"
"Thibault Dufour","C1H","129.37","-","458.87","Finale B"
"Adrien Picco","C1H","135.85","345.95","531.03","Finale B"
"Julien Pajaud","C1H","138.16","371.3","556.75","Finale B"
"Mathias Pannetier","C1H","153.94","392.47","732.48","Finale B"
"Aurelien Daridan","C1H","159.28","-","791.94","Finale B"
"Cyril Launay","C1H","Abd","-","-","Finale B"
"Ugo David","C1HM","273.59","-","2064.92","Finale B"
"Adrien Picco-Etienne Chauvin","C2H","153.24","463.31","647.11","Finale B"
"Dylan Sourbe-Zeph Scamps","C2H","162.34","481.28","743.85","Finale B"
"Thibault Alcaras-Ulysse Giel","C2H","281.68","671.5","2012.43","Finale B"
"Julien Brice-Jacob Chaygneaud Dupuy","C2H","406.54","1126.5","3339.69","Finale B"
"Anthony Roux-Mathieu Minie","C2H","Abs","-","-","Finale B"
"Alexia Bechu","K1D","140.19","329.36","468.83","Finale B"
"Jocelyne Roupioz","K1D","154.2","-","613.8","Finale B"
"Lea Riera","K1D","158.85","568.18","661.92","Finale B"
"Marie Charbonneau","K1D","174.67","384.4","825.62","Finale B"
"Romain Poirier","K1H","113.27","331.18","342.64","Finale B"
"Arthur Lagleyze","K1H","113.81","431.39","348.95","Finale B"
"NaËl Rajoub","K1H","120.58","435.74","428.12","Finale B"
"Mathieu Minie","K1H","120.9","282.48","431.86","Finale B"
"Benjamin Georges","K1H","125.12","-","481.2","Finale B"
"Sam Traquet","K1H","127.5","433.93","509.03","Finale B"
"Carl Rainaud","K1H","128.24","-","517.68","Finale B"
"Thomas Riviere","K1H","128.26","-","517.92","Finale B"
"Cyril Launay","K1H","128.4","438.02","519.55","Finale B"
"Jerome Talbot","K1H","129.04","-","527.04","Finale B"
"Jack Nattrass","K1H","135.53","372.25","602.93","Finale B"
"Maxime Goursaud","K1H","136.19","389.49","610.64","Finale B"
"Thomas Dieusaert","K1H","136.42","403.92","613.33","Finale B"
"Mattias Poirat","K1H","138.86","448.53","641.86","Finale B"
"Xavier Auneau","K1H","140.53","-","661.39","Finale B"
"Matisse Bourreau","K1H","142.02","551.29","678.81","Finale B"
"Ulysse Giel","K1H","142.65","487.29","686.18","Finale B"
"Mathias Pannetier","K1H","147.7","519.15","745.23","Finale B"
"Michel Daupeux","K1H","151.24","543.77","786.62","Finale B"
"Robin Gonthier","K1H","159.27","599.66","880.52","Finale B"
"Florent Brillant","K1H","159.87","-","887.53","Finale B"
"Leam Auffret","K1H","160.94","531.44","900.04","Finale B"
"Etienne Lewkowiez","K1H","165.03","626.86","947.87","Finale B"
"Anthony Penaud","K1H","210.57","839.5","1480.37","Finale B"
"Clement Thevenin","K1H","221.62","728.16","1609.57","Finale B"
"Charley Sannier Durand","K1H","222.94","-","1625.01","Finale B"
"Matthieu Roy","K1H","251.81","-","1962.58","Finale B"
"Corentin Bechu","K1H","278.84","505.11","2278.65","Finale B"
"Julien Brice","K1H","281.6","564.19","2310.92","Finale B"
"Lucas Bruimaud","K1H","307.75","695.52","2616.69","Finale B"
"LÉo Favrie","K1H","318.25","1076.77","2739.47","Finale B"
"Thomas Deguilhem","K1H","320.37","-","2764.26","Finale B"
"Arnaud Verrons","K1HM","119.8","-","418.99","Finale B"
"Theo Douady","K1HM","141.6","-","673.9","Finale B"
"Louis Rathier","K1HM","160.18","-","891.16","Finale B"
"Quentin Alcaras","K1HM","171.92","-","1028.43","Finale B"
"Theo Papin","K1HM","179.19","-","1113.44","Finale B"
"Clement Gillaizeau","K1HM","185.85","-","1191.32","Finale B"
"Victor Lagleyze","K1HM","187.72","-","1213.18","Finale B"
"Lucas Mesquita","K1HM","229.79","-","1705.11","Finale B"
"Jacob Chaygneaud Dupuy","K1HM","278.6","-","2275.84","Finale B"
