"COUPE LORRAINE SLALOM - Nancy - 2001-10-28","Course 1","2001-10-28","Régional","162"
"Cornevin Angelique","K1D","232.39","199","266",""
"Leleu Sophie","K1D","233.82","324","273",""
"Leger Elodie","K1D","236.53","175","287",""
"Carole Pocard","K1D","241.39","267","313",""
"Marie Ringeisen","K1D","244.22","299","328",""
"Amini Leila","K1D","246.46","694","340",""
"Leonard Julie","K1D","246.93","323","342",""
"Demol Brindille","K1D","250.63","333","362",""
"Caroline Bourry","K1D","253.25","362","376",""
"Oreze Audrey","K1D","265.45","-","440",""
"Besch Eulalie","K1D","265.7","329","441",""
"Sarah Michel","K1D","279.08","404","512",""
"Marion Fischer","K1D","294.9","432","595",""
"Bernachon Charlotte","K1D","305.18","1268","649",""
"Paoletti Camille","K1D","305.48","-","651",""
"L'orphelin Lucille","K1D","490.24","1396","1626",""
"Venceslas Viseur","K1H","168.19","76","60",""
"Frederic Walczak","K1H","170.21","71","72",""
"Pierre Devaux","K1H","173.51","60","92",""
"Mehdi Amini","K1H","184.58","160","159",""
"Johan De Mareuil","K1H","185.25","133","163",""
"Benoit Chantry","K1H","185.3","-","164",""
"Bourgeois Cedric","K1H","186.06","83","168",""
"Piquard Charles","K1H","186.56","139","171",""
"Ragot Laurent","K1H","188.06","87","181",""
"Lambert Kevin","K1H","188.7","275","184",""
"Christophe Siffert","K1H","190.29","165","194",""
"Michel Ragot","K1H","190.4","174","195",""
"Bazin Patryce","K1H","190.67","173","196",""
"Serre Eric","K1H","191.33","196","200",""
"Gregory Booth","K1H","191.8","168","203",""
"Sylvain Herrbach","K1H","193.47","205","213",""
"David Beyer","K1H","195.66","266","227",""
"Del Rey Emmanuel","K1H","197.52","-","238",""
"Antoine Dufrene","K1H","197.68","217","239",""
"Gregory Busson","K1H","198.23","106","242",""
"Jeremy Poux","K1H","201.63","255","263",""
"Joder Morgan","K1H","203.02","325","271",""
"Guerin Alexandre","K1H","205.03","293","283",""
"Mathieu Arnaud","K1H","205.83","228","288",""
"Florian Perenchio","K1H","206.59","316","293",""
"Maxime Faivre","K1H","206.96","215","295",""
"Stephane Rousse","K1H","207.06","245","296",""
"Duru Jerome","K1H","207.1","266","296",""
"Weber Nicolas","K1H","207.53","213","299",""
"Dalla-Zuana Christophe","K1H","207.61","244","299",""
"Fatah Samy","K1H","208.27","295","303",""
"Champmartin Michel","K1H","209.44","450","310",""
"Piermay Mathieu","K1H","210.96","345","319",""
"Thomas Michel","K1H","211.08","295","320",""
"Yves Debailleul","K1H","211.89","266","325",""
"Kudla Romain","K1H","212.61","356","329",""
"Muguet-Robba Paul-Antoine","K1H","213.27","463","333",""
"Noel Jeremie","K1H","213.81","457","337",""
"Chantry Xavier","K1H","213.82","401","337",""
"Olivier Urbain","K1H","214.07","279","338",""
"Thibaud Kudla","K1H","216.87","351","355",""
"Pierson Cyril","K1H","216.93","407","356",""
"Felmy Arnaud","K1H","217.46","-","359",""
"Nicolas Mangeolle","K1H","218.23","358","364",""
"Luc Formet","K1H","218.81","342","367",""
"Rumeau Martin","K1H","219.5","-","371",""
"Mion Guillaume","K1H","219.72","-","373",""
"Eric Formet","K1H","223.07","462","393",""
"De Berchen Sebastien","K1H","224.24","491","400",""
"Yann Le Guedard","K1H","224.74","-","403",""
"Hayot Sylvain","K1H","226.12","-","411",""
"Noble Aurelien","K1H","226.22","-","412",""
"Gwendal Duchet","K1H","227.78","-","421",""
"Boehler Jean","K1H","227.98","335","423",""
"Marsac Antoine","K1H","228.65","-","427",""
"Morel Julien","K1H","229.68","-","433",""
"Brouillot Mathieu","K1H","230.78","474","440",""
"Arthur Georges","K1H","233.2","498","454",""
"Patrick Gass","K1H","236.67","296","475",""
"Hamann Damien","K1H","237.68","563","482",""
"Dallazuana Anthony","K1H","238.47","-","486",""
"Revelle Yohann","K1H","239.81","716","494",""
"Florent Tamburini","K1H","239.91","-","495",""
"Ehlinger Robin","K1H","240.28","646","497",""
"Creuza Jeremy","K1H","240.93","512","501",""
"Facchini Thomas","K1H","247.01","-","538",""
"Gaud Gilles","K1H","251.3","-","564",""
"Collinet Matthieu","K1H","251.69","745","566",""
"Hetier Louis","K1H","260.42","-","619",""
"Ruiz Pierre","K1H","262.46","544","632",""
"Miler Thomas","K1H","263.46","-","638",""
"Gacoin Stephane","K1H","266.49","453","656",""
"Michel Baptiste","K1H","280.75","958","743",""
"Bartl Boris","K1H","281.55","456","748",""
"Jerome Olhagaray","K1H","282.23","373","752",""
"Lecluse Arnaud","K1H","283.64","418","760",""
"Bechade Olivier","K1H","285.58","619","772",""
"Tachet Xavier","K1H","299.79","-","858",""
"Nathan Barbier","K1H","300.2","-","861",""
"Caspar Guillaume","K1H","301.05","-","866",""
"Serra Thibault","K1H","302.66","-","876",""
"Ursot Olivier","K1H","311.2","-","927",""
"Bastien Darcillon","K1H","324.19","-","1006",""
"Saidi Pascal","K1H","326.74","-","1022",""
"Doury Jean-Francois","K1H","329.34","657","1038",""
"Peduzzi Thibaud","K1H","331.96","-","1053",""
"Mangeolle Matthieu","K1H","332.05","-","1054",""
"Maxant Kevin","K1H","342.04","-","1115",""
"Henard Jerome","K1H","348.48","-","1154",""
"Boespflug Sebastien","K1H","397.29","-","1450",""
"Claude Pierre Abel","K1H","409.86","-","1526",""
"William Boutet","K1H","416.08","839","1564",""
"Ladouce Romain","K1H","427.26","911","1632",""
"Pierrat Simon","K1H","439.49","-","1706",""
"Beck Jonathan","K1H","481.07","-","1958",""
"Benjamin Defrocourt","K1H","490.9","-","2018",""
"Blenck Gaetan","K1H","884.76","-","4407",""
